chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	0.0002058372	0.000000026291
1	1892607	3582735	441	20	0.0003080980	0.000000098510
1	3582736	4380810	277	20	0.0002947095	0.000000062659
1	4380811	5913892	870	20	-0.0000283599	0.000000111990
1	5913893	7247334	431	20	0.0000806070	0.000000080017
1	7247335	9365198	700	20	0.0004784971	0.000000132830
1	9365199	10806983	353	20	0.0002457558	0.000000065845
1	10806984	11777840	259	20	0.0002179023	0.000000055723
1	11777841	12779465	284	20	0.0006601486	0.000000080045
1	12779466	14891510	618	20	0.0001552279	0.000000119539
1	14891511	16897729	691	20	0.0000565571	0.000000115482
1	16897730	18662898	668	20	0.0000758110	0.000000116273
1	18662899	20469148	719	20	0.0001261523	0.000000118343
1	20469149	21736587	461	20	0.0001492331	0.000000084932
1	21736588	23086882	524	20	-0.0000260011	0.000000098200
1	23086883	23920589	222	20	0.0003351085	0.000000050982
1	23920590	25516844	523	20	0.0000218673	0.000000098719
1	25516845	27401866	414	20	0.0002305822	0.000000070452
1	27401867	30161880	552	20	0.0003352782	0.000000099861
1	30161881	32438684	931	20	0.0001544937	0.000000119508
1	32438685	34799757	675	20	0.0000937489	0.000000117011
1	34799758	37549182	553	20	0.0000045012	0.000000093685
1	37549183	38731846	373	20	0.0001957378	0.000000069942
1	38731847	40200566	446	20	0.0001254338	0.000000080918
1	40200567	41975326	554	20	0.0003723422	0.000000102567
1	41975327	43758456	544	20	0.0000314600	0.000000083868
1	43758457	44969182	371	20	0.0002417908	0.000000063876
1	44969183	46899500	457	20	0.0007956664	0.000000086705
1	46899501	48002575	296	20	0.0000556036	0.000000045552
1	48002576	48978187	344	20	0.0000479887	0.000000061627
1	48978188	49894176	247	20	0.0000529261	0.000000044115
1	49894177	51713725	260	20	0.0001945638	0.000000039797
1	51713726	54226261	563	20	0.0002230761	0.000000103849
1	54226262	56413116	838	20	0.0000777412	0.000000116353
1	56413117	57021727	271	20	0.0000818655	0.000000043088
1	57021728	58865398	850	20	0.0000792475	0.000000116414
1	58865399	59890408	382	20	0.0004468679	0.000000077234
1	59890409	61922364	671	20	0.0002698648	0.000000124252
1	61922365	63455088	534	20	0.0000534448	0.000000094497
1	63455089	65041703	658	20	0.0001298659	0.000000101466
1	65041704	66939403	650	20	0.0004554008	0.000000118928
1	66939404	68477894	685	20	0.0001449872	0.000000101126
1	68477895	69687615	388	20	0.0000516638	0.000000065427
1	69687616	71372469	519	20	0.0002693365	0.000000091258
1	71372470	71684404	82	10	0.0000998402	0.000000014404
1	71684405	74326906	558	20	0.0000783643	0.000000075271
1	74326907	76728134	726	20	0.0002032150	0.000000103275
1	76728135	79661197	949	20	0.0002571951	0.000000123731
1	79661198	81354190	475	20	-0.0000524754	0.000000073171
1	81354191	83991747	972	20	0.0000273015	0.000000114279
1	83991748	84844494	314	20	0.0001632610	0.000000049717
1	84844495	86454750	652	20	0.0002235567	0.000000115240
1	86454751	88128630	571	20	0.0001174666	0.000000097361
1	88128631	90066302	522	20	0.0003525756	0.000000097258
1	90066303	91886316	562	20	0.0001554254	0.000000094151
1	91886317	93536458	509	20	0.0003714332	0.000000085404
1	93536459	94506190	255	20	0.0001917792	0.000000041426
1	94506191	96150892	650	20	-0.0000990390	0.000000103206
1	96150893	97885248	603	20	0.0001851259	0.000000087810
1	97885249	99800603	641	20	0.0001061942	0.000000096421
1	99800604	100826404	339	20	-0.0000049982	0.000000045523
1	100826405	102041015	447	20	0.0002048651	0.000000075821
1	102041016	102898744	277	20	0.0002023175	0.000000049097
1	102898745	103914210	201	20	0.0003408332	0.000000040333
1	103914211	106087841	455	20	0.0000972236	0.000000075115
1	106087842	108409664	727	20	0.0002560847	0.000000123686
1	108409665	110303930	565	20	0.0001285749	0.000000090207
1	110303931	111741736	572	20	0.0002641594	0.000000117152
1	111741737	113273305	720	20	0.0002675626	0.000000124157
1	113273306	114873844	511	20	0.0000212034	0.000000085099
1	114873845	115880592	346	20	0.0000273974	0.000000049964
1	115880593	118839066	838	20	0.0002517662	0.000000123508
1	118839067	144977493	565	20	0.0000226557	0.000000087287
1	144977494	148361252	433	20	0.0002279489	0.000000077918
1	148361253	151538880	349	20	0.0004306728	0.000000066859
1	151538881	153180828	468	20	0.0001105043	0.000000067602
1	153180829	154770402	459	20	0.0001178216	0.000000076189
1	154770403	156336132	307	20	0.0004807445	0.000000070023
