chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0000708643	0.000000012688
1	1892607	3582735	405	28	0.0003329330	0.000000053460
1	3582736	4380810	262	28	0.0000498114	0.000000027977
1	4380811	5913892	861	28	0.0001213292	0.000000061898
1	5913893	7247334	417	28	0.0002616991	0.000000044525
1	7247335	9365198	679	28	0.0001394659	0.000000060255
1	9365199	10806983	339	28	0.0002294740	0.000000032505
1	10806984	11777840	246	28	0.0003603195	0.000000035092
1	11777841	12779465	280	28	0.0002252141	0.000000023166
1	12779466	14891510	607	28	0.0001235966	0.000000061484
1	14891511	16897729	654	28	0.0001100813	0.000000060174
1	16897730	18662898	638	28	0.0001482322	0.000000061065
1	18662899	20469148	684	28	0.0000956206	0.000000060803
1	20469149	21736587	450	28	0.0002950678	0.000000047458
1	21736588	23086882	507	28	0.0002337563	0.000000055801
1	23086883	23920589	214	27	0.0001525859	0.000000021038
1	23920590	25516844	500	28	0.0001207136	0.000000050963
1	25516845	27401866	395	28	0.0011369341	0.000000058955
1	27401867	30161880	524	28	0.0001956732	0.000000047757
1	30161881	32438684	902	28	0.0003049704	0.000000066668
1	32438685	34799757	643	28	0.0000539242	0.000000058825
1	34799758	37549182	527	28	0.0001313517	0.000000048602
1	37549183	38731846	358	28	0.0000833217	0.000000031906
1	38731847	40200566	424	28	0.0001588971	0.000000039169
1	40200567	41975326	540	28	-0.0000362421	0.000000042826
1	41975327	43758456	531	28	0.0002131575	0.000000045690
1	43758457	44969182	351	28	-0.0000384776	0.000000025664
1	44969183	46899500	440	28	0.0000899090	0.000000028341
1	46899501	48002575	279	28	0.0002160778	0.000000027974
1	48002576	48978187	339	28	0.0003165489	0.000000039882
1	48978188	49894176	237	28	0.0002900765	0.000000029191
1	49894177	51713725	252	25	0.0002304898	0.000000021159
1	51713726	54226261	546	28	0.0001261255	0.000000048130
1	54226262	56413116	813	28	0.0017010925	0.000000101401
1	56413117	57021727	264	28	0.0002120014	0.000000021820
1	57021728	58865398	827	28	0.0001003092	0.000000061476
1	58865399	59890408	370	28	0.0000663753	0.000000031056
1	59890409	61922364	659	28	0.0003744917	0.000000066955
1	61922365	63455088	525	28	0.0013787424	0.000000069070
1	63455089	65041703	641	28	0.0003534626	0.000000059230
1	65041704	66939403	634	28	0.0000643075	0.000000051239
1	66939404	68477894	663	28	0.0003163147	0.000000057311
1	68477895	69687615	382	28	0.0001347838	0.000000036777
1	69687616	71372469	506	28	0.0001078268	0.000000045076
1	71372470	71684404	81	10	0.0000424135	0.000000006288
1	71684405	74326906	555	28	0.0001529216	0.000000033172
1	74326907	76728134	713	28	0.0001080831	0.000000048364
1	76728135	79661197	924	28	0.0002534382	0.000000062721
1	79661198	81354190	470	28	0.0001066210	0.000000042418
1	81354191	83991747	963	28	0.0000652035	0.000000058486
1	83991748	84844494	303	28	0.0001621640	0.000000027330
1	84844495	86454750	634	28	0.0001991020	0.000000057529
1	86454751	88128630	552	28	0.0000003349	0.000000045501
1	88128631	90066302	515	28	0.0001085760	0.000000043085
1	90066303	91886316	554	28	0.0001816397	0.000000050674
1	91886317	93536458	499	28	0.0008346581	0.000000056240
1	93536459	94506190	245	26	0.0001575610	0.000000020334
1	94506191	96150892	639	28	0.0001872161	0.000000058740
1	96150893	97885248	598	28	0.0000645074	0.000000040897
1	97885249	99800603	632	28	0.0001332593	0.000000051327
1	99800604	100826404	328	28	0.0001335499	0.000000027668
1	100826405	102041015	439	28	0.0002258333	0.000000042266
1	102041016	102898744	271	28	0.0001008277	0.000000025632
1	102898745	103914210	195	21	0.0000780176	0.000000016141
1	103914211	106087841	452	28	-0.0000293198	0.000000036466
1	106087842	108409664	719	28	0.0001744683	0.000000062088
1	108409665	110303930	555	28	0.0073780267	0.000000209407
1	110303931	111741736	558	28	0.0005039880	0.000000065340
1	111741737	113273305	691	28	0.0001709518	0.000000058990
1	113273306	114873844	497	28	0.0002156637	0.000000047913
1	114873845	115880592	338	28	0.0001800179	0.000000028184
1	115880593	118839066	807	28	0.0000944085	0.000000059479
1	118839067	144977493	563	28	0.0002579386	0.000000037547
1	144977494	148361252	425	28	0.0002956029	0.000000042965
1	148361253	151538880	332	28	0.0004564080	0.000000036076
1	151538881	153180828	451	28	0.0000503196	0.000000033434
1	153180829	154770402	445	28	0.0000894280	0.000000037666
1	154770403	156336132	280	28	0.0004851194	0.000000036673
1	156336133	158027411	575	28	0.0000653031	0.000000052528
1	158027412	159913047	667	28	0.0001950580	0.000000060828
1	159913048	162346720	860	28	0.0002277320	0.000000048007
1	162346721	165191701	1172	28	0.0000537255	0.000000056725
1	165191702	166460516	514	28	0.0002040126	0.000000053704
1	166460517	169086323	1077	28	0.0000319072	0.000000057479
1	169086324	170557775	550	28	0.0000667488	0.000000034716
1	170557776	173097906	896	28	0.0002570287	0.000000057552
1	173097907	175089767	399	28	0.0001944499	0.000000027022
1	175089768	177433380	763	28	0.0000707435	0.000000058565
1	177433381	178944308	497	28	0.0000907962	0.000000031814
1	178944309	178954469	2	1	-0.0000088979	0.000000000008
1	178954470	181144120	713	28	0.0001970671	0.000000060525
1	181144121	182755355	577	28	0.0001460022	0.000000055680
1	182755356	184595512	607	28	0.0002952566	0.000000053517
1	184595513	186810022	499	28	0.0000902053	0.000000039570
1	186810023	188759944	616	28	0.0002185905	0.000000053311
1	188759945	189904129	214	17	0.0000865365	0.000000015703
1	189904130	191868929	536	28	0.0000893546	0.000000036452
1	191868930	194107441	577	28	0.0000979742	0.000000046977
1	194107442	196176200	577	28	0.0001942588	0.000000044418
1	196176201	197311513	188	16	0.0000848364	0.000000013441
1	197311514	199239883	501	28	0.0002319844	0.000000046258
1	199239884	200137648	296	28	0.0002839784	0.000000032066
1	200137649	201589974	685	28	0.0000844395	0.000000059491
1	201589975	203334733	591	28	-0.0000255340	0.000000053384
1	203334734	204681067	471	28	0.0002493072	0.000000048761
1	204681068	206073264	558	28	0.0001266450	0.000000050595
1	206073265	208410363	602	28	0.0002676002	0.000000060584
1	208410364	210787749	908	28	0.0000818427	0.000000058228
1	210787750	212842329	684	28	0.0001692702	0.000000059868
1	212842330	214578265	606	28	0.0003011747	0.000000060344
1	214578266	216243633	579	28	0.0001745808	0.000000056053
1	216243634	218705512	1069	28	0.0000634235	0.000000057318
1	218705513	219590570	279	28	0.0000692971	0.000000021801
1	219590571	221858230	678	28	0.0006435131	0.000000063544
1	221858231	222230219	171	21	0.0000239779	0.000000016548
1	222230220	224938519	494	28	0.0002334500	0.000000047068
1	224938520	226810859	496	28	0.0003610971	0.000000050524
1	226810860	229156247	654	28	0.0000482087	0.000000052499
1	229156248	230685254	523	28	0.0000694416	0.000000039251
1	230685255	232090251	574	28	0.0001191560	0.000000050775
1	232090252	233429283	598	28	-0.0000373933	0.000000055697
1	233429284	234599433	519	28	0.0002169035	0.000000054755
1	234599434	235819435	369	28	0.0009348370	0.000000060687
1	235819436	237555627	691	28	0.0000543018	0.000000059916
1	237555628	238567806	419	28	0.0000703197	0.000000042071
1	238567807	239925313	487	28	0.0001415349	0.000000049283
1	239925314	240564090	335	28	0.0001341146	0.000000034748
1	240564091	241582219	504	28	0.0002180539	0.000000060004
1	241582220	242071601	207	28	0.0000302657	0.000000021456
1	242071602	244109498	598	28	0.0001353894	0.000000058876
1	244109499	245506745	496	28	0.0000227308	0.000000049378
1	245506746	247344517	667	28	0.0001729759	0.000000061154
1	247344518	249239465	385	28	0.0000668890	0.000000037199
2	10133	1781021	655	28	0.0000841535	0.000000046876
2	1781022	3973778	952	28	-0.0000107197	0.000000057312
2	3973779	5708336	622	28	0.0000185486	0.000000056810
2	5708337	6836253	558	28	0.0000876694	0.000000049410
2	6836254	8422146	644	28	0.0000212311	0.000000059606
2	8422147	10298468	660	28	0.0001667766	0.000000063562
2	10298469	12419149	952	28	-0.0000070866	0.000000056885
2	12419150	14335307	588	28	0.0001810045	0.000000055640
2	14335308	16329734	734	28	0.0001053814	0.000000060921
2	16329735	18647422	854	28	0.0001930729	0.000000062935
2	18647423	19692403	381	28	0.0001719201	0.000000038768
2	19692404	21050489	628	28	0.0006649206	0.000000069953
2	21050490	23341382	628	28	0.0083905003	0.000000259839
2	23341383	24686917	436	28	0.0002703594	0.000000042544
2	24686918	26894984	541	28	0.0001704445	0.000000046150
2	26894985	28598776	422	28	0.0005114780	0.000000025070
2	28598777	29217558	249	28	0.0002180290	0.000000024647
2	29217559	30463710	626	28	0.0004161058	0.000000069375
2	30463711	31550449	521	28	0.0001738456	0.000000055642
2	31550450	33363776	482	28	0.0001791937	0.000000052701
2	33363777	35345027	796	28	0.0001931525	0.000000062560
2	35345028	36122005	290	28	0.0001315300	0.000000028694
2	36122006	38132711	908	28	0.0001594382	0.000000060689
2	38132712	39031336	320	28	0.0001710131	0.000000037961
2	39031337	40281482	300	28	0.0000242686	0.000000029453
2	40281483	43309589	1283	28	0.0003113931	0.000000060351
2	43309590	44313802	402	28	0.0030906338	0.000000088950
2	44313803	46482633	1053	28	0.0001338131	0.000000057178
2	46482634	47318771	410	28	0.0001412360	0.000000047711
2	47318772	48213000	294	28	-0.0000238393	0.000000030211
2	48213001	50022256	700	28	0.0001599171	0.000000061426
2	50022257	50818927	341	28	0.0001524459	0.000000035943
2	50818928	52491132	646	28	0.0000306475	0.000000056735
2	52491133	53508451	461	28	0.0000523638	0.000000044282
2	53508452	54685225	427	28	0.0001453747	0.000000044877
2	54685226	56203344	602	28	0.0001342620	0.000000054505
2	56203345	57429099	425	28	0.0000813787	0.000000042709
2	57429100	58297314	270	28	0.0001396038	0.000000028927
2	58297315	60291999	735	28	0.0000404940	0.000000055966
2	60292000	62429043	584	28	0.0001953485	0.000000056783
2	62429044	64625912	577	28	0.0007711905	0.000000073380
2	64625913	65933443	456	28	0.0002095836	0.000000046325
2	65933444	67226165	549	28	0.0000979789	0.000000049331
2	67226166	68010175	419	28	0.0002984028	0.000000043090
2	68010176	69139563	465	28	0.0002684964	0.000000046537
2	69139564	70755197	522	28	0.0001992691	0.000000048276
2	70755198	73174847	784	28	0.0002117520	0.000000064036
2	73174848	75630085	700	28	0.0000530621	0.000000059600
2	75630086	76913660	514	28	0.0000655065	0.000000048112
2	76913661	78079263	390	28	0.0002892147	0.000000048710
2	78079264	80050402	819	28	0.0001820104	0.000000061838
2	80050403	81620840	574	28	0.0001044883	0.000000058088
2	81620841	85140679	889	28	0.0000657601	0.000000052935
2	85140680	88038506	617	28	0.0001435212	0.000000049433
2	88038507	89154525	241	28	0.0001226181	0.000000022739
2	89154526	95326451	4	2	0.0000664820	0.000000004113
2	95326452	98995200	419	28	0.0002160232	0.000000037948
2	98995201	101822328	887	28	0.0001248117	0.000000062427
2	101822329	102688764	255	28	0.0001706473	0.000000023872
2	102688765	103588214	396	28	0.0002395111	0.000000031902
2	103588215	105125033	304	28	0.0002000283	0.000000032041
2	105125034	106210057	399	28	0.0000069346	0.000000035969
2	106210058	107408266	440	28	0.0000554095	0.000000037740
2	107408267	108429176	350	28	0.0002036768	0.000000032256
2	108429177	110572431	517	28	0.0003684612	0.000000052480
2	110572432	113921855	760	28	0.0002090780	0.000000062126
2	113921856	116772469	742	28	0.0001533498	0.000000061984
2	116772470	118367465	393	28	0.0003828510	0.000000038637
2	118367466	121303782	984	28	0.0005953719	0.000000074821
2	121303783	123302905	571	28	0.0002904398	0.000000058296
2	123302906	124732249	427	28	0.0001354007	0.000000034349
2	124732250	125840920	378	28	0.0002275512	0.000000038567
2	125840921	127373763	408	28	0.0001129251	0.000000030011
2	127373764	128034346	257	28	0.0002976944	0.000000030861
2	128034347	129474440	423	28	0.0002438418	0.000000040031
2	129474441	130067169	218	26	0.0002983203	0.000000024277
2	130067170	130658084	201	26	0.0000325838	0.000000017455
2	130658085	133042783	201	28	0.0003125744	0.000000028484
2	133042784	135158577	899	28	0.0001232646	0.000000061483
2	135158578	137042793	429	28	0.0005691029	0.000000043902
2	137042794	138698116	589	28	0.0001652788	0.000000052882
2	138698117	140100270	430	28	0.0001984652	0.000000034337
2	140100271	141805350	561	28	0.0000718370	0.000000050978
2	141805351	142518601	295	28	0.0000520417	0.000000028600
2	142518602	144519483	645	28	0.0001407177	0.000000055859
