chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	16	0.0000876790	0.000000064726
1	1892607	3582735	440	16	0.0001650471	0.000000249604
1	3582736	4380810	275	16	0.0001334158	0.000000133973
1	4380811	5913892	878	16	0.0000134968	0.000000245879
1	5913893	7247334	433	16	0.0000882534	0.000000169950
1	7247335	9365198	706	16	0.0002297306	0.000000257786
1	9365199	10806983	355	16	0.0001856749	0.000000137496
1	10806984	11777840	260	16	-0.0000415131	0.000000111416
1	11777841	12779465	292	16	0.0000919809	0.000000146658
1	12779466	14891510	620	16	0.0000730290	0.000000253314
1	14891511	16897729	696	16	0.0002421739	0.000000266136
1	16897730	18662898	670	16	0.0002459876	0.000000271744
1	18662899	20469148	722	16	0.0000174891	0.000000263150
1	20469149	21736587	462	16	0.0001277549	0.000000181979
1	21736588	23086882	526	16	0.0000787828	0.000000226860
1	23086883	23920589	223	16	0.0000196471	0.000000076577
1	23920590	25516844	526	16	0.0001786612	0.000000227611
1	25516845	27401866	416	16	0.0002115567	0.000000138026
1	27401867	30161880	556	16	0.0000936553	0.000000195221
1	30161881	32438684	937	16	0.0000382523	0.000000241505
1	32438685	34799757	678	16	0.0000866518	0.000000245444
1	34799758	37549182	556	16	0.0001309907	0.000000209614
1	37549183	38731846	375	16	0.0001262733	0.000000136024
1	38731847	40200566	447	16	0.0002453966	0.000000179433
1	40200567	41975326	555	16	0.0003193455	0.000000195645
1	41975327	43758456	553	16	0.0001946024	0.000000181366
1	43758457	44969182	372	16	0.0001253498	0.000000117659
1	44969183	46899500	461	16	0.0005414036	0.000000133883
1	46899501	48002575	299	16	-0.0000089178	0.000000086889
1	48002576	48978187	346	16	0.0000368805	0.000000118307
1	48978188	49894176	248	16	0.0001646198	0.000000088897
1	49894177	51713725	261	16	0.0000502331	0.000000062044
1	51713726	54226261	564	16	0.0003746413	0.000000216183
1	54226262	56413116	843	16	0.0000576312	0.000000248973
1	56413117	57021727	273	16	0.0002967779	0.000000094654
1	57021728	58865398	852	16	-0.0000885048	0.000000236460
1	58865399	59890408	385	16	0.0000607948	0.000000124581
1	59890409	61922364	674	16	-0.0000079542	0.000000243750
1	61922365	63455088	544	16	0.0000734157	0.000000213540
1	63455089	65041703	659	16	-0.0000078289	0.000000198953
1	65041704	66939403	654	16	0.0001084174	0.000000206358
1	66939404	68477894	693	16	0.0001012180	0.000000197858
1	68477895	69687615	389	16	0.0000352403	0.000000137029
1	69687616	71372469	524	16	0.0001658742	0.000000183075
1	71372470	71684404	84	10	0.0000906299	0.000000024575
1	71684405	74326906	564	16	-0.0000107141	0.000000145484
1	74326907	76728134	733	16	-0.0000009781	0.000000196310
1	76728135	79661197	953	16	-0.0000120074	0.000000242564
1	79661198	81354190	478	16	0.0001979580	0.000000166750
1	81354191	83991747	979	16	0.0000945251	0.000000254071
1	83991748	84844494	319	16	0.0001077338	0.000000096994
1	84844495	86454750	657	16	0.0000075857	0.000000222890
1	86454751	88128630	576	16	-0.0000795726	0.000000195674
1	88128631	90066302	528	16	0.0001839912	0.000000185971
1	90066303	91886316	564	16	0.0002696724	0.000000205207
1	91886317	93536458	519	16	0.0000620472	0.000000151793
1	93536459	94506190	258	16	0.0000383098	0.000000072962
1	94506191	96150892	655	16	0.0002683678	0.000000242405
1	96150893	97885248	609	16	0.0003247292	0.000000183777
1	97885249	99800603	644	16	0.0000298376	0.000000199060
1	99800604	100826404	341	16	0.0000153526	0.000000090936
1	100826405	102041015	453	16	0.0001259345	0.000000141488
1	102041016	102898744	280	16	0.0003854624	0.000000118556
1	102898745	103914210	204	16	0.0004189384	0.000000073895
1	103914211	106087841	461	16	0.0000544165	0.000000152933
1	106087842	108409664	731	16	-0.0000448890	0.000000242450
1	108409665	110303930	573	16	0.0003415967	0.000000223018
1	110303931	111741736	576	16	-0.0000388678	0.000000239903
1	111741737	113273305	722	16	0.0001726808	0.000000249328
1	113273306	114873844	513	16	-0.0000586547	0.000000176807
1	114873845	115880592	349	16	0.0000933239	0.000000101742
1	115880593	118839066	841	16	0.0000774528	0.000000249932
1	118839067	144977493	574	16	0.0002955775	0.000000192191
1	144977494	148361252	435	16	0.0000099857	0.000000129375
1	148361253	151538880	353	16	0.0002996434	0.000000114247
1	151538881	153180828	478	16	0.0001218127	0.000000132811
1	153180829	154770402	462	16	0.0001845871	0.000000162052
1	154770403	156336132	307	16	0.0004659947	0.000000132270
1	156336133	158027411	598	16	0.0001668185	0.000000222615
1	158027412	159913047	691	16	0.0004083671	0.000000286680
1	159913048	162346720	896	16	0.0002430993	0.000000270313
1	162346721	165191701	1200	16	-0.0000305835	0.000000238617
1	165191702	166460516	534	16	-0.0000228884	0.000000201104
1	166460517	169086323	1118	16	-0.0000607681	0.000000247516
1	169086324	170557775	569	16	0.0000215013	0.000000149445
1	170557776	173097906	916	16	0.0006939611	0.000000274665
1	173097907	175089767	416	16	0.0000725307	0.000000087138
1	175089768	177433380	790	16	0.0001908039	0.000000244504
1	177433381	178944308	505	16	0.0000351493	0.000000151795
1	178944309	178954469	2	1	-0.0000072549	0.000000002272
1	178954470	181144120	754	16	0.0001405995	0.000000228962
1	181144121	182755355	604	16	0.0002715837	0.000000231408
1	182755356	184595512	633	16	0.0001405039	0.000000206411
1	184595513	186810022	524	16	0.0002983018	0.000000171097
1	186810023	188759944	626	16	0.0000901808	0.000000190163
1	188759945	189904129	223	16	-0.0000322398	0.000000050265
1	189904130	191868929	547	16	0.0002051922	0.000000138724
1	191868930	194107441	590	16	0.0002061652	0.000000187770
1	194107442	196176200	590	16	-0.0000215549	0.000000157836
1	196176201	197311513	199	16	0.0001479904	0.000000054210
1	197311514	199239883	517	16	0.0001834635	0.000000172366
1	199239884	200137648	308	16	0.0001928369	0.000000105984
1	200137649	201589974	713	16	0.0001588604	0.000000262828
1	201589975	203334733	616	16	0.0001958850	0.000000264854
1	203334734	204681067	489	16	0.0002884882	0.000000197188
1	204681068	206073264	577	16	0.0003124373	0.000000235710
1	206073265	208410363	643	16	0.0000138530	0.000000243891
