chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	90	18	0.0001965854	0.0000000075
1	1892607	3582735	412	40	0.0001308946	0.0000000223
1	3582736	4380810	258	40	-0.0000148097	0.0000000136
1	4380811	5913892	860	40	-0.0001651489	0.0000000288
1	5913893	7247334	395	40	-0.0001739621	0.0000000201
1	7247335	9365198	679	40	-0.0000193713	0.0000000343
1	9365199	10806983	329	40	-0.0000548358	0.0000000125
1	10806984	11777840	244	40	-0.0000337249	0.0000000123
1	11777841	12779465	234	40	-0.0001218123	0.0000000147
1	12779466	14891510	596	40	0.0001358823	0.0000000294
1	14891511	16897729	660	40	-0.0000219268	0.0000000286
1	16897730	18662898	637	40	-0.0001299208	0.0000000272
1	18662899	20469148	683	40	-0.0001434913	0.0000000298
1	20469149	21736587	428	40	0.0001330711	0.0000000196
1	21736588	23086882	491	40	-0.0000728167	0.0000000250
1	23086883	23920589	202	26	0.0000011229	0.0000000144
1	23920590	25516844	498	40	-0.0001132339	0.0000000242
1	25516845	27401866	378	40	-0.0001366584	0.0000000154
1	27401867	30161880	532	40	0.0001186232	0.0000000241
1	30161881	32438684	909	40	-0.0001031205	0.0000000308
1	32438685	34799757	648	40	-0.0000477196	0.0000000293
1	34799758	37549182	532	40	-0.0001519703	0.0000000255
1	37549183	38731846	350	40	-0.0002013399	0.0000000163
1	38731847	40200566	427	40	-0.0000987356	0.0000000197
1	40200567	41975326	530	40	0.0000227477	0.0000000219
1	41975327	43758456	530	40	-0.0000028704	0.0000000235
1	43758457	44969182	348	35	-0.0000398629	0.0000000128
1	44969183	46899500	431	37	0.0000939629	0.0000000121
1	46899501	48002575	280	32	-0.0000667160	0.0000000124
1	48002576	48978187	335	40	-0.0000483130	0.0000000164
1	48978188	49894176	240	28	0.0000017467	0.0000000147
1	49894177	51713725	251	25	0.0000088755	0.0000000117
1	51713726	54226261	529	40	-0.0000231301	0.0000000209
1	54226262	56413116	796	40	0.0001295454	0.0000000262
1	56413117	57021727	252	30	-0.0000767127	0.0000000109
1	57021728	58865398	833	40	0.0000538691	0.0000000306
1	58865399	59890408	369	40	-0.0000651345	0.0000000163
1	59890409	61922364	647	40	-0.0000953932	0.0000000299
1	61922365	63455088	482	40	-0.0000715810	0.0000000205
1	63455089	65041703	634	40	-0.0000073652	0.0000000220
1	65041704	66939403	630	40	0.0001325036	0.0000000300
1	66939404	68477894	663	40	0.0000333847	0.0000000234
1	68477895	69687615	380	40	-0.0000897337	0.0000000165
1	69687616	71372469	503	40	0.0000596565	0.0000000203
1	71372470	71684404	81	10	-0.0000266460	0.0000000031
1	71684405	74326906	526	40	0.0000868387	0.0000000241
1	74326907	76728134	699	40	0.0001282773	0.0000000262
1	76728135	79661197	926	40	0.0000499636	0.0000000311
1	79661198	81354190	473	40	0.0000984769	0.0000000218
1	81354191	83991747	957	40	-0.0000083368	0.0000000298
1	83991748	84844494	310	36	0.0001299645	0.0000000124
1	84844495	86454750	631	40	-0.0001328644	0.0000000265
1	86454751	88128630	553	40	0.0000864547	0.0000000239
1	88128631	90066302	512	40	0.0000503406	0.0000000195
1	90066303	91886316	552	40	0.0000532523	0.0000000210
1	91886317	93536458	481	40	0.0000262614	0.0000000184
1	93536459	94506190	238	26	0.0001463877	0.0000000106
1	94506191	96150892	633	40	0.0000505709	0.0000000280
1	96150893	97885248	589	40	0.0000920026	0.0000000256
1	97885249	99800603	628	40	-0.0000912757	0.0000000285
1	99800604	100826404	323	37	0.0000133335	0.0000000129
1	100826405	102041015	430	40	0.0000595352	0.0000000193
1	102041016	102898744	276	37	-0.0000396368	0.0000000130
1	102898745	103914210	190	21	0.0001179863	0.0000000090
1	103914211	106087841	458	40	0.0000118571	0.0000000205
1	106087842	108409664	711	40	-0.0000280039	0.0000000294
1	108409665	110303930	471	40	-0.0000327797	0.0000000241
1	110303931	111741736	544	40	-0.0000612317	0.0000000266
1	111741737	113273305	675	40	-0.0000101842	0.0000000325
1	113273306	114873844	496	40	-0.0000824059	0.0000000218
1	114873845	115880592	327	36	-0.0000751884	0.0000000124
1	115880593	118839066	799	40	-0.0000583758	0.0000000278
1	118839067	144977493	505	40	0.0001154623	0.0000000215
1	144977494	148361252	410	40	0.0000435431	0.0000000186
1	148361253	151538880	301	30	-0.0000658038	0.0000000120
1	151538881	153180828	445	40	-0.0001530049	0.0000000168
1	153180829	154770402	426	40	0.0000332794	0.0000000178
1	154770403	156336132	276	37	0.0000676094	0.0000000147
1	156336133	158027411	562	40	0.0000268479	0.0000000248
1	158027412	159913047	652	40	0.0000185538	0.0000000275
1	159913048	162346720	756	40	0.0000005682	0.0000000273
1	162346721	165191701	1156	40	0.0000180252	0.0000000288
1	165191702	166460516	519	40	0.0000883212	0.0000000231
1	166460517	169086323	1073	40	-0.0000353145	0.0000000306
1	169086324	170557775	489	40	0.0000095973	0.0000000178
1	170557776	173097906	830	40	-0.0000594449	0.0000000288
1	173097907	175089767	395	31	-0.0000449438	0.0000000114
1	175089768	177433380	754	40	0.0000344313	0.0000000294
1	177433381	178944308	450	40	0.0000275768	0.0000000238
1	178944309	178954469	2	1	-0.0000057662	0.0000000001
1	178954470	181144120	698	40	0.0000599441	0.0000000270
1	181144121	182755355	589	40	-0.0000550077	0.0000000270
1	182755356	184595512	612	40	-0.0000935877	0.0000000284
1	184595513	186810022	498	40	-0.0000251582	0.0000000194
1	186810023	188759944	609	40	-0.0000369102	0.0000000265
1	188759945	189904129	223	18	0.0000318174	0.0000000070
1	189904130	191868929	538	40	-0.0000135200	0.0000000186
1	191868930	194107441	577	40	-0.0000717750	0.0000000204
1	194107442	196176200	581	40	0.0000439207	0.0000000208
1	196176201	197311513	177	15	0.0000444523	0.0000000089
1	197311514	199239883	507	40	0.0000180833	0.0000000225
1	199239884	200137648	302	36	0.0000663344	0.0000000146
1	200137649	201589974	653	40	-0.0001394475	0.0000000289
1	201589975	203334733	576	40	0.0000119277	0.0000000316
1	203334734	204681067	450	40	-0.0000257361	0.0000000236
1	204681068	206073264	522	40	-0.0001870514	0.0000000245
1	206073265	208410363	589	40	-0.0000232486	0.0000000270
1	208410364	210787749	909	40	-0.0000632480	0.0000000305
1	210787750	212842329	677	40	0.0000041730	0.0000000295
1	212842330	214578265	584	40	-0.0000491047	0.0000000270
1	214578266	216243633	575	40	0.0000114623	0.0000000251
1	216243634	218705512	1070	40	-0.0000613916	0.0000000277
1	218705513	219590570	278	34	-0.0001318975	0.0000000112
1	219590571	221858230	649	40	0.0000694363	0.0000000245
1	221858231	222230219	173	21	-0.0000331330	0.0000000086
1	222230220	224938519	452	40	0.0001074973	0.0000000196
1	224938520	226810859	490	40	0.0000261948	0.0000000218
1	226810860	229156247	661	40	0.0000930061	0.0000000265
1	229156248	230685254	486	40	-0.0000138286	0.0000000231
1	230685255	232090251	559	40	-0.0002021171	0.0000000270
1	232090252	233429283	591	40	0.0000935566	0.0000000279
1	233429284	234599433	526	40	0.0000394604	0.0000000234
1	234599434	235819435	366	40	0.0000416638	0.0000000202
1	235819436	237555627	714	40	-0.0001682524	0.0000000292
1	237555628	238567806	421	40	-0.0001484997	0.0000000197
1	238567807	239925313	488	40	-0.0001270998	0.0000000234
1	239925314	240564090	337	40	0.0002014207	0.0000000172
1	240564091	241582219	504	40	0.0000675394	0.0000000265
1	241582220	242071601	206	38	0.0001372439	0.0000000125
1	242071602	244109498	618	40	0.0001015186	0.0000000296
1	244109499	245506745	507	40	-0.0001926238	0.0000000278
1	245506746	247344517	699	40	0.0000379403	0.0000000275
1	247344518	249239465	374	40	0.0000871145	0.0000000185
2	10133	1781021	610	40	-0.0001293656	0.0000000365
2	1781022	3973778	942	40	-0.0001048466	0.0000000289
2	3973779	5708336	620	40	0.0000708330	0.0000000309
2	5708337	6836253	563	40	0.0000590376	0.0000000260
2	6836254	8422146	645	40	0.0000182576	0.0000000287
2	8422147	10298468	651	40	0.0000049173	0.0000000295
2	10298469	12419149	944	40	0.0000153913	0.0000000278
2	12419150	14335307	579	40	0.0000815116	0.0000000231
2	14335308	16329734	737	40	0.0000887849	0.0000000275
2	16329735	18647422	836	40	-0.0000382370	0.0000000274
2	18647423	19692403	380	40	-0.0001247728	0.0000000185
2	19692404	21050489	618	40	-0.0001380054	0.0000000308
2	21050490	23341382	575	40	0.0000479932	0.0000000268
2	23341383	24686917	416	40	-0.0000620707	0.0000000176
2	24686918	26894984	517	40	-0.0000209822	0.0000000273
2	26894985	28598776	323	30	0.0001511499	0.0000000163
2	28598777	29217558	232	31	0.0001107264	0.0000000111
2	29217559	30463710	617	40	-0.0000991970	0.0000000291
2	30463711	31550449	498	40	-0.0001187554	0.0000000263
2	31550450	33363776	481	40	-0.0000456307	0.0000000244
2	33363777	35345027	794	40	0.0000351806	0.0000000263
2	35345028	36122005	292	30	0.0001251493	0.0000000154
2	36122006	38132711	906	40	0.0001951564	0.0000000290
2	38132712	39031336	316	38	-0.0000004475	0.0000000203
2	39031337	40281482	292	31	0.0001055122	0.0000000156
2	40281483	43309589	1241	40	-0.0000940011	0.0000000296
2	43309590	44313802	315	40	0.0000152270	0.0000000169
2	44313803	46482633	1028	40	-0.0000782262	0.0000000297
2	46482634	47318771	392	40	-0.0000616812	0.0000000212
2	47318772	48213000	288	40	-0.0001206678	0.0000000142
2	48213001	50022256	698	40	0.0000779016	0.0000000275
2	50022257	50818927	330	34	0.0000451078	0.0000000188
2	50818928	52491132	638	40	0.0001295886	0.0000000266
2	52491133	53508451	459	40	0.0001296546	0.0000000197
2	53508452	54685225	411	40	0.0000740235	0.0000000203
