chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	15	-0.0000697030	0.0000000304
1	1892607	3582735	474	15	-0.0002123887	0.0000000913
1	3582736	4380810	294	15	0.0000738953	0.0000000497
1	4380811	5913892	916	15	-0.0001292304	0.0000000798
1	5913893	7247334	449	15	-0.0000376309	0.0000000578
1	7247335	9365198	741	15	-0.0000458581	0.0000000820
1	9365199	10806983	374	15	-0.0001951191	0.0000000509
1	10806984	11777840	283	15	-0.0000948701	0.0000000446
1	11777841	12779465	307	15	-0.0001653459	0.0000000573
1	12779466	14891510	647	15	0.0001042003	0.0000000907
1	14891511	16897729	749	15	0.0000381077	0.0000000892
1	16897730	18662898	696	15	-0.0000819347	0.0000000882
1	18662899	20469148	775	15	-0.0001539733	0.0000000927
1	20469149	21736587	479	15	0.0000473564	0.0000000624
1	21736588	23086882	546	15	0.0000331036	0.0000000801
1	23086883	23920589	237	15	-0.0000399890	0.0000000328
1	23920590	25516844	549	15	0.0000882837	0.0000000854
1	25516845	27401866	434	15	-0.0002074292	0.0000000567
1	27401867	30161880	578	15	0.0000935043	0.0000000700
1	30161881	32438684	985	15	0.0000079306	0.0000000894
1	32438685	34799757	716	15	-0.0000018153	0.0000000812
1	34799758	37549182	607	15	0.0000362253	0.0000000761
1	37549183	38731846	394	15	-0.0000519144	0.0000000497
1	38731847	40200566	462	15	0.0001362683	0.0000000631
1	40200567	41975326	572	15	-0.0000639948	0.0000000637
1	41975327	43758456	592	15	-0.0000006398	0.0000000591
1	43758457	44969182	390	15	-0.0000220417	0.0000000433
1	44969183	46899500	478	15	-0.0000451955	0.0000000465
1	46899501	48002575	318	15	-0.0001168393	0.0000000478
1	48002576	48978187	360	15	-0.0001540347	0.0000000450
1	48978188	49894176	253	15	0.0001297889	0.0000000333
1	49894177	51713725	266	15	-0.0000659953	0.0000000247
1	51713726	54226261	583	15	0.0000094960	0.0000000712
1	54226262	56413116	893	15	-0.0000925778	0.0000000842
1	56413117	57021727	287	15	-0.0001472293	0.0000000304
1	57021728	58865398	910	15	-0.0000828513	0.0000000834
1	58865399	59890408	412	15	0.0000221229	0.0000000456
1	59890409	61922364	704	15	0.0000294188	0.0000000834
1	61922365	63455088	581	15	-0.0000103018	0.0000000800
1	63455089	65041703	698	15	0.0000581802	0.0000000701
1	65041704	66939403	671	15	0.0000845642	0.0000000699
1	66939404	68477894	719	15	0.0000913480	0.0000000712
1	68477895	69687615	401	15	-0.0000889897	0.0000000483
1	69687616	71372469	559	15	-0.0000872168	0.0000000588
1	71372470	71684404	87	10	-0.0001220263	0.0000000083
1	71684405	74326906	585	15	-0.0000675813	0.0000000516
1	74326907	76728134	759	15	-0.0000719905	0.0000000644
1	76728135	79661197	991	15	-0.0000358211	0.0000000782
1	79661198	81354190	500	15	0.0001145499	0.0000000545
1	81354191	83991747	1022	15	0.0000428058	0.0000000816
1	83991748	84844494	328	15	-0.0000655929	0.0000000257
1	84844495	86454750	681	15	-0.0001247130	0.0000000770
1	86454751	88128630	610	15	0.0000145123	0.0000000761
1	88128631	90066302	553	15	-0.0000459465	0.0000000609
1	90066303	91886316	589	15	0.0000022046	0.0000000744
1	91886317	93536458	538	15	0.0000057939	0.0000000535
1	93536459	94506190	268	15	-0.0000730343	0.0000000289
1	94506191	96150892	696	15	0.0000872445	0.0000000817
1	96150893	97885248	637	15	0.0000701659	0.0000000592
1	97885249	99800603	670	15	-0.0000786352	0.0000000657
1	99800604	100826404	348	15	-0.0000471903	0.0000000315
1	100826405	102041015	473	15	-0.0000150641	0.0000000446
1	102041016	102898744	292	15	-0.0000985478	0.0000000352
1	102898745	103914210	213	15	0.0000168771	0.0000000220
1	103914211	106087841	480	15	-0.0002844299	0.0000000525
1	106087842	108409664	770	15	-0.0000485166	0.0000000815
1	108409665	110303930	598	15	0.0000461540	0.0000000726
1	110303931	111741736	614	15	-0.0002672186	0.0000000911
1	111741737	113273305	757	15	-0.0000804231	0.0000000830
1	113273306	114873844	539	15	-0.0001587054	0.0000000638
1	114873845	115880592	357	15	-0.0000948394	0.0000000345
1	115880593	118839066	914	15	-0.0001421460	0.0000000877
1	118839067	144977493	606	15	-0.0000715852	0.0000000666
1	144977494	148361252	465	15	-0.0000559315	0.0000000509
1	148361253	151538880	363	15	0.0002221244	0.0000000430
1	151538881	153180828	521	15	0.0000557350	0.0000000448
1	153180829	154770402	491	15	0.0002106614	0.0000000579
1	154770403	156336132	322	15	-0.0002624499	0.0000000486
1	156336133	158027411	643	15	-0.0000184209	0.0000000790
1	158027412	159913047	739	15	0.0000423957	0.0000001085
1	159913048	162346720	944	15	-0.0000014658	0.0000000893
1	162346721	165191701	1278	15	-0.0002309065	0.0000000842
1	165191702	166460516	581	15	-0.0001213735	0.0000000731
1	166460517	169086323	1205	15	0.0000231762	0.0000000901
1	169086324	170557775	590	15	-0.0001129112	0.0000000464
1	170557776	173097906	978	15	0.0000005436	0.0000000912
1	173097907	175089767	448	15	-0.0001625153	0.0000000307
1	175089768	177433380	871	15	-0.0000268010	0.0000000864
1	177433381	178944308	544	15	0.0000358869	0.0000000581
1	178944309	178954469	2	1	0.0000205496	0.0000000046
1	178954470	181144120	811	15	-0.0000580445	0.0000000788
1	181144121	182755355	667	15	-0.0000322330	0.0000000826
1	182755356	184595512	674	15	-0.0000921288	0.0000000683
1	184595513	186810022	581	15	0.0000234069	0.0000000632
1	186810023	188759944	696	15	0.0000586216	0.0000000733
1	188759945	189904129	244	15	-0.0000098265	0.0000000195
1	189904130	191868929	592	15	-0.0001511642	0.0000000490
1	191868930	194107441	647	15	-0.0000561305	0.0000000684
1	194107442	196176200	631	15	-0.0000570466	0.0000000542
1	196176201	197311513	206	15	0.0000886235	0.0000000209
1	197311514	199239883	549	15	-0.0002622005	0.0000000602
1	199239884	200137648	344	15	-0.0001842538	0.0000000416
1	200137649	201589974	749	15	0.0000638235	0.0000000883
1	201589975	203334733	654	15	0.0000804173	0.0000000882
1	203334734	204681067	538	15	-0.0001109685	0.0000000758
1	204681068	206073264	604	15	-0.0000693862	0.0000000909
1	206073265	208410363	699	15	-0.0001714441	0.0000000841
1	208410364	210787749	1016	15	-0.0001012535	0.0000000885
1	210787750	212842329	741	15	0.0000605976	0.0000000843
1	212842330	214578265	646	15	0.0000786358	0.0000000862
1	214578266	216243633	643	15	-0.0000141836	0.0000000748
1	216243634	218705512	1149	15	-0.0001524642	0.0000000781
1	218705513	219590570	314	15	-0.0000870986	0.0000000318
1	219590571	221858230	751	15	-0.0002253517	0.0000000801
1	221858231	222230219	187	15	0.0000668794	0.0000000242
1	222230220	224938519	634	15	-0.0002216394	0.0000001077
1	224938520	226810859	558	15	-0.0000187918	0.0000000659
1	226810860	229156247	790	15	0.0001687109	0.0000000918
1	229156248	230685254	599	15	0.0000239910	0.0000000915
1	230685255	232090251	629	15	-0.0000979296	0.0000000919
1	232090252	233429283	651	15	0.0000316085	0.0000000931
1	233429284	234599433	594	15	0.0000093295	0.0000000822
1	234599434	235819435	416	15	0.0000174080	0.0000000669
1	235819436	237555627	786	15	0.0000205486	0.0000000850
1	237555628	238567806	460	15	0.0000188669	0.0000000631
1	238567807	239925313	531	15	-0.0000080960	0.0000000692
1	239925314	240564090	377	15	0.0000780757	0.0000000492
1	240564091	241582219	554	15	0.0000015974	0.0000000933
1	241582220	242071601	236	15	-0.0000436885	0.0000000316
1	242071602	244109498	675	15	0.0000051835	0.0000000822
1	244109499	245506745	553	15	-0.0001042399	0.0000000892
1	245506746	247344517	793	15	-0.0000083137	0.0000000963
1	247344518	249239465	434	15	-0.0001199526	0.0000000562
2	10133	1781021	711	15	-0.0000329001	0.0000000776
2	1781022	3973778	1027	15	-0.0000658716	0.0000000819
2	3973779	5708336	661	15	-0.0000466663	0.0000000795
2	5708337	6836253	596	15	-0.0001744818	0.0000000680
2	6836254	8422146	673	15	0.0000132881	0.0000000766
2	8422147	10298468	723	15	0.0000822563	0.0000000857
2	10298469	12419149	1033	15	-0.0000279111	0.0000000859
2	12419150	14335307	625	15	-0.0000144802	0.0000000706
2	14335308	16329734	768	15	0.0000186000	0.0000000700
2	16329735	18647422	899	15	0.0000592278	0.0000000797
2	18647423	19692403	396	15	-0.0000600459	0.0000000471
2	19692404	21050489	662	15	0.0000809872	0.0000000788
2	21050490	23341382	638	15	-0.0000635993	0.0000000794
2	23341383	24686917	457	15	-0.0003315424	0.0000000571
2	24686918	26894984	583	15	-0.0001451746	0.0000000738
2	26894985	28598776	424	15	0.0000067843	0.0000000427
2	28598777	29217558	254	15	-0.0000472945	0.0000000320
2	29217559	30463710	650	15	0.0001137366	0.0000000791
2	30463711	31550449	556	15	0.0001180893	0.0000000796
2	31550450	33363776	520	15	-0.0000663361	0.0000000691
2	33363777	35345027	848	15	-0.0000925105	0.0000000781
2	35345028	36122005	305	15	-0.0000674696	0.0000000289
2	36122006	38132711	978	15	0.0001069642	0.0000000796
2	38132712	39031336	343	15	-0.0000843627	0.0000000421
2	39031337	40281482	317	15	-0.0001130788	0.0000000388
2	40281483	43309589	1366	15	0.0000516199	0.0000000738
2	43309590	44313802	417	15	0.0001653894	0.0000000685
2	44313803	46482633	1128	15	0.0001997237	0.0000000884
2	46482634	47318771	436	15	0.0000064602	0.0000000683
2	47318772	48213000	313	15	-0.0000852035	0.0000000548
2	48213001	50022256	744	15	-0.0000648010	0.0000000731
2	50022257	50818927	352	15	-0.0000415353	0.0000000384
2	50818928	52491132	668	15	-0.0000021511	0.0000000772
2	52491133	53508451	492	15	-0.0001188345	0.0000000594
2	53508452	54685225	456	15	0.0000593728	0.0000000566
2	54685226	56203344	632	15	0.0000255577	0.0000000748
2	56203345	57429099	444	15	-0.0000502094	0.0000000511
