chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	103	19	0.0000328328	0.0000000044
1	1892607	3582735	428	40	0.0000185569	0.0000000140
1	3582736	4380810	263	40	0.0001085746	0.0000000087
1	4380811	5913892	844	40	-0.0000106714	0.0000000172
1	5913893	7247334	420	40	0.0001880420	0.0000000141
1	7247335	9365198	678	40	-0.0000309063	0.0000000184
1	9365199	10806983	345	40	0.0000403466	0.0000000091
1	10806984	11777840	250	40	0.0000816978	0.0000000080
1	11777841	12779465	275	40	0.0001007511	0.0000000106
1	12779466	14891510	602	40	-0.0000279274	0.0000000186
1	14891511	16897729	656	40	-0.0000201208	0.0000000175
1	16897730	18662898	638	40	-0.0000612126	0.0000000186
1	18662899	20469148	698	40	-0.0000100963	0.0000000181
1	20469149	21736587	445	40	0.0000600095	0.0000000125
1	21736588	23086882	502	40	-0.0001436631	0.0000000175
1	23086883	23920589	219	28	0.0000270453	0.0000000067
1	23920590	25516844	509	40	0.0000119715	0.0000000150
1	25516845	27401866	402	40	-0.0000315947	0.0000000121
1	27401867	30161880	534	40	-0.0000235846	0.0000000151
1	30161881	32438684	891	40	-0.0000016457	0.0000000189
1	32438685	34799757	658	40	0.0001058534	0.0000000160
1	34799758	37549182	543	40	-0.0000605899	0.0000000141
1	37549183	38731846	364	40	0.0001014643	0.0000000109
1	38731847	40200566	436	40	0.0000121816	0.0000000132
1	40200567	41975326	539	40	0.0000039327	0.0000000132
1	41975327	43758456	521	40	0.0000885852	0.0000000111
1	43758457	44969182	359	35	0.0000712058	0.0000000093
1	44969183	46899500	446	38	0.0000138043	0.0000000091
1	46899501	48002575	290	33	0.0001245925	0.0000000095
1	48002576	48978187	331	40	0.0000883068	0.0000000105
1	48978188	49894176	243	28	0.0000979472	0.0000000075
1	49894177	51713725	254	25	0.0000540728	0.0000000059
1	51713726	54226261	552	40	-0.0000400028	0.0000000144
1	54226262	56413116	812	40	-0.0000783045	0.0000000171
1	56413117	57021727	259	30	0.0000008937	0.0000000065
1	57021728	58865398	824	40	0.0000974432	0.0000000174
1	58865399	59890408	370	40	0.0000048348	0.0000000086
1	59890409	61922364	657	40	0.0000205374	0.0000000187
1	61922365	63455088	516	40	-0.0000069161	0.0000000147
1	63455089	65041703	635	40	0.0000278041	0.0000000138
1	65041704	66939403	636	40	0.0000448837	0.0000000157
1	66939404	68477894	670	40	0.0001006013	0.0000000154
1	68477895	69687615	375	40	0.0000396996	0.0000000122
1	69687616	71372469	507	40	-0.0000099167	0.0000000128
1	71372470	71684404	82	10	0.0000190218	0.0000000015
1	71684405	74326906	545	40	0.0000150041	0.0000000113
1	74326907	76728134	714	40	0.0000658823	0.0000000150
1	76728135	79661197	923	40	0.0000591509	0.0000000162
1	79661198	81354190	453	40	-0.0001098138	0.0000000113
1	81354191	83991747	945	40	-0.0000508400	0.0000000170
1	83991748	84844494	306	35	-0.0000136852	0.0000000076
1	84844495	86454750	633	40	0.0000179604	0.0000000151
1	86454751	88128630	551	40	-0.0000168551	0.0000000144
1	88128631	90066302	509	40	0.0000203996	0.0000000127
1	90066303	91886316	546	40	-0.0000707256	0.0000000147
