chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	118	16	-0.0000667072	0.000000076782
1	1892607	3582735	472	16	0.0001397454	0.000000283743
1	3582736	4380810	295	16	0.0001280212	0.000000149562
1	4380811	5913892	916	16	0.0000054584	0.000000255247
1	5913893	7247334	450	16	0.0000982800	0.000000183403
1	7247335	9365198	741	16	0.0002160744	0.000000268464
1	9365199	10806983	374	16	0.0001968204	0.000000153998
1	10806984	11777840	283	16	0.0000025475	0.000000133682
1	11777841	12779465	307	16	0.0000837825	0.000000159658
1	12779466	14891510	646	16	0.0000841517	0.000000263316
1	14891511	16897729	749	16	0.0002554647	0.000000287417
1	16897730	18662898	699	16	0.0002137518	0.000000280332
1	18662899	20469148	778	16	0.0000041525	0.000000284627
1	20469149	21736587	479	16	0.0001269436	0.000000192738
1	21736588	23086882	546	16	0.0001166442	0.000000245317
1	23086883	23920589	237	16	0.0000360168	0.000000085158
1	23920590	25516844	549	16	0.0001939617	0.000000246611
1	25516845	27401866	434	16	0.0001854493	0.000000144676
1	27401867	30161880	578	16	0.0000910809	0.000000209565
1	30161881	32438684	985	16	0.0000296338	0.000000252741
1	32438685	34799757	716	16	0.0000985902	0.000000259278
1	34799758	37549182	608	16	0.0001195716	0.000000255039
1	37549183	38731846	394	16	0.0001272494	0.000000148896
1	38731847	40200566	462	16	0.0002568608	0.000000191217
1	40200567	41975326	573	16	0.0003250374	0.000000207266
1	41975327	43758456	592	16	0.0002028207	0.000000207497
1	43758457	44969182	390	16	0.0001491528	0.000000127305
1	44969183	46899500	478	16	0.0005732419	0.000000143909
1	46899501	48002575	318	16	-0.0000303560	0.000000095612
1	48002576	48978187	360	16	0.0000517121	0.000000126375
1	48978188	49894176	253	16	0.0001660641	0.000000090328
1	49894177	51713725	265	16	0.0000583187	0.000000063489
1	51713726	54226261	583	16	0.0004066919	0.000000228658
1	54226262	56413116	893	16	0.0000749106	0.000000264675
1	56413117	57021727	287	16	0.0002999503	0.000000100410
1	57021728	58865398	910	16	-0.0001023534	0.000000252658
1	58865399	59890408	412	16	0.0000318491	0.000000138471
1	59890409	61922364	704	16	0.0000075469	0.000000255093
1	61922365	63455088	581	16	0.0000408932	0.000000241416
1	63455089	65041703	698	16	-0.0000065847	0.000000223137
1	65041704	66939403	671	16	0.0001052921	0.000000213488
1	66939404	68477894	719	16	0.0001229637	0.000000211240
1	68477895	69687615	400	16	0.0000208228	0.000000141231
1	69687616	71372469	559	16	0.0001305262	0.000000201797
1	71372470	71684404	87	10	0.0001185478	0.000000027325
1	71684405	74326906	585	16	-0.0000012122	0.000000155143
1	74326907	76728134	759	16	-0.0000102801	0.000000205585
1	76728135	79661197	992	16	-0.0000423927	0.000000250384
1	79661198	81354190	500	16	0.0002348875	0.000000180391
1	81354191	83991747	1022	16	0.0001077969	0.000000265529
1	83991748	84844494	330	16	0.0000661570	0.000000098871
1	84844495	86454750	681	16	0.0000163140	0.000000236120
1	86454751	88128630	611	16	-0.0000653134	0.000000219828
1	88128631	90066302	553	16	0.0001513073	0.000000199062
1	90066303	91886316	591	16	0.0003037763	0.000000225726
