chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	108	19	0.0000503270	0.0000000159
1	1892607	3582735	456	40	-0.0000944748	0.0000000880
1	3582736	4380810	286	40	0.0000416821	0.0000000575
1	4380811	5913892	901	40	-0.0000824804	0.0000000917
1	5913893	7247334	441	40	-0.0001086768	0.0000000653
1	7247335	9365198	734	40	-0.0001109752	0.0000000916
1	9365199	10806983	371	40	0.0002496872	0.0000000578
1	10806984	11777840	276	40	-0.0000567823	0.0000000455
1	11777841	12779465	299	40	-0.0001192926	0.0000000520
1	12779466	14891510	638	40	0.0000331537	0.0000000927
1	14891511	16897729	728	40	-0.0001154463	0.0000000924
1	16897730	18662898	685	40	0.0000415176	0.0000000902
1	18662899	20469148	763	40	0.0002175686	0.0000000938
1	20469149	21736587	472	40	0.0000871671	0.0000000687
1	21736588	23086882	541	40	-0.0001132172	0.0000000907
1	23086883	23920589	234	29	0.0000751392	0.0000000353
1	23920590	25516844	546	40	0.0000534189	0.0000000897
1	25516845	27401866	430	40	-0.0001753194	0.0000000600
1	27401867	30161880	570	40	-0.0002956816	0.0000000778
1	30161881	32438684	971	40	-0.0000572411	0.0000000952
1	32438685	34799757	706	40	0.0001110171	0.0000000962
1	34799758	37549182	588	40	0.0000586360	0.0000000823
1	37549183	38731846	388	40	-0.0000240471	0.0000000568
1	38731847	40200566	455	40	-0.0000709822	0.0000000683
1	40200567	41975326	568	40	0.0000821548	0.0000000789
1	41975327	43758456	577	40	0.0002399764	0.0000000667
1	43758457	44969182	387	36	-0.0001990063	0.0000000494
1	44969183	46899500	470	39	-0.0003122274	0.0000000603
1	46899501	48002575	316	34	0.0001100477	0.0000000411
1	48002576	48978187	358	40	0.0001073095	0.0000000555
1	48978188	49894176	251	29	-0.0001428276	0.0000000383
1	49894177	51713725	262	25	-0.0002349637	0.0000000355
1	51713726	54226261	578	40	-0.0001224222	0.0000000865
1	54226262	56413116	873	40	-0.0000020217	0.0000000932
1	56413117	57021727	285	31	-0.0001994121	0.0000000412
1	57021728	58865398	886	40	0.0001325850	0.0000000904
1	58865399	59890408	408	40	-0.0001749224	0.0000000539
1	59890409	61922364	693	40	-0.0000314549	0.0000000906
1	61922365	63455088	565	40	0.0002385582	0.0000000788
1	63455089	65041703	688	40	0.0000366002	0.0000000786
1	65041704	66939403	668	40	0.0000302094	0.0000000806
1	66939404	68477894	711	40	0.0001450847	0.0000000808
1	68477895	69687615	399	40	-0.0000251792	0.0000000534
1	69687616	71372469	556	40	0.0000593553	0.0000000693
1	71372470	71684404	87	10	0.0001249544	0.0000000135
1	71684405	74326906	578	40	0.0001055695	0.0000000568
1	74326907	76728134	755	40	0.0002884426	0.0000000775
1	76728135	79661197	980	40	0.0001481909	0.0000000914
1	79661198	81354190	498	40	-0.0003028734	0.0000000665
1	81354191	83991747	1013	40	0.0000798016	0.0000000935
