chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	-0.0000778523	0.000000062019
1	1892607	3582735	438	14	0.0001230564	0.000000334253
1	3582736	4380810	271	14	0.0000094491	0.000000167367
1	4380811	5913892	869	14	0.0000480387	0.000000345055
1	5913893	7247334	429	14	-0.0000260225	0.000000222621
1	7247335	9365198	699	14	0.0001303492	0.000000353735
1	9365199	10806983	352	14	0.0003800431	0.000000193073
1	10806984	11777840	258	14	0.0000618574	0.000000159708
1	11777841	12779465	281	14	0.0001245764	0.000000190813
1	12779466	14891510	618	14	0.0000133135	0.000000350460
1	14891511	16897729	690	14	-0.0000032763	0.000000354359
1	16897730	18662898	661	14	0.0000069462	0.000000353957
1	18662899	20469148	712	14	0.0000948220	0.000000365161
1	20469149	21736587	461	14	0.0001931398	0.000000244807
1	21736588	23086882	523	14	0.0000083121	0.000000308975
1	23086883	23920589	222	14	0.0000808847	0.000000105651
1	23920590	25516844	521	14	0.0002803675	0.000000319012
1	25516845	27401866	413	14	0.0001884746	0.000000187704
1	27401867	30161880	551	14	0.0001206366	0.000000265890
1	30161881	32438684	935	14	0.0001920322	0.000000343848
1	32438685	34799757	675	14	0.0000903934	0.000000339194
1	34799758	37549182	549	14	0.0000397813	0.000000280315
1	37549183	38731846	373	14	0.0000624393	0.000000179313
1	38731847	40200566	447	14	0.0001104614	0.000000235221
1	40200567	41975326	554	14	0.0002099731	0.000000265788
1	41975327	43758456	543	14	0.0000090504	0.000000221806
1	43758457	44969182	371	14	0.0002388193	0.000000163436
1	44969183	46899500	458	14	0.0006020400	0.000000181748
1	46899501	48002575	297	14	0.0000959715	0.000000122542
1	48002576	48978187	344	14	0.0001695662	0.000000173292
1	48978188	49894176	247	14	0.0002692735	0.000000130205
1	49894177	51713725	260	14	0.0001883924	0.000000094586
1	51713726	54226261	562	14	0.0006352148	0.000000314771
1	54226262	56413116	838	14	0.0000299828	0.000000345244
1	56413117	57021727	271	14	0.0001657634	0.000000115030
1	57021728	58865398	847	14	-0.0000481690	0.000000330827
1	58865399	59890408	383	14	0.0001929674	0.000000175060
1	59890409	61922364	671	14	0.0000224862	0.000000347536
1	61922365	63455088	533	14	0.0000338614	0.000000279466
1	63455089	65041703	657	14	0.0000551615	0.000000280906
1	65041704	66939403	649	14	0.0000569688	0.000000281703
1	66939404	68477894	687	14	0.0001877040	0.000000281648
1	68477895	69687615	389	14	-0.0001118917	0.000000185675
1	69687616	71372469	520	14	-0.0000188243	0.000000235313
1	71372470	71684404	82	10	0.0000112469	0.000000026517
1	71684405	74326906	559	14	-0.0000882762	0.000000196175
1	74326907	76728134	727	14	0.0000459209	0.000000272160
1	76728135	79661197	946	14	0.0000613820	0.000000348483
1	79661198	81354190	475	14	0.0002057881	0.000000229181
1	81354191	83991747	973	14	0.0000488163	0.000000355187
1	83991748	84844494	312	14	-0.0001636435	0.000000107165
1	84844495	86454750	652	14	0.0000751098	0.000000319715
1	86454751	88128630	570	14	-0.0000090523	0.000000281639
1	88128631	90066302	523	14	0.0000607298	0.000000238153
1	90066303	91886316	557	14	0.0003845402	0.000000289881
1	91886317	93536458	509	14	0.0000946555	0.000000206947
1	93536459	94506190	255	14	0.0000597537	0.000000100470
1	94506191	96150892	651	14	0.0000815129	0.000000322060
1	96150893	97885248	605	14	0.0002284084	0.000000242823
1	97885249	99800603	640	14	-0.0000543058	0.000000271013
1	99800604	100826404	339	14	0.0000175677	0.000000127045
1	100826405	102041015	447	14	0.0000432452	0.000000189114
1	102041016	102898744	279	14	0.0001639664	0.000000141630
1	102898745	103914210	201	14	0.0003893849	0.000000094550
1	103914211	106087841	454	14	0.0000329207	0.000000207161
1	106087842	108409664	726	14	-0.0000448913	0.000000342391
1	108409665	110303930	565	14	0.0000934837	0.000000283064
1	110303931	111741736	570	14	0.0000201421	0.000000337923
1	111741737	113273305	721	14	0.0001497985	0.000000352783
1	113273306	114873844	512	14	-0.0000926541	0.000000249115
1	114873845	115880592	345	14	0.0000925213	0.000000138178
1	115880593	118839066	835	14	0.0000170817	0.000000341380
1	118839067	144977493	568	14	0.0004160003	0.000000266817
1	144977494	148361252	432	14	0.0002028450	0.000000192874
1	148361253	151538880	349	14	0.0004407924	0.000000161011
1	151538881	153180828	468	14	0.0000758024	0.000000173446
1	153180829	154770402	458	14	0.0002458255	0.000000218541
1	154770403	156336132	307	14	0.0005015204	0.000000182349
1	156336133	158027411	597	14	0.0000736555	0.000000302148
1	158027412	159913047	681	14	0.0002880025	0.000000373070
1	159913048	162346720	875	14	0.0001868691	0.000000364645
1	162346721	165191701	1197	14	-0.0000993492	0.000000334544
1	165191702	166460516	533	14	-0.0000336886	0.000000282560
1	166460517	169086323	1106	14	0.0000523823	0.000000356495
1	169086324	170557775	558	14	-0.0000503188	0.000000199411
1	170557776	173097906	902	14	0.0008402386	0.000000386440
1	173097907	175089767	412	14	0.0000623573	0.000000118413
1	175089768	177433380	785	14	0.0002866913	0.000000344488
1	177433381	178944308	492	14	0.0000136531	0.000000200860
1	178944309	178954469	2	1	-0.0000224503	0.000000001081
1	178954470	181144120	750	14	0.0000179631	0.000000316285
1	181144121	182755355	601	14	0.0001313140	0.000000315722
1	182755356	184595512	630	14	0.0000369813	0.000000274949
1	184595513	186810022	524	14	0.0002031748	0.000000225561
1	186810023	188759944	619	14	0.0000941088	0.000000259873
1	188759945	189904129	219	14	0.0000398494	0.000000075138
1	189904130	191868929	538	14	0.0001342203	0.000000183463
1	191868930	194107441	584	14	0.0001379759	0.000000254526
1	194107442	196176200	580	14	0.0000859798	0.000000219450
1	196176201	197311513	196	14	0.0002405952	0.000000076297
1	197311514	199239883	504	14	0.0000224354	0.000000218388
1	199239884	200137648	301	14	0.0002916319	0.000000149168
1	200137649	201589974	708	14	0.0003262016	0.000000373535
1	201589975	203334733	617	14	-0.0000058370	0.000000356908
1	203334734	204681067	485	14	-0.0000162589	0.000000243981
1	204681068	206073264	577	14	0.0001097383	0.000000317061
1	206073265	208410363	634	14	-0.0000702283	0.000000326051
1	208410364	210787749	929	14	0.0001387785	0.000000345928
1	210787750	212842329	698	14	0.0000796667	0.000000344198
1	212842330	214578265	611	14	0.0001500948	0.000000346165
1	214578266	216243633	592	14	0.0001102877	0.000000275372
1	216243634	218705512	1082	14	0.0000514783	0.000000325670
1	218705513	219590570	282	14	0.0000392421	0.000000116299
1	219590571	221858230	690	14	0.0001420253	0.000000323694
1	221858231	222230219	174	14	0.0000944427	0.000000085493
1	222230220	224938519	467	14	0.0002726110	0.000000243992
1	224938520	226810859	519	14	0.0000931056	0.000000252758
1	226810860	229156247	695	14	0.0002198643	0.000000329898
1	229156248	230685254	530	14	0.0002027389	0.000000309107
1	230685255	232090251	589	14	0.0006478145	0.000000359760
1	232090252	233429283	607	14	0.0002611358	0.000000385720
1	233429284	234599433	536	14	-0.0000091365	0.000000304828
1	234599434	235819435	383	14	0.0001272419	0.000000236401
1	235819436	237555627	729	14	0.0000246719	0.000000351837
1	237555628	238567806	429	14	0.0001276861	0.000000237258
1	238567807	239925313	490	14	0.0000861084	0.000000263505
1	239925314	240564090	342	14	0.0001321184	0.000000181830
1	240564091	241582219	517	14	0.0000596206	0.000000367020
1	241582220	242071601	220	14	0.0001154187	0.000000131502
1	242071602	244109498	622	14	0.0000389113	0.000000330803
1	244109499	245506745	515	14	0.0001372182	0.000000342517
1	245506746	247344517	710	14	0.0002362868	0.000000380190
1	247344518	249239465	399	14	-0.0000859869	0.000000213947
2	10133	1781021	663	14	-0.0000973050	0.000000323450
2	1781022	3973778	967	14	0.0000856598	0.000000355261
2	3973779	5708336	632	14	0.0000410217	0.000000338625
2	5708337	6836253	565	14	0.0001093161	0.000000276066
2	6836254	8422146	655	14	0.0001520584	0.000000339622
2	8422147	10298468	673	14	0.0001215476	0.000000346774
2	10298469	12419149	974	14	0.0001778082	0.000000367843
2	12419150	14335307	594	14	0.0000348958	0.000000283225
2	14335308	16329734	746	14	-0.0000110474	0.000000309185
2	16329735	18647422	859	14	-0.0000867102	0.000000319781
2	18647423	19692403	384	14	-0.0000136835	0.000000182197
2	19692404	21050489	633	14	0.0001541546	0.000000326204
2	21050490	23341382	622	14	0.0002653506	0.000000339968
2	23341383	24686917	442	14	0.0003936996	0.000000226342
2	24686918	26894984	560	14	0.0001601451	0.000000281304
2	26894985	28598776	417	14	0.0002979594	0.000000180197
2	28598777	29217558	247	14	0.0002647963	0.000000132600
2	29217559	30463710	636	14	0.0002293146	0.000000350569
2	30463711	31550449	532	14	0.0003022154	0.000000326853
2	31550450	33363776	495	14	0.0000348005	0.000000282065
2	33363777	35345027	804	14	0.0000632576	0.000000331379
2	35345028	36122005	291	14	0.0000314111	0.000000128708
2	36122006	38132711	932	14	0.0001473287	0.000000339931
2	38132712	39031336	326	14	-0.0000580802	0.000000166590
2	39031337	40281482	303	14	0.0002516112	0.000000164662
2	40281483	43309589	1311	14	0.0001168830	0.000000313680
2	43309590	44313802	403	14	0.0006379438	0.000000260908
2	44313803	46482633	1073	14	0.0004016741	0.000000372002
2	46482634	47318771	419	14	0.0000833595	0.000000277153
2	47318772	48213000	300	14	0.0001140590	0.000000211994
2	48213001	50022256	715	14	-0.0000156543	0.000000317670
2	50022257	50818927	345	14	-0.0000738364	0.000000159883
2	50818928	52491132	648	14	0.0003800593	0.000000345273
2	52491133	53508451	466	14	0.0001036362	0.000000225722
2	53508452	54685225	435	14	0.0000767491	0.000000223362
2	54685226	56203344	613	14	0.0000953412	0.000000310586
2	56203345	57429099	428	14	-0.0000416507	0.000000209242
2	57429100	58297314	272	14	0.0000076442	0.000000127644
2	58297315	60291999	741	14	0.0000062566	0.000000311745
2	60292000	62429043	587	14	0.0003359671	0.000000326714
2	62429044	64625912	583	14	0.0002384846	0.000000301987
2	64625913	65933443	464	14	-0.0001110224	0.000000240090
2	65933444	67226165	555	14	-0.0000582900	0.000000264132
2	67226166	68010175	423	14	0.0001763271	0.000000206756
2	68010176	69139563	471	14	-0.0000003028	0.000000211607
2	69139564	70755197	535	14	0.0003553863	0.000000253408
2	70755198	73174847	802	14	-0.0000902119	0.000000332816
2	73174848	75630085	721	14	0.0000511186	0.000000348565
2	75630086	76913660	515	14	0.0001941537	0.000000269183
2	76913661	78079263	393	14	0.0002321645	0.000000250940
2	78079264	80050402	826	14	-0.0000610515	0.000000312221
2	80050403	81620840	579	14	0.0002380468	0.000000339991
2	81620841	85140679	891	14	0.0001145749	0.000000269853
2	85140680	88038506	634	14	0.0003562657	0.000000283013
2	88038507	89154525	245	14	0.0005470530	0.000000129565
2	89154526	95326451	4	2	-0.0000077301	0.000000002847
2	95326452	98995200	428	14	-0.0000140809	0.000000169889
2	98995201	101822328	907	14	0.0001764768	0.000000311932
2	101822329	102688764	261	14	-0.0000277318	0.000000095375
2	102688765	103588214	406	14	0.0002794800	0.000000143657
2	103588215	105125033	304	14	0.0000511874	0.000000137916
2	105125034	106210057	406	14	0.0000076566	0.000000197846
2	106210058	107408266	444	14	0.0000553364	0.000000207625
2	107408267	108429176	355	14	-0.0001000087	0.000000124227
2	108429177	110572431	530	14	0.0000759563	0.000000236581
2	110572432	113921855	797	14	0.0001874424	0.000000318713
2	113921856	116772469	758	14	0.0000571352	0.000000330999
2	116772470	118367465	397	14	0.0000950759	0.000000148578
2	118367466	121303782	993	14	-0.0000464583	0.000000325364
