chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	14	0.0002612043	0.000000063010
1	1892607	3582735	435	14	-0.0000048294	0.000000246374
1	3582736	4380810	270	14	0.0003540058	0.000000163433
1	4380811	5913892	866	14	0.0000493996	0.000000340378
1	5913893	7247334	429	14	0.0000652374	0.000000225819
1	7247335	9365198	698	14	0.0000918860	0.000000343280
1	9365199	10806983	352	14	0.0000003862	0.000000158916
1	10806984	11777840	258	14	0.0000718760	0.000000137146
1	11777841	12779465	277	14	0.0000027221	0.000000147683
1	12779466	14891510	617	14	0.0001335027	0.000000346123
1	14891511	16897729	686	14	-0.0000207499	0.000000335587
1	16897730	18662898	657	14	0.0000926384	0.000000343332
1	18662899	20469148	705	14	-0.0000968058	0.000000330392
1	20469149	21736587	460	14	0.0002020871	0.000000242284
1	21736588	23086882	521	14	0.0001810671	0.000000302986
1	23086883	23920589	222	14	0.0000857885	0.000000110930
1	23920590	25516844	519	14	0.0002527524	0.000000304079
1	25516845	27401866	413	14	-0.0000640954	0.000000170174
1	27401867	30161880	551	14	0.0001276588	0.000000259775
1	30161881	32438684	933	14	0.0001610834	0.000000348007
1	32438685	34799757	675	14	0.0000783083	0.000000342353
1	34799758	37549182	546	14	0.0000957760	0.000000276110
1	37549183	38731846	373	14	-0.0001869212	0.000000165289
1	38731847	40200566	446	14	0.0002215219	0.000000234992
1	40200567	41975326	554	14	0.0001822809	0.000000267904
1	41975327	43758456	542	14	0.0002893423	0.000000259067
1	43758457	44969182	371	14	0.0002063615	0.000000168127
1	44969183	46899500	457	14	0.0000283384	0.000000156769
1	46899501	48002575	296	14	0.0001692270	0.000000133921
1	48002576	48978187	344	14	0.0000706830	0.000000175875
1	48978188	49894176	247	14	0.0000351050	0.000000120991
1	49894177	51713725	260	14	0.0004520074	0.000000119781
1	51713726	54226261	562	14	-0.0000278231	0.000000275928
1	54226262	56413116	834	14	0.0005259091	0.000000372926
1	56413117	57021727	271	14	0.0000165535	0.000000113300
1	57021728	58865398	847	14	0.0000410608	0.000000339809
1	58865399	59890408	382	14	0.0002853292	0.000000188347
1	59890409	61922364	669	14	-0.0001196993	0.000000328828
1	61922365	63455088	532	14	0.0002013434	0.000000283293
1	63455089	65041703	657	14	-0.0000445218	0.000000279303
1	65041704	66939403	649	14	0.0001196115	0.000000303361
1	66939404	68477894	686	14	0.0000819092	0.000000286406
1	68477895	69687615	386	14	0.0000254611	0.000000182412
1	69687616	71372469	517	14	0.0000647829	0.000000236569
1	71372470	71684404	82	10	-0.0000045681	0.000000028165
1	71684405	74326906	558	14	0.0000514213	0.000000212081
1	74326907	76728134	726	14	0.0001259581	0.000000287900
1	76728135	79661197	946	14	-0.0000247636	0.000000335313
1	79661198	81354190	475	14	0.0002182427	0.000000233341
1	81354191	83991747	971	14	0.0000506878	0.000000340466
1	83991748	84844494	313	14	0.0001058405	0.000000128349
1	84844495	86454750	650	14	0.0003404342	0.000000336067
1	86454751	88128630	568	14	0.0000124323	0.000000270439
