chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0002120985	0.000000010643
1	1892607	3582735	446	40	0.0001209925	0.000000027485
1	3582736	4380810	280	40	0.0001831086	0.000000019360
1	4380811	5913892	879	40	0.0001011305	0.000000033563
1	5913893	7247334	435	40	0.0001535191	0.000000024921
1	7247335	9365198	706	40	0.0000559349	0.000000032384
1	9365199	10806983	354	40	0.0003304231	0.000000023208
1	10806984	11777840	261	40	0.0001570535	0.000000017627
1	11777841	12779465	291	40	0.0000376898	0.000000015930
1	12779466	14891510	619	40	0.0000333761	0.000000031712
1	14891511	16897729	696	40	0.0001988356	0.000000036237
1	16897730	18662898	674	40	0.0000248139	0.000000031947
1	18662899	20469148	732	40	0.0000046563	0.000000031902
1	20469149	21736587	462	40	0.0000583713	0.000000023299
1	21736588	23086882	526	40	0.0007032024	0.000000043043
1	23086883	23920589	224	28	0.0001206082	0.000000013287
1	23920590	25516844	526	40	0.0001040096	0.000000029443
1	25516845	27401866	415	40	0.0003811029	0.000000025343
1	27401867	30161880	559	40	0.0001591029	0.000000028110
1	30161881	32438684	941	40	0.0000196470	0.000000031519
1	32438685	34799757	678	40	0.0001689053	0.000000035544
1	34799758	37549182	561	40	0.0000670792	0.000000028077
1	37549183	38731846	375	40	0.0001160507	0.000000020030
1	38731847	40200566	449	40	0.0002086850	0.000000026127
1	40200567	41975326	559	40	0.0003298206	0.000000031713
1	41975327	43758456	553	40	0.0004612518	0.000000033127
1	43758457	44969182	373	36	0.0001525021	0.000000018602
1	44969183	46899500	462	39	0.0001509444	0.000000018754
1	46899501	48002575	298	33	0.0000549785	0.000000013620
1	48002576	48978187	346	40	0.0001270583	0.000000020198
1	48978188	49894176	248	28	0.0000610254	0.000000013565
1	49894177	51713725	261	25	0.0000327042	0.000000009906
1	51713726	54226261	567	40	0.0000293727	0.000000026762
1	54226262	56413116	843	40	0.0001654707	0.000000034292
1	56413117	57021727	274	31	0.0002580953	0.000000016953
1	57021728	58865398	857	40	0.0000349094	0.000000031941
1	58865399	59890408	385	40	0.0002997937	0.000000023436
1	59890409	61922364	677	40	0.0002868930	0.000000037139
1	61922365	63455088	537	40	0.0001349342	0.000000028086
1	63455089	65041703	661	40	0.0000363792	0.000000027938
1	65041704	66939403	655	40	0.0003394350	0.000000035515
1	66939404	68477894	693	40	0.0003547312	0.000000034482
1	68477895	69687615	390	40	0.0000378083	0.000000019457
1	69687616	71372469	524	40	0.0001518719	0.000000026206
1	71372470	71684404	83	10	0.0000243811	0.000000003508
1	71684405	74326906	565	40	0.0001480962	0.000000023123
1	74326907	76728134	734	40	0.0000795585	0.000000027792
1	76728135	79661197	964	40	0.0001350374	0.000000033845
1	79661198	81354190	480	40	0.0000511841	0.000000022654
1	81354191	83991747	979	40	-0.0000129195	0.000000030755
1	83991748	84844494	320	36	0.0001849597	0.000000016605
1	84844495	86454750	657	40	0.0001056111	0.000000031433
1	86454751	88128630	580	40	0.0001434084	0.000000029066
1	88128631	90066302	530	40	0.0001286460	0.000000026272
1	90066303	91886316	570	40	0.0000941736	0.000000027326
1	91886317	93536458	517	40	0.0002261432	0.000000024710
1	93536459	94506190	258	27	0.0000401831	0.000000010664
1	94506191	96150892	654	40	0.0002001241	0.000000033901
1	96150893	97885248	615	40	0.0001289024	0.000000025632
1	97885249	99800603	646	40	0.0001026100	0.000000028384
1	99800604	100826404	342	37	0.0002096966	0.000000018050
1	100826405	102041015	454	40	-0.0000420390	0.000000018723
1	102041016	102898744	281	37	0.0002244173	0.000000017218
1	102898745	103914210	203	21	0.0001178193	0.000000010426
1	103914211	106087841	464	40	0.0000176182	0.000000020676
1	106087842	108409664	731	40	0.0001611740	0.000000035027
1	108409665	110303930	568	40	0.0000866284	0.000000025008
1	110303931	111741736	576	40	0.0001516345	0.000000032535
1	111741737	113273305	726	40	0.0000460360	0.000000031774
1	113273306	114873844	515	40	0.0001593675	0.000000027354
1	114873845	115880592	349	37	0.0001554537	0.000000017211
1	115880593	118839066	846	40	0.0001577720	0.000000034390
1	118839067	144977493	570	40	0.0003087030	0.000000030306
1	144977494	148361252	436	40	0.0001957467	0.000000023768
1	148361253	151538880	353	34	0.0001395911	0.000000017041
1	151538881	153180828	476	40	0.0001084819	0.000000020196
1	153180829	154770402	464	40	0.0000955603	0.000000022673
1	154770403	156336132	307	38	0.0006715289	0.000000028981
1	156336133	158027411	601	40	0.0001771823	0.000000031891
1	158027412	159913047	693	40	0.0001799830	0.000000035210
1	159913048	162346720	888	40	0.0003934861	0.000000039078
1	162346721	165191701	1204	40	0.0001119298	0.000000033555
1	165191702	166460516	534	40	0.0000815272	0.000000028398
1	166460517	169086323	1122	40	0.0002330118	0.000000036161
1	169086324	170557775	566	40	0.0002009237	0.000000025242
1	170557776	173097906	911	40	0.0002482928	0.000000036157
1	173097907	175089767	415	32	0.0000354094	0.000000012941
1	175089768	177433380	790	40	0.0002026430	0.000000035669
1	177433381	178944308	495	40	0.0000717611	0.000000021904
1	178944309	178954469	2	1	0.0000019635	0.000000000172
1	178954470	181144120	757	40	0.0000160404	0.000000031382
1	181144121	182755355	604	40	0.0002117874	0.000000033578
1	182755356	184595512	632	40	0.0000454110	0.000000026149
1	184595513	186810022	526	40	0.0002363999	0.000000026526
1	186810023	188759944	621	40	0.0001909726	0.000000029725
1	188759945	189904129	225	19	-0.0000337407	0.000000006816
1	189904130	191868929	548	40	0.0001305754	0.000000021958
1	191868930	194107441	591	40	0.0001355408	0.000000027747
1	194107442	196176200	590	40	0.0000654878	0.000000023301
1	196176201	197311513	200	16	0.0000073104	0.000000006693
1	197311514	199239883	515	40	0.0001667650	0.000000025419
1	199239884	200137648	306	36	0.0001596377	0.000000016645
1	200137649	201589974	713	40	0.0002099903	0.000000035567
1	201589975	203334733	618	40	0.0002156269	0.000000035513
1	203334734	204681067	488	40	0.0001111276	0.000000025920
1	204681068	206073264	579	40	0.0002088933	0.000000032148
1	206073265	208410363	638	40	0.0002595102	0.000000036650
1	208410364	210787749	943	40	0.0002004455	0.000000035377
1	210787750	212842329	706	40	0.0004970518	0.000000041673
1	212842330	214578265	620	40	0.0003223182	0.000000037030
