chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	100	18	-0.0000292575	0.0000000059
1	1892607	3582735	437	40	-0.0001472365	0.0000000157
1	3582736	4380810	272	40	-0.0001693027	0.0000000088
1	4380811	5913892	866	40	-0.0000768531	0.0000000146
1	5913893	7247334	430	40	0.0000986623	0.0000000109
1	7247335	9365198	698	40	0.0002407309	0.0000000173
1	9365199	10806983	353	40	-0.0000323404	0.0000000089
1	10806984	11777840	258	40	-0.0000321726	0.0000000092
1	11777841	12779465	282	40	0.0001584231	0.0000000129
1	12779466	14891510	617	40	0.0000292087	0.0000000140
1	14891511	16897729	686	40	-0.0000769063	0.0000000144
1	16897730	18662898	658	40	-0.0000923382	0.0000000146
1	18662899	20469148	710	40	-0.0000059440	0.0000000149
1	20469149	21736587	460	40	0.0000959272	0.0000000098
1	21736588	23086882	522	40	-0.0000106626	0.0000000124
1	23086883	23920589	222	28	-0.0000098415	0.0000000077
1	23920590	25516844	521	40	-0.0000944234	0.0000000116
1	25516845	27401866	414	40	-0.0000132802	0.0000000134
1	27401867	30161880	551	40	0.0001021125	0.0000000122
1	30161881	32438684	933	40	0.0001431376	0.0000000151
1	32438685	34799757	675	40	-0.0000099576	0.0000000137
1	34799758	37549182	550	40	0.0000141261	0.0000000126
1	37549183	38731846	373	40	0.0001410423	0.0000000090
1	38731847	40200566	446	40	0.0000479576	0.0000000097
1	40200567	41975326	554	40	-0.0000414502	0.0000000124
1	41975327	43758456	543	40	0.0001427312	0.0000000118
1	43758457	44969182	371	35	0.0000385332	0.0000000092
1	44969183	46899500	457	38	-0.0000280666	0.0000000134
1	46899501	48002575	296	33	0.0000250400	0.0000000076
1	48002576	48978187	344	40	0.0000031627	0.0000000098
1	48978188	49894176	247	28	0.0000694852	0.0000000073
1	49894177	51713725	260	25	0.0000237380	0.0000000069
1	51713726	54226261	562	40	-0.0001331179	0.0000000133
1	54226262	56413116	834	40	-0.0001114406	0.0000000130
1	56413117	57021727	271	31	-0.0000518729	0.0000000059
1	57021728	58865398	847	40	-0.0000498048	0.0000000162
1	58865399	59890408	382	40	-0.0000948180	0.0000000114
1	59890409	61922364	670	40	-0.0000583024	0.0000000143
1	61922365	63455088	532	40	0.0000949925	0.0000000127
1	63455089	65041703	659	40	0.0000901906	0.0000000121
1	65041704	66939403	649	40	0.0001106427	0.0000000164
1	66939404	68477894	685	40	-0.0000456583	0.0000000149
1	68477895	69687615	386	40	-0.0001445702	0.0000000100
1	69687616	71372469	517	40	-0.0000173871	0.0000000107
1	71372470	71684404	82	10	-0.0000465149	0.0000000024
1	71684405	74326906	558	40	0.0001387070	0.0000000098
1	74326907	76728134	726	40	-0.0000204192	0.0000000126
1	76728135	79661197	946	40	-0.0000611105	0.0000000147
1	79661198	81354190	475	40	-0.0001298141	0.0000000104
1	81354191	83991747	971	40	0.0000548158	0.0000000135
1	83991748	84844494	313	34	0.0000620473	0.0000000071
1	84844495	86454750	650	40	-0.0001496423	0.0000000159
1	86454751	88128630	568	40	-0.0000841282	0.0000000127
1	88128631	90066302	522	40	0.0000655544	0.0000000115
