chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	72	14	0.0000435305	0.000000010718
1	1892607	3582735	347	27	0.0002604493	0.000000052948
1	3582736	4380810	232	27	0.0000234521	0.000000028323
1	4380811	5913892	842	27	0.0001244820	0.000000068171
1	5913893	7247334	349	27	0.0002598990	0.000000043091
1	7247335	9365198	628	27	0.0001532256	0.000000067064
1	9365199	10806983	289	27	0.0001809259	0.000000031902
1	10806984	11777840	213	27	0.0003914425	0.000000036917
1	11777841	12779465	183	27	0.0001749147	0.000000022303
1	12779466	14891510	562	27	0.0001256062	0.000000066551
1	14891511	16897729	568	27	0.0000860991	0.000000058860
1	16897730	18662898	553	27	0.0001625391	0.000000063717
1	18662899	20469148	599	27	0.0001099061	0.000000067067
1	20469149	21736587	387	27	0.0002467203	0.000000046090
1	21736588	23086882	431	27	0.0002489987	0.000000054634
1	23086883	23920589	177	25	0.0001259941	0.000000020971
1	23920590	25516844	430	27	0.0001099880	0.000000049905
1	25516845	27401866	297	27	0.0010292789	0.000000056042
1	27401867	30161880	461	27	0.0001819012	0.000000048051
1	30161881	32438684	848	27	0.0002595553	0.000000071505
1	32438685	34799757	583	27	0.0000749495	0.000000060546
1	34799758	37549182	485	27	0.0001372944	0.000000050821
1	37549183	38731846	314	27	0.0001125912	0.000000033586
1	38731847	40200566	373	27	0.0001870013	0.000000042681
1	40200567	41975326	486	27	-0.0000381348	0.000000042589
1	41975327	43758456	472	27	0.0002667628	0.000000048266
1	43758457	44969182	291	27	-0.0000402958	0.000000024330
1	44969183	46899500	355	27	0.0000688349	0.000000028123
1	46899501	48002575	245	27	0.0001453991	0.000000026768
1	48002576	48978187	327	27	0.0002985744	0.000000041944
1	48978188	49894176	222	26	0.0001941857	0.000000028038
1	49894177	51713725	238	25	0.0002181635	0.000000022064
1	51713726	54226261	476	27	0.0001410222	0.000000050373
1	54226262	56413116	720	27	0.0013061413	0.000000099589
1	56413117	57021727	240	27	0.0001536308	0.000000022720
1	57021728	58865398	800	27	0.0001004577	0.000000067222
1	58865399	59890408	346	27	0.0000649306	0.000000033060
1	59890409	61922364	620	27	0.0003242350	0.000000071512
1	61922365	63455088	419	27	0.0013367810	0.000000075330
1	63455089	65041703	605	27	0.0003671088	0.000000062003
1	65041704	66939403	587	27	0.0000068913	0.000000051627
1	66939404	68477894	614	27	0.0003131763	0.000000060272
1	68477895	69687615	363	27	0.0000853743	0.000000037288
1	69687616	71372469	476	27	0.0000820606	0.000000046183
1	71372470	71684404	76	10	0.0000440697	0.000000006856
1	71684405	74326906	505	27	0.0001609086	0.000000038304
1	74326907	76728134	638	27	0.0000802387	0.000000050023
1	76728135	79661197	857	27	0.0002292514	0.000000068379
1	79661198	81354190	462	27	0.0000925675	0.000000045366
1	81354191	83991747	929	27	0.0000514230	0.000000064574
1	83991748	84844494	296	27	0.0001044024	0.000000027146
1	84844495	86454750	579	27	0.0001965321	0.000000060323
1	86454751	88128630	501	27	-0.0000658266	0.000000044902
1	88128631	90066302	477	27	0.0001258676	0.000000046065
1	90066303	91886316	532	27	0.0001733672	0.000000053587
1	91886317	93536458	445	27	0.0008503107	0.000000059650
1	93536459	94506190	217	25	0.0001628512	0.000000021375
1	94506191	96150892	602	27	0.0001888640	0.000000061410
1	96150893	97885248	569	27	0.0000408155	0.000000043749
1	97885249	99800603	613	27	0.0001359320	0.000000055150
1	99800604	100826404	294	27	0.0001265799	0.000000028702
1	100826405	102041015	416	27	0.0002262179	0.000000044488
1	102041016	102898744	266	27	0.0001093043	0.000000027516
1	102898745	103914210	174	20	0.0000579690	0.000000016106
1	103914211	106087841	444	27	-0.0000488893	0.000000039007
1	106087842	108409664	694	27	0.0001407149	0.000000067004
1	108409665	110303930	389	27	0.0055832048	0.000000181954
1	110303931	111741736	503	27	0.0002224346	0.000000058168
1	111741737	113273305	611	27	0.0001568432	0.000000062044
1	113273306	114873844	460	27	0.0002184580	0.000000050022
1	114873845	115880592	303	27	0.0001976628	0.000000030402
1	115880593	118839066	722	27	0.0000660522	0.000000065079
1	118839067	144977493	459	27	0.0002922947	0.000000043738
1	144977494	148361252	369	27	0.0002854703	0.000000043836
1	148361253	151538880	241	27	0.0004258180	0.000000033416
1	151538881	153180828	394	27	0.0000534596	0.000000033966
1	153180829	154770402	365	27	0.0000096053	0.000000034213
1	154770403	156336132	211	27	0.0004952905	0.000000036562
1	156336133	158027411	479	27	0.0000335105	0.000000047955
1	158027412	159913047	557	27	0.0001575257	0.000000059917
1	159913048	162346720	629	27	0.0002585972	0.000000061162
1	162346721	165191701	1105	27	0.0000631983	0.000000064461
1	165191702	166460516	490	27	0.0001982643	0.000000055888
1	166460517	169086323	991	27	0.0000001719	0.000000063194
1	169086324	170557775	430	27	0.0000343893	0.000000034040
1	170557776	173097906	748	27	0.0002528773	0.000000067501
1	173097907	175089767	369	27	0.0001838714	0.000000027812
1	175089768	177433380	706	27	0.0000726339	0.000000062597
1	177433381	178944308	409	27	0.0000815431	0.000000033791
1	178944309	178954469	2	1	-0.0000092385	0.000000000008
1	178954470	181144120	618	27	0.0001797864	0.000000062864
1	181144121	182755355	542	27	0.0001403177	0.000000058425
1	182755356	184595512	542	27	0.0003138273	0.000000056133
1	184595513	186810022	444	27	0.0000737039	0.000000039720
