chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	19	0.0001077303	0.000000005037
1	1892607	3582735	447	40	0.0001103392	0.000000014391
1	3582736	4380810	280	40	-0.0000219718	0.000000007222
1	4380811	5913892	880	40	0.0000635307	0.000000015559
1	5913893	7247334	442	40	0.0001068780	0.000000012056
1	7247335	9365198	707	40	0.0001777536	0.000000017119
1	9365199	10806983	355	40	-0.0000217104	0.000000007003
1	10806984	11777840	261	40	0.0000752027	0.000000007816
1	11777841	12779465	298	40	0.0001578502	0.000000008874
1	12779466	14891510	620	40	0.0000863073	0.000000015862
1	14891511	16897729	698	40	0.0000974921	0.000000016125
1	16897730	18662898	676	40	-0.0000280530	0.000000014414
1	18662899	20469148	732	40	0.0000157103	0.000000015400
1	20469149	21736587	462	40	0.0000617356	0.000000011059
1	21736588	23086882	527	40	0.0000621042	0.000000013972
1	23086883	23920589	224	28	0.0002058189	0.000000007833
1	23920590	25516844	528	40	-0.0000093562	0.000000012754
1	25516845	27401866	425	40	0.0000230336	0.000000008582
1	27401867	30161880	560	40	0.0001172484	0.000000013391
1	30161881	32438684	940	40	0.0001365324	0.000000016495
1	32438685	34799757	678	40	0.0001098783	0.000000016294
1	34799758	37549182	566	40	0.0000670201	0.000000013919
1	37549183	38731846	375	40	0.0000541057	0.000000008798
1	38731847	40200566	449	40	-0.0000106972	0.000000009559
1	40200567	41975326	558	40	0.0000187619	0.000000011616
1	41975327	43758456	554	40	0.0001513684	0.000000012908
1	43758457	44969182	374	36	0.0000486083	0.000000007959
1	44969183	46899500	463	39	0.0001051203	0.000000008675
1	46899501	48002575	300	33	0.0001212949	0.000000007683
1	48002576	48978187	346	40	0.0000423361	0.000000008391
1	48978188	49894176	248	28	0.0001391264	0.000000007567
1	49894177	51713725	261	25	0.0002440133	0.000000007663
1	51713726	54226261	565	40	-0.0000030416	0.000000011799
1	54226262	56413116	845	40	0.0001309306	0.000000015974
1	56413117	57021727	275	31	0.0000417016	0.000000005454
1	57021728	58865398	859	40	0.0001653592	0.000000017121
1	58865399	59890408	385	40	0.0000534078	0.000000008506
1	59890409	61922364	677	40	0.0000232335	0.000000014610
1	61922365	63455088	549	40	0.0000382508	0.000000011447
1	63455089	65041703	661	40	-0.0000103258	0.000000012236
1	65041704	66939403	656	40	0.0001394343	0.000000014875
1	66939404	68477894	694	40	0.0000661975	0.000000013333
1	68477895	69687615	391	40	0.0000639757	0.000000009476
1	69687616	71372469	525	40	0.0000745879	0.000000011911
1	71372470	71684404	84	10	0.0000168834	0.000000001660
1	71684405	74326906	567	40	0.0006462958	0.000000017739
1	74326907	76728134	738	40	0.0002410352	0.000000015623
1	76728135	79661197	964	40	0.0002882146	0.000000018849
