chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001970366	0.000000010409
1	1892607	3582735	445	40	0.0001071098	0.000000027309
1	3582736	4380810	277	40	0.0002145855	0.000000019964
1	4380811	5913892	860	40	0.0000777748	0.000000033168
1	5913893	7247334	427	40	0.0001514364	0.000000024514
1	7247335	9365198	698	40	0.0000549492	0.000000032490
1	9365199	10806983	352	40	0.0003292461	0.000000023273
1	10806984	11777840	254	40	0.0001202395	0.000000016599
1	11777841	12779465	286	40	0.0000360357	0.000000015711
1	12779466	14891510	616	40	0.0000352154	0.000000031878
1	14891511	16897729	694	40	0.0001941446	0.000000036315
1	16897730	18662898	670	40	0.0000192807	0.000000031958
1	18662899	20469148	718	40	0.0000062363	0.000000032067
1	20469149	21736587	459	40	0.0000610796	0.000000023326
1	21736588	23086882	521	40	0.0007035331	0.000000042999
1	23086883	23920589	220	28	0.0001491608	0.000000013777
1	23920590	25516844	520	40	0.0001074309	0.000000029371
1	25516845	27401866	412	40	0.0003779716	0.000000025359
1	27401867	30161880	548	40	0.0001564637	0.000000027635
1	30161881	32438684	931	40	0.0000234316	0.000000031725
1	32438685	34799757	673	40	0.0001697698	0.000000035701
1	34799758	37549182	560	40	0.0000624051	0.000000028160
1	37549183	38731846	368	40	0.0001148159	0.000000019951
1	38731847	40200566	446	40	0.0002054537	0.000000026087
1	40200567	41975326	551	40	0.0003252043	0.000000031349
1	41975327	43758456	539	40	0.0004584887	0.000000032809
1	43758457	44969182	368	35	0.0001595380	0.000000018701
1	44969183	46899500	457	38	0.0001481512	0.000000018516
1	46899501	48002575	297	33	0.0000548659	0.000000013671
1	48002576	48978187	342	40	0.0001206011	0.000000020008
1	48978188	49894176	247	28	0.0000590299	0.000000013576
1	49894177	51713725	255	25	0.0000339986	0.000000009722
1	51713726	54226261	562	40	0.0000310568	0.000000026718
1	54226262	56413116	829	40	0.0001645041	0.000000034401
1	56413117	57021727	272	31	0.0002554822	0.000000016832
1	57021728	58865398	850	40	0.0000364872	0.000000032107
1	58865399	59890408	383	40	0.0002985161	0.000000023367
1	59890409	61922364	667	40	0.0002802876	0.000000037123
1	61922365	63455088	534	40	0.0001318222	0.000000027942
1	63455089	65041703	659	40	0.0000348868	0.000000027951
1	65041704	66939403	641	40	0.0003377997	0.000000035131
1	66939404	68477894	679	40	0.0003621112	0.000000034511
1	68477895	69687615	375	40	0.0000330121	0.000000019009
1	69687616	71372469	515	40	0.0001502471	0.000000025812
1	71372470	71684404	82	10	0.0000240355	0.000000003514
1	71684405	74326906	556	40	0.0001486260	0.000000023101
1	74326907	76728134	711	40	0.0000732510	0.000000027448
1	76728135	79661197	945	40	0.0001455349	0.000000034202
1	79661198	81354190	466	40	0.0000710255	0.000000022771
1	81354191	83991747	960	40	-0.0000179795	0.000000030749
1	83991748	84844494	312	35	0.0001861571	0.000000016379
1	84844495	86454750	643	40	0.0000991231	0.000000031088
1	86454751	88128630	570	40	0.0001468296	0.000000028817
1	88128631	90066302	517	40	0.0001281834	0.000000025969
1	90066303	91886316	561	40	0.0000931126	0.000000027083
1	91886317	93536458	508	40	0.0002350437	0.000000024627
1	93536459	94506190	255	26	0.0000389570	0.000000010557
1	94506191	96150892	644	40	0.0001968303	0.000000033514
1	96150893	97885248	601	40	0.0001066015	0.000000024811
1	97885249	99800603	639	40	0.0001034245	0.000000028259
1	99800604	100826404	314	36	0.0001790455	0.000000017191
1	100826405	102041015	444	40	-0.0000229331	0.000000018840
1	102041016	102898744	275	36	0.0002393738	0.000000017575
1	102898745	103914210	199	21	0.0001277063	0.000000010498
1	103914211	106087841	449	40	0.0000046647	0.000000020160
1	106087842	108409664	727	40	0.0001587112	0.000000035152
1	108409665	110303930	559	40	0.0000855904	0.000000025013
1	110303931	111741736	568	40	0.0001402319	0.000000032157
1	111741737	113273305	719	40	0.0000479078	0.000000031941
1	113273306	114873844	509	40	0.0001420288	0.000000026681
1	114873845	115880592	344	37	0.0001580466	0.000000017267
1	115880593	118839066	826	40	0.0001698139	0.000000034778
1	118839067	144977493	561	40	0.0003086997	0.000000030347
1	144977494	148361252	431	40	0.0001927570	0.000000023594
1	148361253	151538880	350	34	0.0001518460	0.000000017464
1	151538881	153180828	468	40	0.0001090088	0.000000020160
1	153180829	154770402	460	40	0.0000944290	0.000000022609
1	154770403	156336132	306	38	0.0006700622	0.000000028977
1	156336133	158027411	599	40	0.0001745555	0.000000031986
1	158027412	159913047	679	40	0.0001784139	0.000000035305
1	159913048	162346720	873	40	0.0003871292	0.000000039081
1	162346721	165191701	1198	40	0.0001107705	0.000000033687
1	165191702	166460516	528	40	0.0000797868	0.000000028213
1	166460517	169086323	1099	40	0.0002230976	0.000000036055
1	169086324	170557775	554	40	0.0001877726	0.000000024671
1	170557776	173097906	899	40	0.0002400363	0.000000036095
1	173097907	175089767	410	32	0.0000332697	0.000000012879
1	175089768	177433380	784	40	0.0002023061	0.000000035804
1	177433381	178944308	492	40	0.0000723345	0.000000021943
1	178944309	178954469	2	1	0.0000019362	0.000000000172
1	178954470	181144120	748	40	0.0000168593	0.000000031403
1	181144121	182755355	599	40	0.0002124987	0.000000033595
1	182755356	184595512	629	40	0.0000434039	0.000000026206
1	184595513	186810022	520	40	0.0002365177	0.000000026305
1	186810023	188759944	619	40	0.0001899177	0.000000029818
1	188759945	189904129	220	19	-0.0000163905	0.000000007166
1	189904130	191868929	537	40	0.0001259610	0.000000021749
1	191868930	194107441	571	40	0.0001381754	0.000000027749
1	194107442	196176200	572	40	0.0000803501	0.000000023401
1	196176201	197311513	197	16	0.0000080784	0.000000006614
1	197311514	199239883	504	40	0.0001614572	0.000000025338
1	199239884	200137648	297	35	0.0001612653	0.000000016496
1	200137649	201589974	704	40	0.0002237242	0.000000035992
1	201589975	203334733	614	40	0.0002200093	0.000000035487
1	203334734	204681067	485	40	0.0001031042	0.000000025725
1	204681068	206073264	574	40	0.0002005375	0.000000031765
1	206073265	208410363	632	40	0.0002547693	0.000000036684
1	208410364	210787749	927	40	0.0002101279	0.000000035721
1	210787750	212842329	687	40	0.0005088526	0.000000042071
1	212842330	214578265	606	40	0.0003158226	0.000000036441
1	214578266	216243633	576	40	0.0004447375	0.000000036959
1	216243634	218705512	1079	40	0.0000920997	0.000000033343
1	218705513	219590570	278	33	0.0000545624	0.000000013233
1	219590571	221858230	679	40	0.0001503262	0.000000033228
1	221858231	222230219	174	21	0.0000635474	0.000000010192
1	222230220	224938519	453	40	0.0001108381	0.000000023542
1	224938520	226810859	513	40	0.0001089108	0.000000025170
1	226810860	229156247	689	40	0.0001949761	0.000000033137
1	229156248	230685254	530	40	-0.0000149753	0.000000025625
1	230685255	232090251	589	40	0.0001276780	0.000000030541
1	232090252	233429283	599	40	0.0002282154	0.000000036164
1	233429284	234599433	531	40	0.0000804035	0.000000028752
1	234599434	235819435	386	40	0.0001597006	0.000000023450
1	235819436	237555627	722	40	0.0000907887	0.000000034588
1	237555628	238567806	425	40	0.0000616271	0.000000023316
1	238567807	239925313	490	40	0.0000993157	0.000000027599
1	239925314	240564090	343	40	0.0000767063	0.000000018755
1	240564091	241582219	519	40	-0.0000588197	0.000000028301
1	241582220	242071601	218	39	0.0002237750	0.000000016784
1	242071602	244109498	621	40	0.0001463176	0.000000034499
1	244109499	245506745	516	40	0.0000020800	0.000000027970
1	245506746	247344517	706	40	0.0000783944	0.000000032964
1	247344518	249239465	401	40	0.0002260435	0.000000025724
2	10133	1781021	656	40	0.0001264936	0.000000033334
2	1781022	3973778	961	40	0.0000981672	0.000000033619
2	3973779	5708336	628	40	0.0000481430	0.000000032868
2	5708337	6836253	555	40	0.0002200300	0.000000030773
2	6836254	8422146	650	40	0.0001582084	0.000000035772
2	8422147	10298468	674	40	0.0003334937	0.000000039379
2	10298469	12419149	973	40	0.0000542655	0.000000032750
2	12419150	14335307	595	40	0.0000337266	0.000000028765
2	14335308	16329734	744	40	0.0000749376	0.000000032941
2	16329735	18647422	857	40	0.0001234850	0.000000034180
2	18647423	19692403	385	40	0.0002169107	0.000000023454
2	19692404	21050489	640	40	0.0001526551	0.000000033461
2	21050490	23341382	618	40	0.0000849120	0.000000032532
2	23341383	24686917	433	40	0.0006275432	0.000000033387
2	24686918	26894984	554	40	0.0002842898	0.000000031527
2	26894985	28598776	413	33	-0.0000051114	0.000000016067
2	28598777	29217558	249	33	-0.0000120037	0.000000011558
2	29217559	30463710	635	40	0.0000465499	0.000000031918
2	30463711	31550449	531	40	0.0000628669	0.000000029739
2	31550450	33363776	494	40	0.0000077675	0.000000027128
2	33363777	35345027	802	40	0.0002172293	0.000000036025
2	35345028	36122005	290	30	0.0000079453	0.000000013799
2	36122006	38132711	926	40	0.0002746826	0.000000037412
2	38132712	39031336	322	37	0.0001655088	0.000000021566
2	39031337	40281482	298	31	0.0000470605	0.000000016799
2	40281483	43309589	1303	40	0.0003355325	0.000000038094
2	43309590	44313802	403	40	0.0003445423	0.000000028055
