chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000127623	0.000000015762
1	1892607	3582735	424	21	0.0004590439	0.000000094791
1	3582736	4380810	266	21	0.0000641387	0.000000047694
1	4380811	5913892	866	21	0.0000675838	0.000000108298
1	5913893	7247334	426	21	0.0003118607	0.000000083055
1	7247335	9365198	697	21	-0.0000076521	0.000000105300
1	9365199	10806983	349	21	0.0002120607	0.000000059837
1	10806984	11777840	255	21	0.0005281778	0.000000063956
1	11777841	12779465	280	21	0.0002707453	0.000000059634
1	12779466	14891510	616	21	0.0001431779	0.000000111311
1	14891511	16897729	684	21	0.0000848092	0.000000108985
1	16897730	18662898	657	21	0.0000169239	0.000000106279
1	18662899	20469148	702	21	0.0001849140	0.000000112975
1	20469149	21736587	460	21	0.0001765630	0.000000080733
1	21736588	23086882	523	21	0.0004022412	0.000000108505
1	23086883	23920589	221	21	0.0002004611	0.000000042736
1	23920590	25516844	519	21	0.0002304064	0.000000099653
1	25516845	27401866	413	21	0.0001321826	0.000000062179
1	27401867	30161880	547	21	-0.0000351994	0.000000078015
1	30161881	32438684	930	21	0.0000839273	0.000000108950
1	32438685	34799757	675	21	0.0001330439	0.000000110907
1	34799758	37549182	545	21	0.0005516643	0.000000107525
1	37549183	38731846	370	21	0.0000963351	0.000000061184
1	38731847	40200566	446	21	0.0015033056	0.000000130548
1	40200567	41975326	553	21	0.0001070807	0.000000085648
1	41975327	43758456	542	21	0.0002959787	0.000000088535
1	43758457	44969182	371	21	0.0000653052	0.000000053187
1	44969183	46899500	457	21	0.0006643380	0.000000077103
1	46899501	48002575	297	21	0.0001019036	0.000000044822
1	48002576	48978187	344	21	0.0002423539	0.000000065479
1	48978188	49894176	247	21	-0.0000463423	0.000000037516
1	49894177	51713725	260	21	-0.0000243779	0.000000028958
1	51713726	54226261	562	21	0.0002845624	0.000000099575
1	54226262	56413116	834	21	0.0001542711	0.000000111753
1	56413117	57021727	270	21	0.0001962089	0.000000044830
1	57021728	58865398	844	21	0.0002106739	0.000000114001
1	58865399	59890408	383	21	0.0001617180	0.000000061862
1	59890409	61922364	670	21	0.0003195508	0.000000118341
1	61922365	63455088	529	21	0.0000976187	0.000000089030
1	63455089	65041703	656	21	0.0001406621	0.000000094967
1	65041704	66939403	648	21	0.0003857634	0.000000108523
1	66939404	68477894	684	21	0.0001579259	0.000000094985
1	68477895	69687615	386	21	0.0002441360	0.000000068530
1	69687616	71372469	518	21	0.0001360162	0.000000080215
1	71372470	71684404	82	10	-0.0000126563	0.000000009235
1	71684405	74326906	558	21	0.0000558927	0.000000069652
1	74326907	76728134	726	21	0.0001917809	0.000000096331
1	76728135	79661197	944	21	0.0001174998	0.000000110288
1	79661198	81354190	475	21	0.0000397625	0.000000072042
1	81354191	83991747	971	21	0.0002037042	0.000000113724
1	83991748	84844494	312	21	0.0000058522	0.000000040199
1	84844495	86454750	652	21	0.0004393608	0.000000116519
1	86454751	88128630	567	21	0.0002314036	0.000000094793
1	88128631	90066302	522	21	0.0002484157	0.000000087304
1	90066303	91886316	556	21	0.0001016987	0.000000084994
1	91886317	93536458	508	21	0.0003060247	0.000000077630
1	93536459	94506190	255	21	0.0002127650	0.000000039946
1	94506191	96150892	650	21	0.0000201121	0.000000100728
1	96150893	97885248	604	21	0.0004062468	0.000000091161
1	97885249	99800603	639	21	0.0001815362	0.000000093032
1	99800604	100826404	339	21	0.0001407830	0.000000048434
1	100826405	102041015	447	21	0.0001860425	0.000000070507
1	102041016	102898744	276	21	0.0001213898	0.000000042905
1	102898745	103914210	200	21	-0.0000042386	0.000000024489
1	103914211	106087841	454	21	0.0001273052	0.000000071405
1	106087842	108409664	726	21	0.0000199757	0.000000106401
1	108409665	110303930	564	21	0.0003364473	0.000000092558
1	110303931	111741736	570	21	0.0001488245	0.000000104723
1	111741737	113273305	719	21	0.0003183866	0.000000118294
1	113273306	114873844	511	21	0.0002119941	0.000000087175
1	114873845	115880592	344	21	0.0003411329	0.000000058856
1	115880593	118839066	833	21	0.0000189659	0.000000106361
1	118839067	144977493	563	21	0.0001558293	0.000000086484
1	144977494	148361252	432	21	0.0001259734	0.000000068985
1	148361253	151538880	349	21	0.0003149789	0.000000058658
1	151538881	153180828	468	21	0.0000316608	0.000000060325
1	153180829	154770402	454	21	0.0000649444	0.000000068286
1	154770403	156336132	307	21	0.0002621011	0.000000057614
1	156336133	158027411	597	21	0.0001595676	0.000000098401
1	158027412	159913047	678	21	0.0001760677	0.000000112394
1	159913048	162346720	872	21	0.0001798825	0.000000112774
1	162346721	165191701	1190	21	0.0001018291	0.000000109663
1	165191702	166460516	531	21	0.0002283493	0.000000098008
1	166460517	169086323	1097	21	-0.0000113023	0.000000105154
1	169086324	170557775	558	21	0.0001231072	0.000000074265
1	170557776	173097906	902	21	0.0000935314	0.000000109332
1	173097907	175089767	411	21	0.0002371800	0.000000048926
1	175089768	177433380	781	21	0.0001086084	0.000000109933
1	177433381	178944308	492	21	0.0002172630	0.000000078000
1	178944309	178954469	2	1	-0.0000007789	0.000000000355
1	178954470	181144120	749	21	0.0006051646	0.000000127441
1	181144121	182755355	599	21	0.0003252386	0.000000111070
1	182755356	184595512	630	21	0.0002971140	0.000000096961
1	184595513	186810022	523	21	0.0000181348	0.000000070533
1	186810023	188759944	618	21	0.0001466616	0.000000090537
1	188759945	189904129	217	17	0.0001542582	0.000000029529
1	189904130	191868929	538	21	0.0000567064	0.000000064952
1	191868930	194107441	583	21	-0.0000228614	0.000000079165
1	194107442	196176200	579	21	0.0001657381	0.000000078779
1	196176201	197311513	196	16	0.0000901234	0.000000024391
1	197311514	199239883	504	21	0.0003385649	0.000000086291
1	199239884	200137648	301	21	0.0004304606	0.000000060510
1	200137649	201589974	707	21	0.0001103937	0.000000110005
1	201589975	203334733	611	21	0.0000765637	0.000000105016
1	203334734	204681067	482	21	0.0002006406	0.000000084530
1	204681068	206073264	577	21	0.0001783789	0.000000100494
1	206073265	208410363	633	21	0.0000370753	0.000000107082
1	208410364	210787749	927	21	0.0001964842	0.000000113436
1	210787750	212842329	697	21	0.0001092064	0.000000109957
1	212842330	214578265	607	21	0.0003131591	0.000000113079
1	214578266	216243633	589	21	0.0000885077	0.000000092669
1	216243634	218705512	1078	21	0.0000924073	0.000000109288
1	218705513	219590570	280	21	0.0003609335	0.000000054022
1	219590571	221858230	690	21	-0.0000075031	0.000000103711
1	221858231	222230219	174	21	0.0001691191	0.000000035576
1	222230220	224938519	454	21	0.0001609877	0.000000075334
1	224938520	226810859	517	21	0.0006816941	0.000000103852
1	226810860	229156247	693	21	0.0001531761	0.000000104670
