chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	16	0.0000838098	0.000000047698
1	1892607	3582735	442	16	0.0000075543	0.000000206090
1	3582736	4380810	275	16	0.0000148092	0.000000120402
1	4380811	5913892	894	16	0.0001796231	0.000000283166
1	5913893	7247334	405	16	0.0001081246	0.000000179106
1	7247335	9365198	710	16	0.0002576206	0.000000288046
1	9365199	10806983	345	16	-0.0000545215	0.000000127996
1	10806984	11777840	266	16	0.0002056085	0.000000124184
1	11777841	12779465	244	16	0.0000823170	0.000000117618
1	12779466	14891510	623	16	-0.0000281907	0.000000270164
1	14891511	16897729	710	16	0.0002026738	0.000000284608
1	16897730	18662898	659	16	0.0001858253	0.000000283554
1	18662899	20469148	731	16	0.0001636445	0.000000282166
1	20469149	21736587	444	16	0.0000067417	0.000000180169
1	21736588	23086882	511	16	0.0002761945	0.000000249904
1	23086883	23920589	213	16	0.0002265072	0.000000100185
1	23920590	25516844	520	16	0.0000119513	0.000000234602
1	25516845	27401866	392	16	0.0000509325	0.000000142722
1	27401867	30161880	552	16	0.0000584442	0.000000212172
1	30161881	32438684	953	16	0.0002117378	0.000000285175
1	32438685	34799757	684	16	0.0000576657	0.000000275536
1	34799758	37549182	574	16	0.0001193450	0.000000247274
1	37549183	38731846	369	16	0.0001827188	0.000000160259
1	38731847	40200566	441	16	0.0001341634	0.000000185254
1	40200567	41975326	545	16	0.0000586614	0.000000207531
1	41975327	43758456	567	16	0.0000956084	0.000000210414
1	43758457	44969182	366	16	-0.0000418952	0.000000122277
1	44969183	46899500	447	16	-0.0000057585	0.000000123976
1	46899501	48002575	296	16	-0.0000108829	0.000000102287
1	48002576	48978187	349	16	0.0000402770	0.000000145904
1	48978188	49894176	245	16	0.0001843890	0.000000108040
1	49894177	51713725	256	16	0.0001296636	0.000000080265
1	51713726	54226261	547	16	0.0000483829	0.000000224439
1	54226262	56413116	842	16	0.0000382186	0.000000274319
1	56413117	57021727	263	16	-0.0000197029	0.000000089658
1	57021728	58865398	884	16	0.0001157407	0.000000279169
1	58865399	59890408	396	16	0.0001285100	0.000000153582
1	59890409	61922364	675	16	0.0000934410	0.000000277774
1	61922365	63455088	516	16	-0.0000904812	0.000000217546
1	63455089	65041703	672	16	0.0000260372	0.000000236672
1	65041704	66939403	646	16	0.0001643605	0.000000248291
1	66939404	68477894	689	16	0.0000828964	0.000000234870
1	68477895	69687615	389	16	0.0000167567	0.000000151618
1	69687616	71372469	536	16	-0.0001222586	0.000000189896
1	71372470	71684404	83	10	0.0000090451	0.000000024460
1	71684405	74326906	546	16	0.0000798938	0.000000175094
1	74326907	76728134	720	16	0.0001626119	0.000000231563
1	76728135	79661197	958	16	0.0001099141	0.000000278804
1	79661198	81354190	492	16	0.0001684864	0.000000193648
1	81354191	83991747	1000	16	0.0001529250	0.000000281495
1	83991748	84844494	318	16	0.0000990622	0.000000108032
1	84844495	86454750	654	16	0.0000388686	0.000000259112
1	86454751	88128630	585	16	-0.0000648073	0.000000220918
1	88128631	90066302	535	16	-0.0000260484	0.000000199356
1	90066303	91886316	572	16	0.0001341872	0.000000220981
1	91886317	93536458	499	16	0.0000238000	0.000000167669
1	93536459	94506190	248	16	0.0001291788	0.000000082800
1	94506191	96150892	673	16	-0.0000789137	0.000000259043
1	96150893	97885248	616	16	0.0000168415	0.000000193373
1	97885249	99800603	653	16	0.0005130976	0.000000258153
1	99800604	100826404	330	16	0.0001942619	0.000000120285
1	100826405	102041015	448	16	0.0003246935	0.000000181318
1	102041016	102898744	286	16	0.0001946689	0.000000109202
1	102898745	103914210	198	16	0.0000806546	0.000000065026
1	103914211	106087841	476	16	-0.0001150293	0.000000163541
1	106087842	108409664	749	16	-0.0000162039	0.000000270914
1	108409665	110303930	494	16	0.0001994100	0.000000195571
1	110303931	111741736	579	16	0.0001883885	0.000000270279
1	111741737	113273305	708	16	0.0002078601	0.000000284932
1	113273306	114873844	521	16	0.0000168914	0.000000204349
1	114873845	115880592	335	16	0.0001441156	0.000000120911
1	115880593	118839066	868	16	-0.0000336050	0.000000269825
1	118839067	144977493	531	16	0.0004142555	0.000000224462
1	144977494	148361252	440	16	-0.0000255121	0.000000162921
1	148361253	151538880	310	16	-0.0000394415	0.000000098936
1	151538881	153180828	487	16	0.0001544627	0.000000156295
1	153180829	154770402	450	16	0.0000091129	0.000000166756
1	154770403	156336132	290	16	0.0002136846	0.000000124151
1	156336133	158027411	604	16	0.0002489178	0.000000252375
1	158027412	159913047	694	16	0.0000792378	0.000000276885
1	159913048	162346720	799	16	0.0001812663	0.000000283268
1	162346721	165191701	1231	16	0.0001675026	0.000000282407
1	165191702	166460516	566	16	0.0000604394	0.000000236439
1	166460517	169086323	1157	16	0.0001230608	0.000000279627
1	169086324	170557775	507	16	0.0000911958	0.000000175233
1	170557776	173097906	888	16	0.0001146771	0.000000279102
1	173097907	175089767	427	16	0.0000568036	0.000000104362
1	175089768	177433380	833	16	0.0001436211	0.000000280913
1	177433381	178944308	487	16	0.0000362174	0.000000172379
1	178944309	178954469	2	1	-0.0000093310	0.000000000370
1	178954470	181144120	753	16	0.0000206100	0.000000271991
1	181144121	182755355	650	16	0.0000489198	0.000000267037
1	182755356	184595512	650	16	0.0001181069	0.000000225256
1	184595513	186810022	551	16	0.0001810472	0.000000194429
1	186810023	188759944	679	16	0.0004251720	0.000000252668
1	188759945	189904129	243	16	0.0000339316	0.000000063661
1	189904130	191868929	582	16	0.0001708919	0.000000172323
1	191868930	194107441	628	16	0.0000256545	0.000000213631
1	194107442	196176200	621	16	0.0001770356	0.000000202195
1	196176201	197311513	183	15	0.0006070266	0.000000087914
1	197311514	199239883	537	16	0.0001232361	0.000000199421
1	199239884	200137648	338	16	0.0002334791	0.000000130724
1	200137649	201589974	684	16	0.0001363493	0.000000280458
1	201589975	203334733	614	16	0.0000378736	0.000000263909
1	203334734	204681067	495	16	0.0004127277	0.000000225525
1	204681068	206073264	547	16	-0.0000187870	0.000000221428
1	206073265	208410363	643	16	0.0000717057	0.000000275187
1	208410364	210787749	977	16	0.0000402855	0.000000274448
1	210787750	212842329	713	16	-0.0000250815	0.000000270359
1	212842330	214578265	610	16	0.0002160977	0.000000270796
1	214578266	216243633	616	16	-0.0000129764	0.000000233046
1	216243634	218705512	1125	16	0.0002872637	0.000000289900
1	218705513	219590570	303	16	-0.0000311580	0.000000102620
1	219590571	221858230	699	16	0.0000976795	0.000000264608
1	221858231	222230219	182	16	0.0001361152	0.000000081175
1	222230220	224938519	594	16	0.0000264112	0.000000247468
1	224938520	226810859	522	16	0.0001951482	0.000000207352
1	226810860	229156247	739	16	0.0003244241	0.000000286709
1	229156248	230685254	543	16	0.0000404286	0.000000234001
1	230685255	232090251	590	16	0.0002826228	0.000000258068
1	232090252	233429283	631	16	0.0000272720	0.000000273634
1	233429284	234599433	574	16	-0.0000776357	0.000000237968
1	234599434	235819435	389	16	0.0000143175	0.000000165957
1	235819436	237555627	765	16	0.0002375108	0.000000286787
1	237555628	238567806	443	16	0.0003246886	0.000000207369
1	238567807	239925313	518	16	0.0001915967	0.000000228663
1	239925314	240564090	368	16	-0.0000436618	0.000000142897
1	240564091	241582219	535	16	-0.0000020090	0.000000254739
1	241582220	242071601	221	16	0.0002125270	0.000000108204
1	242071602	244109498	666	16	0.0000395593	0.000000274403
1	244109499	245506745	535	16	0.0001713340	0.000000254117
1	245506746	247344517	772	16	-0.0000413788	0.000000269339
1	247344518	249239465	398	16	-0.0000697750	0.000000159610
2	10133	1781021	645	16	-0.0001774926	0.000000259598
2	1781022	3973778	994	16	-0.0000002108	0.000000271915
2	3973779	5708336	648	16	0.0001988760	0.000000284370
2	5708337	6836253	587	16	0.0001628623	0.000000244021
2	6836254	8422146	658	16	0.0001269753	0.000000279872
2	8422147	10298468	693	16	0.0001234536	0.000000279651
2	10298469	12419149	999	16	-0.0000492727	0.000000268845
2	12419150	14335307	607	16	-0.0000994647	0.000000233014
2	14335308	16329734	751	16	0.0000957468	0.000000277918
2	16329735	18647422	868	16	-0.0001018307	0.000000265557
2	18647423	19692403	388	16	0.0000722760	0.000000161730
2	19692404	21050489	634	16	0.0003595372	0.000000286460
2	21050490	23341382	582	16	0.0000228780	0.000000260540
2	23341383	24686917	430	16	-0.0000472292	0.000000168320
2	24686918	26894984	536	16	0.0004665587	0.000000241112
2	26894985	28598776	318	16	0.0002111486	0.000000130414
2	28598777	29217558	239	16	0.0001011521	0.000000099745
2	29217559	30463710	627	16	0.0001471181	0.000000281132
2	30463711	31550449	517	16	-0.0000161379	0.000000238815
