chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000952674	0.000000011514
1	1892607	3582735	410	29	0.0002843743	0.000000043753
1	3582736	4380810	263	29	0.0003033895	0.000000030049
1	4380811	5913892	865	29	0.0001637876	0.000000052062
1	5913893	7247334	418	29	0.0000210953	0.000000030724
1	7247335	9365198	680	29	0.0001821467	0.000000050585
1	9365199	10806983	339	29	0.0000486934	0.000000022321
1	10806984	11777840	247	29	0.0001944461	0.000000025173
1	11777841	12779465	282	29	0.0001966398	0.000000018478
1	12779466	14891510	607	29	0.0001118402	0.000000050052
1	14891511	16897729	657	29	0.0000767006	0.000000048409
1	16897730	18662898	639	29	0.0001040168	0.000000048966
1	18662899	20469148	686	29	0.0002177426	0.000000053289
1	20469149	21736587	450	29	0.0002675002	0.000000038738
1	21736588	23086882	507	29	0.0002537481	0.000000046738
1	23086883	23920589	214	27	0.0001956356	0.000000018553
1	23920590	25516844	501	29	0.0001269848	0.000000042201
1	25516845	27401866	396	29	0.0005783392	0.000000036640
1	27401867	30161880	526	29	0.0004500821	0.000000046543
1	30161881	32438684	904	29	0.0002089700	0.000000052641
1	32438685	34799757	644	29	0.0002072908	0.000000052425
1	34799758	37549182	527	29	0.0000521637	0.000000037796
1	37549183	38731846	358	29	0.0000972815	0.000000026555
1	38731847	40200566	424	29	0.0006467822	0.000000044756
1	40200567	41975326	540	29	0.0000616204	0.000000037470
1	41975327	43758456	532	29	0.0000673540	0.000000034051
1	43758457	44969182	351	29	0.0001959926	0.000000027123
1	44969183	46899500	440	29	0.0003441382	0.000000029962
1	46899501	48002575	280	29	0.0002601901	0.000000024656
1	48002576	48978187	339	29	0.0001074999	0.000000027850
1	48978188	49894176	237	28	0.0002723142	0.000000024144
1	49894177	51713725	252	25	0.0000642769	0.000000013562
1	51713726	54226261	547	29	0.0002225139	0.000000042153
1	54226262	56413116	814	29	0.0002092864	0.000000048261
1	56413117	57021727	265	29	0.0000624304	0.000000014592
1	57021728	58865398	827	29	-0.0000389457	0.000000046743
1	58865399	59890408	371	29	0.0001518632	0.000000027790
1	59890409	61922364	660	29	0.0001198343	0.000000048724
1	61922365	63455088	526	29	0.0002493211	0.000000032998
1	63455089	65041703	642	29	0.0001922588	0.000000044999
1	65041704	66939403	636	29	0.0001710138	0.000000045136
1	66939404	68477894	664	29	0.0000853513	0.000000041419
1	68477895	69687615	383	29	0.0003011037	0.000000035016
1	69687616	71372469	507	29	0.0001895997	0.000000039518
1	71372470	71684404	81	10	0.0001233572	0.000000007303
1	71684405	74326906	558	29	0.0001563122	0.000000027306
1	74326907	76728134	713	29	0.0003245951	0.000000045242
1	76728135	79661197	924	29	0.0001115025	0.000000048014
1	79661198	81354190	470	29	-0.0000014282	0.000000032064
1	81354191	83991747	965	29	0.0002324854	0.000000052288
1	83991748	84844494	306	29	0.0001910012	0.000000023881
1	84844495	86454750	634	29	0.0002000166	0.000000047426
1	86454751	88128630	553	29	0.0000528912	0.000000038719
1	88128631	90066302	515	29	0.0000620481	0.000000034177
1	90066303	91886316	556	29	0.0002126220	0.000000043039
1	91886317	93536458	500	29	0.0002131947	0.000000031960
1	93536459	94506190	245	26	0.0003766980	0.000000022716
1	94506191	96150892	640	29	0.0003359686	0.000000052481
1	96150893	97885248	598	29	0.0000409711	0.000000032894
1	97885249	99800603	632	29	0.0000654456	0.000000040459
1	99800604	100826404	329	29	0.0003046649	0.000000027719
1	100826405	102041015	439	29	0.0001543487	0.000000033256
1	102041016	102898744	271	29	0.0000978948	0.000000021136
1	102898745	103914210	196	21	0.0000169184	0.000000011874
1	103914211	106087841	452	29	0.0000324755	0.000000031425
1	106087842	108409664	722	29	0.0002225230	0.000000052431
1	108409665	110303930	556	29	0.0007385548	0.000000039488
1	110303931	111741736	560	29	0.0003076871	0.000000049479
1	111741737	113273305	691	29	0.0001348668	0.000000047483
1	113273306	114873844	497	29	0.0000661923	0.000000035665
1	114873845	115880592	338	29	0.0001826960	0.000000023479
1	115880593	118839066	810	29	0.0003042091	0.000000054407
1	118839067	144977493	564	29	0.0001976027	0.000000029369
1	144977494	148361252	425	29	0.0001728683	0.000000032565
1	148361253	151538880	332	29	0.0001008671	0.000000021351
1	151538881	153180828	451	29	0.0000673318	0.000000027877
1	153180829	154770402	446	29	0.0003550578	0.000000038138
1	154770403	156336132	280	29	0.0004357676	0.000000029806
1	156336133	158027411	578	29	0.0002212608	0.000000047579
1	158027412	159913047	668	29	0.0000591464	0.000000046539
1	159913048	162346720	860	29	0.0001029048	0.000000036146
1	162346721	165191701	1173	29	0.0000498115	0.000000046121
1	165191702	166460516	514	29	0.0001078572	0.000000041811
1	166460517	169086323	1079	29	0.0001540879	0.000000050184
1	169086324	170557775	550	29	0.0000517069	0.000000027871
1	170557776	173097906	897	29	0.0001272571	0.000000043903
1	173097907	175089767	399	29	0.0002574882	0.000000024265
1	175089768	177433380	764	29	0.0000615945	0.000000047679
1	177433381	178944308	497	29	0.0003246771	0.000000031181
1	178944309	178954469	2	1	0.0000431763	0.000000001686
1	178954470	181144120	712	29	0.0001530035	0.000000048569
1	181144121	182755355	577	29	0.0006511110	0.000000059312
1	182755356	184595512	607	29	0.0003851276	0.000000046820
1	184595513	186810022	499	29	0.0000836681	0.000000032390
1	186810023	188759944	616	29	0.0000597947	0.000000039794
1	188759945	189904129	216	17	0.0000620608	0.000000012517
1	189904130	191868929	537	29	0.0002133996	0.000000033403
1	191868930	194107441	578	29	0.0002157250	0.000000041885
1	194107442	196176200	577	29	0.0001987902	0.000000036871
1	196176201	197311513	188	16	0.0000682380	0.000000010760
1	197311514	199239883	501	29	0.0002362957	0.000000038495
1	199239884	200137648	296	29	0.0003041682	0.000000027482
