chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	0.0000804838	0.0000000034
1	1892607	3582735	425	40	0.0000962923	0.0000000141
1	3582736	4380810	261	40	-0.0000214275	0.0000000107
1	4380811	5913892	845	40	0.0000257511	0.0000000189
1	5913893	7247334	416	40	0.0000315813	0.0000000126
1	7247335	9365198	678	40	0.0000020746	0.0000000202
1	9365199	10806983	342	40	0.0000822575	0.0000000099
1	10806984	11777840	250	40	-0.0000245005	0.0000000082
1	11777841	12779465	271	40	-0.0000120044	0.0000000093
1	12779466	14891510	601	40	-0.0000062682	0.0000000196
1	14891511	16897729	654	40	0.0000086085	0.0000000185
1	16897730	18662898	632	40	0.0000531030	0.0000000202
1	18662899	20469148	690	40	0.0001087071	0.0000000183
1	20469149	21736587	445	40	-0.0000516882	0.0000000156
1	21736588	23086882	501	40	-0.0000784705	0.0000000164
1	23086883	23920589	219	28	0.0000595391	0.0000000069
1	23920590	25516844	508	40	0.0000576960	0.0000000165
1	25516845	27401866	401	40	-0.0000689502	0.0000000099
1	27401867	30161880	535	40	0.0000428187	0.0000000151
1	30161881	32438684	891	40	-0.0000025229	0.0000000183
1	32438685	34799757	658	40	0.0000684616	0.0000000195
1	34799758	37549182	540	40	0.0000562787	0.0000000149
1	37549183	38731846	362	40	-0.0000037639	0.0000000105
1	38731847	40200566	436	40	0.0000504204	0.0000000131
1	40200567	41975326	539	40	-0.0000242858	0.0000000156
1	41975327	43758456	519	40	-0.0000227461	0.0000000164
1	43758457	44969182	359	35	0.0000365707	0.0000000106
1	44969183	46899500	446	38	0.0000259139	0.0000000095
1	46899501	48002575	290	33	0.0000010633	0.0000000087
1	48002576	48978187	331	40	0.0000343004	0.0000000102
1	48978188	49894176	243	28	0.0000365241	0.0000000073
1	49894177	51713725	254	25	0.0000199623	0.0000000069
1	51713726	54226261	553	40	-0.0000741642	0.0000000162
1	54226262	56413116	812	40	-0.0000742865	0.0000000197
1	56413117	57021727	260	30	-0.0000416636	0.0000000069
1	57021728	58865398	827	40	-0.0000333643	0.0000000202
1	58865399	59890408	370	40	-0.0000838661	0.0000000120
1	59890409	61922364	656	40	-0.0000546630	0.0000000175
1	61922365	63455088	517	40	0.0000289946	0.0000000164
1	63455089	65041703	633	40	-0.0000133458	0.0000000162
1	65041704	66939403	635	40	-0.0001034386	0.0000000163
1	66939404	68477894	669	40	-0.0000814288	0.0000000166
1	68477895	69687615	375	40	0.0000309803	0.0000000105
1	69687616	71372469	507	40	0.0000060161	0.0000000139
1	71372470	71684404	82	10	0.0000286283	0.0000000019
1	71684405	74326906	543	40	-0.0000324289	0.0000000123
1	74326907	76728134	714	40	0.0000060149	0.0000000166
1	76728135	79661197	923	40	-0.0000370443	0.0000000191
1	79661198	81354190	453	40	0.0001329376	0.0000000133
1	81354191	83991747	945	40	0.0000740065	0.0000000186
1	83991748	84844494	306	35	0.0000407489	0.0000000085
1	84844495	86454750	633	40	-0.0000024311	0.0000000174
1	86454751	88128630	551	40	-0.0000195757	0.0000000150
1	88128631	90066302	509	40	0.0000700228	0.0000000159
1	90066303	91886316	549	40	0.0000652122	0.0000000157
1	91886317	93536458	493	40	0.0000202344	0.0000000112
1	93536459	94506190	252	26	0.0000225787	0.0000000064
1	94506191	96150892	632	40	0.0000210856	0.0000000179
1	96150893	97885248	587	40	-0.0000033873	0.0000000145
1	97885249	99800603	623	40	-0.0001549910	0.0000000160
1	99800604	100826404	330	36	0.0000646518	0.0000000078
1	100826405	102041015	438	40	-0.0000444215	0.0000000118
1	102041016	102898744	271	36	-0.0000684893	0.0000000078
1	102898745	103914210	197	21	-0.0000087233	0.0000000048
1	103914211	106087841	444	40	-0.0000033914	0.0000000134
1	106087842	108409664	716	40	-0.0000419068	0.0000000191
1	108409665	110303930	554	40	-0.0001316085	0.0000000163
1	110303931	111741736	554	40	-0.0000663868	0.0000000184
1	111741737	113273305	703	40	-0.0000147942	0.0000000191
1	113273306	114873844	503	40	-0.0000052812	0.0000000150
1	114873845	115880592	338	36	-0.0000690370	0.0000000099
1	115880593	118839066	824	40	0.0000918750	0.0000000199
1	118839067	144977493	552	40	0.0000881400	0.0000000153
1	144977494	148361252	424	40	-0.0000372591	0.0000000120
1	148361253	151538880	347	34	-0.0001096901	0.0000000099
1	151538881	153180828	463	40	0.0000485849	0.0000000113
1	153180829	154770402	442	40	0.0000246800	0.0000000125
1	154770403	156336132	302	38	0.0000358905	0.0000000096
1	156336133	158027411	594	40	-0.0000403418	0.0000000169
1	158027412	159913047	660	40	-0.0001532817	0.0000000192
1	159913048	162346720	853	40	-0.0000468105	0.0000000193
1	162346721	165191701	1175	40	0.0000791772	0.0000000191
1	165191702	166460516	519	40	0.0000411777	0.0000000169
1	166460517	169086323	1082	40	-0.0000232556	0.0000000189
1	169086324	170557775	551	40	-0.0001882609	0.0000000143
1	170557776	173097906	874	40	0.0000091930	0.0000000191
1	173097907	175089767	405	32	0.0000003126	0.0000000081
1	175089768	177433380	761	40	0.0000102040	0.0000000201
1	177433381	178944308	475	40	-0.0000097869	0.0000000123
1	178944309	178954469	2	1	0.0000007194	-0.0000000000
1	178954470	181144120	727	40	0.0001090965	0.0000000193
1	181144121	182755355	583	40	0.0000633266	0.0000000194
1	182755356	184595512	609	40	-0.0000800007	0.0000000161
1	184595513	186810022	512	40	-0.0000907664	0.0000000136
1	186810023	188759944	604	40	-0.0000281323	0.0000000158
1	188759945	189904129	211	17	-0.0000729465	0.0000000058
1	189904130	191868929	530	40	-0.0000611336	0.0000000130
1	191868930	194107441	558	40	-0.0000343398	0.0000000161
1	194107442	196176200	560	40	-0.0000248129	0.0000000140
1	196176201	197311513	189	16	-0.0000037532	0.0000000046
1	197311514	199239883	492	40	0.0000043575	0.0000000149
1	199239884	200137648	296	35	0.0000303139	0.0000000080
1	200137649	201589974	687	40	0.0001135404	0.0000000205
1	201589975	203334733	597	40	-0.0000214339	0.0000000180
1	203334734	204681067	474	40	0.0000276673	0.0000000142
1	204681068	206073264	565	40	0.0000523503	0.0000000182
1	206073265	208410363	608	40	0.0000144268	0.0000000197
1	208410364	210787749	899	40	-0.0000006513	0.0000000206
1	210787750	212842329	680	40	0.0000452015	0.0000000200
1	212842330	214578265	603	40	0.0001003025	0.0000000190
1	214578266	216243633	579	40	-0.0000910833	0.0000000177
1	216243634	218705512	1062	40	-0.0000708372	0.0000000190
1	218705513	219590570	275	33	-0.0000029753	0.0000000082
1	219590571	221858230	676	40	0.0001264189	0.0000000189
1	221858231	222230219	170	21	-0.0000540547	0.0000000067
1	222230220	224938519	449	40	0.0000211025	0.0000000135
1	224938520	226810859	501	40	-0.0000861613	0.0000000138
1	226810860	229156247	681	40	-0.0000437290	0.0000000173
1	229156248	230685254	520	40	-0.0000150771	0.0000000167
1	230685255	232090251	579	40	-0.0000126277	0.0000000190
1	232090252	233429283	593	40	-0.0000500940	0.0000000191
1	233429284	234599433	520	40	0.0000513953	0.0000000166
1	234599434	235819435	376	40	-0.0000388410	0.0000000123
