chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	18	0.0001154730	0.000000004856
1	1892607	3582735	440	40	0.0001154916	0.000000014144
1	3582736	4380810	273	40	-0.0000201526	0.000000006861
1	4380811	5913892	870	40	0.0000577998	0.000000015325
1	5913893	7247334	430	40	0.0001028949	0.000000011455
1	7247335	9365198	700	40	0.0001836595	0.000000017096
1	9365199	10806983	352	40	-0.0000255602	0.000000006900
1	10806984	11777840	259	40	0.0000703650	0.000000007701
1	11777841	12779465	282	40	0.0001739200	0.000000008432
1	12779466	14891510	618	40	0.0000835384	0.000000015826
1	14891511	16897729	690	40	0.0000966611	0.000000015990
1	16897730	18662898	666	40	-0.0000263622	0.000000014244
1	18662899	20469148	713	40	0.0000039076	0.000000014769
1	20469149	21736587	461	40	0.0000584624	0.000000011025
1	21736588	23086882	523	40	0.0000577227	0.000000013748
1	23086883	23920589	222	28	0.0002004041	0.000000007679
1	23920590	25516844	522	40	-0.0000098449	0.000000012572
1	25516845	27401866	413	40	0.0000278439	0.000000008182
1	27401867	30161880	552	40	0.0001103007	0.000000012936
1	30161881	32438684	936	40	0.0001409029	0.000000016535
1	32438685	34799757	675	40	0.0001068788	0.000000016226
1	34799758	37549182	552	40	0.0000738097	0.000000013365
1	37549183	38731846	373	40	0.0000593708	0.000000008854
1	38731847	40200566	447	40	-0.0000183133	0.000000009431
1	40200567	41975326	555	40	0.0000194210	0.000000011534
1	41975327	43758456	543	40	0.0001511445	0.000000012538
1	43758457	44969182	371	35	0.0000492523	0.000000007868
1	44969183	46899500	458	38	0.0001112718	0.000000008610
1	46899501	48002575	297	33	0.0001153446	0.000000007490
1	48002576	48978187	344	40	0.0000394964	0.000000008296
1	48978188	49894176	247	28	0.0001392935	0.000000007564
1	49894177	51713725	260	25	0.0002430690	0.000000007617
1	51713726	54226261	563	40	0.0000068949	0.000000011943
1	54226262	56413116	838	40	0.0001298388	0.000000015881
1	56413117	57021727	272	31	0.0000334445	0.000000005217
1	57021728	58865398	851	40	0.0001626885	0.000000016978
1	58865399	59890408	383	40	0.0000512343	0.000000008398
1	59890409	61922364	671	40	0.0000207182	0.000000014466
1	61922365	63455088	534	40	0.0000348191	0.000000010892
1	63455089	65041703	657	40	-0.0000107298	0.000000012106
1	65041704	66939403	649	40	0.0001325615	0.000000014555
1	66939404	68477894	687	40	0.0000723166	0.000000013280
1	68477895	69687615	389	40	0.0000612687	0.000000009354
1	69687616	71372469	520	40	0.0000722028	0.000000011678
1	71372470	71684404	82	10	0.0000192515	0.000000001631
1	71684405	74326906	559	40	0.0006289773	0.000000017329
1	74326907	76728134	727	40	0.0002408268	0.000000015386
1	76728135	79661197	949	40	0.0002976794	0.000000018715
1	79661198	81354190	475	40	0.0000215999	0.000000010102
1	81354191	83991747	973	40	0.0000762212	0.000000015332
1	83991748	84844494	314	35	0.0000755989	0.000000006937
1	84844495	86454750	652	40	0.0000226991	0.000000013683
1	86454751	88128630	572	40	0.0000067942	0.000000012139
1	88128631	90066302	523	40	0.0000237759	0.000000010783
1	90066303	91886316	563	40	0.0000331910	0.000000012132
1	91886317	93536458	509	40	0.0000221752	0.000000009144
1	93536459	94506190	255	26	0.0000312407	0.000000005001
1	94506191	96150892	651	40	0.0001076613	0.000000015109
1	96150893	97885248	605	40	0.0005308969	0.000000017956
1	97885249	99800603	640	40	0.0001127016	0.000000013615
1	99800604	100826404	339	37	-0.0000113806	0.000000005892
1	100826405	102041015	447	40	0.0000372284	0.000000009372
1	102041016	102898744	279	36	0.0000358717	0.000000006290
1	102898745	103914210	201	21	0.0000211709	0.000000003884
1	103914211	106087841	455	40	0.0001273818	0.000000011247
1	106087842	108409664	726	40	0.0001303175	0.000000016247
1	108409665	110303930	565	40	0.0002741594	0.000000013219
1	110303931	111741736	571	40	0.0000796492	0.000000014569
1	111741737	113273305	721	40	0.0001376769	0.000000016202
1	113273306	114873844	511	40	0.0000150926	0.000000011060
1	114873845	115880592	346	37	-0.0000456622	0.000000005573
1	115880593	118839066	838	40	0.0000548722	0.000000015313
1	118839067	144977493	567	40	0.0001081728	0.000000010949
1	144977494	148361252	432	40	0.0001320662	0.000000010679
1	148361253	151538880	349	34	0.0001871507	0.000000009102
1	151538881	153180828	468	40	-0.0000099936	0.000000008036
1	153180829	154770402	460	40	0.0000475927	0.000000010043
1	154770403	156336132	307	38	0.0001367490	0.000000008693
1	156336133	158027411	599	40	0.0000692243	0.000000014104
1	158027412	159913047	686	40	-0.0000188319	0.000000014177
1	159913048	162346720	876	40	0.0000600206	0.000000013496
1	162346721	165191701	1200	40	0.0000246711	0.000000014549
1	165191702	166460516	533	40	-0.0000110079	0.000000012231
1	166460517	169086323	1107	40	0.0000821611	0.000000015795
1	169086324	170557775	560	40	-0.0000563359	0.000000008245
1	170557776	173097906	902	40	0.0000618532	0.000000014370
1	173097907	175089767	412	32	0.0000256965	0.000000005959
1	175089768	177433380	784	40	0.0001641070	0.000000016763
1	177433381	178944308	492	40	0.0005581202	0.000000016217
1	178944309	178954469	2	1	-0.0000042949	0.000000000001
1	178954470	181144120	752	40	0.0000200147	0.000000014425
1	181144121	182755355	601	40	-0.0000224231	0.000000013078
1	182755356	184595512	630	40	0.0001330683	0.000000013749
1	184595513	186810022	524	40	0.0000322225	0.000000010204
1	186810023	188759944	619	40	0.0000452036	0.000000012301
1	188759945	189904129	220	18	0.0000608434	0.000000004391
1	189904130	191868929	538	40	0.0002556532	0.000000012250
1	191868930	194107441	584	40	0.0000585693	0.000000011861
1	194107442	196176200	579	40	0.0000434512	0.000000010420
1	196176201	197311513	197	16	0.0000993161	0.000000004470
1	197311514	199239883	504	40	0.0001071474	0.000000011500
1	199239884	200137648	301	36	0.0000371883	0.000000006671
1	200137649	201589974	711	40	0.0000585882	0.000000015406
1	201589975	203334733	617	40	0.0002774621	0.000000018711
1	203334734	204681067	485	40	0.0000145108	0.000000011067
1	204681068	206073264	578	40	0.0001196353	0.000000014512
1	206073265	208410363	633	40	0.0000065063	0.000000014194
1	208410364	210787749	932	40	0.0002659409	0.000000018347
1	210787750	212842329	698	40	0.0001110132	0.000000015749
1	212842330	214578265	614	40	0.0000458237	0.000000014326
1	214578266	216243633	595	40	0.0001001868	0.000000013991
1	216243634	218705512	1083	40	-0.0000071983	0.000000013902
1	218705513	219590570	282	34	0.0000430141	0.000000006054
1	219590571	221858230	690	40	0.0000173339	0.000000013163
1	221858231	222230219	174	21	0.0000514567	0.000000004812
1	222230220	224938519	463	40	-0.0000007665	0.000000009940
1	224938520	226810859	519	40	0.0000290610	0.000000011083
1	226810860	229156247	695	40	-0.0000018481	0.000000013586
1	229156248	230685254	530	40	0.0000437764	0.000000011670
1	230685255	232090251	590	40	0.0000181229	0.000000012949
1	232090252	233429283	607	40	0.0000459253	0.000000015226
1	233429284	234599433	536	40	-0.0000166963	0.000000012315
1	234599434	235819435	385	40	0.0000569434	0.000000010208
1	235819436	237555627	735	40	0.0000358163	0.000000015549
1	237555628	238567806	429	40	0.0000026770	0.000000010167
1	238567807	239925313	490	40	0.0000342314	0.000000011840
1	239925314	240564090	343	40	0.0000340912	0.000000008504
1	240564091	241582219	521	40	-0.0000006843	0.000000014339
1	241582220	242071601	220	38	-0.0000069401	0.000000005513
1	242071602	244109498	622	40	0.0001832995	0.000000017031
1	244109499	245506745	520	40	0.0000729794	0.000000014503
1	245506746	247344517	711	40	-0.0000203983	0.000000014340
1	247344518	249239465	400	40	0.0000132346	0.000000010522
2	10133	1781021	663	40	0.0010512984	0.000000027747
2	1781022	3973778	968	40	0.0000839512	0.000000015738
2	3973779	5708336	631	40	0.0000402796	0.000000014854
2	5708337	6836253	565	40	0.0001223597	0.000000013809
2	6836254	8422146	656	40	0.0000140336	0.000000014806
2	8422147	10298468	674	40	0.0000621613	0.000000015618
2	10298469	12419149	974	40	0.0000665333	0.000000015568
2	12419150	14335307	593	40	0.0000314276	0.000000013054
2	14335308	16329734	748	40	0.0000835841	0.000000015472
2	16329735	18647422	860	40	0.0000521522	0.000000014963
2	18647423	19692403	385	40	0.0000216653	0.000000008949
2	19692404	21050489	640	40	-0.0000175286	0.000000013379
2	21050490	23341382	624	40	0.0000456913	0.000000013155
2	23341383	24686917	442	40	0.0000483162	0.000000009740
2	24686918	26894984	560	40	0.0004789399	0.000000018475
2	26894985	28598776	416	33	0.0002856337	0.000000008894
2	28598777	29217558	248	32	0.0000305024	0.000000005628
2	29217559	30463710	637	40	0.0001352195	0.000000016285
2	30463711	31550449	533	40	0.0001150889	0.000000014827
2	31550450	33363776	495	40	0.0000592947	0.000000013210
2	33363777	35345027	807	40	0.0000982829	0.000000015746
2	35345028	36122005	291	30	0.0000947120	0.000000007658
2	36122006	38132711	934	40	0.0000970395	0.000000015598
2	38132712	39031336	326	38	-0.0000101752	0.000000008226
2	39031337	40281482	303	32	-0.0000180890	0.000000007008
2	40281483	43309589	1311	40	0.0002558659	0.000000017198
2	43309590	44313802	403	40	0.0001006529	0.000000008733
2	44313803	46482633	1072	40	0.0000997118	0.000000015430
2	46482634	47318771	419	40	-0.0000434927	0.000000010866
2	47318772	48213000	300	40	-0.0000124033	0.000000008158
2	48213001	50022256	715	40	0.0001223911	0.000000015883
2	50022257	50818927	345	34	0.0000942706	0.000000009361
2	50818928	52491132	648	40	0.0000499928	0.000000014604
2	52491133	53508451	466	40	0.0000061468	0.000000010676
2	53508452	54685225	435	40	0.0001173388	0.000000011950
2	54685226	56203344	613	40	0.0001234756	0.000000015151
2	56203345	57429099	428	40	0.0000905814	0.000000011427
2	57429100	58297314	272	29	0.0001715099	0.000000008761
2	58297315	60291999	741	40	0.0005194099	0.000000021393
2	60292000	62429043	587	40	0.0000789032	0.000000014403
2	62429044	64625912	583	40	0.0001775456	0.000000015537
2	64625913	65933443	464	40	0.0001382487	0.000000012751
2	65933444	67226165	556	40	0.0000231379	0.000000012106
2	67226166	68010175	423	40	0.0000301982	0.000000009433
2	68010176	69139563	472	40	-0.0000153317	0.000000009618
2	69139564	70755197	535	40	0.0000257579	0.000000011230
2	70755198	73174847	803	40	0.0000230044	0.000000014770
2	73174848	75630085	724	40	0.0000433349	0.000000015318
2	75630086	76913660	515	40	0.0001143977	0.000000013297
2	76913661	78079263	394	40	0.0001169027	0.000000011947
2	78079264	80050402	826	40	0.0000855960	0.000000015274
2	80050403	81620840	579	40	0.0001380445	0.000000015926
2	81620841	85140679	891	40	0.0000051924	0.000000012327
2	85140680	88038506	634	40	0.0001259509	0.000000013776
2	88038507	89154525	245	30	0.0000478238	0.000000005590
2	89154526	95326451	4	2	0.0000037788	0.000000000297
2	95326452	98995200	427	40	-0.0000130346	0.000000008089
2	98995201	101822328	907	40	0.0001344598	0.000000016171
2	101822329	102688764	261	30	-0.0000130357	0.000000004720
2	102688765	103588214	406	36	0.0000022733	0.000000006358
2	103588215	105125033	304	40	0.0000804005	0.000000007680
2	105125034	106210057	406	40	0.0000784132	0.000000010359
2	106210058	107408266	444	40	-0.0000006546	0.000000009207
2	107408267	108429176	355	40	0.0000571721	0.000000007290
2	108429177	110572431	530	40	0.0000419254	0.000000011222
2	110572432	113921855	797	40	0.0000502551	0.000000014871
2	113921856	116772469	758	40	0.0000080523	0.000000014401
2	116772470	118367465	397	37	-0.0000045190	0.000000006833
2	118367466	121303782	993	40	0.0000669551	0.000000015160
2	121303783	123302905	578	40	0.0000544461	0.000000013620
2	123302906	124732249	430	40	0.0000191258	0.000000007778
2	124732250	125840920	381	40	0.0001184024	0.000000009614
2	125840921	127373763	409	37	0.0000814351	0.000000007891
2	127373764	128034346	288	40	0.0000154989	0.000000006575
2	128034347	129474440	433	40	-0.0000147916	0.000000008411
2	129474441	130067169	223	26	-0.0000193778	0.000000003881
2	130067170	130658084	203	26	0.0000654116	0.000000005179
2	130658085	133042783	213	35	0.0000635022	0.000000006378
2	133042784	135158577	916	40	0.0000444251	0.000000014986
2	135158578	137042793	457	40	0.0001253936	0.000000009497
2	137042794	138698116	595	40	0.0000581277	0.000000012942
2	138698117	140100270	436	40	0.0000035823	0.000000007255
2	140100271	141805350	569	40	-0.0000364414	0.000000011496
2	141805351	142518601	299	33	0.0000751793	0.000000008066
2	142518602	144519483	657	40	0.0001531790	0.000000015439
2	144519484	146445569	439	40	0.0001123587	0.000000010789
2	146445570	147277161	151	15	0.0000207949	0.000000003364
2	147277162	150210291	661	40	0.0000465505	0.000000012783
2	150210292	151731461	474	40	0.0001106057	0.000000011491
2	151731462	152486781	286	29	0.0000158661	0.000000005604
2	152486782	154005055	481	40	0.0000543472	0.000000010940
2	154005056	155391134	486	40	-0.0000164333	0.000000010141
2	155391135	157560634	554	40	0.0001261937	0.000000013049
2	157560635	158533217	172	25	-0.0000117612	0.000000004246
2	158533218	159577081	331	39	0.0000956359	0.000000008612
2	159577082	161769732	721	40	0.0001683635	0.000000015833
2	161769733	163503550	390	36	0.0000255104	0.000000006995
2	163503551	164466637	192	23	0.0000619174	0.000000005015
2	164466638	165178839	177	21	0.0001479739	0.000000005721
2	165178840	167160269	630	40	0.0001223177	0.000000013377
2	167160270	167355969	73	10	-0.0000114458	0.000000001353
2	167355970	169968235	830	40	0.0000565597	0.000000014090
2	169968236	171226244	490	40	0.0000257006	0.000000010755
2	171226245	173138904	574	40	0.0000939322	0.000000014290
2	173138905	175588928	843	40	0.0000948431	0.000000015656
2	175588929	177363635	533	40	0.0000739049	0.000000011903
2	177363636	178553182	475	40	-0.0000042797	0.000000008756
2	178553183	181312738	1009	40	0.0000934159	0.000000015354
2	181312739	182266030	298	32	0.0001532937	0.000000007983
2	182266031	184357607	615	40	0.0000136330	0.000000013035
2	184357608	185280172	232	25	-0.0000389681	0.000000003977
2	185280173	189882064	955	40	0.0001089474	0.000000015541
2	189882065	191973356	501	40	0.0000259204	0.000000010063
2	191973357	195861163	717	40	0.0000286190	0.000000014757
2	195861164	196447455	154	20	0.0000162384	0.000000003564
2	196447456	198078109	449	40	0.0000341734	0.000000008404
2	198078110	199311124	304	26	0.0001014069	0.000000006344
2	199311125	201576283	628	40	0.0000258090	0.000000012780
2	201576284	202818636	316	39	-0.0000126808	0.000000006389
2	202818637	205799240	745	40	0.0001525086	0.000000014796
2	205799241	206735703	404	40	0.0000155340	0.000000010649
2	206735704	208645398	657	40	0.0003106825	0.000000018922
2	208645399	209941528	335	40	-0.0000103072	0.000000007231
2	209941529	212379517	740	40	0.0002440275	0.000000017536
2	212379518	214014281	628	40	0.0000939266	0.000000015507
2	214014282	215573794	442	40	0.0000504898	0.000000010352
2	215573795	217715660	800	40	0.0000326724	0.000000015108
2	217715661	218395479	276	36	0.0000135516	0.000000006789
2	218395480	220454550	595	40	0.0002203625	0.000000015251
2	220454551	222521175	855	40	0.0000814511	0.000000015470
2	222521176	224859418	788	40	0.0000377010	0.000000015102
2	224859419	225840003	350	36	0.0000508142	0.000000007076
2	225840004	228119841	737	40	0.0002939671	0.000000017377
2	228119842	229370786	457	40	0.0000741175	0.000000010287
2	229370787	231843388	934	40	0.0000125548	0.000000014636
2	231843389	233550002	466	40	0.0000393075	0.000000010292
2	233550003	235150986	796	40	0.0000026706	0.000000014412
2	235150987	236043549	422	40	0.0000420405	0.000000012113
2	236043550	237449031	471	40	0.0000643291	0.000000011818
2	237449032	238760980	536	40	0.0000547497	0.000000012876
2	238760981	239952642	412	40	0.0000767017	0.000000010744
2	239952643	241560083	650	40	0.0000619682	0.000000015772
2	241560084	242149920	216	29	0.0000268543	0.000000005186
2	242149921	243188919	129	16	0.0000238475	0.000000003488
3	60157	1441778	619	40	0.0000022341	0.000000014289
3	1441779	2992119	901	40	0.0001195473	0.000000016325
3	2992120	4431646	771	40	-0.0000225969	0.000000014280
3	4431647	6083182	776	40	0.0001009712	0.000000016371
3	6083183	7083386	429	40	-0.0000143557	0.000000010881
3	7083387	8648560	861	40	0.0000542463	0.000000014839
3	8648561	9543182	489	40	0.0000615962	0.000000013692
3	9543183	11019664	596	40	0.0001344474	0.000000016850
3	11019665	13070798	738	40	0.0002093086	0.000000016506
3	13070799	14816899	794	40	0.0000544077	0.000000015526
3	14816900	16282441	531	40	0.0000818208	0.000000010960
3	16282442	17891117	500	40	0.0000208019	0.000000010754
3	17891118	19125143	342	40	0.0000577274	0.000000008469
