chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	-0.0000017538	0.000000001679
1	1892607	3582735	429	40	0.0000337169	0.000000008023
1	3582736	4380810	265	40	0.0000722050	0.000000005426
1	4380811	5913892	835	40	0.0000173829	0.000000010326
1	5913893	7247334	416	40	0.0000182413	0.000000006979
1	7247335	9365198	675	40	0.0000239832	0.000000010409
1	9365199	10806983	342	40	0.0000236033	0.000000005394
1	10806984	11777840	245	40	0.0000203154	0.000000004407
1	11777841	12779465	274	40	0.0000245092	0.000000005084
1	12779466	14891510	599	40	0.0000039613	0.000000010155
1	14891511	16897729	657	40	0.0000029649	0.000000010122
1	16897730	18662898	637	40	0.0000814635	0.000000011139
1	18662899	20469148	696	40	-0.0000131369	0.000000009938
1	20469149	21736587	443	40	0.0001311224	0.000000008652
1	21736588	23086882	499	40	0.0000371287	0.000000008996
1	23086883	23920589	217	28	0.0000427679	0.000000003988
1	23920590	25516844	507	40	-0.0000063373	0.000000008486
1	25516845	27401866	401	40	0.0000024173	0.000000005528
1	27401867	30161880	531	40	0.0000565018	0.000000008272
1	30161881	32438684	885	40	-0.0000087493	0.000000009994
1	32438685	34799757	656	40	0.0000243964	0.000000010354
1	34799758	37549182	542	40	-0.0000138302	0.000000008168
1	37549183	38731846	359	40	0.0000292520	0.000000005909
1	38731847	40200566	436	40	0.0000187058	0.000000007025
1	40200567	41975326	535	40	0.0000646856	0.000000008497
1	41975327	43758456	516	40	0.0001316183	0.000000008779
1	43758457	44969182	356	35	0.0000668995	0.000000005741
1	44969183	46899500	446	38	0.0000052621	0.000000004981
1	46899501	48002575	290	33	0.0000462384	0.000000004655
1	48002576	48978187	329	40	0.0000072774	0.000000005409
1	48978188	49894176	243	28	-0.0000100638	0.000000003781
1	49894177	51713725	249	24	0.0000292309	0.000000003234
1	51713726	54226261	552	40	0.0000190760	0.000000008646
1	54226262	56413116	804	40	0.0000055705	0.000000010176
1	56413117	57021727	260	30	0.0000188380	0.000000003886
1	57021728	58865398	827	40	0.0001098327	0.000000011499
1	58865399	59890408	370	40	0.0000792230	0.000000006320
1	59890409	61922364	652	40	-0.0000505268	0.000000009464
1	61922365	63455088	517	40	0.0000472076	0.000000008720
1	63455089	65041703	636	40	0.0000110829	0.000000008605
1	65041704	66939403	628	40	-0.0000063842	0.000000008768
1	66939404	68477894	663	40	0.0000313023	0.000000008842
1	68477895	69687615	362	40	0.0000128618	0.000000005701
1	69687616	71372469	503	40	0.0000067188	0.000000007277
1	71372470	71684404	82	10	-0.0000036219	0.000000000954
1	71684405	74326906	543	40	0.0000159450	0.000000006748
1	74326907	76728134	700	40	0.0000308359	0.000000008815
1	76728135	79661197	921	40	0.0000216399	0.000000010380
1	79661198	81354190	444	40	0.0000344632	0.000000007003
1	81354191	83991747	933	40	0.0000074076	0.000000010199
1	83991748	84844494	304	35	0.0000309313	0.000000004360
1	84844495	86454750	624	40	-0.0000211742	0.000000008965
1	86454751	88128630	546	40	-0.0000024929	0.000000007948
1	88128631	90066302	504	40	0.0001196089	0.000000008910
1	90066303	91886316	547	40	0.0000051996	0.000000007884
1	91886317	93536458	492	40	-0.0000272533	0.000000006019
1	93536459	94506190	252	26	0.0000534518	0.000000003802
1	94506191	96150892	627	40	0.0000124898	0.000000009534
1	96150893	97885248	584	40	0.0000319824	0.000000007617
1	97885249	99800603	623	40	0.0000555540	0.000000008866
1	99800604	100826404	306	35	-0.0000199139	0.000000003857
1	100826405	102041015	435	40	0.0000096986	0.000000006245
1	102041016	102898744	266	36	0.0000362928	0.000000004167
1	102898745	103914210	196	21	0.0000315128	0.000000002842
1	103914211	106087841	438	40	0.0000296204	0.000000006679
1	106087842	108409664	713	40	0.0000603798	0.000000010871
1	108409665	110303930	549	40	0.0000598171	0.000000008374
1	110303931	111741736	550	40	0.0000940587	0.000000010427
1	111741737	113273305	702	40	-0.0000091241	0.000000009989
1	113273306	114873844	501	40	0.0000139673	0.000000007712
1	114873845	115880592	336	36	0.0000480177	0.000000005100
1	115880593	118839066	813	40	0.0000557639	0.000000010813
1	118839067	144977493	547	40	0.0000594950	0.000000008390
1	144977494	148361252	423	40	-0.0000126309	0.000000006043
1	148361253	151538880	346	34	0.0000247726	0.000000004906
1	151538881	153180828	463	40	0.0000446921	0.000000006386
1	153180829	154770402	445	40	0.0000133373	0.000000006574
1	154770403	156336132	301	38	0.0000106615	0.000000004767
1	156336133	158027411	592	40	-0.0000042960	0.000000008754
1	158027412	159913047	654	40	0.0000198848	0.000000010134
1	159913048	162346720	851	40	0.0000071459	0.000000010196
1	162346721	165191701	1171	40	0.0000393214	0.000000010604
1	165191702	166460516	515	40	0.0000760511	0.000000009328
1	166460517	169086323	1073	40	0.0000182986	0.000000010337
1	169086324	170557775	546	40	0.0000881066	0.000000007885
1	170557776	173097906	870	40	0.0000054800	0.000000010175
1	173097907	175089767	404	32	0.0000379895	0.000000004430
1	175089768	177433380	761	40	0.0000362518	0.000000010484
1	177433381	178944308	475	40	-0.0000212064	0.000000006439
1	178944309	178954469	2	1	-0.0000030551	0.000000000001
1	178954470	181144120	725	40	0.0000225201	0.000000010026
1	181144121	182755355	583	40	0.0001544210	0.000000011172
1	182755356	184595512	609	40	0.0000253786	0.000000008463
1	184595513	186810022	510	40	0.0000271631	0.000000007072
1	186810023	188759944	604	40	0.0000258262	0.000000008428
1	188759945	189904129	210	16	0.0000330807	0.000000002761
1	189904130	191868929	529	40	0.0000953904	0.000000007372
1	191868930	194107441	546	40	0.0001355452	0.000000009355
1	194107442	196176200	553	40	0.0000397813	0.000000007434
1	196176201	197311513	189	16	0.0000389601	0.000000002535
1	197311514	199239883	492	40	0.0000863720	0.000000008145
1	199239884	200137648	292	35	-0.0000275246	0.000000003861
1	200137649	201589974	681	40	0.0001163961	0.000000011582
1	201589975	203334733	596	40	0.0000175506	0.000000009841
1	203334734	204681067	474	40	0.0000361398	0.000000007852
1	204681068	206073264	561	40	0.0000689611	0.000000009643
1	206073265	208410363	607	40	0.0000482167	0.000000010433
1	208410364	210787749	895	40	0.0000351442	0.000000010551
1	210787750	212842329	669	40	0.0000507281	0.000000010749
1	212842330	214578265	595	40	0.0000416107	0.000000010025
1	214578266	216243633	561	40	0.0001008161	0.000000009723
1	216243634	218705512	1058	40	-0.0000011866	0.000000010090
1	218705513	219590570	271	32	0.0000173892	0.000000004108
1	219590571	221858230	665	40	-0.0000052790	0.000000009653
1	221858231	222230219	170	21	0.0000727801	0.000000003785
1	222230220	224938519	444	40	-0.0000026594	0.000000006734
1	224938520	226810859	496	40	0.0000218465	0.000000007590
1	226810860	229156247	676	40	-0.0000079299	0.000000009255
1	229156248	230685254	520	40	0.0000568436	0.000000009145
1	230685255	232090251	578	40	0.0001252258	0.000000010519
1	232090252	233429283	583	40	0.0000036047	0.000000009867
1	233429284	234599433	515	40	-0.0000051603	0.000000008501
1	234599434	235819435	376	40	-0.0000327022	0.000000005890
1	235819436	237555627	697	40	0.0000381875	0.000000010590
1	237555628	238567806	417	40	0.0000713985	0.000000007774
1	238567807	239925313	479	40	0.0000311840	0.000000008335
1	239925314	240564090	328	40	0.0000210607	0.000000005664
1	240564091	241582219	509	40	-0.0000062485	0.000000009195
1	241582220	242071601	212	38	0.0000153880	0.000000003922
1	242071602	244109498	605	40	0.0000051104	0.000000009744
1	244109499	245506745	501	40	0.0000521444	0.000000009167
1	245506746	247344517	682	40	0.0001279302	0.000000011728
1	247344518	249239465	379	40	0.0000754121	0.000000007159
2	10133	1781021	654	40	0.0000510636	0.000000010753
2	1781022	3973778	957	40	0.0000988114	0.000000011359
2	3973779	5708336	623	40	0.0000213711	0.000000010376
2	5708337	6836253	555	40	0.0001234003	0.000000009989
2	6836254	8422146	648	40	0.0001095141	0.000000011495
2	8422147	10298468	671	40	0.0000070531	0.000000010195
2	10298469	12419149	969	40	-0.0000090796	0.000000009990
2	12419150	14335307	592	40	-0.0000389250	0.000000008477
2	14335308	16329734	741	40	-0.0000165619	0.000000009895
2	16329735	18647422	856	40	-0.0000044930	0.000000010048
2	18647423	19692403	383	40	0.0000934942	0.000000007307
2	19692404	21050489	637	40	-0.0000030810	0.000000009782
2	21050490	23341382	617	40	0.0001638701	0.000000012184
2	23341383	24686917	432	40	0.0000795256	0.000000007453
2	24686918	26894984	553	40	0.0001043942	0.000000009647
2	26894985	28598776	412	33	0.0000245618	0.000000005890
2	28598777	29217558	247	32	0.0000502456	0.000000004524
2	29217559	30463710	634	40	0.0000525811	0.000000010772
2	30463711	31550449	529	40	-0.0000105357	0.000000009019
2	31550450	33363776	493	40	0.0000334257	0.000000009273
2	33363777	35345027	797	40	0.0000664527	0.000000010948
2	35345028	36122005	289	30	0.0000298971	0.000000004870
2	36122006	38132711	913	40	-0.0000114082	0.000000009960
2	38132712	39031336	322	37	0.0000298103	0.000000006299
2	39031337	40281482	298	31	-0.0000078788	0.000000005116
2	40281483	43309589	1299	40	0.0000451052	0.000000010677
2	43309590	44313802	400	40	0.0000355326	0.000000007400
2	44313803	46482633	1059	40	-0.0000023115	0.000000010076
2	46482634	47318771	415	40	0.0000585259	0.000000008883
2	47318772	48213000	298	40	0.0000742616	0.000000006680
2	48213001	50022256	709	40	0.0000137774	0.000000010280
2	50022257	50818927	344	34	0.0000303954	0.000000006064
2	50818928	52491132	643	40	0.0000143144	0.000000010287
2	52491133	53508451	464	40	0.0000206586	0.000000007878
2	53508452	54685225	428	40	0.0000052675	0.000000007299
2	54685226	56203344	606	40	0.0000514934	0.000000010758
2	56203345	57429099	427	40	0.0000642894	0.000000008148
2	57429100	58297314	272	29	0.0000042766	0.000000004586
2	58297315	60291999	732	40	0.0001082665	0.000000011479
2	60292000	62429043	583	40	0.0001148275	0.000000011420
2	62429044	64625912	581	40	0.0000471326	0.000000010055
2	64625913	65933443	462	40	0.0000728041	0.000000008620
2	65933444	67226165	548	40	-0.0000253267	0.000000008144
2	67226166	68010175	419	40	0.0000321426	0.000000006913
2	68010176	69139563	468	40	-0.0000349544	0.000000006628
2	69139564	70755197	534	40	0.0001361712	0.000000009504
2	70755198	73174847	793	40	-0.0000065665	0.000000010022
2	73174848	75630085	719	40	0.0000405349	0.000000010619
