chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	19	0.0001424381	0.000000002452
1	1892607	3582735	445	40	0.0008038170	0.000000011415
1	3582736	4380810	279	40	0.0002255599	0.000000004397
1	4380811	5913892	876	40	0.0000514279	0.000000005036
1	5913893	7247334	434	40	0.0001690551	0.000000004722
1	7247335	9365198	702	40	0.0003826517	0.000000007864
1	9365199	10806983	354	40	0.0003511861	0.000000005420
1	10806984	11777840	259	40	0.0002855848	0.000000004612
1	11777841	12779465	291	40	0.0000792656	0.000000003290
1	12779466	14891510	617	40	0.0001952906	0.000000006305
1	14891511	16897729	692	40	0.0001204700	0.000000005686
1	16897730	18662898	672	40	0.0005709270	0.000000009711
1	18662899	20469148	730	40	0.0003920779	0.000000008223
1	20469149	21736587	462	40	0.0004913939	0.000000007393
1	21736588	23086882	526	40	0.0003799849	0.000000007354
1	23086883	23920589	223	28	0.0004966498	0.000000005798
1	23920590	25516844	526	40	0.0003965373	0.000000007471
1	25516845	27401866	413	40	0.0007050524	0.000000008630
1	27401867	30161880	558	40	0.0003355802	0.000000006578
1	30161881	32438684	935	40	0.0003995210	0.000000007944
1	32438685	34799757	677	40	0.0001992330	0.000000006281
1	34799758	37549182	558	40	0.0002311293	0.000000006034
1	37549183	38731846	375	40	0.0004069725	0.000000006033
1	38731847	40200566	449	40	0.0001706933	0.000000004647
1	40200567	41975326	558	40	0.0007331795	0.000000009781
1	41975327	43758456	548	40	0.0004447489	0.000000007099
1	43758457	44969182	373	36	0.0001354021	0.000000003417
1	44969183	46899500	461	39	0.0004477727	0.000000006036
1	46899501	48002575	297	33	0.0004574121	0.000000005677
1	48002576	48978187	345	40	0.0003042179	0.000000004980
1	48978188	49894176	248	28	0.0000294325	0.000000001988
1	49894177	51713725	260	25	0.0002831145	0.000000003702
1	51713726	54226261	567	40	0.0004185874	0.000000007417
1	54226262	56413116	840	40	0.0003126349	0.000000007260
1	56413117	57021727	271	31	0.0002372945	0.000000003671
1	57021728	58865398	856	40	0.0001677741	0.000000005989
1	58865399	59890408	384	40	0.0002003640	0.000000004144
1	59890409	61922364	675	40	0.0002160877	0.000000006393
1	61922365	63455088	534	40	0.0001966818	0.000000005486
1	63455089	65041703	657	40	0.0001711949	0.000000005300
1	65041704	66939403	655	40	0.0003817846	0.000000007250
1	66939404	68477894	692	40	0.0003465975	0.000000006800
1	68477895	69687615	389	40	0.0001082885	0.000000003559
1	69687616	71372469	523	40	0.0001749049	0.000000004843
1	71372470	71684404	83	10	0.0000494594	0.000000000858
1	71684405	74326906	563	40	0.0001473524	0.000000004190
1	74326907	76728134	732	40	0.0003407741	0.000000006721
1	76728135	79661197	962	40	0.0003215456	0.000000007372
1	79661198	81354190	479	40	0.0001326823	0.000000004211
1	81354191	83991747	979	40	0.0001558874	0.000000005843
1	83991748	84844494	317	36	0.0002002781	0.000000003600
1	84844495	86454750	656	40	0.0003427771	0.000000007182
1	86454751	88128630	579	40	0.0003545792	0.000000006920
1	88128631	90066302	527	40	0.0004779160	0.000000007449
1	90066303	91886316	568	40	0.0001591775	0.000000005062
1	91886317	93536458	514	40	0.0005180334	0.000000007382
1	93536459	94506190	257	27	0.0002453056	0.000000003566
1	94506191	96150892	652	40	0.0002780739	0.000000006633
1	96150893	97885248	615	40	0.0002039461	0.000000005074
1	97885249	99800603	646	40	0.0001269876	0.000000004870
1	99800604	100826404	340	37	0.0001139003	0.000000002868
1	100826405	102041015	454	40	0.0002050231	0.000000004572
1	102041016	102898744	281	37	0.0001555563	0.000000003124
1	102898745	103914210	201	21	0.0003910913	0.000000004409
1	103914211	106087841	464	40	0.0001568601	0.000000004325
1	106087842	108409664	726	40	0.0000664913	0.000000005092
1	108409665	110303930	567	40	0.0002053111	0.000000005359
1	110303931	111741736	573	40	0.0001752434	0.000000005875
1	111741737	113273305	726	40	0.0004411511	0.000000008325
1	113273306	114873844	515	40	0.0001390922	0.000000004683
1	114873845	115880592	346	37	0.0001505990	0.000000003297
1	115880593	118839066	846	40	0.0002503032	0.000000006781
1	118839067	144977493	570	40	0.0011266983	0.000000012982
1	144977494	148361252	436	40	0.0004934599	0.000000006961
1	148361253	151538880	352	34	0.0013756891	0.000000013733
1	151538881	153180828	476	40	0.0002152608	0.000000004498
1	153180829	154770402	463	40	0.0001443266	0.000000004265
1	154770403	156336132	307	38	0.0002616805	0.000000004377
1	156336133	158027411	600	40	0.0003080466	0.000000006727
1	158027412	159913047	689	40	0.0000982932	0.000000005550
1	159913048	162346720	887	40	0.0003058673	0.000000007285
1	162346721	165191701	1201	40	0.0001708075	0.000000006014
1	165191702	166460516	532	40	0.0003057118	0.000000006470
1	166460517	169086323	1119	40	0.0002951621	0.000000007256
1	169086324	170557775	566	40	0.0002162690	0.000000004946
1	170557776	173097906	906	40	0.0012950337	0.000000015507
1	173097907	175089767	415	32	0.0002166397	0.000000003595
1	175089768	177433380	789	40	0.0006557192	0.000000010123
1	177433381	178944308	494	40	0.0001493995	0.000000004265
1	178944309	178954469	2	1	0.0000140965	0.000000000162
1	178954470	181144120	756	40	0.0002346058	0.000000006469
1	181144121	182755355	602	40	0.0002165499	0.000000006068
1	182755356	184595512	631	40	0.0012978878	0.000000014766
1	184595513	186810022	526	40	0.0002236016	0.000000004993
