chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	20	0.0001327774	0.000000008176
1	1892607	3582735	427	40	0.0003923879	0.000000032008
1	3582736	4380810	267	40	0.0001997224	0.000000018374
1	4380811	5913892	846	40	0.0000754802	0.000000033019
1	5913893	7247334	420	40	0.0002466695	0.000000026502
1	7247335	9365198	679	40	0.0003917850	0.000000040042
1	9365199	10806983	344	40	0.0002298268	0.000000020788
1	10806984	11777840	250	40	0.0001938138	0.000000017247
1	11777841	12779465	273	40	0.0000983148	0.000000016817
1	12779466	14891510	602	40	0.0000711839	0.000000032923
1	14891511	16897729	655	40	0.0001678127	0.000000034876
1	16897730	18662898	640	40	0.0001647258	0.000000035001
1	18662899	20469148	699	40	0.0001439504	0.000000034539
1	20469149	21736587	445	40	0.0002509425	0.000000027228
1	21736588	23086882	502	40	0.0001558028	0.000000029941
1	23086883	23920589	219	28	0.0000598328	0.000000011989
1	23920590	25516844	510	40	0.0000512116	0.000000027749
1	25516845	27401866	403	40	0.0000144220	0.000000017273
1	27401867	30161880	535	40	0.0000271654	0.000000024041
1	30161881	32438684	887	40	0.0001185512	0.000000033975
1	32438685	34799757	658	40	0.0001058627	0.000000033629
1	34799758	37549182	540	40	0.0000224707	0.000000026094
1	37549183	38731846	364	40	0.0001946055	0.000000021449
1	38731847	40200566	436	40	0.0003103266	0.000000027785
1	40200567	41975326	538	40	0.0001162625	0.000000026396
1	41975327	43758456	521	40	0.0001540511	0.000000025524
1	43758457	44969182	359	35	0.0003682260	0.000000023162
1	44969183	46899500	446	38	0.0000685296	0.000000016595
1	46899501	48002575	289	33	0.0001430789	0.000000015566
1	48002576	48978187	331	40	0.0000423183	0.000000017327
1	48978188	49894176	243	28	0.0000334951	0.000000012709
1	49894177	51713725	254	25	0.0000721674	0.000000010530
1	51713726	54226261	553	40	0.0002218692	0.000000030961
1	54226262	56413116	813	40	0.0001364028	0.000000034372
1	56413117	57021727	260	30	0.0001049647	0.000000013482
1	57021728	58865398	828	40	0.0001920468	0.000000035607
1	58865399	59890408	369	40	0.0004264705	0.000000025702
1	59890409	61922364	657	40	0.0002284549	0.000000036416
1	61922365	63455088	517	40	0.0001399598	0.000000028190
1	63455089	65041703	635	40	-0.0000668053	0.000000024622
1	65041704	66939403	636	40	0.0003900692	0.000000036350
1	66939404	68477894	669	40	0.0003020620	0.000000032803
1	68477895	69687615	375	40	0.0000743762	0.000000018913
1	69687616	71372469	507	40	0.0000552019	0.000000023523
1	71372470	71684404	82	10	0.0000847640	0.000000004913
