chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	0.0002756672	0.000000013279
1	1892607	3582735	437	32	0.0003956568	0.000000037797
1	3582736	4380810	272	32	0.0001169739	0.000000019898
1	4380811	5913892	866	32	0.0002284589	0.000000040556
1	5913893	7247334	430	32	0.0001711347	0.000000028321
1	7247335	9365198	698	32	0.0002014617	0.000000040152
1	9365199	10806983	353	32	0.0001010354	0.000000020514
1	10806984	11777840	258	32	0.0002277794	0.000000020968
1	11777841	12779465	282	32	0.0002740570	0.000000024138
1	12779466	14891510	617	32	0.0000556055	0.000000036930
1	14891511	16897729	687	32	0.0001530162	0.000000039158
1	16897730	18662898	658	32	0.0001617781	0.000000039666
1	18662899	20469148	710	32	0.0001666885	0.000000039384
1	20469149	21736587	460	32	0.0000021024	0.000000024809
1	21736588	23086882	522	32	0.0001508851	0.000000034560
1	23086883	23920589	222	28	0.0001416997	0.000000015192
1	23920590	25516844	521	32	0.0000606157	0.000000032247
1	25516845	27401866	414	32	0.0005030614	0.000000031148
1	27401867	30161880	551	32	0.0000567310	0.000000028444
1	30161881	32438684	933	32	0.0001677430	0.000000039207
1	32438685	34799757	675	32	0.0000660264	0.000000036795
1	34799758	37549182	550	32	0.0002178893	0.000000034298
1	37549183	38731846	372	32	0.0000807928	0.000000021524
1	38731847	40200566	446	32	0.0000328534	0.000000024928
1	40200567	41975326	554	32	0.0000514053	0.000000028481
1	41975327	43758456	543	32	0.0002386345	0.000000031118
1	43758457	44969182	371	32	0.0001541226	0.000000020803
1	44969183	46899500	457	32	0.0002608049	0.000000023095
1	46899501	48002575	296	32	0.0002278722	0.000000018977
1	48002576	48978187	344	32	0.0002640198	0.000000024897
1	48978188	49894176	247	28	0.0002127722	0.000000018229
1	49894177	51713725	260	25	0.0002038876	0.000000014748
1	51713726	54226261	562	32	0.0001557912	0.000000033017
1	54226262	56413116	834	32	0.0000010846	0.000000035435
1	56413117	57021727	271	31	0.0000806251	0.000000014459
1	57021728	58865398	847	32	0.0003263829	0.000000042603
1	58865399	59890408	382	32	0.0002056961	0.000000023407
1	59890409	61922364	670	32	0.0000337684	0.000000035659
1	61922365	63455088	532	32	0.0002067950	0.000000033697
1	63455089	65041703	659	32	0.0000680870	0.000000031411
1	65041704	66939403	649	32	0.0002778653	0.000000037064
1	66939404	68477894	686	32	0.0003467086	0.000000037451
1	68477895	69687615	386	32	0.0002464506	0.000000025635
1	69687616	71372469	517	32	0.0000213787	0.000000025405
1	71372470	71684404	82	10	0.0000593257	0.000000004652
1	71684405	74326906	558	32	0.0001236852	0.000000025101
1	74326907	76728134	726	32	0.0000897130	0.000000031347
1	76728135	79661197	946	32	0.0000771259	0.000000036599
1	79661198	81354190	475	32	0.0002189552	0.000000028538
1	81354191	83991747	971	32	0.0000857753	0.000000037106
1	83991748	84844494	313	32	0.0001193652	0.000000016352
1	84844495	86454750	650	32	0.0002884765	0.000000039476
1	86454751	88128630	568	32	0.0001770444	0.000000032882
1	88128631	90066302	522	32	0.0000198165	0.000000026213
1	90066303	91886316	559	32	0.0001801199	0.000000031368
1	91886317	93536458	507	32	0.0000362370	0.000000022554
1	93536459	94506190	255	26	0.0002861878	0.000000017220
1	94506191	96150892	649	32	0.0000580486	0.000000034340
1	96150893	97885248	602	32	0.0002328229	0.000000030184
1	97885249	99800603	638	32	0.0001231677	0.000000031290
1	99800604	100826404	339	32	0.0001995526	0.000000019074
1	100826405	102041015	445	32	0.0001927879	0.000000025450
1	102041016	102898744	276	32	0.0001295885	0.000000016157
1	102898745	103914210	201	21	0.0000722171	0.000000010024
1	103914211	106087841	454	32	0.0002731455	0.000000028598
1	106087842	108409664	727	32	0.0000470616	0.000000035729
1	108409665	110303930	565	32	0.0000966994	0.000000029206
1	110303931	111741736	566	32	0.0001046217	0.000000035210
1	111741737	113273305	720	32	0.0002423756	0.000000040779
