chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	98	18	-0.0000723876	0.0000000081
1	1892607	3582735	440	40	0.0000152401	0.0000000232
1	3582736	4380810	273	40	0.0001526497	0.0000000178
1	4380811	5913892	871	40	-0.0000408423	0.0000000285
1	5913893	7247334	430	40	-0.0000122922	0.0000000213
1	7247335	9365198	701	40	-0.0000858927	0.0000000283
1	9365199	10806983	352	40	-0.0001558929	0.0000000193
1	10806984	11777840	259	40	0.0000227722	0.0000000150
1	11777841	12779465	282	40	-0.0001012913	0.0000000132
1	12779466	14891510	618	40	0.0000182608	0.0000000282
1	14891511	16897729	691	40	0.0000268459	0.0000000304
1	16897730	18662898	666	40	-0.0001469405	0.0000000279
1	18662899	20469148	715	40	-0.0000578996	0.0000000267
1	20469149	21736587	461	40	-0.0000904414	0.0000000213
1	21736588	23086882	523	40	-0.0001999778	0.0000000364
1	23086883	23920589	222	28	-0.0000340642	0.0000000119
1	23920590	25516844	522	40	0.0000071216	0.0000000267
1	25516845	27401866	413	40	0.0001341772	0.0000000209
1	27401867	30161880	553	40	-0.0001486620	0.0000000244
1	30161881	32438684	938	40	-0.0000948293	0.0000000281
1	32438685	34799757	675	40	-0.0001395015	0.0000000305
1	34799758	37549182	552	40	-0.0000538283	0.0000000243
1	37549183	38731846	373	40	-0.0000664819	0.0000000162
1	38731847	40200566	447	40	-0.0000485589	0.0000000234
1	40200567	41975326	555	40	-0.0001159476	0.0000000276
1	41975327	43758456	543	40	-0.0001216602	0.0000000293
1	43758457	44969182	371	35	0.0000780863	0.0000000172
1	44969183	46899500	458	38	0.0000506375	0.0000000162
1	46899501	48002575	297	33	0.0000168564	0.0000000128
1	48002576	48978187	344	40	0.0000080383	0.0000000175
1	48978188	49894176	247	28	-0.0000413776	0.0000000118
1	49894177	51713725	260	25	-0.0000292586	0.0000000111
1	51713726	54226261	563	40	0.0001125154	0.0000000232
1	54226262	56413116	839	40	0.0000865193	0.0000000324
1	56413117	57021727	272	31	0.0000092733	0.0000000143
1	57021728	58865398	851	40	-0.0000480246	0.0000000278
1	58865399	59890408	383	40	-0.0000581710	0.0000000214
1	59890409	61922364	671	40	-0.0002130860	0.0000000310
1	61922365	63455088	534	40	-0.0002134435	0.0000000253
1	63455089	65041703	658	40	0.0000221904	0.0000000236
1	65041704	66939403	649	40	-0.0000142557	0.0000000303
1	66939404	68477894	687	40	-0.0000268909	0.0000000294
1	68477895	69687615	389	40	0.0001348571	0.0000000167
1	69687616	71372469	520	40	0.0000642803	0.0000000225
1	71372470	71684404	82	10	-0.0000275479	0.0000000030
1	71684405	74326906	559	40	0.0000735602	0.0000000203
1	74326907	76728134	727	40	0.0001082936	0.0000000248
1	76728135	79661197	949	40	-0.0000186150	0.0000000293
1	79661198	81354190	475	40	-0.0000192439	0.0000000206
1	81354191	83991747	973	40	0.0000142617	0.0000000269
1	83991748	84844494	314	35	0.0000978301	0.0000000146
1	84844495	86454750	652	40	-0.0000066983	0.0000000288
1	86454751	88128630	573	40	-0.0001042543	0.0000000249
1	88128631	90066302	523	40	0.0001343365	0.0000000228
1	90066303	91886316	563	40	0.0001755716	0.0000000249
1	91886317	93536458	509	40	-0.0000910837	0.0000000214
1	93536459	94506190	255	26	0.0000076401	0.0000000091
1	94506191	96150892	651	40	0.0000290338	0.0000000287
1	96150893	97885248	606	40	-0.0000157252	0.0000000220
1	97885249	99800603	640	40	0.0000914769	0.0000000251
1	99800604	100826404	339	37	0.0001297713	0.0000000167
1	100826405	102041015	447	40	0.0000067155	0.0000000162
1	102041016	102898744	281	37	0.0000295755	0.0000000151
1	102898745	103914210	201	21	0.0000522120	0.0000000083
1	103914211	106087841	455	40	0.0000277923	0.0000000186
1	106087842	108409664	730	40	-0.0002495552	0.0000000292
1	108409665	110303930	567	40	-0.0000455751	0.0000000244
1	110303931	111741736	571	40	0.0000397219	0.0000000282
1	111741737	113273305	721	40	0.0000190740	0.0000000280
1	113273306	114873844	512	40	-0.0001380010	0.0000000242
1	114873845	115880592	346	37	-0.0000463144	0.0000000170
1	115880593	118839066	838	40	0.0000190901	0.0000000290
1	118839067	144977493	566	40	0.0001062906	0.0000000270
1	144977494	148361252	432	40	0.0000516997	0.0000000217
1	148361253	151538880	349	34	0.0001011222	0.0000000157
1	151538881	153180828	468	40	0.0000826337	0.0000000187
1	153180829	154770402	460	40	-0.0001232202	0.0000000200
1	154770403	156336132	307	38	-0.0000236713	0.0000000249
1	156336133	158027411	599	40	-0.0000621580	0.0000000281
1	158027412	159913047	686	40	-0.0000328821	0.0000000301
1	159913048	162346720	876	40	-0.0000986650	0.0000000342
1	162346721	165191701	1204	40	0.0000936251	0.0000000293
1	165191702	166460516	533	40	0.0000917339	0.0000000262
1	166460517	169086323	1107	40	-0.0000105077	0.0000000307
1	169086324	170557775	560	40	0.0000297546	0.0000000230
1	170557776	173097906	903	40	-0.0000044049	0.0000000318
1	173097907	175089767	412	32	0.0000520006	0.0000000131
1	175089768	177433380	785	40	0.0000014677	0.0000000314
1	177433381	178944308	492	40	-0.0001044420	0.0000000200
1	178944309	178954469	2	1	0.0000113269	0.0000000001
1	178954470	181144120	752	40	0.0000559973	0.0000000279
1	181144121	182755355	601	40	-0.0002220442	0.0000000292
1	182755356	184595512	630	40	0.0000970460	0.0000000245
1	184595513	186810022	523	40	0.0002084442	0.0000000236
1	186810023	188759944	619	40	-0.0001235264	0.0000000257
1	188759945	189904129	220	18	0.0000994820	0.0000000081
1	189904130	191868929	538	40	0.0000653892	0.0000000197
1	191868930	194107441	584	40	-0.0000001436	0.0000000237
1	194107442	196176200	580	40	-0.0000113186	0.0000000201
1	196176201	197311513	197	16	-0.0000166054	0.0000000058
1	197311514	199239883	504	40	0.0001080305	0.0000000225
1	199239884	200137648	301	36	0.0001520910	0.0000000149
1	200137649	201589974	711	40	-0.0000097731	0.0000000308
1	201589975	203334733	617	40	-0.0000962161	0.0000000303
