chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	14	0.0001492485	0.000000068247
1	1892607	3582735	404	14	0.0000432019	0.000000238560
1	3582736	4380810	262	14	0.0000337033	0.000000129136
1	4380811	5913892	862	14	0.0000405663	0.000000274735
1	5913893	7247334	409	14	0.0000766094	0.000000173758
1	7247335	9365198	680	14	0.0000014563	0.000000272869
1	9365199	10806983	338	14	0.0001673030	0.000000141427
1	10806984	11777840	246	14	0.0001819000	0.000000128604
1	11777841	12779465	276	14	0.0003571075	0.000000169634
1	12779466	14891510	606	14	0.0003100308	0.000000296925
1	14891511	16897729	656	14	0.0000021374	0.000000274715
1	16897730	18662898	636	14	0.0001545591	0.000000291853
1	18662899	20469148	684	14	0.0001389068	0.000000291462
1	20469149	21736587	450	14	0.0001297474	0.000000194376
1	21736588	23086882	506	14	0.0001641731	0.000000243364
1	23086883	23920589	214	14	0.0003367928	0.000000098470
1	23920590	25516844	499	14	0.0003093560	0.000000244623
1	25516845	27401866	386	14	0.0004300086	0.000000154085
1	27401867	30161880	523	14	0.0001352446	0.000000205247
1	30161881	32438684	902	14	0.0002919702	0.000000280890
1	32438685	34799757	644	14	0.0000850253	0.000000266702
1	34799758	37549182	526	14	-0.0000081241	0.000000208426
1	37549183	38731846	357	14	0.0007230512	0.000000176976
1	38731847	40200566	424	14	0.0006635033	0.000000213484
1	40200567	41975326	540	14	0.0001086354	0.000000200263
1	41975327	43758456	532	14	0.0001206237	0.000000181861
1	43758457	44969182	351	14	0.0002781090	0.000000130335
1	44969183	46899500	440	14	0.0001575024	0.000000115622
1	46899501	48002575	280	14	0.0011385715	0.000000156666
1	48002576	48978187	339	14	0.0002119395	0.000000137012
1	48978188	49894176	237	14	0.0004030103	0.000000105456
1	49894177	51713725	251	14	0.0000698260	0.000000064714
1	51713726	54226261	546	14	0.0001760848	0.000000221828
1	54226262	56413116	812	14	0.0001106138	0.000000279350
1	56413117	57021727	265	14	0.0001649506	0.000000092079
1	57021728	58865398	824	14	0.0002684953	0.000000280569
1	58865399	59890408	371	14	0.0000755521	0.000000130490
1	59890409	61922364	660	14	0.0000587063	0.000000276468
1	61922365	63455088	522	14	0.0004239873	0.000000248861
1	63455089	65041703	642	14	0.0001397496	0.000000223201
1	65041704	66939403	634	14	0.0002987764	0.000000233563
1	66939404	68477894	663	14	0.0001716062	0.000000214784
1	68477895	69687615	383	14	0.0000295211	0.000000149666
1	69687616	71372469	506	14	-0.0000460647	0.000000181075
1	71372470	71684404	81	10	0.0000634843	0.000000023769
1	71684405	74326906	558	14	0.0001760499	0.000000169405
1	74326907	76728134	711	14	-0.0000440630	0.000000210179
1	76728135	79661197	923	14	-0.0000739486	0.000000263235
1	79661198	81354190	470	14	0.0000103693	0.000000168903
1	81354191	83991747	965	14	0.0000609142	0.000000278666
1	83991748	84844494	304	14	0.0001499846	0.000000100850
1	84844495	86454750	634	14	0.0001888772	0.000000250121
1	86454751	88128630	551	14	0.0003426768	0.000000228756
1	88128631	90066302	515	14	0.0001693217	0.000000197079
1	90066303	91886316	552	14	0.0002412696	0.000000217711
1	91886317	93536458	500	14	0.0001024810	0.000000159320
1	93536459	94506190	245	14	0.0001788937	0.000000081473
1	94506191	96150892	640	14	0.0002291910	0.000000261953
1	96150893	97885248	598	14	0.0001488157	0.000000187910
1	97885249	99800603	632	14	-0.0000374644	0.000000212988
1	99800604	100826404	329	14	-0.0000293692	0.000000094710
1	100826405	102041015	439	14	0.0001795738	0.000000153385
1	102041016	102898744	271	14	0.0000736686	0.000000103890
1	102898745	103914210	196	14	0.0001527447	0.000000061102
1	103914211	106087841	452	14	-0.0000615172	0.000000158867
1	106087842	108409664	721	14	0.0000017306	0.000000272276
1	108409665	110303930	551	14	0.0001860319	0.000000224551
1	110303931	111741736	559	14	0.0001603454	0.000000272195
1	111741737	113273305	691	14	0.0000390606	0.000000266002
1	113273306	114873844	497	14	-0.0000202791	0.000000192296
1	114873845	115880592	338	14	0.0001811775	0.000000112693
1	115880593	118839066	806	14	0.0003424493	0.000000291109
1	118839067	144977493	557	14	0.0001059394	0.000000194812
1	144977494	148361252	425	14	0.0002651442	0.000000153656
1	148361253	151538880	332	14	0.0002784246	0.000000117621
1	151538881	153180828	450	14	0.0000045433	0.000000131342
1	153180829	154770402	444	14	0.0002710605	0.000000174404
1	154770403	156336132	280	14	0.0001766277	0.000000115735
1	156336133	158027411	576	14	0.0000354095	0.000000230921
1	158027412	159913047	665	14	0.0002459733	0.000000299537
1	159913048	162346720	859	14	0.0000750531	0.000000285999
1	162346721	165191701	1171	14	0.0002036700	0.000000280446
1	165191702	166460516	514	14	0.0001165064	0.000000221954
1	166460517	169086323	1078	14	0.0002113418	0.000000288695
1	169086324	170557775	547	14	0.0002188351	0.000000169551
1	170557776	173097906	893	14	0.0001050572	0.000000265819
1	173097907	175089767	399	14	0.0000080805	0.000000086963
1	175089768	177433380	763	14	-0.0000140641	0.000000256214
1	177433381	178944308	494	14	0.0003125169	0.000000180671
1	178944309	178954469	2	1	0.0002964970	0.000000043061
1	178954470	181144120	711	14	-0.0000171952	0.000000232558
1	181144121	182755355	577	14	0.0001069801	0.000000235727
1	182755356	184595512	607	14	0.0002795298	0.000000227487
1	184595513	186810022	499	14	0.0002127988	0.000000174070
1	186810023	188759944	616	14	0.0002884084	0.000000218884
1	188759945	189904129	216	14	-0.0000213218	0.000000053510
1	189904130	191868929	537	14	0.0001281344	0.000000143222
1	191868930	194107441	576	14	0.0000700521	0.000000194235
1	194107442	196176200	577	14	0.0000431998	0.000000171879
1	196176201	197311513	188	14	0.0001754855	0.000000056514
1	197311514	199239883	501	14	0.0000873404	0.000000177011
1	199239884	200137648	296	14	0.0001814417	0.000000109713
1	200137649	201589974	685	14	0.0001178043	0.000000287259
1	201589975	203334733	590	14	0.0001645233	0.000000277600
1	203334734	204681067	471	14	0.0000652101	0.000000194888
1	204681068	206073264	558	14	0.0007957073	0.000000279824
1	206073265	208410363	603	14	0.0000723063	0.000000262711
1	208410364	210787749	907	14	0.0002493352	0.000000280408
1	210787750	212842329	685	14	0.0003060618	0.000000286094
1	212842330	214578265	605	14	0.0000564727	0.000000266673
1	214578266	216243633	578	14	0.0001297323	0.000000217057
1	216243634	218705512	1069	14	0.0001682233	0.000000266904
1	218705513	219590570	279	14	0.0001887199	0.000000099223
1	219590571	221858230	678	14	0.0001798986	0.000000258912
1	221858231	222230219	171	14	0.0002515719	0.000000075943
1	222230220	224938519	462	14	0.0002551503	0.000000190077
1	224938520	226810859	498	14	0.0000963285	0.000000189728
1	226810860	229156247	654	14	0.0001350729	0.000000246326
1	229156248	230685254	520	14	0.0002209072	0.000000242527
1	230685255	232090251	573	14	0.0000215323	0.000000244251
1	232090252	233429283	598	14	0.0002037887	0.000000300711
1	233429284	234599433	519	14	0.0001425294	0.000000237999
1	234599434	235819435	369	14	0.0001566279	0.000000186302
1	235819436	237555627	690	14	-0.0000325776	0.000000272431
