chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	81	17	0.0001263628	0.000000006933
1	1892607	3582735	370	40	0.0003866883	0.000000029627
1	3582736	4380810	241	40	0.0001955281	0.000000017832
1	4380811	5913892	848	40	0.0000868107	0.000000033616
1	5913893	7247334	357	40	0.0002237419	0.000000023453
1	7247335	9365198	637	40	0.0003796209	0.000000040155
1	9365199	10806983	298	40	0.0001921126	0.000000018511
1	10806984	11777840	221	40	0.0001442089	0.000000015308
1	11777841	12779465	189	40	0.0000591400	0.000000012226
1	12779466	14891510	570	40	0.0000645025	0.000000032211
1	14891511	16897729	591	40	0.0001779957	0.000000033128
1	16897730	18662898	569	40	0.0001159775	0.000000032260
1	18662899	20469148	626	40	0.0001371518	0.000000034740
1	20469149	21736587	394	40	0.0002269215	0.000000024731
1	21736588	23086882	446	40	0.0001221195	0.000000026928
1	23086883	23920589	181	26	0.0000416325	0.000000010399
1	23920590	25516844	445	40	0.0000249719	0.000000024762
1	25516845	27401866	307	40	0.0000258223	0.000000015065
1	27401867	30161880	483	40	0.0000426996	0.000000023239
1	30161881	32438684	866	40	0.0000989659	0.000000033887
1	32438685	34799757	607	40	0.0000948325	0.000000032305
1	34799758	37549182	508	40	0.0000358758	0.000000025646
1	37549183	38731846	323	40	0.0001922653	0.000000020661
1	38731847	40200566	390	40	0.0003417557	0.000000027415
1	40200567	41975326	497	40	0.0001599016	0.000000026107
1	41975327	43758456	478	40	0.0001491963	0.000000024528
1	43758457	44969182	303	34	0.0003164523	0.000000020773
1	44969183	46899500	369	37	0.0000600580	0.000000014882
1	46899501	48002575	255	32	0.0001475463	0.000000014692
1	48002576	48978187	330	40	0.0000431528	0.000000017722
1	48978188	49894176	230	28	0.0000248708	0.000000012091
1	49894177	51713725	245	25	0.0000680692	0.000000010112
1	51713726	54226261	492	40	0.0001719221	0.000000028359
1	54226262	56413116	738	40	0.0001343432	0.000000034677
1	56413117	57021727	245	29	0.0000733209	0.000000012541
1	57021728	58865398	820	40	0.0001879491	0.000000035874
1	58865399	59890408	353	40	0.0004355374	0.000000026074
1	59890409	61922364	630	40	0.0002242457	0.000000036426
1	61922365	63455088	429	40	0.0001662883	0.000000026185
1	63455089	65041703	618	40	-0.0000686641	0.000000024277
1	65041704	66939403	602	40	0.0003666501	0.000000034628
1	66939404	68477894	629	40	0.0002681914	0.000000031532
1	68477895	69687615	368	40	0.0000675587	0.000000019215
1	69687616	71372469	489	40	0.0000689309	0.000000023505
1	71372470	71684404	77	10	0.0000858906	0.000000004799
1	71684405	74326906	505	40	0.0003122233	0.000000026503
1	74326907	76728134	649	40	0.0003836261	0.000000033656
1	76728135	79661197	878	40	0.0000871740	0.000000033624
1	79661198	81354190	467	40	0.0001221825	0.000000024054
1	81354191	83991747	937	40	0.0002352316	0.000000036930
1	83991748	84844494	305	35	0.0002514436	0.000000017817
1	84844495	86454750	593	40	0.0000588125	0.000000029371
1	86454751	88128630	513	40	0.0000976925	0.000000026704
1	88128631	90066302	484	40	0.0001031879	0.000000024779
1	90066303	91886316	538	40	0.0002593028	0.000000030050
1	91886317	93536458	452	40	0.0000601778	0.000000020128
1	93536459	94506190	224	25	0.0000557721	0.000000010026
1	94506191	96150892	608	40	0.0000389146	0.000000029314
1	96150893	97885248	574	40	0.0004252781	0.000000031509
1	97885249	99800603	621	40	0.0004506267	0.000000035665
1	99800604	100826404	300	36	0.0001374294	0.000000015722
1	100826405	102041015	420	40	-0.0000257512	0.000000018088
1	102041016	102898744	270	36	0.0003819594	0.000000020153
1	102898745	103914210	180	21	-0.0000315266	0.000000006531
1	103914211	106087841	447	40	0.0002140735	0.000000024763
1	106087842	108409664	700	40	0.0001998541	0.000000036140
1	108409665	110303930	399	40	0.0000300717	0.000000018697
1	110303931	111741736	512	40	0.0000747127	0.000000028567
1	111741737	113273305	627	40	0.0001592027	0.000000033937
1	113273306	114873844	471	40	0.0000517196	0.000000023313
1	114873845	115880592	306	36	0.0000559297	0.000000014350
1	115880593	118839066	746	40	0.0000389120	0.000000032546
1	118839067	144977493	464	40	0.0000666342	0.000000023390
1	144977494	148361252	375	40	0.0004827984	0.000000028585
1	148361253	151538880	250	28	0.0003998302	0.000000019860
1	151538881	153180828	406	40	0.0000866476	0.000000018501
1	153180829	154770402	371	40	0.0002838146	0.000000023965
1	154770403	156336132	219	33	0.0001869614	0.000000015694
1	156336133	158027411	489	40	0.0000663695	0.000000024981
1	158027412	159913047	562	40	0.0000568535	0.000000029456
1	159913048	162346720	640	40	0.0001895381	0.000000035910
1	162346721	165191701	1126	40	0.0001267249	0.000000034507
1	165191702	166460516	500	40	0.0008991846	0.000000045539
1	166460517	169086323	1012	40	0.0002286217	0.000000036783
1	169086324	170557775	433	40	0.0001530484	0.000000022006
1	170557776	173097906	754	40	0.0000804107	0.000000033473
1	173097907	175089767	377	30	0.0001723236	0.000000015368
1	175089768	177433380	721	40	0.0002025535	0.000000035358
1	177433381	178944308	409	40	0.0004899886	0.000000028872
1	178944309	178954469	2	1	-0.0000027347	0.000000000062
1	178954470	181144120	650	40	0.0003185559	0.000000035877
1	181144121	182755355	559	40	0.0000793799	0.000000030023
1	182755356	184595512	560	40	0.0001945514	0.000000028543
1	184595513	186810022	460	40	0.0001278055	0.000000022396
1	186810023	188759944	601	40	0.0003742845	0.000000033577
1	188759945	189904129	218	18	-0.0000186750	0.000000007065
1	189904130	191868929	521	40	0.0003330000	0.000000026266
1	191868930	194107441	560	40	0.0001731975	0.000000027490
1	194107442	196176200	568	40	0.0001485754	0.000000025152
1	196176201	197311513	163	14	-0.0000111316	0.000000005679
1	197311514	199239883	485	40	0.0000944061	0.000000023817
1	199239884	200137648	290	35	0.0002550108	0.000000018965
1	200137649	201589974	594	40	0.0000818681	0.000000031628
1	201589975	203334733	523	40	0.0002008945	0.000000031446
1	203334734	204681067	406	40	0.0001731278	0.000000024551
1	204681068	206073264	477	40	0.0002775180	0.000000030072
1	206073265	208410363	522	40	0.0001135423	0.000000029819
1	208410364	210787749	868	40	0.0000259168	0.000000032256
1	210787750	212842329	649	40	-0.0000285059	0.000000031041
1	212842330	214578265	547	40	0.0001422665	0.000000031040
1	214578266	216243633	554	40	0.0000222462	0.000000026432
1	216243634	218705512	1040	40	0.0001370680	0.000000034738
1	218705513	219590570	269	34	0.0002157975	0.000000016899
1	219590571	221858230	617	40	0.0000928756	0.000000030389
1	221858231	222230219	166	21	0.0000588860	0.000000009908
1	222230220	224938519	414	40	0.0000903137	0.000000021879
1	224938520	226810859	446	40	0.0002072015	0.000000025629
1	226810860	229156247	589	40	0.0001813003	0.000000030494
1	229156248	230685254	443	40	0.0000733759	0.000000025457
1	230685255	232090251	516	40	0.0001177312	0.000000028498
1	232090252	233429283	569	40	0.0000824452	0.000000031835
1	233429284	234599433	500	40	0.0000700486	0.000000027563
1	234599434	235819435	345	40	0.0001461314	0.000000021471
1	235819436	237555627	643	40	0.0000520610	0.000000032840
1	237555628	238567806	385	40	0.0001079648	0.000000022272
1	238567807	239925313	473	40	0.0002402890	0.000000029755
1	239925314	240564090	322	40	0.0000674560	0.000000018010
1	240564091	241582219	497	40	0.0001639781	0.000000032040
1	241582220	242071601	192	36	0.0001319673	0.000000013782
1	242071602	244109498	610	40	0.0002998553	0.000000037206
1	244109499	245506745	484	40	0.0000929566	0.000000028588
1	245506746	247344517	662	40	0.0000686558	0.000000033210
1	247344518	249239465	334	40	0.0001378760	0.000000020400
2	10133	1781021	561	40	0.0004586735	0.000000038552
2	1781022	3973778	901	40	0.0001995834	0.000000036134
2	3973779	5708336	611	40	0.0000728914	0.000000033305
2	5708337	6836253	550	40	0.0001150308	0.000000028759
2	6836254	8422146	636	40	0.0002954001	0.000000037820
2	8422147	10298468	600	40	-0.0000627026	0.000000030147
2	10298469	12419149	881	40	0.0000420417	0.000000032616
2	12419150	14335307	567	40	0.0002042558	0.000000031521
2	14335308	16329734	710	40	0.0003132200	0.000000038672
2	16329735	18647422	815	40	0.0002770580	0.000000037864
2	18647423	19692403	375	40	0.0000138704	0.000000018971
2	19692404	21050489	581	40	0.0000708939	0.000000030092
2	21050490	23341382	550	40	0.0000509794	0.000000029970
2	23341383	24686917	395	40	0.0002483955	0.000000024955
2	24686918	26894984	457	40	0.0003482391	0.000000029856
2	26894985	28598776	242	26	0.0002415607	0.000000016719
2	28598777	29217558	202	28	0.0002074686	0.000000014708
2	29217559	30463710	592	40	0.0001853584	0.000000035298
2	30463711	31550449	475	40	0.0001640875	0.000000029982
2	31550450	33363776	442	40	0.0001325831	0.000000028315
2	33363777	35345027	756	40	0.0000957698	0.000000033816
2	35345028	36122005	282	30	0.0001247835	0.000000016384
2	36122006	38132711	866	40	0.0000836315	0.000000033545
2	38132712	39031336	300	37	0.0000805582	0.000000019188
2	39031337	40281482	280	30	0.0000824765	0.000000017334
2	40281483	43309589	1202	40	0.0001420280	0.000000034849
2	43309590	44313802	259	39	0.0002250016	0.000000020126
2	44313803	46482633	997	40	0.0001651298	0.000000035365
2	46482634	47318771	372	40	0.0000843339	0.000000024614
2	47318772	48213000	274	40	0.0001592005	0.000000019989
2	48213001	50022256	663	40	0.0002790714	0.000000037909
2	50022257	50818927	322	33	0.0001411866	0.000000019967
2	50818928	52491132	625	40	0.0002520081	0.000000037305
2	52491133	53508451	451	40	0.0000770675	0.000000024964
2	53508452	54685225	397	40	0.0001100962	0.000000024295
2	54685226	56203344	540	40	0.0000592570	0.000000031059
2	56203345	57429099	413	40	0.0007158407	0.000000038047
2	57429100	58297314	266	28	0.0000124920	0.000000014076
2	58297315	60291999	713	40	0.0003162741	0.000000038740
2	60292000	62429043	527	40	0.0002981805	0.000000036263
2	62429044	64625912	538	40	0.0001782608	0.000000032036
2	64625913	65933443	430	40	0.0003969694	0.000000031326
2	65933444	67226165	535	40	0.0001125791	0.000000028447
2	67226166	68010175	401	40	0.0003096880	0.000000026892
2	68010176	69139563	434	40	0.0001740295	0.000000025081
2	69139564	70755197	471	40	0.0002245236	0.000000026908
