chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0002190602	0.000000061738
1	1892607	3582735	426	14	-0.0000008827	0.000000239745
1	3582736	4380810	262	14	0.0003448132	0.000000157562
1	4380811	5913892	845	14	0.0000178181	0.000000336706
1	5913893	7247334	417	14	0.0000623268	0.000000216835
1	7247335	9365198	678	14	0.0000990518	0.000000342243
1	9365199	10806983	343	14	0.0000080948	0.000000156067
1	10806984	11777840	250	14	0.0000529472	0.000000130731
1	11777841	12779465	271	14	-0.0000153462	0.000000142517
1	12779466	14891510	601	14	0.0001606542	0.000000346442
1	14891511	16897729	655	14	-0.0000119817	0.000000332328
1	16897730	18662898	633	14	0.0000845012	0.000000341251
1	18662899	20469148	694	14	-0.0000937079	0.000000329104
1	20469149	21736587	445	14	0.0001397262	0.000000231306
1	21736588	23086882	501	14	0.0001577218	0.000000287303
1	23086883	23920589	219	14	0.0000845323	0.000000109116
1	23920590	25516844	508	14	0.0002657035	0.000000296884
1	25516845	27401866	401	14	-0.0000504561	0.000000164910
1	27401867	30161880	535	14	0.0001298306	0.000000250782
1	30161881	32438684	891	14	0.0001755799	0.000000347459
1	32438685	34799757	658	14	0.0000874252	0.000000340667
1	34799758	37549182	539	14	0.0000965272	0.000000272726
1	37549183	38731846	364	14	-0.0001814594	0.000000159460
1	38731847	40200566	436	14	0.0002415101	0.000000229670
1	40200567	41975326	539	14	0.0001825178	0.000000259448
1	41975327	43758456	520	14	0.0002950199	0.000000246111
1	43758457	44969182	359	14	0.0002077087	0.000000162854
1	44969183	46899500	446	14	0.0000238826	0.000000151127
1	46899501	48002575	290	14	0.0001675148	0.000000133256
1	48002576	48978187	331	14	0.0000881395	0.000000169529
1	48978188	49894176	243	14	0.0000453201	0.000000119878
1	49894177	51713725	254	14	0.0004217819	0.000000114194
1	51713726	54226261	553	14	-0.0000271232	0.000000270271
1	54226262	56413116	813	14	0.0005207708	0.000000370988
1	56413117	57021727	260	14	0.0000160853	0.000000109596
1	57021728	58865398	827	14	0.0000393183	0.000000338171
1	58865399	59890408	370	14	0.0002800639	0.000000181804
1	59890409	61922364	656	14	-0.0001208978	0.000000327250
1	61922365	63455088	517	14	0.0001985360	0.000000274474
1	63455089	65041703	634	14	-0.0000332827	0.000000269852
