chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	118	15	0.0004360862	0.000000108895
1	1892607	3582735	474	15	-0.0000296200	0.000000259260
1	3582736	4380810	295	15	0.0003397228	0.000000151874
1	4380811	5913892	913	15	-0.0000567622	0.000000234664
1	5913893	7247334	449	15	0.0001849270	0.000000176054
1	7247335	9365198	738	15	0.0000079969	0.000000239087
1	9365199	10806983	374	15	0.0000722424	0.000000135923
1	10806984	11777840	281	15	0.0000793903	0.000000127632
1	11777841	12779465	307	15	0.0004252349	0.000000170456
1	12779466	14891510	645	15	0.0005315868	0.000000272732
1	14891511	16897729	744	15	0.0001529801	0.000000262986
1	16897730	18662898	697	15	0.0002753997	0.000000265753
1	18662899	20469148	775	15	0.0001079416	0.000000272262
1	20469149	21736587	479	15	0.0001845292	0.000000183298
1	21736588	23086882	546	15	0.0002475136	0.000000237209
1	23086883	23920589	236	15	0.0003885766	0.000000098514
1	23920590	25516844	549	15	0.0004481702	0.000000245260
1	25516845	27401866	432	15	0.0006730660	0.000000160530
1	27401867	30161880	577	15	0.0002636167	0.000000205335
1	30161881	32438684	980	15	0.0005351884	0.000000265315
1	32438685	34799757	715	15	0.0000524403	0.000000239624
1	34799758	37549182	604	15	-0.0000436216	0.000000225735
1	37549183	38731846	394	15	0.0003418465	0.000000150415
1	38731847	40200566	462	15	0.0004220000	0.000000188126
1	40200567	41975326	573	15	0.0001247396	0.000000182019
1	41975327	43758456	587	15	-0.0000275704	0.000000177197
1	43758457	44969182	390	15	0.0002590483	0.000000124226
1	44969183	46899500	477	15	0.0002225161	0.000000114527
1	46899501	48002575	317	15	0.0010259027	0.000000146683
1	48002576	48978187	359	15	0.0002781611	0.000000128775
1	48978188	49894176	253	15	0.0002813174	0.000000089683
1	49894177	51713725	265	15	0.0002097838	0.000000066288
1	51713726	54226261	583	15	-0.0000419324	0.000000188355
1	54226262	56413116	890	15	0.0001425684	0.000000251318
1	56413117	57021727	284	15	0.0001248648	0.000000083630
1	57021728	58865398	909	15	0.0002012320	0.000000253226
1	58865399	59890408	411	15	0.0000983020	0.000000131846
1	59890409	61922364	702	15	0.0001533927	0.000000246689
1	61922365	63455088	578	15	0.0002869397	0.000000238712
1	63455089	65041703	693	15	0.0000094199	0.000000207005
1	65041704	66939403	671	15	0.0003290054	0.000000210888
1	66939404	68477894	718	15	0.0002804523	0.000000205355
1	68477895	69687615	400	15	0.0002977195	0.000000146883
1	69687616	71372469	558	15	-0.0000583356	0.000000176872
1	71372470	71684404	87	10	0.0000514576	0.000000021656
1	71684405	74326906	581	15	0.0002779756	0.000000158603
1	74326907	76728134	756	15	0.0000321396	0.000000192286
1	76728135	79661197	991	15	-0.0000829008	0.000000231603
1	79661198	81354190	499	15	0.0000020538	0.000000154315
1	81354191	83991747	1020	15	-0.0000754302	0.000000237673
1	83991748	84844494	327	15	-0.0000350790	0.000000085762
1	84844495	86454750	680	15	0.0000870470	0.000000223919
1	86454751	88128630	610	15	0.0003025598	0.000000225319
1	88128631	90066302	550	15	0.0001365774	0.000000182864
1	90066303	91886316	588	15	0.0002459867	0.000000205911
1	91886317	93536458	535	15	0.0002154957	0.000000157138
1	93536459	94506190	267	15	0.0002997152	0.000000084417
1	94506191	96150892	694	15	0.0000973412	0.000000239483
1	96150893	97885248	637	15	0.0001159605	0.000000169626
1	97885249	99800603	670	15	-0.0000173884	0.000000197723
1	99800604	100826404	346	15	0.0001667381	0.000000093751
1	100826405	102041015	473	15	-0.0000114536	0.000000131607
1	102041016	102898744	292	15	0.0000583102	0.000000097223
1	102898745	103914210	211	15	0.0000367134	0.000000049674
1	103914211	106087841	481	15	0.0001640679	0.000000156071
1	106087842	108409664	766	15	0.0000361031	0.000000242945
1	108409665	110303930	597	15	0.0001061095	0.000000210342
1	110303931	111741736	612	15	0.0001983909	0.000000267146
1	111741737	113273305	757	15	0.0000797143	0.000000238860
1	113273306	114873844	539	15	0.0001227762	0.000000192328
1	114873845	115880592	355	15	0.0001591679	0.000000099577
1	115880593	118839066	916	15	0.0001879333	0.000000262082
1	118839067	144977493	602	15	0.0001174097	0.000000181217
1	144977494	148361252	464	15	0.0001994586	0.000000143395
1	148361253	151538880	363	15	0.0004406274	0.000000116185
1	151538881	153180828	521	15	0.0000383798	0.000000132739
1	153180829	154770402	491	15	0.0002980584	0.000000170691
1	154770403	156336132	322	15	0.0003007966	0.000000120998
1	156336133	158027411	642	15	0.0000047630	0.000000226540
1	158027412	159913047	738	15	0.0009790896	0.000000321121
1	159913048	162346720	942	15	0.0000560800	0.000000253981
1	162346721	165191701	1275	15	0.0002480070	0.000000252984
1	165191702	166460516	579	15	0.0000883737	0.000000217462
1	166460517	169086323	1202	15	0.0001721201	0.000000263116
1	169086324	170557775	592	15	-0.0000426530	0.000000141382
1	170557776	173097906	973	15	0.0000046623	0.000000232563
1	173097907	175089767	448	15	0.0000500543	0.000000088711
1	175089768	177433380	870	15	0.0000906506	0.000000246687
1	177433381	178944308	543	15	0.0003912365	0.000000176573
1	178944309	178954469	2	1	0.0001439065	0.000000018755
1	178954470	181144120	810	15	0.0001543666	0.000000233114
1	181144121	182755355	664	15	0.0000692090	0.000000237876
1	182755356	184595512	673	15	0.0000243937	0.000000201839
1	184595513	186810022	580	15	0.0002157004	0.000000182598
1	186810023	188759944	695	15	0.0002800379	0.000000217101
1	188759945	189904129	242	15	0.0000642217	0.000000057091
1	189904130	191868929	590	15	0.0002266858	0.000000140995
