chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	17	0.0000668945	0.000000010490
1	1892607	3582735	409	29	0.0002847321	0.000000043583
1	3582736	4380810	263	29	0.0003029565	0.000000030045
1	4380811	5913892	863	29	0.0001651599	0.000000052028
1	5913893	7247334	410	29	0.0000170417	0.000000029979
1	7247335	9365198	680	29	0.0001818181	0.000000050591
1	9365199	10806983	338	29	0.0000501063	0.000000022354
1	10806984	11777840	246	29	0.0001957599	0.000000025059
1	11777841	12779465	278	29	0.0002022205	0.000000018350
1	12779466	14891510	607	29	0.0001115652	0.000000050059
1	14891511	16897729	656	29	0.0000763731	0.000000048354
1	16897730	18662898	637	29	0.0001057817	0.000000048906
1	18662899	20469148	685	29	0.0002210335	0.000000053323
1	20469149	21736587	450	29	0.0002671041	0.000000038738
1	21736588	23086882	506	29	0.0002547076	0.000000046652
1	23086883	23920589	214	27	0.0001953173	0.000000018550
1	23920590	25516844	500	29	0.0001275871	0.000000042079
1	25516845	27401866	386	29	0.0005789380	0.000000035891
1	27401867	30161880	524	29	0.0004508178	0.000000046267
1	30161881	32438684	904	29	0.0002086175	0.000000052647
1	32438685	34799757	644	29	0.0002069389	0.000000052431
1	34799758	37549182	526	29	0.0000519092	0.000000037703
1	37549183	38731846	358	29	0.0000970231	0.000000026556
1	38731847	40200566	424	29	0.0006460887	0.000000044750
1	40200567	41975326	540	29	0.0000613865	0.000000037475
1	41975327	43758456	532	29	0.0000671182	0.000000034055
1	43758457	44969182	351	29	0.0001956517	0.000000027122
1	44969183	46899500	440	29	0.0003436833	0.000000029958
1	46899501	48002575	280	29	0.0002597989	0.000000024653
1	48002576	48978187	339	29	0.0001072285	0.000000027850
1	48978188	49894176	237	28	0.0002719193	0.000000024140
1	49894177	51713725	252	25	0.0000640734	0.000000013561
1	51713726	54226261	546	29	0.0002233811	0.000000042045
1	54226262	56413116	812	29	0.0002097176	0.000000048216
1	56413117	57021727	265	29	0.0000622169	0.000000014591
1	57021728	58865398	824	29	-0.0000381941	0.000000046705
1	58865399	59890408	371	29	0.0001515592	0.000000027790
1	59890409	61922364	660	29	0.0001195558	0.000000048730
1	61922365	63455088	522	29	0.0002504558	0.000000032942
1	63455089	65041703	642	29	0.0001919185	0.000000045003
1	65041704	66939403	636	29	0.0001706929	0.000000045141
1	66939404	68477894	663	29	0.0000851261	0.000000041416
1	68477895	69687615	383	29	0.0003006770	0.000000035014
1	69687616	71372469	507	29	0.0001892602	0.000000039520
1	71372470	71684404	81	10	0.0001231972	0.000000007301
1	71684405	74326906	558	29	0.0001560234	0.000000027307
1	74326907	76728134	711	29	0.0003245420	0.000000045149
1	76728135	79661197	923	29	0.0001113824	0.000000047983
1	79661198	81354190	470	29	-0.0000016147	0.000000032069
