chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	0.0000070802	0.0000000035
1	1892607	3582735	440	40	0.0001526823	0.0000000194
1	3582736	4380810	272	40	0.0001376502	0.0000000081
1	4380811	5913892	869	40	0.0001094542	0.0000000079
1	5913893	7247334	428	40	0.0000020424	0.0000000076
1	7247335	9365198	699	40	0.0000117549	0.0000000138
1	9365199	10806983	351	40	-0.0000986543	0.0000000098
1	10806984	11777840	258	40	-0.0001102336	0.0000000079
1	11777841	12779465	282	40	0.0000325387	0.0000000049
1	12779466	14891510	618	40	0.0001308875	0.0000000106
1	14891511	16897729	690	40	-0.0001674655	0.0000000092
1	16897730	18662898	664	40	-0.0001312850	0.0000000172
1	18662899	20469148	711	40	0.0000196508	0.0000000136
1	20469149	21736587	461	40	-0.0001348819	0.0000000135
1	21736588	23086882	523	40	-0.0000291328	0.0000000129
1	23086883	23920589	222	28	0.0000167312	0.0000000111
1	23920590	25516844	521	40	-0.0000031418	0.0000000127
1	25516845	27401866	413	40	-0.0001712621	0.0000000155
1	27401867	30161880	552	40	-0.0000405594	0.0000000114
1	30161881	32438684	936	40	-0.0001197993	0.0000000142
1	32438685	34799757	675	40	-0.0000027338	0.0000000105
1	34799758	37549182	553	40	0.0000032462	0.0000000103
1	37549183	38731846	371	40	-0.0000161263	0.0000000106
1	38731847	40200566	447	40	0.0000545526	0.0000000082
1	40200567	41975326	555	40	-0.0002216139	0.0000000183
1	41975327	43758456	542	40	0.0000861985	0.0000000130
1	43758457	44969182	371	35	0.0000028329	0.0000000062
1	44969183	46899500	458	38	-0.0000881907	0.0000000111
1	46899501	48002575	297	33	0.0000438458	0.0000000109
1	48002576	48978187	344	40	-0.0001565773	0.0000000091
1	48978188	49894176	247	28	-0.0000174706	0.0000000031
1	49894177	51713725	260	25	-0.0000535729	0.0000000079
1	51713726	54226261	563	40	-0.0001015794	0.0000000130
1	54226262	56413116	837	40	0.0001904640	0.0000000131
1	56413117	57021727	272	31	0.0000102188	0.0000000067
1	57021728	58865398	850	40	0.0001052739	0.0000000098
1	58865399	59890408	383	40	-0.0001123982	0.0000000078
1	59890409	61922364	671	40	-0.0000261799	0.0000000105
1	61922365	63455088	534	40	-0.0000148860	0.0000000094
1	63455089	65041703	656	40	-0.0000767378	0.0000000086
1	65041704	66939403	649	40	0.0000715801	0.0000000127
1	66939404	68477894	687	40	0.0000619074	0.0000000118
1	68477895	69687615	389	40	0.0001889859	0.0000000059
1	69687616	71372469	520	40	0.0000188468	0.0000000081
1	71372470	71684404	82	10	0.0000435797	0.0000000016
1	71684405	74326906	559	40	0.0000055497	0.0000000074
1	74326907	76728134	726	40	0.0001406063	0.0000000117
1	76728135	79661197	947	40	-0.0001175701	0.0000000126
1	79661198	81354190	475	40	-0.0000133434	0.0000000078
1	81354191	83991747	972	40	-0.0000183610	0.0000000098
1	83991748	84844494	314	35	0.0000495575	0.0000000063
1	84844495	86454750	652	40	0.0000334982	0.0000000130
1	86454751	88128630	572	40	-0.0000149034	0.0000000117
1	88128631	90066302	523	40	-0.0003698927	0.0000000134
1	90066303	91886316	562	40	0.0000473334	0.0000000089
1	91886317	93536458	508	40	0.0001148443	0.0000000131
1	93536459	94506190	255	26	-0.0000628920	0.0000000055
1	94506191	96150892	651	40	0.0001912164	0.0000000113
1	96150893	97885248	605	40	-0.0001395765	0.0000000086
1	97885249	99800603	640	40	0.0000268658	0.0000000084
1	99800604	100826404	339	37	-0.0002022426	0.0000000053
1	100826405	102041015	447	40	0.0000379989	0.0000000077
1	102041016	102898744	278	36	0.0001369502	0.0000000058
1	102898745	103914210	200	21	0.0001260887	0.0000000080
1	103914211	106087841	455	40	-0.0000013339	0.0000000074
1	106087842	108409664	726	40	0.0000574500	0.0000000079
1	108409665	110303930	563	40	-0.0001401754	0.0000000099
1	110303931	111741736	571	40	-0.0000105124	0.0000000097
1	111741737	113273305	721	40	0.0001947764	0.0000000146
1	113273306	114873844	511	40	-0.0000555510	0.0000000081
1	114873845	115880592	345	37	0.0001438214	0.0000000063
1	115880593	118839066	837	40	0.0000307867	0.0000000110
1	118839067	144977493	567	40	-0.0001791040	0.0000000246
1	144977494	148361252	432	40	-0.0001200406	0.0000000130
1	148361253	151538880	349	34	0.0003160783	0.0000000259
1	151538881	153180828	467	40	0.0001203058	0.0000000082
1	153180829	154770402	457	40	0.0001361232	0.0000000072
1	154770403	156336132	307	38	-0.0000634536	0.0000000080
1	156336133	158027411	598	40	-0.0000855013	0.0000000117
1	158027412	159913047	685	40	0.0000745932	0.0000000087
1	159913048	162346720	874	40	0.0000670212	0.0000000125
1	162346721	165191701	1199	40	0.0000758332	0.0000000101
1	165191702	166460516	533	40	0.0001673973	0.0000000116
1	166460517	169086323	1107	40	0.0000117411	0.0000000118
1	169086324	170557775	559	40	0.0000747188	0.0000000090
1	170557776	173097906	902	40	-0.0000805109	0.0000000291
1	173097907	175089767	411	32	-0.0000181789	0.0000000068
1	175089768	177433380	783	40	0.0001969286	0.0000000184
1	177433381	178944308	492	40	0.0000613521	0.0000000076
1	178944309	178954469	2	1	0.0000095934	0.0000000002
1	178954470	181144120	751	40	-0.0000189723	0.0000000111
1	181144121	182755355	599	40	0.0000085838	0.0000000104
1	182755356	184595512	628	40	0.0001137003	0.0000000280
1	184595513	186810022	524	40	0.0001730033	0.0000000088
1	186810023	188759944	619	40	0.0000911426	0.0000000069
1	188759945	189904129	219	17	-0.0001369813	0.0000000031
1	189904130	191868929	538	40	0.0000326315	0.0000000073
1	191868930	194107441	584	40	0.0001309483	0.0000000068
1	194107442	196176200	579	40	-0.0000341803	0.0000000058
1	196176201	197311513	197	16	-0.0000099154	0.0000000032
1	197311514	199239883	504	40	-0.0000303049	0.0000000082
1	199239884	200137648	301	36	0.0000440082	0.0000000076
1	200137649	201589974	711	40	-0.0000693133	0.0000000097
1	201589975	203334733	616	40	-0.0000747877	0.0000000101
1	203334734	204681067	485	40	-0.0001313507	0.0000000108
1	204681068	206073264	578	40	0.0000452668	0.0000000097
1	206073265	208410363	633	40	0.0001592624	0.0000000116
1	208410364	210787749	931	40	0.0001812572	0.0000000124
1	210787750	212842329	698	40	0.0000984322	0.0000000155
1	212842330	214578265	614	40	0.0000221494	0.0000000095
1	214578266	216243633	595	40	-0.0000833715	0.0000000171
1	216243634	218705512	1083	40	-0.0001277613	0.0000000172
1	218705513	219590570	282	34	0.0000875459	0.0000000161
1	219590571	221858230	690	40	-0.0001180631	0.0000000195
1	221858231	222230219	174	21	0.0000315668	0.0000000044
1	222230220	224938519	463	40	-0.0002129921	0.0000000097
1	224938520	226810859	519	40	-0.0001688902	0.0000000095
1	226810860	229156247	695	40	0.0000485305	0.0000000182
