chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	16	-0.0000942967	0.000000049392
1	1892607	3582735	435	16	0.0001243960	0.000000242149
1	3582736	4380810	271	16	0.0001262353	0.000000129472
1	4380811	5913892	866	16	0.0000067174	0.000000242221
1	5913893	7247334	430	16	0.0000873304	0.000000167829
1	7247335	9365198	697	16	0.0002146264	0.000000253870
1	9365199	10806983	353	16	0.0001839474	0.000000137046
1	10806984	11777840	257	16	-0.0000515376	0.000000109326
1	11777841	12779465	281	16	0.0000834541	0.000000136976
1	12779466	14891510	617	16	0.0000696897	0.000000252060
1	14891511	16897729	687	16	0.0002530401	0.000000263154
1	16897730	18662898	656	16	0.0002474600	0.000000266004
1	18662899	20469148	708	16	0.0000182258	0.000000257753
1	20469149	21736587	460	16	0.0001298740	0.000000181226
1	21736588	23086882	522	16	0.0000602353	0.000000222552
1	23086883	23920589	222	16	0.0000188769	0.000000076319
1	23920590	25516844	520	16	0.0001752993	0.000000222240
1	25516845	27401866	413	16	0.0002173579	0.000000136518
1	27401867	30161880	551	16	0.0000926024	0.000000191324
1	30161881	32438684	933	16	0.0000369918	0.000000241024
1	32438685	34799757	675	16	0.0000858993	0.000000244752
1	34799758	37549182	548	16	0.0001476318	0.000000204968
1	37549183	38731846	373	16	0.0001306893	0.000000135713
1	38731847	40200566	446	16	0.0002412241	0.000000179269
1	40200567	41975326	554	16	0.0003166208	0.000000195612
1	41975327	43758456	543	16	0.0001871063	0.000000175011
1	43758457	44969182	371	16	0.0001243461	0.000000117647
1	44969183	46899500	457	16	0.0005369504	0.000000131819
1	46899501	48002575	296	16	0.0000073784	0.000000085715
1	48002576	48978187	344	16	0.0000356031	0.000000117319
1	48978188	49894176	247	16	0.0001691485	0.000000089115
1	49894177	51713725	260	16	0.0000555975	0.000000061825
1	51713726	54226261	562	16	0.0003832008	0.000000216368
1	54226262	56413116	834	16	0.0000496089	0.000000245849
1	56413117	57021727	270	16	0.0002898767	0.000000092175
1	57021728	58865398	845	16	-0.0000819629	0.000000234568
1	58865399	59890408	382	16	0.0000635009	0.000000122468
1	59890409	61922364	670	16	-0.0000028792	0.000000242769
1	61922365	63455088	532	16	0.0000753887	0.000000203555
1	63455089	65041703	658	16	-0.0000069464	0.000000199083
1	65041704	66939403	649	16	0.0001105217	0.000000203680
1	66939404	68477894	686	16	0.0000875890	0.000000193609
1	68477895	69687615	385	16	0.0000456592	0.000000134410
1	69687616	71372469	517	16	0.0001757358	0.000000178057
1	71372470	71684404	82	10	0.0000819668	0.000000023220
1	71684405	74326906	558	16	-0.0000084294	0.000000144027
1	74326907	76728134	726	16	-0.0000035272	0.000000193786
1	76728135	79661197	946	16	-0.0000011194	0.000000241442
1	79661198	81354190	475	16	0.0001944351	0.000000165190
1	81354191	83991747	971	16	0.0000945278	0.000000252239
1	83991748	84844494	313	16	0.0001281396	0.000000094010
1	84844495	86454750	650	16	0.0000132872	0.000000218359
1	86454751	88128630	567	16	-0.0000830839	0.000000190057
1	88128631	90066302	522	16	0.0001733458	0.000000181461
1	90066303	91886316	557	16	0.0002679362	0.000000200925
1	91886317	93536458	507	16	0.0000761959	0.000000145277
1	93536459	94506190	255	16	0.0000356939	0.000000071661
1	94506191	96150892	649	16	0.0002729829	0.000000238639
1	96150893	97885248	602	16	0.0003203216	0.000000180319
1	97885249	99800603	638	16	0.0000385560	0.000000195851
1	99800604	100826404	339	16	0.0000192623	0.000000090872
1	100826405	102041015	445	16	0.0001277104	0.000000136921
1	102041016	102898744	276	16	0.0003732943	0.000000115724
1	102898745	103914210	201	16	0.0004270038	0.000000073034
1	103914211	106087841	454	16	0.0000458500	0.000000149326
1	106087842	108409664	726	16	-0.0000578410	0.000000240076
1	108409665	110303930	565	16	0.0003433185	0.000000216058
1	110303931	111741736	566	16	-0.0000228732	0.000000231761
1	111741737	113273305	720	16	0.0001721064	0.000000248980
1	113273306	114873844	511	16	-0.0000542952	0.000000175608
1	114873845	115880592	345	16	0.0000907626	0.000000100186
1	115880593	118839066	834	16	0.0000818512	0.000000247941
1	118839067	144977493	566	16	0.0002877708	0.000000188417
1	144977494	148361252	431	16	0.0000100668	0.000000127467
1	148361253	151538880	349	16	0.0003040392	0.000000113468
1	151538881	153180828	468	16	0.0001308928	0.000000129144
1	153180829	154770402	454	16	0.0001859970	0.000000156287
1	154770403	156336132	306	16	0.0004672316	0.000000131834
1	156336133	158027411	596	16	0.0001740313	0.000000222275
1	158027412	159913047	682	16	0.0004065767	0.000000282730
1	159913048	162346720	872	16	0.0002283377	0.000000261295
1	162346721	165191701	1190	16	-0.0000306243	0.000000236652
1	165191702	166460516	531	16	-0.0000179761	0.000000199685
1	166460517	169086323	1102	16	-0.0000524219	0.000000244234
1	169086324	170557775	558	16	0.0000240702	0.000000143343
1	170557776	173097906	898	16	0.0007093045	0.000000270382
1	173097907	175089767	411	16	0.0000682982	0.000000084989
1	175089768	177433380	784	16	0.0001707867	0.000000241645
1	177433381	178944308	492	16	0.0000258593	0.000000144542
1	178944309	178954469	2	1	-0.0000074273	0.000000002266
1	178954470	181144120	749	16	0.0001274712	0.000000226210
1	181144121	182755355	599	16	0.0002535518	0.000000228201
1	182755356	184595512	629	16	0.0001435626	0.000000205422
1	184595513	186810022	523	16	0.0003142261	0.000000171562
1	186810023	188759944	618	16	0.0000913821	0.000000185149
1	188759945	189904129	218	16	-0.0000296500	0.000000048879
1	189904130	191868929	538	16	0.0001995333	0.000000134421
1	191868930	194107441	583	16	0.0002051095	0.000000185550
1	194107442	196176200	580	16	-0.0000194445	0.000000153245
1	196176201	197311513	196	16	0.0001519425	0.000000052738
1	197311514	199239883	504	16	0.0001896579	0.000000167405
1	199239884	200137648	301	16	0.0002004298	0.000000102885
1	200137649	201589974	709	16	0.0001551750	0.000000261339
1	201589975	203334733	611	16	0.0001979285	0.000000259751
1	203334734	204681067	485	16	0.0002979338	0.000000195224
1	204681068	206073264	577	16	0.0003090646	0.000000236048
1	206073265	208410363	631	16	0.0000139722	0.000000238603
1	208410364	210787749	924	16	0.0000050233	0.000000235648
1	210787750	212842329	697	16	0.0002861445	0.000000257443
1	212842330	214578265	609	16	0.0003143304	0.000000253909
1	214578266	216243633	592	16	0.0003373173	0.000000208756
1	216243634	218705512	1080	16	0.0001555859	0.000000238321
1	218705513	219590570	281	16	0.0000853261	0.000000087224
1	219590571	221858230	690	16	0.0000071170	0.000000223888
1	221858231	222230219	174	16	0.0000353810	0.000000060095
1	222230220	224938519	458	16	0.0001477444	0.000000161282
1	224938520	226810859	518	16	0.0001026254	0.000000181224
1	226810860	229156247	694	16	0.0002882514	0.000000242840
1	229156248	230685254	528	16	0.0003230180	0.000000225805
1	230685255	232090251	589	16	0.0004745696	0.000000250372
1	232090252	233429283	605	16	0.0000630011	0.000000262651
1	233429284	234599433	535	16	0.0000453040	0.000000214856
1	234599434	235819435	383	16	0.0000773021	0.000000168051
1	235819436	237555627	721	16	0.0001550716	0.000000255096
1	237555628	238567806	427	16	0.0001278714	0.000000167123
1	238567807	239925313	489	16	0.0000132650	0.000000181835
1	239925314	240564090	342	16	0.0001142918	0.000000130872
1	240564091	241582219	515	16	0.0000492894	0.000000252809
1	241582220	242071601	220	16	0.0002992376	0.000000107125
1	242071602	244109498	619	16	0.0000743382	0.000000237389
1	244109499	245506745	511	16	0.0001518812	0.000000245547
1	245506746	247344517	706	16	0.0001008968	0.000000259466
1	247344518	249239465	396	16	0.0000409923	0.000000157127
2	10133	1781021	664	16	0.0000251229	0.000000235316
2	1781022	3973778	962	16	0.0000931560	0.000000250709
2	3973779	5708336	628	16	0.0000560545	0.000000239557
2	5708337	6836253	566	16	0.0001892281	0.000000204908
