chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	19	0.0002089607	0.000000026545
1	1892607	3582735	443	20	0.0003091706	0.000000099992
1	3582736	4380810	277	20	0.0002941203	0.000000063514
1	4380811	5913892	880	20	-0.0000238958	0.000000113937
1	5913893	7247334	440	20	0.0000888814	0.000000083005
1	7247335	9365198	706	20	0.0004859803	0.000000135063
1	9365199	10806983	356	20	0.0002497746	0.000000066956
1	10806984	11777840	260	20	0.0002352875	0.000000057007
1	11777841	12779465	297	20	0.0006584148	0.000000082613
1	12779466	14891510	620	20	0.0001544454	0.000000121327
1	14891511	16897729	698	20	0.0000607597	0.000000117445
1	16897730	18662898	673	20	0.0000726027	0.000000117936
1	18662899	20469148	723	20	0.0001237261	0.000000120054
1	20469149	21736587	462	20	0.0001508198	0.000000086274
1	21736588	23086882	527	20	-0.0000245908	0.000000100292
1	23086883	23920589	224	20	0.0003491093	0.000000052463
1	23920590	25516844	527	20	0.0000251325	0.000000101124
1	25516845	27401866	425	20	0.0001827579	0.000000071129
1	27401867	30161880	557	20	0.0003273311	0.000000101947
1	30161881	32438684	938	20	0.0001487942	0.000000121093
1	32438685	34799757	678	20	0.0000930618	0.000000118783
1	34799758	37549182	560	20	0.0000077115	0.000000096253
1	37549183	38731846	375	20	0.0001983503	0.000000071075
1	38731847	40200566	448	20	0.0001225439	0.000000082020
1	40200567	41975326	556	20	0.0003740406	0.000000104359
1	41975327	43758456	554	20	0.0000287985	0.000000086014
1	43758457	44969182	372	20	0.0002399176	0.000000064714
1	44969183	46899500	461	20	0.0007921783	0.000000088115
1	46899501	48002575	300	20	0.0000535007	0.000000046830
1	48002576	48978187	346	20	0.0000496887	0.000000062872
1	48978188	49894176	248	20	0.0000528237	0.000000044779
1	49894177	51713725	261	20	0.0001995504	0.000000040778
1	51713726	54226261	565	20	0.0002201140	0.000000105277
1	54226262	56413116	845	20	0.0000725702	0.000000117934
1	56413117	57021727	274	20	0.0000734253	0.000000044055
1	57021728	58865398	858	20	0.0000795500	0.000000118224
1	58865399	59890408	385	20	0.0004421181	0.000000078791
1	59890409	61922364	674	20	0.0002642160	0.000000125875
