chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	83	18	0.0000812492	0.0000000037
1	1892607	3582735	362	40	-0.0000374850	0.0000000120
1	3582736	4380810	234	40	0.0000424952	0.0000000074
1	4380811	5913892	826	40	0.0001305776	0.0000000188
1	5913893	7247334	352	40	0.0000530698	0.0000000132
1	7247335	9365198	622	40	0.0000345663	0.0000000204
1	9365199	10806983	290	40	0.0000860441	0.0000000098
1	10806984	11777840	213	40	0.0000329726	0.0000000084
1	11777841	12779465	185	40	-0.0000839918	0.0000000075
1	12779466	14891510	556	40	0.0000998514	0.0000000183
1	14891511	16897729	559	40	0.0001408180	0.0000000155
1	16897730	18662898	550	40	-0.0000626069	0.0000000176
1	18662899	20469148	611	40	0.0000705639	0.0000000191
1	20469149	21736587	379	40	0.0000480940	0.0000000111
1	21736588	23086882	426	40	0.0000638098	0.0000000212
1	23086883	23920589	179	26	0.0000647779	0.0000000051
1	23920590	25516844	434	40	0.0000205063	0.0000000127
1	25516845	27401866	299	40	0.0000329801	0.0000000103
1	27401867	30161880	471	40	-0.0000410650	0.0000000144
1	30161881	32438684	836	40	-0.0000610101	0.0000000191
1	32438685	34799757	591	40	-0.0000109582	0.0000000170
1	34799758	37549182	504	40	-0.0000124497	0.0000000146
1	37549183	38731846	314	40	-0.0000761502	0.0000000095
1	38731847	40200566	382	40	-0.0000825232	0.0000000122
1	40200567	41975326	484	40	0.0000176786	0.0000000137
1	41975327	43758456	459	40	-0.0001263821	0.0000000132
1	43758457	44969182	295	33	0.0000311458	0.0000000087
1	44969183	46899500	361	35	-0.0000295428	0.0000000085
1	46899501	48002575	249	32	0.0000108759	0.0000000059
1	48002576	48978187	318	40	-0.0000469775	0.0000000102
1	48978188	49894176	226	27	-0.0000208078	0.0000000076
1	49894177	51713725	239	24	0.0000252504	0.0000000048
1	51713726	54226261	481	40	0.0000080329	0.0000000147
1	54226262	56413116	717	40	0.0000642741	0.0000000178
1	56413117	57021727	236	29	-0.0000496045	0.0000000068
1	57021728	58865398	801	40	0.0000961456	0.0000000184
1	58865399	59890408	343	40	-0.0000377714	0.0000000095
1	59890409	61922364	620	40	-0.0000233940	0.0000000191
1	61922365	63455088	418	40	-0.0000501942	0.0000000122
1	63455089	65041703	598	40	0.0000444035	0.0000000146
1	65041704	66939403	589	40	-0.0000154699	0.0000000153
1	66939404	68477894	613	40	-0.0000526492	0.0000000160
1	68477895	69687615	357	40	0.0000092439	0.0000000204
1	69687616	71372469	478	40	0.0000788506	0.0000000133
1	71372470	71684404	77	10	-0.0000081893	0.0000000015
1	71684405	74326906	495	40	-0.0000601182	0.0000000109
1	74326907	76728134	637	40	-0.0000695674	0.0000000158
1	76728135	79661197	855	40	0.0000146051	0.0000000179
1	79661198	81354190	445	40	0.0000170330	0.0000000128
1	81354191	83991747	910	40	-0.0000091107	0.0000000191
1	83991748	84844494	297	35	-0.0000572040	0.0000000087
1	84844495	86454750	576	40	0.0000555403	0.0000000156
1	86454751	88128630	499	40	-0.0000185168	0.0000000143
1	88128631	90066302	472	40	-0.0000300687	0.0000000137
1	90066303	91886316	527	40	-0.0000578077	0.0000000160
1	91886317	93536458	442	40	-0.0000994590	0.0000000127
1	93536459	94506190	224	25	-0.0000952516	0.0000000056
1	94506191	96150892	591	40	-0.0000179758	0.0000000166
1	96150893	97885248	561	40	-0.0001047306	0.0000000137
1	97885249	99800603	606	40	0.0000668163	0.0000000147
1	99800604	100826404	293	35	0.0000027469	0.0000000077
1	100826405	102041015	412	40	0.0000234703	0.0000000127
1	102041016	102898744	265	36	-0.0000380359	0.0000000066
1	102898745	103914210	178	20	0.0000033579	0.0000000057
1	103914211	106087841	436	40	0.0000144999	0.0000000110
1	106087842	108409664	693	40	0.0001791186	0.0000000193
1	108409665	110303930	394	40	0.0001176443	0.0000000121
1	110303931	111741736	502	40	0.0001087639	0.0000000166
1	111741737	113273305	613	40	-0.0000851742	0.0000000166
1	113273306	114873844	464	40	0.0000360985	0.0000000130
1	114873845	115880592	302	35	-0.0000782227	0.0000000088
1	115880593	118839066	735	40	0.0000526067	0.0000000183
1	118839067	144977493	455	40	-0.0000066767	0.0000000158
1	144977494	148361252	369	40	-0.0000050368	0.0000000109
1	148361253	151538880	251	28	0.0000871282	0.0000000072
1	151538881	153180828	401	40	0.0000689415	0.0000000116
1	153180829	154770402	359	40	-0.0000990695	0.0000000117
1	154770403	156336132	214	33	-0.0000352326	0.0000000086
1	156336133	158027411	487	40	-0.0001773641	0.0000000147
1	158027412	159913047	547	40	-0.0000238092	0.0000000169
1	159913048	162346720	627	40	-0.0000959523	0.0000000178
1	162346721	165191701	1112	40	0.0000366853	0.0000000185
1	165191702	166460516	492	40	0.0000915973	0.0000000152
1	166460517	169086323	996	40	-0.0000406325	0.0000000185
1	169086324	170557775	426	40	-0.0001195595	0.0000000105
1	170557776	173097906	732	40	-0.0000751617	0.0000000187
1	173097907	175089767	372	30	-0.0000246979	0.0000000070
1	175089768	177433380	702	40	0.0000267843	0.0000000183
1	177433381	178944308	397	40	-0.0000237450	0.0000000121
1	178944309	178954469	2	1	-0.0000147519	0.0000000002
1	178954470	181144120	629	40	0.0000485104	0.0000000171
1	181144121	182755355	544	40	0.0000576794	0.0000000144
1	182755356	184595512	542	40	-0.0000810008	0.0000000152
1	184595513	186810022	450	40	-0.0000158504	0.0000000116
1	186810023	188759944	588	40	0.0000536141	0.0000000147
1	188759945	189904129	209	17	0.0000295793	0.0000000049
1	189904130	191868929	515	40	0.0000824240	0.0000000117
1	191868930	194107441	537	40	-0.0000188945	0.0000000142
1	194107442	196176200	551	40	0.0000151003	0.0000000138
1	196176201	197311513	156	13	-0.0000377236	0.0000000042
1	197311514	199239883	474	40	-0.0000204086	0.0000000140
1	199239884	200137648	286	35	0.0000562799	0.0000000079
1	200137649	201589974	581	40	0.0000408427	0.0000000170
1	201589975	203334733	511	40	0.0000265850	0.0000000166
1	203334734	204681067	398	40	-0.0000101126	0.0000000131
1	204681068	206073264	468	40	0.0000279067	0.0000000134
1	206073265	208410363	505	40	0.0000236460	0.0000000162
1	208410364	210787749	839	40	-0.0001036046	0.0000000203
1	210787750	212842329	631	40	0.0000778984	0.0000000195
1	212842330	214578265	538	40	0.0000668786	0.0000000159
1	214578266	216243633	545	40	-0.0000434774	0.0000000150
1	216243634	218705512	1023	40	0.0000431441	0.0000000168
1	218705513	219590570	261	32	0.0000610924	0.0000000071
1	219590571	221858230	606	40	0.0000177631	0.0000000173
1	221858231	222230219	162	20	0.0000382943	0.0000000050
1	222230220	224938519	413	40	-0.0000321632	0.0000000118
1	224938520	226810859	433	40	0.0000226166	0.0000000139
1	226810860	229156247	581	40	-0.0000434892	0.0000000156
1	229156248	230685254	436	40	0.0001071876	0.0000000140
1	230685255	232090251	508	40	0.0001058821	0.0000000146
1	232090252	233429283	558	40	0.0000077439	0.0000000165
1	233429284	234599433	486	40	0.0000407725	0.0000000143
1	234599434	235819435	340	40	-0.0000526753	0.0000000116
1	235819436	237555627	628	40	0.0000144901	0.0000000194
1	237555628	238567806	380	40	-0.0000163453	0.0000000128
1	238567807	239925313	467	40	0.0000417872	0.0000000146
1	239925314	240564090	308	40	-0.0000634457	0.0000000102
1	240564091	241582219	488	40	-0.0000087070	0.0000000161
1	241582220	242071601	192	37	-0.0000484115	0.0000000074
1	242071602	244109498	596	40	0.0000650547	0.0000000175
1	244109499	245506745	475	40	-0.0000863359	0.0000000148
1	245506746	247344517	643	40	-0.0000182986	0.0000000180
1	247344518	249239465	322	40	0.0001073311	0.0000000111
2	10133	1781021	565	40	-0.0002050294	0.0000000171
2	1781022	3973778	904	40	0.0000082769	0.0000000189
2	3973779	5708336	617	40	-0.0002002341	0.0000000192
2	5708337	6836253	552	40	0.0000081770	0.0000000157
2	6836254	8422146	639	40	0.0001161923	0.0000000183
