chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	14	0.0002887418	0.000000064089
1	1892607	3582735	404	14	-0.0000307306	0.000000221001
1	3582736	4380810	262	14	0.0003509678	0.000000157802
1	4380811	5913892	862	14	0.0000330708	0.000000334158
1	5913893	7247334	409	14	0.0001211180	0.000000217875
1	7247335	9365198	677	14	0.0001071094	0.000000339180
1	9365199	10806983	336	14	0.0000353579	0.000000153006
1	10806984	11777840	247	14	0.0000677103	0.000000130420
1	11777841	12779465	271	14	0.0000271966	0.000000145227
1	12779466	14891510	606	14	0.0001348995	0.000000341065
1	14891511	16897729	656	14	-0.0000060709	0.000000331502
1	16897730	18662898	635	14	0.0000923699	0.000000338180
1	18662899	20469148	684	14	-0.0000893548	0.000000325853
1	20469149	21736587	450	14	0.0001987602	0.000000236469
1	21736588	23086882	506	14	0.0001931389	0.000000289697
1	23086883	23920589	214	14	0.0000749239	0.000000105532
1	23920590	25516844	498	14	0.0002596518	0.000000289016
1	25516845	27401866	384	14	-0.0000515724	0.000000158450
1	27401867	30161880	523	14	0.0001254838	0.000000247922
1	30161881	32438684	903	14	0.0002161100	0.000000346574
1	32438685	34799757	644	14	0.0001029793	0.000000334263
1	34799758	37549182	522	14	0.0000854623	0.000000260394
1	37549183	38731846	358	14	-0.0001629258	0.000000158335
1	38731847	40200566	424	14	0.0002198121	0.000000223823
1	40200567	41975326	540	14	0.0001939421	0.000000261914
1	41975327	43758456	529	14	0.0003007265	0.000000247599
1	43758457	44969182	350	14	0.0002619638	0.000000164255
1	44969183	46899500	439	14	0.0000403144	0.000000150045
1	46899501	48002575	278	14	0.0001765357	0.000000129383
1	48002576	48978187	339	14	0.0000697670	0.000000171281
1	48978188	49894176	237	14	0.0000439926	0.000000115425
1	49894177	51713725	252	14	0.0004468932	0.000000114880
1	51713726	54226261	546	14	-0.0000287474	0.000000265839
1	54226262	56413116	810	14	0.0004780831	0.000000364345
1	56413117	57021727	264	14	0.0000171164	0.000000110464
1	57021728	58865398	826	14	0.0000580611	0.000000335853
1	58865399	59890408	371	14	0.0004634191	0.000000194368
1	59890409	61922364	659	14	-0.0001210378	0.000000323704
1	61922365	63455088	513	14	0.0002135565	0.000000273419
1	63455089	65041703	642	14	-0.0000382665	0.000000269614
1	65041704	66939403	634	14	0.0001158994	0.000000292652
1	66939404	68477894	662	14	0.0001008931	0.000000278284
1	68477895	69687615	382	14	0.0000265581	0.000000179841
1	69687616	71372469	505	14	0.0000543961	0.000000230990
1	71372470	71684404	80	10	-0.0000017134	0.000000027390
1	71684405	74326906	555	14	0.0000418318	0.000000207655
1	74326907	76728134	708	14	0.0001382397	0.000000280809
1	76728135	79661197	924	14	-0.0000244886	0.000000330253
1	79661198	81354190	470	14	0.0002244067	0.000000228333
1	81354191	83991747	964	14	0.0000479548	0.000000335167
1	83991748	84844494	304	14	0.0001062455	0.000000125315
1	84844495	86454750	634	14	0.0003496340	0.000000328789
1	86454751	88128630	552	14	-0.0000040806	0.000000257259
1	88128631	90066302	514	14	0.0001042518	0.000000240761
