chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	15	-0.0000716205	0.0000000390
1	1892607	3582735	472	15	-0.0001857036	0.0000001437
1	3582736	4380810	295	15	0.0000674209	0.0000000755
1	4380811	5913892	916	15	0.0000321308	0.0000001212
1	5913893	7247334	450	15	-0.0000120361	0.0000000809
1	7247335	9365198	741	15	0.0000080099	0.0000001220
1	9365199	10806983	374	15	0.0000127375	0.0000000711
1	10806984	11777840	282	15	-0.0002196779	0.0000000740
1	11777841	12779465	307	15	-0.0001402216	0.0000000834
1	12779466	14891510	646	15	0.0001929123	0.0000001259
1	14891511	16897729	748	15	0.0001279068	0.0000001357
1	16897730	18662898	699	15	0.0000559347	0.0000001284
1	18662899	20469148	777	15	-0.0002142007	0.0000001439
1	20469149	21736587	479	15	0.0000595470	0.0000000935
1	21736588	23086882	545	15	0.0000717233	0.0000001093
1	23086883	23920589	237	15	0.0001222836	0.0000000403
1	23920590	25516844	549	15	0.0000416127	0.0000001170
1	25516845	27401866	434	15	0.0000217847	0.0000000703
1	27401867	30161880	578	15	-0.0000589683	0.0000000946
1	30161881	32438684	984	15	-0.0000965561	0.0000001198
1	32438685	34799757	716	15	0.0000462448	0.0000001186
1	34799758	37549182	608	15	0.0000402871	0.0000001149
1	37549183	38731846	394	15	-0.0000275804	0.0000000718
1	38731847	40200566	462	15	0.0000106678	0.0000000904
1	40200567	41975326	573	15	0.0001030268	0.0000000928
1	41975327	43758456	591	15	0.0000484552	0.0000000944
1	43758457	44969182	389	15	0.0001126455	0.0000000621
1	44969183	46899500	478	15	-0.0000471430	0.0000000591
1	46899501	48002575	318	15	-0.0000585421	0.0000000539
1	48002576	48978187	360	15	-0.0000302383	0.0000000623
1	48978188	49894176	253	15	-0.0002686802	0.0000000440
1	49894177	51713725	265	15	-0.0001264971	0.0000000293
1	51713726	54226261	583	15	-0.0000467163	0.0000001015
1	54226262	56413116	893	15	-0.0000878460	0.0000001237
1	56413117	57021727	287	15	-0.0000531389	0.0000000493
1	57021728	58865398	910	15	-0.0002261188	0.0000001228
1	58865399	59890408	412	15	0.0000677210	0.0000000680
1	59890409	61922364	704	15	-0.0000166004	0.0000001173
1	61922365	63455088	581	15	-0.0000974228	0.0000001158
1	63455089	65041703	698	15	0.0000084778	0.0000001042
1	65041704	66939403	671	15	0.0001252348	0.0000000943
1	66939404	68477894	719	15	-0.0002180933	0.0000000990
1	68477895	69687615	399	15	-0.0000675081	0.0000000669
1	69687616	71372469	559	15	-0.0000729390	0.0000000952
1	71372470	71684404	87	10	0.0000892013	0.0000000128
1	71684405	74326906	585	15	0.0001256317	0.0000000756
1	74326907	76728134	759	15	0.0000862843	0.0000000968
1	76728135	79661197	992	15	-0.0001283335	0.0000001204
1	79661198	81354190	500	15	-0.0000896983	0.0000000774
1	81354191	83991747	1022	15	0.0001055103	0.0000001230
1	83991748	84844494	330	15	0.0000350740	0.0000000436
1	84844495	86454750	681	15	-0.0000718930	0.0000001113
1	86454751	88128630	611	15	0.0000650906	0.0000001065
1	88128631	90066302	552	15	0.0000085296	0.0000000931
1	90066303	91886316	591	15	0.0002410428	0.0000001037
1	91886317	93536458	537	15	-0.0000385474	0.0000000757
1	93536459	94506190	268	15	0.0000611489	0.0000000353
1	94506191	96150892	696	15	-0.0000214009	0.0000001176
1	96150893	97885248	637	15	-0.0000845989	0.0000000851
1	97885249	99800603	670	15	-0.0001232767	0.0000001009
1	99800604	100826404	348	15	-0.0000869367	0.0000000439
1	100826405	102041015	473	15	-0.0000058274	0.0000000681
1	102041016	102898744	292	15	-0.0002076646	0.0000000542
1	102898745	103914210	213	15	-0.0000533303	0.0000000299
1	103914211	106087841	481	15	-0.0001594541	0.0000000820
1	106087842	108409664	770	15	0.0000973005	0.0000001221
1	108409665	110303930	598	15	0.0000998631	0.0000001141
1	110303931	111741736	615	15	-0.0000828642	0.0000001337
1	111741737	113273305	757	15	-0.0000037149	0.0000001194
1	113273306	114873844	539	15	-0.0000385583	0.0000000944
1	114873845	115880592	357	15	0.0000849134	0.0000000473
1	115880593	118839066	916	15	-0.0000376775	0.0000001322
1	118839067	144977493	605	15	0.0000130691	0.0000000945
1	144977494	148361252	464	15	-0.0000838530	0.0000000734
1	148361253	151538880	363	15	0.0000269891	0.0000000502
1	151538881	153180828	521	15	0.0000724198	0.0000000648
1	153180829	154770402	492	15	-0.0000035070	0.0000000821
1	154770403	156336132	322	15	0.0001211206	0.0000000649
1	156336133	158027411	643	15	-0.0001062197	0.0000001199
1	158027412	159913047	740	15	0.0002558553	0.0000001461
1	159913048	162346720	943	15	0.0000427116	0.0000001359
1	162346721	165191701	1278	15	0.0000453105	0.0000001202
1	165191702	166460516	581	15	-0.0000102806	0.0000001117
1	166460517	169086323	1205	15	-0.0001900042	0.0000001306
1	169086324	170557775	591	15	0.0000247780	0.0000000718
1	170557776	173097906	978	15	0.0001247542	0.0000001233
1	173097907	175089767	448	15	0.0000348725	0.0000000470
1	175089768	177433380	869	15	-0.0000838196	0.0000001252
1	177433381	178944308	544	15	-0.0001271331	0.0000000804
1	178944309	178954469	2	1	-0.0000467279	0.0000000032
1	178954470	181144120	811	15	0.0000153850	0.0000001149
1	181144121	182755355	667	15	0.0000870083	0.0000001173
1	182755356	184595512	674	15	-0.0000262279	0.0000001024
1	184595513	186810022	581	15	0.0000212467	0.0000000909
1	186810023	188759944	696	15	-0.0000408136	0.0000000996
1	188759945	189904129	244	15	-0.0000791612	0.0000000319
1	189904130	191868929	591	15	0.0000615160	0.0000000667
1	191868930	194107441	647	15	-0.0001185872	0.0000000974
1	194107442	196176200	630	15	-0.0001701052	0.0000000842
1	196176201	197311513	206	15	-0.0000441372	0.0000000261
1	197311514	199239883	548	15	-0.0000023292	0.0000000892
1	199239884	200137648	344	15	-0.0000536830	0.0000000596
1	200137649	201589974	751	15	0.0000336040	0.0000001236
1	201589975	203334733	652	15	0.0000244834	0.0000001260
1	203334734	204681067	537	15	0.0001815182	0.0000001094
1	204681068	206073264	604	15	-0.0001483112	0.0000001190
1	206073265	208410363	699	15	-0.0000006006	0.0000001277
1	208410364	210787749	1018	15	0.0000456782	0.0000001262
1	210787750	212842329	741	15	0.0000419150	0.0000001199
1	212842330	214578265	648	15	0.0000332457	0.0000001247
1	214578266	216243633	644	15	0.0000002481	0.0000001051
1	216243634	218705512	1151	15	0.0001199562	0.0000001155
1	218705513	219590570	314	15	0.0000915248	0.0000000481
1	219590571	221858230	750	15	0.0000709446	0.0000001177
1	221858231	222230219	187	15	-0.0001197679	0.0000000314
1	222230220	224938519	632	15	-0.0001393874	0.0000001539
1	224938520	226810859	558	15	-0.0000707293	0.0000000945
1	226810860	229156247	789	15	0.0000430626	0.0000001308
1	229156248	230685254	599	15	0.0002622384	0.0000001319
1	230685255	232090251	627	15	0.0000254029	0.0000001242
1	232090252	233429283	651	15	-0.0000789954	0.0000001357
1	233429284	234599433	593	15	-0.0000424842	0.0000001200
1	234599434	235819435	416	15	-0.0000504431	0.0000001000
1	235819436	237555627	790	15	-0.0000672088	0.0000001269
1	237555628	238567806	460	15	0.0000198455	0.0000000900
1	238567807	239925313	531	15	0.0001567554	0.0000001000
1	239925314	240564090	376	15	-0.0000238911	0.0000000714
1	240564091	241582219	554	15	-0.0000544905	0.0000001336
1	241582220	242071601	236	15	-0.0001781580	0.0000000526
1	242071602	244109498	674	15	-0.0000472753	0.0000001255
1	244109499	245506745	557	15	-0.0000354462	0.0000001330
1	245506746	247344517	792	15	0.0000032396	0.0000001380
1	247344518	249239465	433	15	-0.0000796749	0.0000000906
2	10133	1781021	710	15	-0.0000737607	0.0000001148
2	1781022	3973778	1027	15	-0.0001011401	0.0000001246
2	3973779	5708336	661	15	0.0000520259	0.0000001149
2	5708337	6836253	595	15	-0.0001959582	0.0000001071
2	6836254	8422146	673	15	0.0000128349	0.0000001107
2	8422147	10298468	723	15	-0.0000427158	0.0000001282
2	10298469	12419149	1033	15	-0.0000987672	0.0000001310
2	12419150	14335307	622	15	0.0000188600	0.0000001042
