chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	101	19	0.0000252443	0.0000000015
1	1892607	3582735	442	40	-0.0000430056	0.0000000054
1	3582736	4380810	277	40	0.0000054435	0.0000000039
1	4380811	5913892	877	40	0.0000099591	0.0000000063
1	5913893	7247334	439	40	-0.0000149139	0.0000000054
1	7247335	9365198	703	40	-0.0000421827	0.0000000084
1	9365199	10806983	356	40	0.0000203478	0.0000000037
1	10806984	11777840	258	40	0.0000286252	0.0000000034
1	11777841	12779465	297	40	-0.0000258164	0.0000000033
1	12779466	14891510	618	40	0.0000217957	0.0000000061
1	14891511	16897729	693	40	-0.0000644051	0.0000000066
1	16897730	18662898	671	40	-0.0000179641	0.0000000065
1	18662899	20469148	721	40	-0.0000277375	0.0000000070
1	20469149	21736587	462	40	-0.0000924276	0.0000000060
1	21736588	23086882	527	40	0.0000063565	0.0000000064
1	23086883	23920589	223	28	0.0000563768	0.0000000028
1	23920590	25516844	527	40	0.0000020460	0.0000000063
1	25516845	27401866	423	40	-0.0000050349	0.0000000046
1	27401867	30161880	557	40	-0.0000317906	0.0000000057
1	30161881	32438684	933	40	-0.0000399277	0.0000000068
1	32438685	34799757	677	40	-0.0000735739	0.0000000069
1	34799758	37549182	557	40	-0.0001037628	0.0000000060
1	37549183	38731846	375	40	-0.0000450618	0.0000000042
1	38731847	40200566	448	40	-0.0000342512	0.0000000047
1	40200567	41975326	556	40	0.0000009634	0.0000000055
1	41975327	43758456	549	40	-0.0000675679	0.0000000054
1	43758457	44969182	372	35	-0.0000977822	0.0000000049
1	44969183	46899500	460	38	-0.0000060146	0.0000000033
1	46899501	48002575	299	33	-0.0000170713	0.0000000029
1	48002576	48978187	345	40	-0.0000431225	0.0000000036
1	48978188	49894176	248	28	-0.0000370009	0.0000000026
1	49894177	51713725	260	25	-0.0000148406	0.0000000022
1	51713726	54226261	565	40	-0.0001131931	0.0000000059
1	54226262	56413116	842	40	-0.0000263471	0.0000000059
1	56413117	57021727	271	31	0.0000016924	0.0000000027
1	57021728	58865398	857	40	-0.0001424235	0.0000000077
1	58865399	59890408	384	40	-0.0000123371	0.0000000038
1	59890409	61922364	672	40	-0.0000186191	0.0000000070
1	61922365	63455088	546	40	-0.0000162615	0.0000000049
1	63455089	65041703	655	40	-0.0000175035	0.0000000054
1	65041704	66939403	655	40	-0.0000586000	0.0000000074
1	66939404	68477894	693	40	-0.0000920777	0.0000000060
1	68477895	69687615	389	40	0.0000023055	0.0000000043
1	69687616	71372469	524	40	0.0000048307	0.0000000052
1	71372470	71684404	84	10	0.0000080649	0.0000000009
1	71684405	74326906	563	40	0.0001014624	0.0000000066
1	74326907	76728134	735	40	-0.0000334785	0.0000000063
1	76728135	79661197	957	40	-0.0000554681	0.0000000066
1	79661198	81354190	478	40	-0.0000472497	0.0000000046
1	81354191	83991747	979	40	0.0000138949	0.0000000061
1	83991748	84844494	317	36	0.0000333954	0.0000000030
1	84844495	86454750	656	40	-0.0000845236	0.0000000063
1	86454751	88128630	576	40	0.0000020309	0.0000000060
1	88128631	90066302	526	40	-0.0000208294	0.0000000055
1	90066303	91886316	566	40	-0.0001509779	0.0000000065
1	91886317	93536458	516	40	-0.0000440305	0.0000000047
1	93536459	94506190	257	27	-0.0000636692	0.0000000035
1	94506191	96150892	653	40	-0.0000616833	0.0000000066
1	96150893	97885248	610	40	-0.0000617656	0.0000000057
1	97885249	99800603	645	40	-0.0001074219	0.0000000071
1	99800604	100826404	339	37	0.0000257085	0.0000000030
1	100826405	102041015	453	40	0.0000190178	0.0000000043
1	102041016	102898744	281	37	0.0000630267	0.0000000030
1	102898745	103914210	202	21	0.0000606153	0.0000000022
1	103914211	106087841	462	40	0.0000305190	0.0000000048
1	106087842	108409664	727	40	-0.0000688931	0.0000000064
1	108409665	110303930	576	40	0.0000158062	0.0000000056
1	110303931	111741736	573	40	-0.0000872798	0.0000000071
1	111741737	113273305	723	40	-0.0000665351	0.0000000070
1	113273306	114873844	514	40	0.0000055905	0.0000000057
1	114873845	115880592	346	37	0.0000214402	0.0000000030
1	115880593	118839066	844	40	-0.0000538187	0.0000000072
1	118839067	144977493	579	40	-0.0000164286	0.0000000058
1	144977494	148361252	435	40	-0.0000684416	0.0000000046
1	148361253	151538880	352	34	-0.0000312550	0.0000000034
1	151538881	153180828	479	40	0.0000416195	0.0000000041
1	153180829	154770402	463	40	-0.0000172025	0.0000000043
