chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	76	16	-0.0000269825	0.0000000155
1	1892607	3582735	367	40	-0.0000005075	0.0000000459
1	3582736	4380810	236	40	-0.0000455740	0.0000000392
1	4380811	5913892	847	40	-0.0000977155	0.0000000670
1	5913893	7247334	355	40	-0.0000335319	0.0000000438
1	7247335	9365198	636	40	-0.0000798630	0.0000000750
1	9365199	10806983	296	40	-0.0002071185	0.0000000370
1	10806984	11777840	220	40	0.0001445926	0.0000000302
1	11777841	12779465	187	40	-0.0002873922	0.0000000250
1	12779466	14891510	570	40	0.0001024933	0.0000000708
1	14891511	16897729	590	40	0.0000571691	0.0000000626
1	16897730	18662898	565	40	-0.0002091644	0.0000000646
1	18662899	20469148	618	40	-0.0000370520	0.0000000644
1	20469149	21736587	394	40	-0.0002647772	0.0000000474
1	21736588	23086882	445	40	0.0003287118	0.0000000781
1	23086883	23920589	181	26	0.0000476742	0.0000000232
1	23920590	25516844	443	40	0.0000299377	0.0000000553
1	25516845	27401866	307	40	0.0002014863	0.0000000390
1	27401867	30161880	483	40	-0.0000021496	0.0000000483
1	30161881	32438684	869	40	0.0002098838	0.0000000715
1	32438685	34799757	607	40	0.0000392930	0.0000000761
1	34799758	37549182	507	40	-0.0001514863	0.0000000530
1	37549183	38731846	321	40	-0.0002945186	0.0000000364
1	38731847	40200566	391	40	-0.0002488523	0.0000000432
1	40200567	41975326	497	40	0.0002022294	0.0000000509
1	41975327	43758456	476	40	0.0001535091	0.0000000518
1	43758457	44969182	303	34	0.0001491132	0.0000000326
1	44969183	46899500	370	37	0.0002602564	0.0000000316
1	46899501	48002575	256	32	-0.0000056614	0.0000000277
1	48002576	48978187	330	40	0.0000845422	0.0000000390
1	48978188	49894176	230	28	0.0001623212	0.0000000276
1	49894177	51713725	245	25	0.0002498279	0.0000000249
1	51713726	54226261	492	40	-0.0000259672	0.0000000533
1	54226262	56413116	737	40	0.0001764790	0.0000000717
1	56413117	57021727	246	30	-0.0000971834	0.0000000240
1	57021728	58865398	821	40	-0.0002661799	0.0000000659
1	58865399	59890408	354	40	0.0000898854	0.0000000429
1	59890409	61922364	630	40	-0.0000686333	0.0000000652
1	61922365	63455088	429	40	0.0000475114	0.0000000509
1	63455089	65041703	616	40	0.0001944293	0.0000000562
1	65041704	66939403	601	40	-0.0001999291	0.0000000553
1	66939404	68477894	630	40	0.0000453117	0.0000000601
1	68477895	69687615	369	40	0.0000400484	0.0000000571
1	69687616	71372469	490	40	0.0000470306	0.0000000490
1	71372470	71684404	77	10	-0.0000355618	0.0000000066
1	71684405	74326906	506	40	0.0001138286	0.0000000447
1	74326907	76728134	649	40	-0.0001104142	0.0000000561
1	76728135	79661197	876	40	0.0001075004	0.0000000699
1	79661198	81354190	467	40	0.0000865550	0.0000000468
1	81354191	83991747	938	40	0.0001187707	0.0000000705
1	83991748	84844494	305	35	-0.0001786854	0.0000000324
1	84844495	86454750	593	40	0.0001938100	0.0000000623
1	86454751	88128630	514	40	-0.0001325022	0.0000000538
1	88128631	90066302	485	40	-0.0001268410	0.0000000542
1	90066303	91886316	539	40	0.0000120447	0.0000000592
1	91886317	93536458	452	40	0.0000104412	0.0000000456
1	93536459	94506190	224	25	-0.0001010981	0.0000000220
1	94506191	96150892	609	40	-0.0001746256	0.0000000612
1	96150893	97885248	577	40	-0.0001193495	0.0000000512
1	97885249	99800603	619	40	-0.0002129200	0.0000000590
1	99800604	100826404	300	36	-0.0000000932	0.0000000327
1	100826405	102041015	420	40	0.0001769501	0.0000000439
1	102041016	102898744	272	36	-0.0003533032	0.0000000279
1	102898745	103914210	179	21	-0.0002582860	0.0000000173
1	103914211	106087841	447	40	-0.0002661092	0.0000000516
1	106087842	108409664	699	40	0.0001695622	0.0000000675
1	108409665	110303930	398	40	-0.0000321677	0.0000000460
1	110303931	111741736	511	40	-0.0002188537	0.0000000589
1	111741737	113273305	627	40	-0.0004086339	0.0000000702
1	113273306	114873844	471	40	0.0000657706	0.0000000526
1	114873845	115880592	305	36	-0.0002958305	0.0000000344
1	115880593	118839066	745	40	-0.0001102584	0.0000000704
1	118839067	144977493	467	40	-0.0001506195	0.0000000511
1	144977494	148361252	374	40	-0.0003644659	0.0000000405
1	148361253	151538880	250	28	0.0000013311	0.0000000308
1	151538881	153180828	406	40	0.0000006213	0.0000000369
1	153180829	154770402	371	40	-0.0001606995	0.0000000469
1	154770403	156336132	219	33	0.0001913284	0.0000000299
1	156336133	158027411	488	40	0.0002865810	0.0000000554
1	158027412	159913047	562	40	-0.0000686242	0.0000000640
1	159913048	162346720	639	40	-0.0001754854	0.0000000724
1	162346721	165191701	1132	40	0.0002158197	0.0000000665
1	165191702	166460516	501	40	-0.0000079588	0.0000000586
1	166460517	169086323	1012	40	0.0000004687	0.0000000681
1	169086324	170557775	432	40	-0.0000863326	0.0000000460
1	170557776	173097906	755	40	-0.0005539573	0.0000000787
1	173097907	175089767	378	30	0.0002174129	0.0000000281
1	175089768	177433380	721	40	-0.0001654776	0.0000000721
1	177433381	178944308	409	40	0.0000310229	0.0000000433
1	178944309	178954469	2	1	0.0000033779	-0.0000000001
1	178954470	181144120	649	40	0.0002168007	0.0000000699
1	181144121	182755355	560	40	-0.0000975809	0.0000000587
1	182755356	184595512	560	40	0.0000055780	0.0000000563
1	184595513	186810022	461	40	0.0000378228	0.0000000469
1	186810023	188759944	601	40	-0.0000526492	0.0000000553
1	188759945	189904129	217	17	-0.0000024421	0.0000000237
1	189904130	191868929	521	40	0.0000957357	0.0000000408
1	191868930	194107441	561	40	-0.0000262186	0.0000000499
1	194107442	196176200	568	40	-0.0000572721	0.0000000475
1	196176201	197311513	163	14	-0.0000071132	0.0000000157
1	197311514	199239883	485	40	0.0002582229	0.0000000523
1	199239884	200137648	290	35	0.0000736515	0.0000000394
1	200137649	201589974	595	40	-0.0000775604	0.0000000646
1	201589975	203334733	525	40	0.0001579385	0.0000000583
1	203334734	204681067	406	40	0.0000430851	0.0000000467
1	204681068	206073264	477	40	-0.0001059095	0.0000000558
1	206073265	208410363	523	40	-0.0001222083	0.0000000654
1	208410364	210787749	868	40	0.0003307960	0.0000000746
1	210787750	212842329	649	40	0.0000887432	0.0000000733
1	212842330	214578265	547	40	-0.0002751482	0.0000000598
1	214578266	216243633	555	40	-0.0000310485	0.0000000565
1	216243634	218705512	1042	40	-0.0001465940	0.0000000689
1	218705513	219590570	269	34	0.0000215505	0.0000000344
1	219590571	221858230	617	40	0.0002498551	0.0000000686
1	221858231	222230219	166	21	0.0001571321	0.0000000202
1	222230220	224938519	420	40	-0.0002333733	0.0000000471
1	224938520	226810859	447	40	-0.0001212316	0.0000000428
