chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	19	0.0002574455	0.000000012631
1	1892607	3582735	437	32	0.0003954300	0.000000037821
1	3582736	4380810	272	32	0.0001168128	0.000000019910
1	4380811	5913892	866	32	0.0002282759	0.000000040586
1	5913893	7247334	430	32	0.0001709650	0.000000028341
1	7247335	9365198	698	32	0.0002012848	0.000000040182
1	9365199	10806983	353	32	0.0001008819	0.000000020528
1	10806984	11777840	258	32	0.0002275939	0.000000020980
1	11777841	12779465	282	32	0.0002738601	0.000000024152
1	12779466	14891510	617	32	0.0000554633	0.000000036959
1	14891511	16897729	686	32	0.0001530222	0.000000039168
1	16897730	18662898	658	32	0.0001616099	0.000000039696
1	18662899	20469148	710	32	0.0001665199	0.000000039414
1	20469149	21736587	460	32	0.0000019739	0.000000024828
1	21736588	23086882	522	32	0.0001507205	0.000000034586
1	23086883	23920589	222	28	0.0001415541	0.000000015200
1	23920590	25516844	521	32	0.0000604723	0.000000032272
1	25516845	27401866	414	32	0.0005028125	0.000000031165
1	27401867	30161880	551	32	0.0000565891	0.000000028466
1	30161881	32438684	932	32	0.0001676282	0.000000039220
1	32438685	34799757	675	32	0.0000658824	0.000000036823
1	34799758	37549182	550	32	0.0002177087	0.000000034322
1	37549183	38731846	373	32	0.0000805423	0.000000021552
1	38731847	40200566	446	32	0.0000327168	0.000000024947
1	40200567	41975326	554	32	0.0000512652	0.000000028502
1	41975327	43758456	543	32	0.0002384500	0.000000031139
1	43758457	44969182	371	32	0.0001539575	0.000000020816
1	44969183	46899500	457	32	0.0002606151	0.000000023109
1	46899501	48002575	296	32	0.0002276902	0.000000018988
1	48002576	48978187	344	32	0.0002638290	0.000000024912
1	48978188	49894176	247	28	0.0002126097	0.000000018240
1	49894177	51713725	260	25	0.0002037397	0.000000014755
1	51713726	54226261	562	32	0.0001556262	0.000000033041
1	54226262	56413116	834	32	0.0000009559	0.000000035464
1	56413117	57021727	271	31	0.0000804825	0.000000014468
1	57021728	58865398	847	32	0.0003261768	0.000000042633
1	58865399	59890408	382	32	0.0002055191	0.000000023421
1	59890409	61922364	670	32	0.0000336327	0.000000035688
1	61922365	63455088	532	32	0.0002066171	0.000000033721
1	63455089	65041703	659	32	0.0000679433	0.000000031435
1	65041704	66939403	649	32	0.0002776717	0.000000037090
1	66939404	68477894	686	32	0.0003464983	0.000000037476
1	68477895	69687615	386	32	0.0002462635	0.000000025651
1	69687616	71372469	517	32	0.0000212461	0.000000025425
1	71372470	71684404	82	10	0.0000592719	0.000000004655
1	71684405	74326906	558	32	0.0001235290	0.000000025118
1	74326907	76728134	726	32	0.0000895644	0.000000031371
1	76728135	79661197	946	32	0.0000769800	0.000000036628
1	79661198	81354190	475	32	0.0002187754	0.000000028557
1	81354191	83991747	971	32	0.0000856268	0.000000037135
1	83991748	84844494	313	32	0.0001192092	0.000000016362
1	84844495	86454750	650	32	0.0002882795	0.000000039504
1	86454751	88128630	568	32	0.0001768739	0.000000032905
1	88128631	90066302	522	32	0.0000196845	0.000000026233
1	90066303	91886316	559	32	0.0001799490	0.000000031390
1	91886317	93536458	507	32	0.0000361014	0.000000022571
1	93536459	94506190	255	26	0.0002860159	0.000000017229
1	94506191	96150892	649	32	0.0000579073	0.000000034366
1	96150893	97885248	602	32	0.0002326400	0.000000030205
1	97885249	99800603	638	32	0.0001230107	0.000000031313
1	99800604	100826404	339	32	0.0001993774	0.000000019085
1	100826405	102041015	445	32	0.0001926143	0.000000025466
1	102041016	102898744	276	32	0.0001294289	0.000000016166
1	102898745	103914210	201	21	0.0000721166	0.000000010030
1	103914211	106087841	454	32	0.0002729523	0.000000028616
1	106087842	108409664	726	32	0.0000470077	0.000000035736
1	108409665	110303930	565	32	0.0000965476	0.000000029228
1	110303931	111741736	566	32	0.0001044684	0.000000035237
1	111741737	113273305	720	32	0.0002421894	0.000000040808
1	113273306	114873844	511	32	0.0001266986	0.000000029636
1	114873845	115880592	345	32	0.0000762804	0.000000017073
1	115880593	118839066	834	32	0.0001733456	0.000000039374
1	118839067	144977493	565	32	0.0002479455	0.000000032422
1	144977494	148361252	431	32	0.0014728129	0.000000055393
1	148361253	151538880	349	32	0.0004883617	0.000000026968
1	151538881	153180828	468	32	0.0001844507	0.000000024143
1	153180829	154770402	454	32	0.0000401163	0.000000023092
1	154770403	156336132	306	32	0.0010125139	0.000000039933
1	156336133	158027411	596	32	0.0003204789	0.000000038452
1	158027412	159913047	682	32	0.0001605484	0.000000039228
1	159913048	162346720	872	32	0.0002095477	0.000000040282
1	162346721	165191701	1191	32	0.0004929509	0.000000046389
1	165191702	166460516	531	32	0.0002983851	0.000000036792
1	166460517	169086323	1103	32	0.0002217447	0.000000040471
1	169086324	170557775	558	32	0.0001221864	0.000000025844
1	170557776	173097906	898	32	0.0000876088	0.000000036722
1	173097907	175089767	411	32	0.0002389089	0.000000018947
1	175089768	177433380	783	32	0.0000988337	0.000000037097
1	177433381	178944308	492	32	0.0001064766	0.000000025524
1	178944309	178954469	2	1	0.0000505117	0.000000001388
1	178954470	181144120	751	32	0.0002348801	0.000000039771
1	181144121	182755355	599	32	0.0000544844	0.000000033862
1	182755356	184595512	629	32	0.0001968135	0.000000033095
1	184595513	186810022	523	32	0.0004719717	0.000000034418
1	186810023	188759944	618	32	0.0001251349	0.000000030995
1	188759945	189904129	218	17	0.0000514833	0.000000009266
1	189904130	191868929	538	32	0.0002979330	0.000000027511
1	191868930	194107441	583	32	0.0000820725	0.000000028615
1	194107442	196176200	580	32	0.0002635984	0.000000029938
1	196176201	197311513	196	16	0.0000508779	0.000000008265
1	197311514	199239883	504	32	0.0001360040	0.000000027467
1	199239884	200137648	301	32	0.0003763288	0.000000023360
1	200137649	201589974	709	32	0.0002533125	0.000000041419
1	201589975	203334733	611	32	0.0003082917	0.000000041731
1	203334734	204681067	483	32	0.0000325976	0.000000026768
1	204681068	206073264	578	32	0.0002095944	0.000000036312
1	206073265	208410363	630	32	0.0001520159	0.000000038552
1	208410364	210787749	925	32	0.0001081950	0.000000037690
1	210787750	212842329	697	32	0.0001279668	0.000000037926
1	212842330	214578265	611	32	0.0000705819	0.000000035442
1	214578266	216243633	594	32	0.0000510735	0.000000030947
1	216243634	218705512	1080	32	0.0002472022	0.000000040546
1	218705513	219590570	281	32	0.0001059933	0.000000015971
1	219590571	221858230	690	32	0.0002778458	0.000000040529
1	221858231	222230219	174	21	0.0002436437	0.000000015312
1	222230220	224938519	458	32	-0.0000047243	0.000000023355
1	224938520	226810859	518	32	0.0002521627	0.000000031775
1	226810860	229156247	694	32	0.0002407913	0.000000038604
1	229156248	230685254	528	32	0.0001613855	0.000000033626
1	230685255	232090251	590	32	0.0001180879	0.000000034208
1	232090252	233429283	605	32	0.0000368385	0.000000036324
1	233429284	234599433	535	32	0.0000503115	0.000000031569
1	234599434	235819435	384	32	0.0004414763	0.000000033042
1	235819436	237555627	723	32	0.0003302590	0.000000043286
1	237555628	238567806	427	32	0.0002011805	0.000000029001
1	238567807	239925313	489	32	0.0000074434	0.000000027645
1	239925314	240564090	343	32	0.0001521938	0.000000022816
1	240564091	241582219	516	32	0.0001940442	0.000000038003
1	241582220	242071601	220	32	0.0001986484	0.000000018099
1	242071602	244109498	619	32	0.0003998328	0.000000043973
1	244109499	245506745	511	32	0.0003042973	0.000000038161
1	245506746	247344517	706	32	0.0001551086	0.000000039517
1	247344518	249239465	397	32	0.0000960835	0.000000024987
2	10133	1781021	664	32	0.0003737326	0.000000044003
2	1781022	3973778	963	32	0.0000179826	0.000000036001
2	3973779	5708336	628	32	0.0001771739	0.000000039566
