chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	99	18	0.0000915805	0.0000000082
1	1892607	3582735	441	40	-0.0000835279	0.0000000297
1	3582736	4380810	272	40	-0.0000438994	0.0000000136
1	4380811	5913892	858	40	-0.0001504496	0.0000000260
1	5913893	7247334	427	40	-0.0002253021	0.0000000185
1	7247335	9365198	696	40	0.0000131651	0.0000000265
1	9365199	10806983	352	40	-0.0000192445	0.0000000178
1	10806984	11777840	252	40	-0.0000499494	0.0000000124
1	11777841	12779465	284	40	0.0000311952	0.0000000194
1	12779466	14891510	616	40	0.0000269026	0.0000000266
1	14891511	16897729	691	40	-0.0002968961	0.0000000343
1	16897730	18662898	666	40	-0.0001177808	0.0000000259
1	18662899	20469148	713	40	0.0000463322	0.0000000313
1	20469149	21736587	459	40	0.0000228663	0.0000000215
1	21736588	23086882	521	40	-0.0000868272	0.0000000250
1	23086883	23920589	220	28	-0.0000195795	0.0000000137
1	23920590	25516844	519	40	-0.0000962480	0.0000000245
1	25516845	27401866	411	40	0.0000947357	0.0000000206
1	27401867	30161880	546	40	-0.0000768503	0.0000000241
1	30161881	32438684	927	40	-0.0000859047	0.0000000258
1	32438685	34799757	673	40	0.0001284366	0.0000000260
1	34799758	37549182	554	40	-0.0000150074	0.0000000227
1	37549183	38731846	368	40	-0.0000387147	0.0000000193
1	38731847	40200566	446	40	0.0000263920	0.0000000182
1	40200567	41975326	551	40	-0.0001312231	0.0000000201
1	41975327	43758456	539	40	-0.0001118712	0.0000000191
1	43758457	44969182	368	35	-0.0000654821	0.0000000131
1	44969183	46899500	457	38	-0.0001031198	0.0000000177
1	46899501	48002575	297	33	-0.0001184672	0.0000000143
1	48002576	48978187	342	40	0.0000461468	0.0000000162
1	48978188	49894176	247	28	0.0000246279	0.0000000105
1	49894177	51713725	255	25	-0.0000775598	0.0000000100
1	51713726	54226261	561	40	0.0002368007	0.0000000235
1	54226262	56413116	828	40	0.0000839128	0.0000000275
1	56413117	57021727	271	31	0.0001931257	0.0000000119
1	57021728	58865398	846	40	0.0001217590	0.0000000239
1	58865399	59890408	383	40	0.0001350382	0.0000000163
1	59890409	61922364	667	40	-0.0000150492	0.0000000289
1	61922365	63455088	533	40	-0.0000125363	0.0000000249
1	63455089	65041703	658	40	0.0000891705	0.0000000219
1	65041704	66939403	641	40	-0.0000058266	0.0000000239
1	66939404	68477894	679	40	-0.0001095951	0.0000000224
1	68477895	69687615	374	40	0.0000183582	0.0000000168
1	69687616	71372469	515	40	0.0000081142	0.0000000191
1	71372470	71684404	82	10	0.0000269267	0.0000000034
1	71684405	74326906	556	40	-0.0000050680	0.0000000179
1	74326907	76728134	711	40	-0.0000386780	0.0000000209
1	76728135	79661197	943	40	-0.0001312026	0.0000000276
1	79661198	81354190	466	40	0.0000284375	0.0000000155
1	81354191	83991747	960	40	-0.0000402479	0.0000000266
1	83991748	84844494	312	35	0.0000159847	0.0000000116
1	84844495	86454750	643	40	0.0000320918	0.0000000245
1	86454751	88128630	564	40	0.0000415226	0.0000000201
1	88128631	90066302	517	40	0.0001020390	0.0000000215
1	90066303	91886316	557	40	-0.0001783449	0.0000000242
1	91886317	93536458	508	40	-0.0001829179	0.0000000163
1	93536459	94506190	255	26	0.0000216072	0.0000000102
1	94506191	96150892	644	40	0.0000153152	0.0000000260
