chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	92	17	-0.0000293645	0.0000000032
1	1892607	3582735	408	40	-0.0001860288	0.0000000107
1	3582736	4380810	261	40	-0.0000168738	0.0000000069
1	4380811	5913892	854	40	-0.0000103110	0.0000000108
1	5913893	7247334	406	40	-0.0000609610	0.0000000066
1	7247335	9365198	674	40	0.0000940259	0.0000000107
1	9365199	10806983	335	40	-0.0000043200	0.0000000063
1	10806984	11777840	242	40	0.0000328734	0.0000000053
1	11777841	12779465	272	40	0.0000604346	0.0000000061
1	12779466	14891510	604	40	-0.0001030969	0.0000000101
1	14891511	16897729	656	40	-0.0001575269	0.0000000130
1	16897730	18662898	636	40	-0.0000649686	0.0000000097
1	18662899	20469148	683	40	-0.0000981262	0.0000000124
1	20469149	21736587	448	40	0.0001119544	0.0000000091
1	21736588	23086882	503	40	-0.0000650826	0.0000000103
1	23086883	23920589	212	27	-0.0001721541	0.0000000060
1	23920590	25516844	496	40	0.0000509940	0.0000000094
1	25516845	27401866	383	40	-0.0000053309	0.0000000094
1	27401867	30161880	521	40	-0.0001414200	0.0000000118
1	30161881	32438684	901	40	0.0000982356	0.0000000105
1	32438685	34799757	642	40	-0.0000895779	0.0000000109
1	34799758	37549182	522	40	0.0001003304	0.0000000083
1	37549183	38731846	353	40	-0.0000350695	0.0000000073
1	38731847	40200566	424	40	0.0001055602	0.0000000097
1	40200567	41975326	536	40	-0.0000532043	0.0000000074
1	41975327	43758456	525	40	0.0000590002	0.0000000075
1	43758457	44969182	347	35	-0.0000260130	0.0000000052
1	44969183	46899500	439	38	0.0000004697	0.0000000078
1	46899501	48002575	278	33	0.0000924114	0.0000000060
1	48002576	48978187	337	40	0.0000437547	0.0000000065
1	48978188	49894176	237	28	-0.0000557205	0.0000000051
1	49894177	51713725	248	25	-0.0000755631	0.0000000043
1	51713726	54226261	546	40	0.0000530384	0.0000000092
1	54226262	56413116	802	40	-0.0000438601	0.0000000110
1	56413117	57021727	264	31	-0.0000219937	0.0000000037
1	57021728	58865398	826	40	-0.0000509696	0.0000000090
1	58865399	59890408	371	40	0.0000315133	0.0000000067
1	59890409	61922364	656	40	0.0000216220	0.0000000117
1	61922365	63455088	513	40	-0.0001461359	0.0000000089
1	63455089	65041703	642	40	0.0000448257	0.0000000092
1	65041704	66939403	627	40	0.0000042321	0.0000000103
1	66939404	68477894	656	40	0.0000120562	0.0000000087
1	68477895	69687615	370	40	-0.0000411420	0.0000000079
1	69687616	71372469	502	40	0.0000395461	0.0000000085
1	71372470	71684404	80	10	-0.0000088257	0.0000000017
1	71684405	74326906	553	40	0.0000365928	0.0000000067
1	74326907	76728134	693	40	-0.0000809432	0.0000000094
1	76728135	79661197	920	40	-0.0000783361	0.0000000108
1	79661198	81354190	461	40	-0.0000301557	0.0000000057
1	81354191	83991747	952	40	0.0001217237	0.0000000112
1	83991748	84844494	304	35	0.0000203538	0.0000000058
1	84844495	86454750	625	40	-0.0000006507	0.0000000101
1	86454751	88128630	547	40	0.0000675046	0.0000000078
1	88128631	90066302	509	40	-0.0000721189	0.0000000076
1	90066303	91886316	555	40	-0.0000384973	0.0000000100
1	91886317	93536458	496	40	0.0000327144	0.0000000070
1	93536459	94506190	244	26	-0.0000143623	0.0000000053
1	94506191	96150892	632	40	0.0000658739	0.0000000116
1	96150893	97885248	594	40	-0.0000120671	0.0000000075
1	97885249	99800603	628	40	-0.0001009217	0.0000000096
1	99800604	100826404	304	36	0.0001952316	0.0000000081
