chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	80	17	0.0000932291	0.000000008053
1	1892607	3582735	370	40	0.0001115533	0.000000027669
1	3582736	4380810	241	40	0.0000750369	0.000000017276
1	4380811	5913892	858	40	0.0000125213	0.000000033785
1	5913893	7247334	363	40	0.0001341339	0.000000022538
1	7247335	9365198	643	40	0.0003832908	0.000000041669
1	9365199	10806983	300	40	0.0001748921	0.000000018869
1	10806984	11777840	221	40	0.0000559959	0.000000014659
1	11777841	12779465	197	40	0.0001108928	0.000000014144
1	12779466	14891510	571	40	0.0000415847	0.000000033707
1	14891511	16897729	597	40	0.0000455624	0.000000032370
1	16897730	18662898	572	40	0.0000275865	0.000000032462
1	18662899	20469148	631	40	0.0001782207	0.000000038642
1	20469149	21736587	395	40	0.0003119737	0.000000027797
1	21736588	23086882	448	40	0.0001992697	0.000000030678
1	23086883	23920589	182	26	0.0001954590	0.000000013864
1	23920590	25516844	447	40	0.0001778153	0.000000029771
1	25516845	27401866	312	40	0.0003584435	0.000000023152
1	27401867	30161880	488	40	0.0002150027	0.000000029006
1	30161881	32438684	872	40	-0.0000052395	0.000000032792
1	32438685	34799757	610	40	0.0001876182	0.000000036322
1	34799758	37549182	512	40	0.0001275182	0.000000029562
1	37549183	38731846	325	40	0.0000308515	0.000000017432
1	38731847	40200566	392	40	0.0001025946	0.000000023129
1	40200567	41975326	499	40	0.0001016575	0.000000025600
1	41975327	43758456	487	40	0.0001212184	0.000000024516
1	43758457	44969182	304	34	0.0000425803	0.000000015068
1	44969183	46899500	372	37	0.0000749975	0.000000015781
1	46899501	48002575	258	32	0.0000743733	0.000000013686
1	48002576	48978187	332	40	0.0000781775	0.000000018904
1	48978188	49894176	231	28	0.0000670331	0.000000013425
1	49894177	51713725	246	25	0.0000759452	0.000000010323
1	51713726	54226261	494	40	0.0000753015	0.000000026886
1	54226262	56413116	743	40	-0.0000032830	0.000000032202
1	56413117	57021727	247	29	0.0001379660	0.000000013431
1	57021728	58865398	828	40	0.0001971940	0.000000038001
1	58865399	59890408	356	40	0.0000994096	0.000000019061
1	59890409	61922364	633	40	0.0001029122	0.000000035066
1	61922365	63455088	435	40	0.0000184845	0.000000022545
1	63455089	65041703	619	40	0.0000440733	0.000000027731
