chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	19	-0.0000016748	0.000000001661
1	1892607	3582735	427	40	0.0000335896	0.000000007986
1	3582736	4380810	266	40	0.0000671259	0.000000005385
1	4380811	5913892	845	40	0.0000174154	0.000000010332
1	5913893	7247334	419	40	0.0000203911	0.000000007051
1	7247335	9365198	678	40	0.0000238747	0.000000010414
1	9365199	10806983	344	40	0.0000231073	0.000000005411
1	10806984	11777840	250	40	0.0000158900	0.000000004434
1	11777841	12779465	276	40	0.0000242739	0.000000005124
1	12779466	14891510	601	40	0.0000035039	0.000000010155
1	14891511	16897729	656	40	0.0000053081	0.000000010138
1	16897730	18662898	636	40	0.0000814679	0.000000011145
1	18662899	20469148	694	40	-0.0000110982	0.000000009970
1	20469149	21736587	445	40	0.0001314121	0.000000008701
1	21736588	23086882	502	40	0.0000374954	0.000000009047
1	23086883	23920589	219	28	0.0000384792	0.000000003976
1	23920590	25516844	510	40	-0.0000085234	0.000000008503
1	25516845	27401866	402	40	-0.0000027486	0.000000005466
1	27401867	30161880	536	40	0.0000594231	0.000000008374
1	30161881	32438684	889	40	-0.0000105394	0.000000009977
1	32438685	34799757	658	40	0.0000241704	0.000000010397
1	34799758	37549182	539	40	-0.0000109127	0.000000008129
1	37549183	38731846	364	40	0.0000321415	0.000000005989
1	38731847	40200566	436	40	0.0000185926	0.000000007028
1	40200567	41975326	538	40	0.0000629789	0.000000008520
1	41975327	43758456	521	40	0.0001393561	0.000000008943
1	43758457	44969182	359	35	0.0000694518	0.000000005777
1	44969183	46899500	446	38	0.0000051611	0.000000004982
1	46899501	48002575	290	33	0.0000461286	0.000000004656
1	48002576	48978187	331	40	0.0000072327	0.000000005431
1	48978188	49894176	243	28	-0.0000101308	0.000000003782
1	49894177	51713725	254	25	0.0000245403	0.000000003237
1	51713726	54226261	553	40	0.0000175942	0.000000008653
1	54226262	56413116	813	40	0.0000041068	0.000000010163
1	56413117	57021727	260	30	0.0000187505	0.000000003887
1	57021728	58865398	828	40	0.0001098217	0.000000011505
1	58865399	59890408	370	40	0.0000790777	0.000000006322
1	59890409	61922364	656	40	-0.0000525002	0.000000009445
1	61922365	63455088	517	40	0.0000470792	0.000000008723
1	63455089	65041703	634	40	0.0000122225	0.000000008584
1	65041704	66939403	636	40	-0.0000064571	0.000000008874
1	66939404	68477894	670	40	0.0000458047	0.000000009031
1	68477895	69687615	375	40	0.0000199328	0.000000005875
1	69687616	71372469	507	40	0.0000053971	0.000000007305
1	71372470	71684404	82	10	-0.0000036458	0.000000000955
1	71684405	74326906	543	40	0.0000158332	0.000000006751
1	74326907	76728134	714	40	0.0000362526	0.000000008950
1	76728135	79661197	924	40	0.0000216696	0.000000010386
1	79661198	81354190	453	40	0.0000403618	0.000000007142
1	81354191	83991747	945	40	0.0000075707	0.000000010207
1	83991748	84844494	306	35	0.0000312354	0.000000004387
1	84844495	86454750	633	40	-0.0000296647	0.000000008944
1	86454751	88128630	551	40	-0.0000004753	0.000000008079
1	88128631	90066302	509	40	0.0001233558	0.000000009003
1	90066303	91886316	548	40	0.0000052592	0.000000007909
1	91886317	93536458	493	40	-0.0000257091	0.000000006063
1	93536459	94506190	252	26	0.0000533563	0.000000003802
1	94506191	96150892	632	40	0.0000115163	0.000000009608
1	96150893	97885248	588	40	0.0000347623	0.000000007677
1	97885249	99800603	625	40	0.0000538621	0.000000008890
1	99800604	100826404	330	36	-0.0000133642	0.000000004023
1	100826405	102041015	438	40	0.0000183504	0.000000006399
1	102041016	102898744	271	36	0.0000346929	0.000000004209
1	102898745	103914210	198	21	0.0000317062	0.000000002886
1	103914211	106087841	444	40	0.0000497955	0.000000007020
1	106087842	108409664	717	40	0.0000631740	0.000000010913
1	108409665	110303930	556	40	0.0000643230	0.000000008477
1	110303931	111741736	555	40	0.0000965024	0.000000010525
1	111741737	113273305	703	40	-0.0000088934	0.000000009998
1	113273306	114873844	503	40	0.0000135986	0.000000007752
1	114873845	115880592	338	36	0.0000475341	0.000000005096
1	115880593	118839066	825	40	0.0000534900	0.000000010790
1	118839067	144977493	552	40	0.0000579409	0.000000008416
1	144977494	148361252	424	40	-0.0000107506	0.000000006091
1	148361253	151538880	347	34	0.0000239266	0.000000004918
1	151538881	153180828	463	40	0.0000445651	0.000000006388
1	153180829	154770402	445	40	0.0000132269	0.000000006576
1	154770403	156336132	302	38	0.0000107591	0.000000004791
