chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	92	17	0.0001191068	0.0000000041
1	1892607	3582735	405	40	-0.0000786432	0.0000000107
1	3582736	4380810	261	40	0.0000105739	0.0000000048
1	4380811	5913892	860	40	-0.0000293545	0.0000000106
1	5913893	7247334	410	40	0.0001100706	0.0000000074
1	7247335	9365198	675	40	-0.0000408062	0.0000000100
1	9365199	10806983	337	40	0.0001172823	0.0000000063
1	10806984	11777840	247	40	-0.0000487362	0.0000000063
1	11777841	12779465	270	40	0.0000007393	0.0000000056
1	12779466	14891510	605	40	0.0001051643	0.0000000098
1	14891511	16897729	655	40	0.0001298031	0.0000000102
1	16897730	18662898	628	40	0.0002129222	0.0000000101
1	18662899	20469148	681	40	0.0000772070	0.0000000100
1	20469149	21736587	449	40	0.0001275432	0.0000000076
1	21736588	23086882	504	40	-0.0000004728	0.0000000090
1	23086883	23920589	214	27	0.0000978074	0.0000000056
1	23920590	25516844	497	40	-0.0000002389	0.0000000086
1	25516845	27401866	385	40	0.0004599223	0.0000000118
1	27401867	30161880	524	40	-0.0001770374	0.0000000077
1	30161881	32438684	904	40	0.0000230090	0.0000000101
1	32438685	34799757	644	40	0.0000803646	0.0000000094
1	34799758	37549182	521	40	0.0001821638	0.0000000085
1	37549183	38731846	358	40	0.0000980683	0.0000000058
1	38731847	40200566	424	40	-0.0000771684	0.0000000063
1	40200567	41975326	540	40	-0.0000698570	0.0000000069
1	41975327	43758456	530	40	-0.0000007983	0.0000000085
1	43758457	44969182	350	35	0.0000206824	0.0000000052
1	44969183	46899500	439	38	0.0001934226	0.0000000065
1	46899501	48002575	277	33	0.0001844492	0.0000000059
1	48002576	48978187	339	40	-0.0000819065	0.0000000077
1	48978188	49894176	237	28	-0.0000442745	0.0000000056
1	49894177	51713725	252	25	-0.0000811403	0.0000000047
1	51713726	54226261	546	40	-0.0000707833	0.0000000084
1	54226262	56413116	807	40	-0.0001136105	0.0000000146
1	56413117	57021727	264	31	0.0000328014	0.0000000043
1	57021728	58865398	825	40	0.0000463528	0.0000000111
1	58865399	59890408	370	40	-0.0000377631	0.0000000064
1	59890409	61922364	659	40	0.0000546125	0.0000000100
1	61922365	63455088	512	40	0.0000210639	0.0000000233
1	63455089	65041703	642	40	0.0000558877	0.0000000088
1	65041704	66939403	636	40	0.0001251516	0.0000000103
1	66939404	68477894	662	40	0.0001001927	0.0000000111
1	68477895	69687615	380	40	0.0000435174	0.0000000076
1	69687616	71372469	504	40	-0.0000508943	0.0000000071
1	71372470	71684404	80	10	-0.0000671753	0.0000000013
1	71684405	74326906	555	40	-0.0000198381	0.0000000067
1	74326907	76728134	708	40	0.0001071659	0.0000000083
1	76728135	79661197	922	40	0.0000516144	0.0000000098
1	79661198	81354190	470	40	-0.0000083807	0.0000000076
1	81354191	83991747	963	40	-0.0000440597	0.0000000094
1	83991748	84844494	305	34	0.0000044213	0.0000000048
1	84844495	86454750	632	40	0.0000777157	0.0000000106
1	86454751	88128630	552	40	0.0000044233	0.0000000082
1	88128631	90066302	514	40	-0.0000104800	0.0000000067
1	90066303	91886316	552	40	0.0000540718	0.0000000094
1	91886317	93536458	496	40	-0.0000063418	0.0000000096
1	93536459	94506190	244	26	-0.0001002063	0.0000000055
1	94506191	96150892	637	40	-0.0000495645	0.0000000099
1	96150893	97885248	596	40	0.0000149941	0.0000000077
1	97885249	99800603	629	40	-0.0000073936	0.0000000087
1	99800604	100826404	329	36	0.0001330494	0.0000000061
1	100826405	102041015	437	40	0.0000569040	0.0000000077
1	102041016	102898744	270	36	0.0001028156	0.0000000050
1	102898745	103914210	195	21	-0.0000168073	0.0000000032
1	103914211	106087841	450	40	0.0000697720	0.0000000074
1	106087842	108409664	720	40	-0.0001160418	0.0000000094
1	108409665	110303930	546	40	0.0000050644	0.0000000352
1	110303931	111741736	556	40	-0.0000569774	0.0000000102
1	111741737	113273305	691	40	0.0002197718	0.0000000110
1	113273306	114873844	496	40	-0.0000549272	0.0000000074
1	114873845	115880592	337	37	-0.0000366265	0.0000000048
1	115880593	118839066	808	40	-0.0000105685	0.0000000097
1	118839067	144977493	553	40	0.0002093022	0.0000000080
1	144977494	148361252	424	40	-0.0002249713	0.0000000161
1	148361253	151538880	331	33	0.0001072584	0.0000000088
1	151538881	153180828	449	40	0.0000414218	0.0000000061
1	153180829	154770402	440	40	0.0000525014	0.0000000064
1	154770403	156336132	279	38	-0.0002326218	0.0000000123
1	156336133	158027411	575	40	0.0001380462	0.0000000100
1	158027412	159913047	663	40	0.0000196294	0.0000000104
1	159913048	162346720	845	40	0.0000502326	0.0000000103
1	162346721	165191701	1165	40	0.0001539417	0.0000000119
1	165191702	166460516	513	40	0.0001976735	0.0000000098
1	166460517	169086323	1074	40	-0.0000434634	0.0000000101
1	169086324	170557775	541	40	0.0000003107	0.0000000062
1	170557776	173097906	882	40	-0.0000556965	0.0000000098
1	173097907	175089767	399	31	0.0000046640	0.0000000053
1	175089768	177433380	762	40	0.0000840826	0.0000000094
1	177433381	178944308	483	40	-0.0000909117	0.0000000059
1	178944309	178954469	2	1	0.0000070052	0.0000000004
1	178954470	181144120	712	40	-0.0000739565	0.0000000106
1	181144121	182755355	577	40	0.0000583409	0.0000000087
1	182755356	184595512	606	40	-0.0000587276	0.0000000110
1	184595513	186810022	499	40	-0.0000041795	0.0000000093
1	186810023	188759944	610	40	0.0000492300	0.0000000084
1	188759945	189904129	216	17	0.0000362775	0.0000000028
1	189904130	191868929	536	40	-0.0000046294	0.0000000078
1	191868930	194107441	576	40	0.0000872348	0.0000000077
1	194107442	196176200	576	40	0.0000856000	0.0000000079
1	196176201	197311513	188	16	-0.0000318332	0.0000000030
1	197311514	199239883	499	40	0.0000442199	0.0000000084
1	199239884	200137648	294	35	-0.0001211314	0.0000000077
1	200137649	201589974	682	40	0.0001221248	0.0000000105
1	201589975	203334733	588	40	0.0001004556	0.0000000101
1	203334734	204681067	468	40	-0.0000055513	0.0000000080
1	204681068	206073264	559	40	0.0000075567	0.0000000087
1	206073265	208410363	596	40	0.0001694883	0.0000000100
1	208410364	210787749	898	40	0.0000278856	0.0000000093
1	210787750	212842329	684	40	0.0000800181	0.0000000106
1	212842330	214578265	601	40	0.0000962305	0.0000000094
1	214578266	216243633	578	40	0.0000946500	0.0000000084
1	216243634	218705512	1068	40	0.0000828727	0.0000000109
1	218705513	219590570	277	33	0.0000121990	0.0000000035
1	219590571	221858230	674	40	0.0000985003	0.0000000127
1	221858231	222230219	171	21	0.0000537833	0.0000000044
1	222230220	224938519	447	40	-0.0000036145	0.0000000078
1	224938520	226810859	496	40	-0.0000646510	0.0000000091
1	226810860	229156247	652	40	-0.0000216958	0.0000000100
1	229156248	230685254	512	40	-0.0000931892	0.0000000076
1	230685255	232090251	573	40	0.0000508033	0.0000000085
1	232090252	233429283	595	40	0.0000135967	0.0000000082
1	233429284	234599433	516	40	0.0000342306	0.0000000084
1	234599434	235819435	366	40	-0.0001915039	0.0000000143
