chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	20	0.0000928386	0.000000029367
1	1892607	3582735	442	22	0.0001922914	0.000000115650
1	3582736	4380810	276	22	0.0001777729	0.000000067076
1	4380811	5913892	871	22	0.0000937975	0.000000124586
1	5913893	7247334	436	22	0.0002122089	0.000000093874
1	7247335	9365198	701	22	0.0002331782	0.000000131582
1	9365199	10806983	354	22	0.0002298380	0.000000069712
1	10806984	11777840	259	22	0.0001504710	0.000000060295
1	11777841	12779465	294	22	0.0002296587	0.000000065290
1	12779466	14891510	619	22	0.0001344660	0.000000127037
1	14891511	16897729	692	22	0.0001541298	0.000000129425
1	16897730	18662898	670	22	0.0000343264	0.000000124425
1	18662899	20469148	717	22	0.0000084062	0.000000123814
1	20469149	21736587	461	22	0.0000527970	0.000000087064
1	21736588	23086882	525	22	-0.0000369124	0.000000108590
1	23086883	23920589	222	22	0.0001576981	0.000000044795
1	23920590	25516844	525	22	0.0002282747	0.000000117912
1	25516845	27401866	424	22	0.0000462462	0.000000069872
1	27401867	30161880	554	22	-0.0000100163	0.000000095127
1	30161881	32438684	934	22	0.0001641647	0.000000126784
1	32438685	34799757	675	22	0.0001650667	0.000000129664
1	34799758	37549182	559	22	0.0002825874	0.000000114742
1	37549183	38731846	372	22	0.0001626666	0.000000072118
1	38731847	40200566	446	22	0.0000221070	0.000000080673
1	40200567	41975326	554	22	0.0000859984	0.000000095429
1	41975327	43758456	546	22	0.0004179028	0.000000104067
1	43758457	44969182	372	22	0.0002327257	0.000000067569
1	44969183	46899500	458	22	0.0000664354	0.000000059075
1	46899501	48002575	299	22	0.0001335667	0.000000052596
1	48002576	48978187	344	22	0.0000866785	0.000000065775
1	48978188	49894176	247	22	0.0002970630	0.000000056322
1	49894177	51713725	260	22	0.0002314724	0.000000042760
1	51713726	54226261	563	22	0.0000121950	0.000000101099
1	54226262	56413116	841	22	0.0000317747	0.000000118811
1	56413117	57021727	273	22	0.0002987458	0.000000050275
1	57021728	58865398	850	22	0.0002681401	0.000000131279
1	58865399	59890408	383	22	0.0001225040	0.000000067003
1	59890409	61922364	671	22	0.0000959155	0.000000122463
1	61922365	63455088	546	22	0.0002025226	0.000000099527
1	63455089	65041703	657	22	0.0000909626	0.000000105510
1	65041704	66939403	650	22	0.0003763672	0.000000120178
1	66939404	68477894	688	22	0.0001052680	0.000000105790
1	68477895	69687615	389	22	0.0001959222	0.000000076386
1	69687616	71372469	521	22	0.0000901442	0.000000090974
1	71372470	71684404	83	10	0.0000147103	0.000000011942
1	71684405	74326906	560	22	0.0005333739	0.000000089894
1	74326907	76728134	729	22	0.0001463675	0.000000103356
1	76728135	79661197	948	22	0.0003945775	0.000000134803
1	79661198	81354190	475	22	0.0001023195	0.000000082740
1	81354191	83991747	974	22	0.0001252233	0.000000122730
1	83991748	84844494	314	22	0.0002565206	0.000000056397
1	84844495	86454750	652	22	0.0000709473	0.000000113676
1	86454751	88128630	571	22	0.0001556222	0.000000106915
1	88128631	90066302	523	22	0.0000602740	0.000000087017
1	90066303	91886316	562	22	0.0001565077	0.000000100739
1	91886317	93536458	511	22	0.0001954586	0.000000080259
1	93536459	94506190	256	22	0.0001600910	0.000000042456
1	94506191	96150892	653	22	0.0000125128	0.000000112307
1	96150893	97885248	606	22	0.0003148454	0.000000096707
1	97885249	99800603	642	22	0.0000858919	0.000000102458
1	99800604	100826404	339	22	0.0001809141	0.000000055222
1	100826405	102041015	447	22	0.0001742222	0.000000078193
1	102041016	102898744	279	22	0.0001045907	0.000000049803
1	102898745	103914210	202	21	0.0000200347	0.000000029718
1	103914211	106087841	455	22	0.0000663679	0.000000078934
1	106087842	108409664	728	22	0.0001427001	0.000000124182
1	108409665	110303930	575	22	0.0003586444	0.000000097715
1	110303931	111741736	572	22	0.0001000652	0.000000115576
1	111741737	113273305	720	22	0.0003426268	0.000000132838
1	113273306	114873844	512	22	0.0000545336	0.000000093719
1	114873845	115880592	346	22	0.0001345657	0.000000056258
1	115880593	118839066	838	22	0.0000716032	0.000000122217
1	118839067	144977493	575	22	0.0001456206	0.000000085438
1	144977494	148361252	432	22	0.0001565304	0.000000077191
1	148361253	151538880	350	22	0.0000983602	0.000000056141
1	151538881	153180828	470	22	-0.0000656908	0.000000063976
1	153180829	154770402	461	22	0.0000214277	0.000000077018
1	154770403	156336132	307	22	0.0003551856	0.000000069603
1	156336133	158027411	598	22	0.0001244309	0.000000113040
1	158027412	159913047	687	22	0.0000355149	0.000000121928
1	159913048	162346720	891	22	0.0000490629	0.000000110901
1	162346721	165191701	1198	22	-0.0000273072	0.000000117041
1	165191702	166460516	533	22	-0.0000398175	0.000000100631
1	166460517	169086323	1109	22	0.0000263913	0.000000123744
1	169086324	170557775	567	22	0.0003401948	0.000000090249
1	170557776	173097906	911	22	0.0000747472	0.000000117849
1	173097907	175089767	412	22	0.0001332683	0.000000049964
1	175089768	177433380	785	22	0.0002516318	0.000000130000
1	177433381	178944308	505	22	0.0002802009	0.000000083413
1	178944309	178954469	2	1	0.0000389956	0.000000002573
1	178954470	181144120	751	22	0.0002109874	0.000000126298
1	181144121	182755355	600	22	0.0000874474	0.000000113300
1	182755356	184595512	631	22	-0.0000182549	0.000000095644
1	184595513	186810022	523	22	-0.0000692242	0.000000075293
1	186810023	188759944	624	22	0.0001348664	0.000000102735
1	188759945	189904129	220	18	0.0002357783	0.000000037107
1	189904130	191868929	539	22	0.0001198354	0.000000072750
1	191868930	194107441	587	22	0.0001277671	0.000000096430
1	194107442	196176200	581	22	0.0000129290	0.000000081546
1	196176201	197311513	197	16	0.0001219185	0.000000029514
1	197311514	199239883	507	22	0.0003314813	0.000000096024
1	199239884	200137648	303	22	0.0000435815	0.000000051498
1	200137649	201589974	713	22	0.0000325982	0.000000123533
1	201589975	203334733	616	22	0.0002200717	0.000000129225
1	203334734	204681067	487	22	0.0001961343	0.000000097591
1	204681068	206073264	578	22	0.0002756731	0.000000119091
1	206073265	208410363	638	22	-0.0000156618	0.000000118106
1	208410364	210787749	937	22	0.0001985995	0.000000128842
1	210787750	212842329	698	22	0.0001360989	0.000000122980
1	212842330	214578265	615	22	0.0000599933	0.000000116892
1	214578266	216243633	596	22	0.0000688025	0.000000106968
1	216243634	218705512	1082	22	0.0000878235	0.000000121301
1	218705513	219590570	283	22	0.0001035325	0.000000047381
1	219590571	221858230	694	22	0.0003181818	0.000000122089
1	221858231	222230219	174	21	0.0001301435	0.000000037504
1	222230220	224938519	505	22	0.0002091733	0.000000104348
1	224938520	226810859	520	22	0.0000316981	0.000000088047
1	226810860	229156247	697	22	0.0003503209	0.000000127648
1	229156248	230685254	539	22	0.0001235852	0.000000099798
1	230685255	232090251	591	22	0.0001696612	0.000000112056
1	232090252	233429283	608	22	0.0000646492	0.000000124558
1	233429284	234599433	537	22	0.0001323258	0.000000110300
1	234599434	235819435	388	22	0.0001155012	0.000000082859
1	235819436	237555627	732	22	-0.0000527471	0.000000120912
1	237555628	238567806	430	22	0.0000300130	0.000000084000
