chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	80	17	0.0000303392	0.0000000080
1	1892607	3582735	365	40	-0.0000234568	0.0000000201
1	3582736	4380810	236	40	-0.0000931417	0.0000000121
1	4380811	5913892	844	40	0.0000704199	0.0000000220
1	5913893	7247334	356	40	-0.0000057396	0.0000000152
1	7247335	9365198	635	40	0.0000548025	0.0000000233
1	9365199	10806983	298	40	-0.0001968243	0.0000000119
1	10806984	11777840	220	40	-0.0000015306	0.0000000129
1	11777841	12779465	188	40	0.0000128341	0.0000000112
1	12779466	14891510	569	40	-0.0000815769	0.0000000199
1	14891511	16897729	587	40	0.0001210058	0.0000000209
1	16897730	18662898	561	40	0.0000658922	0.0000000200
1	18662899	20469148	617	40	-0.0000133152	0.0000000210
1	20469149	21736587	393	40	0.0000706783	0.0000000125
1	21736588	23086882	445	40	0.0002662963	0.0000000256
1	23086883	23920589	181	26	-0.0001942285	0.0000000094
1	23920590	25516844	443	40	-0.0000857837	0.0000000160
1	25516845	27401866	307	40	-0.0001222481	0.0000000180
1	27401867	30161880	482	40	0.0000594378	0.0000000143
1	30161881	32438684	867	40	0.0000119677	0.0000000230
1	32438685	34799757	607	40	0.0001677823	0.0000000224
1	34799758	37549182	506	40	0.0001528147	0.0000000183
1	37549183	38731846	323	40	-0.0000657311	0.0000000115
1	38731847	40200566	390	40	0.0000117037	0.0000000129
1	40200567	41975326	497	40	0.0001127248	0.0000000148
1	41975327	43758456	478	40	0.0001260055	0.0000000168
1	43758457	44969182	303	34	-0.0000925966	0.0000000113
1	44969183	46899500	369	37	0.0002555439	0.0000000119
1	46899501	48002575	255	32	-0.0000192868	0.0000000107
1	48002576	48978187	330	40	-0.0000854969	0.0000000148
1	48978188	49894176	230	28	-0.0000736174	0.0000000106
1	49894177	51713725	245	25	0.0000554918	0.0000000087
1	51713726	54226261	491	40	0.0001046121	0.0000000166
1	54226262	56413116	734	40	0.0001425139	0.0000000191
1	56413117	57021727	245	29	-0.0000722711	0.0000000081
1	57021728	58865398	819	40	0.0000901162	0.0000000235
1	58865399	59890408	354	40	-0.0000130355	0.0000000139
1	59890409	61922364	629	40	0.0000385432	0.0000000193
1	61922365	63455088	427	40	-0.0001521708	0.0000000160
1	63455089	65041703	619	40	-0.0000383458	0.0000000166
1	65041704	66939403	601	40	0.0002918766	0.0000000196
1	66939404	68477894	629	40	0.0000748070	0.0000000214
1	68477895	69687615	367	40	-0.0001691648	0.0000000208
1	69687616	71372469	488	40	-0.0001455096	0.0000000136
1	71372470	71684404	77	10	-0.0000044058	0.0000000025
1	71684405	74326906	505	40	0.0000087551	0.0000000142
1	74326907	76728134	649	40	-0.0000835300	0.0000000171
1	76728135	79661197	875	40	0.0000474702	0.0000000208
1	79661198	81354190	467	40	-0.0000149065	0.0000000156
1	81354191	83991747	936	40	0.0000876386	0.0000000216
1	83991748	84844494	304	34	0.0000036219	0.0000000103
1	84844495	86454750	591	40	0.0002753533	0.0000000205
1	86454751	88128630	510	40	0.0000024440	0.0000000176
1	88128631	90066302	484	40	0.0002706393	0.0000000156
1	90066303	91886316	536	40	0.0001582825	0.0000000179
1	91886317	93536458	450	40	-0.0000942832	0.0000000138
1	93536459	94506190	224	25	-0.0001127022	0.0000000101
1	94506191	96150892	607	40	0.0000315195	0.0000000176
1	96150893	97885248	573	40	-0.0002145206	0.0000000169
1	97885249	99800603	617	40	0.0000418321	0.0000000183
1	99800604	100826404	300	36	-0.0002156561	0.0000000116
1	100826405	102041015	418	40	-0.0002556066	0.0000000151
1	102041016	102898744	269	36	-0.0000078183	0.0000000097
1	102898745	103914210	180	21	-0.0000248102	0.0000000063
1	103914211	106087841	446	40	-0.0001838238	0.0000000178
1	106087842	108409664	699	40	0.0000117165	0.0000000206
1	108409665	110303930	399	40	0.0000233705	0.0000000137
1	110303931	111741736	506	40	0.0001938142	0.0000000187
1	111741737	113273305	627	40	0.0002330151	0.0000000219
1	113273306	114873844	471	40	0.0001103644	0.0000000157
1	114873845	115880592	305	36	0.0001200830	0.0000000103
1	115880593	118839066	743	40	-0.0000857343	0.0000000216
1	118839067	144977493	465	40	-0.0001598385	0.0000000180
