chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	111	20	-0.0000637749	0.0000000090
1	1892607	3582735	458	40	0.0000569278	0.0000000263
1	3582736	4380810	290	40	-0.0000637688	0.0000000200
1	4380811	5913892	903	40	0.0000035856	0.0000000299
1	5913893	7247334	442	40	-0.0000546356	0.0000000230
1	7247335	9365198	734	40	-0.0000112754	0.0000000286
1	9365199	10806983	371	40	-0.0001057013	0.0000000209
1	10806984	11777840	277	40	-0.0001438734	0.0000000156
1	11777841	12779465	301	40	-0.0000377108	0.0000000152
1	12779466	14891510	638	40	-0.0001658691	0.0000000290
1	14891511	16897729	729	40	-0.0001419017	0.0000000318
1	16897730	18662898	691	40	0.0000124414	0.0000000279
1	18662899	20469148	769	40	0.0001138174	0.0000000277
1	20469149	21736587	472	40	0.0000791037	0.0000000213
1	21736588	23086882	541	40	-0.0005067306	0.0000000392
1	23086883	23920589	234	29	0.0001848784	0.0000000133
1	23920590	25516844	547	40	-0.0001260701	0.0000000279
1	25516845	27401866	431	40	-0.0002893595	0.0000000240
1	27401867	30161880	573	40	0.0000297234	0.0000000262
1	30161881	32438684	973	40	-0.0000290830	0.0000000293
1	32438685	34799757	706	40	0.0001173019	0.0000000324
1	34799758	37549182	592	40	0.0000004050	0.0000000266
1	37549183	38731846	388	40	-0.0001946549	0.0000000196
1	38731847	40200566	455	40	-0.0001445244	0.0000000239
1	40200567	41975326	569	40	-0.0000013872	0.0000000291
1	41975327	43758456	577	40	-0.0000543672	0.0000000289
1	43758457	44969182	387	36	-0.0000529421	0.0000000170
1	44969183	46899500	471	39	-0.0000417166	0.0000000186
1	46899501	48002575	316	34	0.0001097841	0.0000000138
1	48002576	48978187	358	40	0.0000138038	0.0000000194
1	48978188	49894176	251	29	0.0000746306	0.0000000119
1	49894177	51713725	262	25	-0.0001619887	0.0000000112
1	51713726	54226261	581	40	-0.0000223422	0.0000000248
1	54226262	56413116	874	40	-0.0002514955	0.0000000314
1	56413117	57021727	286	31	-0.0000635893	0.0000000165
1	57021728	58865398	888	40	-0.0000330471	0.0000000290
1	58865399	59890408	408	40	-0.0000523578	0.0000000210
1	59890409	61922364	693	40	-0.0000118501	0.0000000325
1	61922365	63455088	566	40	-0.0000253469	0.0000000261
1	63455089	65041703	689	40	0.0000106510	0.0000000251
1	65041704	66939403	668	40	-0.0000555888	0.0000000316
1	66939404	68477894	711	40	-0.0002100222	0.0000000305
1	68477895	69687615	399	40	0.0000856347	0.0000000177
1	69687616	71372469	556	40	-0.0000214006	0.0000000237
1	71372470	71684404	87	10	0.0000923099	0.0000000044
1	71684405	74326906	579	40	0.0001342584	0.0000000208
1	74326907	76728134	756	40	0.0000551681	0.0000000256
1	76728135	79661197	984	40	-0.0000548815	0.0000000309
1	79661198	81354190	498	40	-0.0000196074	0.0000000206
1	81354191	83991747	1013	40	-0.0000042073	0.0000000278
1	83991748	84844494	327	35	0.0000258338	0.0000000162
1	84844495	86454750	676	40	0.0000828306	0.0000000280
1	86454751	88128630	609	40	0.0000445563	0.0000000286
1	88128631	90066302	543	40	-0.0000044713	0.0000000249
1	90066303	91886316	586	40	-0.0002613355	0.0000000270
1	91886317	93536458	531	40	-0.0000378042	0.0000000221
1	93536459	94506190	266	27	0.0000259038	0.0000000102
1	94506191	96150892	694	40	0.0001077109	0.0000000320
1	96150893	97885248	637	40	-0.0001084084	0.0000000225
1	97885249	99800603	660	40	0.0001534720	0.0000000263
1	99800604	100826404	347	37	-0.0000447080	0.0000000167
1	100826405	102041015	466	40	0.0000923909	0.0000000186
1	102041016	102898744	292	37	-0.0001536048	0.0000000155
1	102898745	103914210	213	21	-0.0000884121	0.0000000091
1	103914211	106087841	480	40	-0.0001146131	0.0000000207
1	106087842	108409664	758	40	-0.0000140292	0.0000000316
1	108409665	110303930	596	40	0.0000861716	0.0000000237
1	110303931	111741736	612	40	-0.0000061010	0.0000000301
1	111741737	113273305	749	40	-0.0000733278	0.0000000289
1	113273306	114873844	530	40	-0.0000281882	0.0000000240
1	114873845	115880592	356	37	0.0001211648	0.0000000158
1	115880593	118839066	902	40	0.0000894000	0.0000000309
1	118839067	144977493	596	40	-0.0001123303	0.0000000267
1	144977494	148361252	457	40	0.0001642975	0.0000000222
1	148361253	151538880	362	34	-0.0001095376	0.0000000164
1	151538881	153180828	512	40	0.0000943426	0.0000000198
1	153180829	154770402	486	40	0.0000479943	0.0000000206
1	154770403	156336132	320	39	0.0000896794	0.0000000256
1	156336133	158027411	636	40	-0.0001386900	0.0000000298
1	158027412	159913047	729	40	-0.0001367678	0.0000000356
1	159913048	162346720	927	40	0.0000227381	0.0000000344
1	162346721	165191701	1268	40	0.0000453296	0.0000000300
1	165191702	166460516	573	40	0.0001838028	0.0000000263
1	166460517	169086323	1186	40	0.0000038370	0.0000000314
1	169086324	170557775	587	40	0.0002892773	0.0000000235
1	170557776	173097906	970	40	0.0001333488	0.0000000328
1	173097907	175089767	442	33	0.0001688702	0.0000000144
1	175089768	177433380	858	40	-0.0000078525	0.0000000324
1	177433381	178944308	537	40	-0.0000002219	0.0000000206
1	178944309	178954469	2	1	0.0000181342	0.0000000003
1	178954470	181144120	804	40	0.0000192020	0.0000000279
1	181144121	182755355	659	40	-0.0000402670	0.0000000303
1	182755356	184595512	669	40	-0.0000506940	0.0000000244
1	184595513	186810022	570	40	0.0000602013	0.0000000239
1	186810023	188759944	679	40	-0.0000084156	0.0000000274
1	188759945	189904129	246	19	0.0000204808	0.0000000072
1	189904130	191868929	583	40	-0.0001255726	0.0000000210
1	191868930	194107441	634	40	0.0000371047	0.0000000256
1	194107442	196176200	620	40	0.0000132347	0.0000000213
1	196176201	197311513	203	16	-0.0000804178	0.0000000073
1	197311514	199239883	540	40	-0.0001424332	0.0000000234
1	199239884	200137648	337	37	0.0000678279	0.0000000161
1	200137649	201589974	747	40	-0.0001325933	0.0000000316
1	201589975	203334733	644	40	-0.0000440698	0.0000000319
1	203334734	204681067	509	40	0.0000794809	0.0000000239
1	204681068	206073264	600	40	0.0000360640	0.0000000310
1	206073265	208410363	685	40	-0.0001707256	0.0000000352
1	208410364	210787749	1007	40	0.0001701968	0.0000000317
1	210787750	212842329	735	40	0.0001798488	0.0000000369
1	212842330	214578265	643	40	-0.0002280541	0.0000000354
1	214578266	216243633	642	40	-0.0002114453	0.0000000330
1	216243634	218705512	1138	40	-0.0000363670	0.0000000288
1	218705513	219590570	308	35	0.0001336932	0.0000000129
1	219590571	221858230	743	40	-0.0000464049	0.0000000301
1	221858231	222230219	186	22	0.0000303179	0.0000000096
1	222230220	224938519	580	40	-0.0000630160	0.0000000259
1	224938520	226810859	555	40	-0.0000542073	0.0000000238
1	226810860	229156247	776	40	-0.0001144108	0.0000000309
1	229156248	230685254	589	40	-0.0000146120	0.0000000263
1	230685255	232090251	625	40	-0.0000917890	0.0000000287
1	232090252	233429283	640	40	0.0001717488	0.0000000322
1	233429284	234599433	586	40	0.0000671852	0.0000000274
1	234599434	235819435	409	40	-0.0000038351	0.0000000214
1	235819436	237555627	781	40	0.0000713883	0.0000000303
1	237555628	238567806	450	40	0.0000094085	0.0000000231
1	238567807	239925313	521	40	0.0001147656	0.0000000248
1	239925314	240564090	368	40	0.0000157102	0.0000000182
1	240564091	241582219	548	40	-0.0000481110	0.0000000267
1	241582220	242071601	232	40	0.0000435950	0.0000000170
1	242071602	244109498	664	40	-0.0001002803	0.0000000316
1	244109499	245506745	551	40	0.0000995225	0.0000000279
