chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000950108	0.000000011519
1	1892607	3582735	410	29	0.0002838510	0.000000043786
1	3582736	4380810	263	29	0.0003028525	0.000000030064
1	4380811	5913892	865	29	0.0001633732	0.000000052110
1	5913893	7247334	418	29	0.0000208083	0.000000030753
1	7247335	9365198	680	29	0.0001817225	0.000000050631
1	9365199	10806983	339	29	0.0000483878	0.000000022339
1	10806984	11777840	247	29	0.0001940032	0.000000025187
1	11777841	12779465	282	29	0.0001962552	0.000000018490
1	12779466	14891510	607	29	0.0001114709	0.000000050101
1	14891511	16897729	657	29	0.0000763627	0.000000048457
1	16897730	18662898	639	29	0.0001036565	0.000000049013
1	18662899	20469148	686	29	0.0002172838	0.000000053337
1	20469149	21736587	450	29	0.0002670056	0.000000038767
1	21736588	23086882	507	29	0.0002532606	0.000000046777
1	23086883	23920589	214	27	0.0001952314	0.000000018562
1	23920590	25516844	501	29	0.0001266053	0.000000042239
1	25516845	27401866	395	29	0.0005781442	0.000000036573
1	27401867	30161880	526	29	0.0004494331	0.000000046574
1	30161881	32438684	903	29	0.0002078156	0.000000052637
1	32438685	34799757	644	29	0.0002068407	0.000000052473
1	34799758	37549182	527	29	0.0000518475	0.000000037832
1	37549183	38731846	358	29	0.0000969319	0.000000026576
1	38731847	40200566	424	29	0.0006459785	0.000000044779
1	40200567	41975326	540	29	0.0000612947	0.000000037505
1	41975327	43758456	532	29	0.0000670275	0.000000034082
1	43758457	44969182	351	29	0.0001955549	0.000000027141
1	44969183	46899500	440	29	0.0003435830	0.000000029978
1	46899501	48002575	280	29	0.0002597002	0.000000024669
1	48002576	48978187	339	29	0.0001071345	0.000000027871
1	48978188	49894176	237	28	0.0002718231	0.000000024156
1	49894177	51713725	252	25	0.0000639972	0.000000013570
1	51713726	54226261	547	29	0.0002220611	0.000000042188
1	54226262	56413116	814	29	0.0002088482	0.000000048305
1	56413117	57021727	265	29	0.0000621351	0.000000014601
1	57021728	58865398	827	29	-0.0000391913	0.000000046793
1	58865399	59890408	371	29	0.0001514648	0.000000027810
1	59890409	61922364	660	29	0.0001194627	0.000000048770
1	61922365	63455088	526	29	0.0002488793	0.000000033024
1	63455089	65041703	642	29	0.0001918207	0.000000045038
1	65041704	66939403	636	29	0.0001705971	0.000000045177
1	66939404	68477894	664	29	0.0000850048	0.000000041458
1	68477895	69687615	383	29	0.0003005754	0.000000035038
1	69687616	71372469	507	29	0.0001891618	0.000000039550
1	71372470	71684404	81	10	0.0001231628	0.000000007305
1	71684405	74326906	558	29	0.0001559381	0.000000027327
1	74326907	76728134	713	29	0.0003240574	0.000000045278
1	76728135	79661197	924	29	0.0001111393	0.000000048060
1	79661198	81354190	470	29	-0.0000017057	0.000000032095
1	81354191	83991747	965	29	0.0002320182	0.000000052334
1	83991748	84844494	306	29	0.0001905626	0.000000023895
1	84844495	86454750	634	29	0.0001995784	0.000000047468
1	86454751	88128630	553	29	0.0000525719	0.000000038756
1	88128631	90066302	515	29	0.0000617276	0.000000034209
1	90066303	91886316	556	29	0.0002121655	0.000000043075
1	91886317	93536458	500	29	0.0002127540	0.000000031984
1	93536459	94506190	245	26	0.0003761424	0.000000022722
1	94506191	96150892	640	29	0.0003354153	0.000000052524
1	96150893	97885248	598	29	0.0000406686	0.000000032925
1	97885249	99800603	632	29	0.0000651132	0.000000040498
1	99800604	100826404	329	29	0.0003041331	0.000000027733
1	100826405	102041015	439	29	0.0001539403	0.000000033282
1	102041016	102898744	271	29	0.0000975281	0.000000021150
1	102898745	103914210	196	21	0.0000167026	0.000000011882
1	103914211	106087841	452	29	0.0000321697	0.000000031453
1	106087842	108409664	722	29	0.0002220629	0.000000052478
1	108409665	110303930	556	29	0.0007377138	0.000000039507
1	110303931	111741736	560	29	0.0003071618	0.000000049520
1	111741737	113273305	691	29	0.0001344874	0.000000047528
1	113273306	114873844	497	29	0.0000658643	0.000000035698
1	114873845	115880592	338	29	0.0001822778	0.000000023493
1	115880593	118839066	810	29	0.0003036814	0.000000054454
1	118839067	144977493	564	29	0.0001972077	0.000000029392
1	144977494	148361252	425	29	0.0001724506	0.000000032590
1	148361253	151538880	332	29	0.0001005184	0.000000021366
1	151538881	153180828	451	29	0.0000670020	0.000000027900
1	153180829	154770402	446	29	0.0003544892	0.000000038162
1	154770403	156336132	280	29	0.0004351386	0.000000029819
1	156336133	158027411	578	29	0.0002207959	0.000000047620
1	158027412	159913047	668	29	0.0000588272	0.000000046586
1	159913048	162346720	860	29	0.0001025848	0.000000036181
1	162346721	165191701	1173	29	0.0000495006	0.000000046168
1	165191702	166460516	514	29	0.0001074910	0.000000041849
1	166460517	169086323	1079	29	0.0001536861	0.000000050231
1	169086324	170557775	550	29	0.0000514092	0.000000027896
1	170557776	173097906	897	29	0.0001268941	0.000000043945
1	173097907	175089767	399	29	0.0002570003	0.000000024277
1	175089768	177433380	764	29	0.0000612701	0.000000047727
1	177433381	178944308	497	29	0.0003241671	0.000000031202
1	178944309	178954469	2	1	0.0000431286	0.000000001686
1	178954470	181144120	713	29	0.0001525544	0.000000048717
1	181144121	182755355	577	29	0.0006502939	0.000000059351
1	182755356	184595512	607	29	0.0003845334	0.000000046854
1	184595513	186810022	499	29	0.0000833243	0.000000032418
1	186810023	188759944	616	29	0.0000594685	0.000000039832
1	188759945	189904129	216	17	0.0000618465	0.000000012525
1	189904130	191868929	537	29	0.0002129484	0.000000033427
1	191868930	194107441	578	29	0.0002152671	0.000000041919
1	194107442	196176200	577	29	0.0001983518	0.000000036900
1	196176201	197311513	188	16	0.0000680327	0.000000010767
1	197311514	199239883	501	29	0.0002358238	0.000000038525
1	199239884	200137648	296	29	0.0003036393	0.000000027495
1	200137649	201589974	685	29	0.0002554658	0.000000053405
1	201589975	203334733	592	29	0.0002398998	0.000000050756
1	203334734	204681067	471	29	-0.0000491980	0.000000032387
1	204681068	206073264	559	29	0.0002285866	0.000000044237
1	206073265	208410363	603	29	0.0002536419	0.000000049712
1	208410364	210787749	909	29	0.0001757863	0.000000050175
1	210787750	212842329	685	29	0.0002865254	0.000000052310
1	212842330	214578265	606	29	0.0002927402	0.000000049629
1	214578266	216243633	579	29	0.0001677483	0.000000046201
1	216243634	218705512	1070	29	-0.0000519713	0.000000043906
1	218705513	219590570	281	29	0.0002534495	0.000000022772
1	219590571	221858230	679	29	0.0004490881	0.000000048304
1	221858231	222230219	171	21	0.0001718908	0.000000017607
1	222230220	224938519	492	29	0.0002828669	0.000000040158
1	224938520	226810859	498	29	0.0002179511	0.000000038425
1	226810860	229156247	654	29	0.0002248067	0.000000047675
1	229156248	230685254	523	29	0.0013492024	0.000000061793
1	230685255	232090251	574	29	0.0001468310	0.000000042381
1	232090252	233429283	598	29	0.0001512758	0.000000050413
1	233429284	234599433	519	29	0.0000898996	0.000000041871
1	234599434	235819435	370	29	0.0001619449	0.000000031728
1	235819436	237555627	695	29	0.0002482811	0.000000054549
1	237555628	238567806	419	29	0.0003057102	0.000000041058
1	238567807	239925313	487	29	0.0000752404	0.000000038888
1	239925314	240564090	335	29	-0.0000299998	0.000000024281
1	240564091	241582219	507	29	0.0002456306	0.000000050841
1	241582220	242071601	207	29	0.0003196696	0.000000025419
1	242071602	244109498	602	29	0.0000538366	0.000000046725
1	244109499	245506745	499	29	0.0001517621	0.000000044133
1	245506746	247344517	670	29	0.0002720027	0.000000053124
1	247344518	249239465	389	29	0.0002884173	0.000000036938
