chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	80	16	0.0004547124	0.000000051380
1	1892607	3582735	370	16	0.0001610764	0.000000151670
1	3582736	4380810	241	16	0.0001245224	0.000000096176
1	4380811	5913892	858	16	-0.0000424191	0.000000220092
1	5913893	7247334	365	16	0.0002379743	0.000000139490
1	7247335	9365198	644	16	0.0001843249	0.000000232947
1	9365199	10806983	300	16	0.0003867637	0.000000116135
1	10806984	11777840	220	16	0.0002942485	0.000000095299
1	11777841	12779465	196	16	0.0001727113	0.000000082914
1	12779466	14891510	571	16	0.0003097046	0.000000233062
1	14891511	16897729	597	16	0.0000244281	0.000000206012
1	16897730	18662898	571	16	0.0002663456	0.000000222670
1	18662899	20469148	632	16	0.0001982433	0.000000233736
1	20469149	21736587	395	16	-0.0000174127	0.000000131956
1	21736588	23086882	447	16	0.0015481778	0.000000253865
1	23086883	23920589	182	16	-0.0000224839	0.000000060535
1	23920590	25516844	447	16	0.0000346843	0.000000168426
1	25516845	27401866	312	16	0.0002735494	0.000000112418
1	27401867	30161880	488	16	0.0000998118	0.000000159384
1	30161881	32438684	871	16	0.0001737916	0.000000232350
1	32438685	34799757	610	16	0.0002985580	0.000000227959
1	34799758	37549182	512	16	0.0000480827	0.000000174411
1	37549183	38731846	324	16	0.0000082756	0.000000109919
1	38731847	40200566	392	16	0.0002059716	0.000000145449
1	40200567	41975326	499	16	0.0002943341	0.000000170822
1	41975327	43758456	487	16	0.0004986627	0.000000173940
1	43758457	44969182	304	16	0.0000474322	0.000000093595
1	44969183	46899500	372	16	0.0000483333	0.000000093210
1	46899501	48002575	258	16	0.0000089867	0.000000076309
1	48002576	48978187	332	16	-0.0000341596	0.000000110659
1	48978188	49894176	231	16	0.0001779834	0.000000085777
1	49894177	51713725	246	16	-0.0001110293	0.000000050130
1	51713726	54226261	493	16	0.0001676592	0.000000177832
1	54226262	56413116	742	16	-0.0000130369	0.000000221758
1	56413117	57021727	247	16	0.0000537048	0.000000075394
1	57021728	58865398	828	16	0.0000749231	0.000000226745
1	58865399	59890408	356	16	0.0001569723	0.000000119613
1	59890409	61922364	634	16	-0.0000041280	0.000000221262
1	61922365	63455088	435	16	-0.0000568185	0.000000152423
1	63455089	65041703	619	16	0.0000482574	0.000000180636
1	65041704	66939403	606	16	0.0000273375	0.000000185225
1	66939404	68477894	635	16	0.0001766801	0.000000186933
1	68477895	69687615	371	16	0.0022369009	0.000000245563
1	69687616	71372469	493	16	-0.0000562862	0.000000148712
1	71372470	71684404	79	10	0.0000001441	0.000000018835
1	71684405	74326906	510	16	0.0000949324	0.000000137366
1	74326907	76728134	654	16	0.0001562661	0.000000180998
1	76728135	79661197	887	16	0.0000237478	0.000000223843
1	79661198	81354190	470	16	0.0001344071	0.000000152947
1	81354191	83991747	942	16	0.0002027693	0.000000233993
1	83991748	84844494	311	16	0.0001581011	0.000000091118
1	84844495	86454750	597	16	0.0000692065	0.000000200212
1	86454751	88128630	519	16	0.0002223807	0.000000181873
1	88128631	90066302	489	16	0.0002673178	0.000000169299
