chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	17	0.0000791153	0.000000011468
1	1892607	3582735	409	29	0.0002563235	0.000000045165
1	3582736	4380810	263	29	0.0000076232	0.000000023214
1	4380811	5913892	863	29	0.0001105797	0.000000053502
1	5913893	7247334	410	29	0.0001429862	0.000000035185
1	7247335	9365198	680	29	0.0000673104	0.000000050364
1	9365199	10806983	338	29	0.0002688043	0.000000029486
1	10806984	11777840	246	29	0.0001723580	0.000000025756
1	11777841	12779465	278	29	0.0001480775	0.000000018182
1	12779466	14891510	607	29	0.0001770674	0.000000054782
1	14891511	16897729	656	29	0.0001605228	0.000000053524
1	16897730	18662898	637	29	0.0001411637	0.000000052723
1	18662899	20469148	685	29	0.0000908697	0.000000052689
1	20469149	21736587	450	29	0.0003102215	0.000000042007
1	21736588	23086882	506	29	0.0001565543	0.000000046495
1	23086883	23920589	214	27	0.0003484795	0.000000023492
1	23920590	25516844	500	29	0.0002127150	0.000000046841
1	25516845	27401866	386	29	0.0007579738	0.000000042249
1	27401867	30161880	524	29	0.0002122491	0.000000042147
1	30161881	32438684	905	29	0.0001123627	0.000000053000
1	32438685	34799757	644	29	0.0001206733	0.000000052980
1	34799758	37549182	526	29	0.0000892319	0.000000040970
1	37549183	38731846	358	29	0.0001313198	0.000000029001
1	38731847	40200566	424	29	0.0001262183	0.000000033206
1	40200567	41975326	540	29	0.0000253168	0.000000038682
1	41975327	43758456	532	29	0.0001630308	0.000000038661
1	43758457	44969182	351	29	0.0000233433	0.000000023879
1	44969183	46899500	440	29	0.0001469001	0.000000026203
1	46899501	48002575	280	29	0.0001539327	0.000000023041
1	48002576	48978187	339	29	0.0002390087	0.000000033077
1	48978188	49894176	237	28	0.0001734720	0.000000022689
1	49894177	51713725	252	25	0.0001875502	0.000000017561
1	51713726	54226261	546	29	0.0001218949	0.000000041667
1	54226262	56413116	812	29	0.0011563794	0.000000076074
1	56413117	57021727	265	29	0.0002068233	0.000000018974
1	57021728	58865398	824	29	0.0000914515	0.000000053151
1	58865399	59890408	371	29	0.0001418806	0.000000029080
1	59890409	61922364	660	29	0.0002797403	0.000000055960
1	61922365	63455088	522	29	0.0028243582	0.000000095159
1	63455089	65041703	642	29	0.0002179119	0.000000048268
1	65041704	66939403	636	29	0.0002024921	0.000000048593
1	66939404	68477894	663	29	0.0003069287	0.000000049971
1	68477895	69687615	383	29	0.0001347408	0.000000032262
1	69687616	71372469	507	29	0.0001522015	0.000000040662
1	71372470	71684404	81	10	0.0000241402	0.000000005027
1	71684405	74326906	558	29	0.0002013230	0.000000029980
1	74326907	76728134	711	29	0.0001655363	0.000000043356
1	76728135	79661197	923	29	0.0001824962	0.000000052708
1	79661198	81354190	470	29	0.0000518590	0.000000035483
1	81354191	83991747	965	29	0.0001015293	0.000000051635
1	83991748	84844494	306	29	0.0001079235	0.000000022847
1	84844495	86454750	634	29	0.0001950845	0.000000049976
1	86454751	88128630	552	29	0.0000606885	0.000000041065
1	88128631	90066302	515	29	0.0001046315	0.000000037334
1	90066303	91886316	553	29	0.0002913910	0.000000047149
1	91886317	93536458	500	29	0.0007667347	0.000000048327
1	93536459	94506190	245	26	0.0002502261	0.000000020396
1	94506191	96150892	640	29	0.0003019575	0.000000054441
1	96150893	97885248	598	29	0.0000499126	0.000000035082
1	97885249	99800603	632	29	0.0001931850	0.000000046397
1	99800604	100826404	329	29	0.0002182815	0.000000026746
1	100826405	102041015	439	29	0.0002208636	0.000000036998
1	102041016	102898744	271	29	0.0001515309	0.000000023855
1	102898745	103914210	196	21	0.0001129808	0.000000015253
1	103914211	106087841	452	29	0.0000125263	0.000000032737
1	106087842	108409664	721	29	0.0001549649	0.000000053473
1	108409665	110303930	552	29	0.0049460569	0.000000135636
1	110303931	111741736	560	29	0.0003722313	0.000000053952
1	111741737	113273305	691	29	0.0002130347	0.000000052342
1	113273306	114873844	497	29	0.0000796908	0.000000038139
1	114873845	115880592	338	29	0.0001336827	0.000000023455
1	115880593	118839066	809	29	0.0000510315	0.000000050430
1	118839067	144977493	557	29	0.0002381304	0.000000031776
1	144977494	148361252	425	29	0.0001900211	0.000000034876
1	148361253	151538880	332	29	0.0003391684	0.000000028891
1	151538881	153180828	450	29	0.0000273004	0.000000028306
1	153180829	154770402	445	29	0.0001321015	0.000000033921
1	154770403	156336132	280	29	0.0003732064	0.000000029619
1	156336133	158027411	576	29	0.0001088505	0.000000046762
1	158027412	159913047	665	29	0.0002107027	0.000000053000
1	159913048	162346720	859	29	0.0002941400	0.000000042783
1	162346721	165191701	1171	29	0.0001073528	0.000000050379
1	165191702	166460516	514	29	0.0001466515	0.000000045333
1	166460517	169086323	1078	29	0.0000762088	0.000000050895
1	169086324	170557775	547	29	0.0000579228	0.000000029657
1	170557776	173097906	893	29	0.0002149762	0.000000048684
1	173097907	175089767	399	29	0.0001716346	0.000000023183
1	175089768	177433380	764	29	0.0000910904	0.000000051317
1	177433381	178944308	494	29	0.0000938045	0.000000027138
1	178944309	178954469	2	1	-0.0000075918	0.000000000030
1	178954470	181144120	711	29	0.0001878840	0.000000052287
1	181144121	182755355	577	29	0.0001516368	0.000000048619
1	182755356	184595512	607	29	0.0005268428	0.000000053219
1	184595513	186810022	499	29	0.0001002161	0.000000034738
1	186810023	188759944	616	29	0.0001428544	0.000000044459
1	188759945	189904129	216	17	0.0000768073	0.000000013633
1	189904130	191868929	537	29	0.0001413453	0.000000033276
1	191868930	194107441	577	29	0.0001283827	0.000000041797
1	194107442	196176200	577	29	0.0000816366	0.000000035735
1	196176201	197311513	188	16	0.0001613857	0.000000013865
1	197311514	199239883	501	29	0.0003062696	0.000000042560
1	199239884	200137648	296	29	0.0002652004	0.000000027831
1	200137649	201589974	685	29	0.0000375783	0.000000050324
1	201589975	203334733	591	29	0.0000259589	0.000000047446
1	203334734	204681067	471	29	0.0002906846	0.000000043711
1	204681068	206073264	558	29	0.0000407391	0.000000041507
1	206073265	208410363	603	29	0.0002175538	0.000000051476
1	208410364	210787749	908	29	0.0000704527	0.000000050083
1	210787750	212842329	685	29	0.0002869704	0.000000055201
1	212842330	214578265	604	29	0.0002173559	0.000000050042
1	214578266	216243633	578	29	0.0001599212	0.000000048469
1	216243634	218705512	1070	29	0.0001894662	0.000000053107
1	218705513	219590570	281	29	-0.0000443309	0.000000016162
1	219590571	221858230	679	29	0.0006597833	0.000000056155
1	221858231	222230219	171	21	0.0000670591	0.000000015617
1	222230220	224938519	464	29	0.0004078781	0.000000043760
1	224938520	226810859	498	29	0.0002821634	0.000000042286
1	226810860	229156247	654	29	0.0001622766	0.000000048588
1	229156248	230685254	520	29	0.0000998046	0.000000034006
1	230685255	232090251	573	29	0.0001177963	0.000000043868
1	232090252	233429283	598	29	-0.0000449619	0.000000047829
