chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	15	0.0000126611	0.000000088682
1	1892607	3582735	439	15	0.0001533022	0.000000374048
1	3582736	4380810	274	15	0.0005241416	0.000000226404
1	4380811	5913892	878	15	0.0000701300	0.000000373503
1	5913893	7247334	433	15	-0.0001460232	0.000000235972
1	7247335	9365198	706	15	0.0000552129	0.000000371622
1	9365199	10806983	355	15	-0.0000136857	0.000000187797
1	10806984	11777840	260	15	0.0003516480	0.000000198316
1	11777841	12779465	292	15	0.0000301480	0.000000213557
1	12779466	14891510	619	15	0.0000506665	0.000000377831
1	14891511	16897729	695	15	0.0003076384	0.000000401379
1	16897730	18662898	670	15	0.0000641348	0.000000391660
1	18662899	20469148	723	15	0.0002417215	0.000000414840
1	20469149	21736587	462	15	0.0002192937	0.000000277809
1	21736588	23086882	526	15	-0.0001628227	0.000000322921
1	23086883	23920589	223	15	-0.0000108782	0.000000110837
1	23920590	25516844	526	15	0.0003401114	0.000000351342
1	25516845	27401866	416	15	-0.0000758166	0.000000181831
1	27401867	30161880	555	15	-0.0000836490	0.000000276752
1	30161881	32438684	938	15	0.0000498481	0.000000363553
1	32438685	34799757	678	15	-0.0000633861	0.000000356978
1	34799758	37549182	556	15	-0.0000120413	0.000000300939
1	37549183	38731846	375	15	0.0002260211	0.000000207732
1	38731847	40200566	447	15	0.0003048203	0.000000269227
1	40200567	41975326	555	15	0.0000730193	0.000000269890
1	41975327	43758456	553	15	0.0002039303	0.000000267468
1	43758457	44969182	372	15	0.0001737987	0.000000176292
1	44969183	46899500	461	15	0.0000108276	0.000000153951
1	46899501	48002575	299	15	0.0000243731	0.000000130976
1	48002576	48978187	346	15	0.0000867332	0.000000178163
1	48978188	49894176	248	15	0.0002100024	0.000000131755
1	49894177	51713725	260	15	0.0000802036	0.000000091739
1	51713726	54226261	564	15	-0.0000081993	0.000000290569
1	54226262	56413116	843	15	-0.0000705139	0.000000364732
1	56413117	57021727	274	15	0.0002842177	0.000000135593
1	57021728	58865398	852	15	0.0000524211	0.000000367290
1	58865399	59890408	385	15	0.0001462961	0.000000190105
1	59890409	61922364	674	15	-0.0000667519	0.000000363028
1	61922365	63455088	544	15	0.0000148155	0.000000314971
1	63455089	65041703	659	15	-0.0000460968	0.000000295893
1	65041704	66939403	654	15	-0.0000067386	0.000000298551
1	66939404	68477894	693	15	0.0000134690	0.000000287755
1	68477895	69687615	390	15	0.0000449065	0.000000206382
1	69687616	71372469	524	15	0.0003416699	0.000000283809
1	71372470	71684404	84	10	0.0000277145	0.000000030399
1	71684405	74326906	564	15	0.0001275633	0.000000226542
1	74326907	76728134	733	15	0.0000949243	0.000000300684
1	76728135	79661197	953	15	0.0000756408	0.000000371823
1	79661198	81354190	478	15	-0.0000856272	0.000000225920
1	81354191	83991747	979	15	0.0000376118	0.000000377630
1	83991748	84844494	319	15	0.0000749462	0.000000139701
1	84844495	86454750	657	15	0.0000863595	0.000000340137
1	86454751	88128630	576	15	0.0001443956	0.000000310728
1	88128631	90066302	528	15	-0.0000288318	0.000000260084
1	90066303	91886316	564	15	0.0000985905	0.000000290949
1	91886317	93536458	519	15	0.0001568117	0.000000231834
1	93536459	94506190	258	15	-0.0000100167	0.000000104214
1	94506191	96150892	655	15	-0.0000709093	0.000000335824
1	96150893	97885248	609	15	0.0001501912	0.000000256698
1	97885249	99800603	644	15	0.0001105448	0.000000303933
1	99800604	100826404	341	15	0.0000870557	0.000000139215
1	100826405	102041015	453	15	0.0001144790	0.000000207122
1	102041016	102898744	281	15	0.0001861084	0.000000157705
1	102898745	103914210	204	15	0.0001730058	0.000000085889
1	103914211	106087841	461	15	0.0003461121	0.000000247949
1	106087842	108409664	731	15	0.0000923763	0.000000376214
1	108409665	110303930	573	15	0.0003060436	0.000000327936
1	110303931	111741736	576	15	0.0000247068	0.000000367835
1	111741737	113273305	722	15	0.0000003137	0.000000360347
1	113273306	114873844	513	15	-0.0000735768	0.000000265252
1	114873845	115880592	349	15	-0.0000976915	0.000000136006
1	115880593	118839066	841	15	0.0000560524	0.000000373765
1	118839067	144977493	574	15	0.0001685416	0.000000272640
1	144977494	148361252	435	15	-0.0000204547	0.000000189097
1	148361253	151538880	353	15	0.0000072997	0.000000144253
1	151538881	153180828	478	15	0.0000343345	0.000000188698
1	153180829	154770402	462	15	0.0000621508	0.000000229754
1	154770403	156336132	307	15	-0.0000063506	0.000000155977
1	156336133	158027411	598	15	0.0001902575	0.000000333539
1	158027412	159913047	690	15	0.0003788064	0.000000422381
1	159913048	162346720	895	15	0.0001770611	0.000000398041
1	162346721	165191701	1199	15	-0.0000552355	0.000000357500
1	165191702	166460516	534	15	0.0001913621	0.000000317472
1	166460517	169086323	1118	15	0.0000081503	0.000000378792
1	169086324	170557775	569	15	0.0000585468	0.000000223821
1	170557776	173097906	916	15	-0.0000044059	0.000000351133
1	173097907	175089767	416	15	0.0000064307	0.000000122993
1	175089768	177433380	789	15	-0.0001028807	0.000000342024
1	177433381	178944308	505	15	0.0000677319	0.000000226806
1	178944309	178954469	2	1	0.0000448570	0.000000011641
1	178954470	181144120	754	15	0.0000813761	0.000000336128
1	181144121	182755355	604	15	-0.0000848966	0.000000317484
1	182755356	184595512	633	15	0.0000416354	0.000000300544
1	184595513	186810022	524	15	0.0001233649	0.000000238377
1	186810023	188759944	626	15	-0.0001198591	0.000000267086
1	188759945	189904129	223	15	0.0001924413	0.000000090345
1	189904130	191868929	547	15	-0.0001536965	0.000000178122
1	191868930	194107441	590	15	-0.0000338330	0.000000260290
1	194107442	196176200	590	15	0.0000573207	0.000000240804
1	196176201	197311513	199	15	0.0001316456	0.000000076492
1	197311514	199239883	517	15	0.0000029767	0.000000240685
1	199239884	200137648	308	15	0.0000626666	0.000000144862
1	200137649	201589974	713	15	0.0000795638	0.000000388823
1	201589975	203334733	614	15	-0.0000595028	0.000000374226
1	203334734	204681067	488	15	0.0003685040	0.000000293627
1	204681068	206073264	577	15	0.0001360242	0.000000337006
1	206073265	208410363	643	15	-0.0000091070	0.000000364826
1	208410364	210787749	945	15	-0.0000356675	0.000000359466
1	210787750	212842329	705	15	-0.0000363662	0.000000363807
1	212842330	214578265	620	15	-0.0000900410	0.000000359403
1	214578266	216243633	598	15	0.0000852960	0.000000294340
1	216243634	218705512	1093	15	-0.0000869112	0.000000341976
1	218705513	219590570	289	15	0.0000612105	0.000000131932
1	219590571	221858230	700	15	0.0000475139	0.000000346332
1	221858231	222230219	178	15	0.0000636619	0.000000092849
1	222230220	224938519	477	15	0.0000081929	0.000000247053
1	224938520	226810859	523	15	0.0001543082	0.000000277683
1	226810860	229156247	707	15	-0.0001116406	0.000000342062
1	229156248	230685254	542	15	0.0000421644	0.000000329730
1	230685255	232090251	596	15	0.0001104155	0.000000351268
1	232090252	233429283	611	15	-0.0000784278	0.000000390930
1	233429284	234599433	543	15	-0.0000369094	0.000000325401
1	234599434	235819435	389	15	0.0002262260	0.000000271812
1	235819436	237555627	731	15	0.0000017816	0.000000375803
1	237555628	238567806	438	15	0.0000279359	0.000000253957
1	238567807	239925313	498	15	0.0002376748	0.000000295865
1	239925314	240564090	343	15	0.0001882755	0.000000197350
1	240564091	241582219	522	15	-0.0002254242	0.000000370474
1	241582220	242071601	220	15	0.0001055851	0.000000139878
1	242071602	244109498	626	15	0.0003053153	0.000000376642
1	244109499	245506745	523	15	-0.0001496480	0.000000364494
1	245506746	247344517	716	15	-0.0000039788	0.000000388363
1	247344518	249239465	406	15	0.0003446262	0.000000269046
2	10133	1781021	675	15	0.0000276543	0.000000358542
2	1781022	3973778	973	15	0.0000147966	0.000000374935
2	3973779	5708336	633	15	0.0000255029	0.000000359470
2	5708337	6836253	572	15	0.0001764565	0.000000307467
2	6836254	8422146	657	15	-0.0000137644	0.000000350084
2	8422147	10298468	678	15	0.0002594138	0.000000389173
2	10298469	12419149	977	15	0.0001738559	0.000000395513
2	12419150	14335307	595	15	0.0001044996	0.000000304393
2	14335308	16329734	752	15	0.0002883346	0.000000361157
2	16329735	18647422	865	15	0.0000139465	0.000000358756
2	18647423	19692403	387	15	0.0000400068	0.000000200420
2	19692404	21050489	640	15	0.0001267464	0.000000351574
2	21050490	23341382	626	15	0.0000371903	0.000000352393
2	23341383	24686917	443	15	-0.0000688280	0.000000207849
2	24686918	26894984	563	15	0.0001016017	0.000000298635
2	26894985	28598776	420	15	-0.0000448127	0.000000174836
2	28598777	29217558	247	15	0.0004169921	0.000000151763
2	29217559	30463710	639	15	0.0000391981	0.000000362812
2	30463711	31550449	534	15	0.0000771073	0.000000335062
2	31550450	33363776	499	15	0.0002958336	0.000000328947
2	33363777	35345027	816	15	0.0000007730	0.000000350222
2	35345028	36122005	300	15	0.0002507276	0.000000161865
2	36122006	38132711	938	15	-0.0000619942	0.000000349508
2	38132712	39031336	327	15	0.0001117091	0.000000192405
2	39031337	40281482	306	15	0.0001498646	0.000000170819
2	40281483	43309589	1315	15	0.0002636968	0.000000344498
2	43309590	44313802	408	15	0.0001673775	0.000000253534
2	44313803	46482633	1080	15	-0.0000483479	0.000000365603
2	46482634	47318771	421	15	0.0000108748	0.000000300659
2	47318772	48213000	305	15	0.0000093590	0.000000228585
2	48213001	50022256	719	15	0.0002269103	0.000000354875
2	50022257	50818927	345	15	0.0002051770	0.000000189398
2	50818928	52491132	653	15	0.0001361167	0.000000348213
2	52491133	53508451	470	15	0.0001970735	0.000000254048
2	53508452	54685225	435	15	0.0000024430	0.000000232517
2	54685226	56203344	618	15	0.0000909959	0.000000335111
2	56203345	57429099	429	15	0.0000423432	0.000000230519
2	57429100	58297314	277	15	0.0002248879	0.000000154393
2	58297315	60291999	749	15	0.0001411947	0.000000346065
2	60292000	62429043	593	15	0.0000149429	0.000000331006
2	62429044	64625912	588	15	0.0002747737	0.000000330018
2	64625913	65933443	464	15	0.0001172638	0.000000272579
2	65933444	67226165	555	15	-0.0000033712	0.000000283116
2	67226166	68010175	428	15	0.0000561782	0.000000214287
2	68010176	69139563	476	15	-0.0000412771	0.000000234317
2	69139564	70755197	537	15	0.0001136500	0.000000250318
2	70755198	73174847	812	15	0.0003357281	0.000000396342
2	73174848	75630085	730	15	-0.0000223873	0.000000374302
2	75630086	76913660	518	15	-0.0000395808	0.000000268405
2	76913661	78079263	395	15	0.0000649181	0.000000263113
2	78079264	80050402	842	15	0.0000394950	0.000000345407
2	80050403	81620840	583	15	0.0000186112	0.000000353003
2	81620841	85140679	907	15	-0.0000311844	0.000000283438
2	85140680	88038506	638	15	0.0000070696	0.000000285892
2	88038507	89154525	248	15	-0.0000535744	0.000000100500
2	89154526	95326451	4	2	-0.0000043618	0.000000003900
2	95326452	98995200	432	15	0.0001818207	0.000000205262
2	98995201	101822328	914	15	-0.0000110867	0.000000323121
2	101822329	102688764	261	15	0.0000816678	0.000000108973
2	102688765	103588214	407	15	-0.0000184041	0.000000134881
2	103588215	105125033	311	15	0.0000707652	0.000000151165
2	105125034	106210057	407	15	-0.0000664287	0.000000207318
2	106210058	107408266	453	15	0.0000258073	0.000000227523
2	107408267	108429176	357	15	0.0001141391	0.000000152218
2	108429177	110572431	536	15	0.0000891131	0.000000259445
2	110572432	113921855	812	15	-0.0000832958	0.000000328091
2	113921856	116772469	761	15	-0.0000867779	0.000000343124
2	116772470	118367465	407	15	0.0000005873	0.000000159816
2	118367466	121303782	999	15	0.0003013178	0.000000384982
2	121303783	123302905	579	15	0.0000891574	0.000000336256
2	123302906	124732249	436	15	0.0001324696	0.000000176127
2	124732250	125840920	384	15	0.0000124006	0.000000175177
2	125840921	127373763	414	15	-0.0000560414	0.000000143126
2	127373764	128034346	290	15	-0.0001275804	0.000000138040
2	128034347	129474440	437	15	-0.0001001830	0.000000208691
2	129474441	130067169	227	15	0.0000129568	0.000000098441
2	130067170	130658084	208	15	-0.0001274643	0.000000086096
2	130658085	133042783	216	15	0.0001673759	0.000000153252
2	133042784	135158577	920	15	-0.0001117860	0.000000348971
2	135158578	137042793	459	15	0.0003940906	0.000000200554
2	137042794	138698116	599	15	-0.0000090762	0.000000300990
2	138698117	140100270	440	15	0.0000189900	0.000000158432
2	140100271	141805350	576	15	0.0000172830	0.000000297382
2	141805351	142518601	300	15	0.0001486603	0.000000164310
2	142518602	144519483	659	15	0.0000466080	0.000000330773
2	144519484	146445569	444	15	0.0003554165	0.000000244356
2	146445570	147277161	154	15	0.0001984495	0.000000082338
2	147277162	150210291	667	15	-0.0000288906	0.000000286344
2	150210292	151731461	480	15	0.0002376797	0.000000259856
2	151731462	152486781	286	15	0.0003616726	0.000000141274
2	152486782	154005055	487	15	0.0001830155	0.000000240349
2	154005056	155391134	493	15	0.0000970155	0.000000263141
2	155391135	157560634	558	15	0.0000945489	0.000000276847
2	157560635	158533217	173	15	0.0000688446	0.000000107373
2	158533218	159577081	335	15	-0.0000410398	0.000000167839
