chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0001196880	0.000000007576
1	1892607	3582735	407	40	0.0003938582	0.000000030877
1	3582736	4380810	263	40	0.0002001043	0.000000018244
1	4380811	5913892	864	40	0.0000798692	0.000000033087
1	5913893	7247334	410	40	0.0002389478	0.000000026121
1	7247335	9365198	677	40	0.0003843698	0.000000039846
1	9365199	10806983	337	40	0.0002504152	0.000000020915
1	10806984	11777840	247	40	0.0001859479	0.000000017060
1	11777841	12779465	274	40	0.0000866333	0.000000016733
1	12779466	14891510	606	40	0.0000903354	0.000000033320
1	14891511	16897729	656	40	0.0001641689	0.000000034958
1	16897730	18662898	637	40	0.0001557512	0.000000034772
1	18662899	20469148	686	40	0.0001340630	0.000000034290
1	20469149	21736587	450	40	0.0002547017	0.000000027606
1	21736588	23086882	506	40	0.0001483173	0.000000029941
1	23086883	23920589	214	27	0.0000703281	0.000000012026
1	23920590	25516844	499	40	0.0000563383	0.000000027520
1	25516845	27401866	385	40	0.0000085755	0.000000016629
1	27401867	30161880	525	40	0.0000240022	0.000000024076
1	30161881	32438684	902	40	0.0001088762	0.000000033731
1	32438685	34799757	644	40	0.0000997153	0.000000033143
1	34799758	37549182	522	40	0.0000284187	0.000000025378
1	37549183	38731846	358	40	0.0002337887	0.000000022236
1	38731847	40200566	424	40	0.0003327910	0.000000028073
1	40200567	41975326	540	40	0.0001041352	0.000000026548
1	41975327	43758456	530	40	0.0001563787	0.000000025871
1	43758457	44969182	350	35	0.0003753522	0.000000023241
1	44969183	46899500	439	38	0.0000906750	0.000000017009
1	46899501	48002575	277	33	0.0001371230	0.000000015112
1	48002576	48978187	339	40	0.0000438650	0.000000017785
1	48978188	49894176	237	28	0.0000333538	0.000000012385
1	49894177	51713725	252	25	0.0000709270	0.000000010495
1	51713726	54226261	547	40	0.0002186848	0.000000030801
1	54226262	56413116	811	40	0.0001367421	0.000000034350
1	56413117	57021727	264	31	0.0001028610	0.000000013611
1	57021728	58865398	826	40	0.0001989463	0.000000035730
1	58865399	59890408	371	40	0.0004221232	0.000000025839
1	59890409	61922364	660	40	0.0002099320	0.000000035974
1	61922365	63455088	513	40	0.0001609848	0.000000028696
1	63455089	65041703	642	40	-0.0000702811	0.000000024713
1	65041704	66939403	636	40	0.0003854700	0.000000036029
1	66939404	68477894	662	40	0.0002863411	0.000000032556
1	68477895	69687615	382	40	0.0000764456	0.000000019570
1	69687616	71372469	506	40	0.0000698191	0.000000023953
1	71372470	71684404	80	10	0.0000844102	0.000000004841
1	71684405	74326906	555	40	0.0002904939	0.000000026758
1	74326907	76728134	708	40	0.0003749704	0.000000034521
1	76728135	79661197	924	40	0.0000657920	0.000000032775
