chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	91	15	0.0001147962	0.000000007481
1	1892607	3582735	423	40	0.0003474448	0.000000031457
1	3582736	4380810	264	40	0.0001256934	0.000000017094
1	4380811	5913892	856	40	0.0001357033	0.000000034885
1	5913893	7247334	423	40	0.0001278880	0.000000024280
1	7247335	9365198	694	40	0.0001640950	0.000000035358
1	9365199	10806983	347	40	0.0002391044	0.000000021291
1	10806984	11777840	250	40	0.0000805188	0.000000014997
1	11777841	12779465	278	40	0.0002888239	0.000000021719
1	12779466	14891510	614	40	0.0000854794	0.000000033855
1	14891511	16897729	684	40	0.0005616129	0.000000044283
1	16897730	18662898	656	40	0.0000404170	0.000000032807
1	18662899	20469148	699	40	0.0003382944	0.000000039305
1	20469149	21736587	458	40	0.0002198364	0.000000027259
1	21736588	23086882	520	40	0.0002261797	0.000000032874
1	23086883	23920589	219	28	0.0003318448	0.000000018100
1	23920590	25516844	516	40	0.0002048955	0.000000031809
1	25516845	27401866	411	40	0.0002970247	0.000000024133
1	27401867	30161880	543	40	0.0003606815	0.000000032043
1	30161881	32438684	925	40	0.0000853174	0.000000033681
1	32438685	34799757	673	40	0.0001399927	0.000000034804
1	34799758	37549182	543	40	0.0001604846	0.000000029525
1	37549183	38731846	365	40	0.0003208533	0.000000024626
1	38731847	40200566	446	40	0.0000569221	0.000000022972
1	40200567	41975326	549	40	0.0000433113	0.000000025464
1	41975327	43758456	537	40	0.0001277313	0.000000025962
1	43758457	44969182	368	35	-0.0000175941	0.000000015229
1	44969183	46899500	457	38	0.0002598369	0.000000021409
1	46899501	48002575	297	33	0.0001479285	0.000000015963
1	48002576	48978187	342	40	0.0001596370	0.000000020680
1	48978188	49894176	247	28	0.0000498977	0.000000013274
1	49894177	51713725	255	25	0.0002379727	0.000000014433
1	51713726	54226261	561	40	0.0001308766	0.000000029512
1	54226262	56413116	825	40	0.0001823067	0.000000035866
1	56413117	57021727	270	31	0.0000897161	0.000000013491
1	57021728	58865398	844	40	0.0000421269	0.000000032539
1	58865399	59890408	383	40	0.0001696927	0.000000020858
1	59890409	61922364	666	40	0.0003522790	0.000000039441
1	61922365	63455088	529	40	0.0002712320	0.000000031868
1	63455089	65041703	656	40	0.0000981428	0.000000029087
1	65041704	66939403	639	40	0.0002631520	0.000000033550
1	66939404	68477894	678	40	0.0001245158	0.000000029494
1	68477895	69687615	373	40	0.0002078292	0.000000022408
1	69687616	71372469	513	40	0.0001467429	0.000000025834
1	71372470	71684404	82	10	0.0000301080	0.000000003726
1	71684405	74326906	556	40	0.0001376929	0.000000023490
1	74326907	76728134	711	40	0.0000910391	0.000000028548
1	76728135	79661197	940	40	0.0002304406	0.000000036700
1	79661198	81354190	466	40	-0.0000417549	0.000000020312
1	81354191	83991747	959	40	0.0001732800	0.000000035525
1	83991748	84844494	311	34	0.0001774646	0.000000016321
1	84844495	86454750	643	40	0.0001596715	0.000000033176
1	86454751	88128630	561	40	0.0000681739	0.000000027000
1	88128631	90066302	517	40	0.0001341990	0.000000026460
1	90066303	91886316	555	40	0.0002608467	0.000000030255
1	91886317	93536458	507	40	0.0000624286	0.000000021333
1	93536459	94506190	255	26	0.0001232523	0.000000012540
1	94506191	96150892	643	40	0.0002343496	0.000000034889
1	96150893	97885248	600	40	0.0001690371	0.000000026456
1	97885249	99800603	635	40	0.0002989202	0.000000032321
1	99800604	100826404	314	36	0.0003446944	0.000000020670
1	100826405	102041015	444	40	0.0002012110	0.000000023635
1	102041016	102898744	271	36	0.0002267619	0.000000016706
1	102898745	103914210	198	21	0.0000000015	0.000000007574
1	103914211	106087841	448	40	0.0001768013	0.000000023860
1	106087842	108409664	722	40	0.0001061726	0.000000034006
1	108409665	110303930	556	40	0.0002900774	0.000000030423
1	110303931	111741736	564	40	0.0002780466	0.000000035721
1	111741737	113273305	718	40	0.0001291582	0.000000034616
1	113273306	114873844	509	40	0.0003366813	0.000000031292
1	114873845	115880592	342	37	0.0002305243	0.000000019124
1	115880593	118839066	819	40	0.0002145662	0.000000036550
1	118839067	144977493	558	40	0.0002023642	0.000000028789
1	144977494	148361252	430	40	0.0001060922	0.000000021827
1	148361253	151538880	348	34	0.0006937069	0.000000029642
1	151538881	153180828	468	40	0.0001293804	0.000000021051
1	153180829	154770402	454	40	0.0002894568	0.000000026565
1	154770403	156336132	306	38	0.0002794123	0.000000020788
1	156336133	158027411	594	40	0.0001292299	0.000000030710
1	158027412	159913047	672	40	0.0000554607	0.000000032642
1	159913048	162346720	868	40	0.0001421283	0.000000034979
1	162346721	165191701	1185	40	0.0002380875	0.000000036955
1	165191702	166460516	526	40	0.0000810996	0.000000028490
1	166460517	169086323	1088	40	0.0000595307	0.000000033042
1	169086324	170557775	552	40	0.0001174006	0.000000023690
1	170557776	173097906	898	40	0.0004144146	0.000000040871
1	173097907	175089767	410	32	0.0001658619	0.000000015944
1	175089768	177433380	779	40	0.0001017699	0.000000033910
1	177433381	178944308	492	40	0.0002406545	0.000000026432
1	178944309	178954469	2	1	0.0000151722	0.000000000456
1	178954470	181144120	745	40	0.0001317512	0.000000033866
1	181144121	182755355	598	40	0.0002176842	0.000000034303
1	182755356	184595512	628	40	0.0001786261	0.000000029764
1	184595513	186810022	521	40	0.0003126043	0.000000028165
1	186810023	188759944	618	40	0.0001120527	0.000000028150
1	188759945	189904129	216	17	0.0000059322	0.000000007402
1	189904130	191868929	537	40	0.0001032774	0.000000021424
1	191868930	194107441	571	40	0.0002155915	0.000000029086
1	194107442	196176200	571	40	0.0000392867	0.000000022676
1	196176201	197311513	196	16	0.0000229587	0.000000007041
1	197311514	199239883	504	40	0.0001864573	0.000000026339
1	199239884	200137648	297	35	0.0000509327	0.000000014421
1	200137649	201589974	702	40	0.0000653384	0.000000033220
1	201589975	203334733	608	40	0.0000679171	0.000000032059
1	203334734	204681067	481	40	0.0000848332	0.000000025244
1	204681068	206073264	574	40	0.0000860791	0.000000030040
1	206073265	208410363	632	40	0.0000527293	0.000000032845
1	208410364	210787749	924	40	0.0001045950	0.000000034133
1	210787750	212842329	686	40	0.0000816849	0.000000033493
1	212842330	214578265	600	40	0.0001113583	0.000000032422
1	214578266	216243633	570	40	0.0002355660	0.000000031638
1	216243634	218705512	1074	40	0.0003212981	0.000000038769
1	218705513	219590570	277	33	0.0001237707	0.000000015013
1	219590571	221858230	679	40	0.0004288173	0.000000040498
1	221858231	222230219	174	21	0.0000903625	0.000000010988
1	222230220	224938519	448	40	-0.0000044460	0.000000020845
1	224938520	226810859	513	40	0.0002604570	0.000000029010
1	226810860	229156247	687	40	0.0001789375	0.000000033366
1	229156248	230685254	527	40	0.0002921549	0.000000033223
1	230685255	232090251	587	40	0.0000474132	0.000000029328
1	232090252	233429283	596	40	0.0001052540	0.000000033799
1	233429284	234599433	530	40	0.0002134130	0.000000031899
1	234599434	235819435	380	40	0.0003547585	0.000000027717
1	235819436	237555627	706	40	0.0003690566	0.000000040071
1	237555628	238567806	423	40	0.0000447961	0.000000022750
1	238567807	239925313	487	40	0.0000550169	0.000000026132
1	239925314	240564090	339	40	0.0001147402	0.000000019626
1	240564091	241582219	508	40	0.0000942432	0.000000031245
1	241582220	242071601	217	38	0.0000423683	0.000000012805
1	242071602	244109498	617	40	0.0003301332	0.000000038391
1	244109499	245506745	498	40	0.0004095925	0.000000035800
1	245506746	247344517	701	40	0.0000597189	0.000000033118
1	247344518	249239465	398	40	0.0001097671	0.000000023936
2	10133	1781021	653	40	0.0001905410	0.000000036155
2	1781022	3973778	956	40	-0.0000153669	0.000000031721
2	3973779	5708336	619	40	0.0001634232	0.000000035846
2	5708337	6836253	554	40	0.0001921605	0.000000030745
2	6836254	8422146	644	40	0.0001249372	0.000000034631
2	8422147	10298468	662	40	0.0001108257	0.000000034550
2	10298469	12419149	969	40	0.0000984939	0.000000034316
2	12419150	14335307	590	40	0.0001258354	0.000000030958
2	14335308	16329734	739	40	0.0007843020	0.000000049445
2	16329735	18647422	853	40	0.0001821549	0.000000036011
2	18647423	19692403	384	40	0.0003597708	0.000000027030
2	19692404	21050489	630	40	0.0001465802	0.000000033849
2	21050490	23341382	615	40	0.0000726634	0.000000033464
2	23341383	24686917	433	40	0.0001147761	0.000000022715
2	24686918	26894984	554	40	0.0002213874	0.000000031216
2	26894985	28598776	413	33	0.0007411207	0.000000033858
2	28598777	29217558	243	30	0.0000427067	0.000000012761
2	29217559	30463710	634	40	0.0000932609	0.000000034032
2	30463711	31550449	527	40	0.0002252566	0.000000033724
2	31550450	33363776	494	40	0.0001218677	0.000000030580
2	33363777	35345027	798	40	0.0001108176	0.000000034398
2	35345028	36122005	290	30	-0.0000132687	0.000000013711
2	36122006	38132711	922	40	0.0001640134	0.000000035644
2	38132712	39031336	322	37	0.0001279753	0.000000021282
2	39031337	40281482	298	31	0.0000921547	0.000000018254
2	40281483	43309589	1302	40	0.0001942471	0.000000036146
2	43309590	44313802	402	40	0.0005274697	0.000000033866
2	44313803	46482633	1064	40	0.0001113922	0.000000034413
2	46482634	47318771	416	40	0.0002421228	0.000000030935
2	47318772	48213000	298	40	-0.0000048312	0.000000018074
2	48213001	50022256	710	40	0.0000528940	0.000000033062
2	50022257	50818927	344	34	-0.0000007619	0.000000017665
2	50818928	52491132	643	40	0.0001723124	0.000000035563
2	52491133	53508451	466	40	0.0000526918	0.000000025031
2	53508452	54685225	430	40	0.0002310518	0.000000027881
2	54685226	56203344	606	40	0.0003727514	0.000000040160
2	56203345	57429099	427	40	0.0002434970	0.000000028379
2	57429100	58297314	272	29	0.0000067575	0.000000014201
2	58297315	60291999	736	40	0.0000654806	0.000000033309
2	60292000	62429043	584	40	0.0001989607	0.000000035799
2	62429044	64625912	581	40	0.0000070761	0.000000029918
2	64625913	65933443	461	40	0.0002119219	0.000000028912
2	65933444	67226165	549	40	0.0003590881	0.000000034544
2	67226166	68010175	418	40	0.0002931547	0.000000026877
2	68010176	69139563	470	40	0.0002273000	0.000000027239
2	69139564	70755197	534	40	0.0002964893	0.000000030903
2	70755198	73174847	795	40	0.0001003134	0.000000034221
2	73174848	75630085	711	40	0.0007066041	0.000000047746
2	75630086	76913660	510	40	0.0002102047	0.000000030596
2	76913661	78079263	381	40	0.0001178868	0.000000024517
2	78079264	80050402	817	40	0.0002171891	0.000000036556
2	80050403	81620840	578	40	0.0002196833	0.000000036117
2	81620841	85140679	883	40	0.0000048334	0.000000027654
2	85140680	88038506	632	40	0.0002130464	0.000000031425
2	88038507	89154525	244	30	0.0000519518	0.000000012193
2	89154526	95326451	4	2	-0.0000021869	0.000000000204
2	95326452	98995200	426	40	0.0001615807	0.000000022738
2	98995201	101822328	906	40	0.0001962572	0.000000036239
2	101822329	102688764	261	30	0.0001908905	0.000000015365
2	102688765	103588214	405	36	0.0000733098	0.000000015701
2	103588215	105125033	302	40	0.0001297393	0.000000017135
2	105125034	106210057	403	40	0.0000996690	0.000000022151
2	106210058	107408266	443	40	0.0001468248	0.000000023960
2	107408267	108429176	347	37	0.0000362896	0.000000014834
2	108429177	110572431	520	40	0.0001828112	0.000000027341
2	110572432	113921855	790	40	0.0002419708	0.000000037262
2	113921856	116772469	750	40	0.0000828099	0.000000033716
2	116772470	118367465	387	36	0.0001497955	0.000000018677
2	118367466	121303782	988	40	0.0004346976	0.000000041665
2	121303783	123302905	575	40	0.0004795580	0.000000038728
2	123302906	124732249	430	40	0.0001779231	0.000000020699
2	124732250	125840920	380	40	0.0000776919	0.000000019115
2	125840921	127373763	409	37	0.0001513269	0.000000018583
2	127373764	128034346	285	40	0.0001733765	0.000000017666
2	128034347	129474440	431	40	0.0002095069	0.000000023890
2	129474441	130067169	220	26	-0.0000154171	0.000000008951
2	130067170	130658084	201	25	0.0001249224	0.000000012020
2	130658085	133042783	204	33	-0.0000243272	0.000000010199
2	133042784	135158577	909	40	0.0001940582	0.000000036184
2	135158578	137042793	446	40	0.0002714118	0.000000023522
2	137042794	138698116	588	40	0.0001425733	0.000000030344
2	138698117	140100270	428	40	0.0000572829	0.000000016828
2	140100271	141805350	564	40	0.0000060238	0.000000026776
2	141805351	142518601	297	33	-0.0000350567	0.000000014344
2	142518602	144519483	648	40	0.0003178765	0.000000036420
2	144519484	146445569	435	40	0.0001234451	0.000000023322
2	146445570	147277161	151	15	0.0001402679	0.000000010148
2	147277162	150210291	660	40	0.0003829214	0.000000035611
2	150210292	151731461	461	40	0.0001117366	0.000000023989
2	151731462	152486781	286	29	0.0002922031	0.000000018500
2	152486782	154005055	478	40	0.0001469073	0.000000025313
2	154005056	155391134	481	40	0.0001014617	0.000000025295
2	155391135	157560634	552	40	0.0000654591	0.000000026510
2	157560635	158533217	169	25	0.0002575788	0.000000015393
2	158533218	159577081	326	38	0.0001575876	0.000000019086
2	159577082	161769732	718	40	0.0003488017	0.000000038292
2	161769733	163503550	389	36	0.0001707291	0.000000018875
2	163503551	164466637	188	22	0.0001051306	0.000000011135
2	164466638	165178839	175	20	0.0001052503	0.000000010592
2	165178840	167160269	629	40	0.0000804074	0.000000029352
2	167160270	167355969	72	10	0.0000870777	0.000000005210
2	167355970	169968235	812	40	0.0001971169	0.000000036164
2	169968236	171226244	482	40	0.0005349735	0.000000034360
2	171226245	173138904	571	40	0.0000580043	0.000000030330
2	173138905	175588928	832	40	0.0001430535	0.000000035059
2	175588929	177363635	531	40	0.0002894485	0.000000030515
2	177363636	178553182	474	40	0.0003141209	0.000000026926
2	178553183	181312738	988	40	0.0001557064	0.000000035307
2	181312739	182266030	297	31	0.0001405572	0.000000015880
2	182266031	184357607	605	40	0.0002050560	0.000000032762
2	184357608	185280172	230	25	0.0001265838	0.000000013014
2	185280173	189882064	938	40	0.0000828065	0.000000033548
2	189882065	191973356	495	40	0.0002284181	0.000000026797
2	191973357	195861163	706	40	0.0001103232	0.000000034423
2	195861164	196447455	149	19	0.0001056566	0.000000009177
2	196447456	198078109	443	40	0.0002360100	0.000000022154
2	198078110	199311124	304	26	0.0001662748	0.000000014637
2	199311125	201576283	621	40	0.0002125235	0.000000032456
2	201576284	202818636	316	39	0.0001432622	0.000000017992
2	202818637	205799240	742	40	0.0001339801	0.000000034886
2	205799241	206735703	401	40	0.0002138675	0.000000027276
2	206735704	208645398	653	40	0.0005353864	0.000000043991
2	208645399	209941528	332	39	0.0002034269	0.000000020349
2	209941529	212379517	738	40	0.0007766269	0.000000049150
2	212379518	214014281	623	40	0.0003037212	0.000000038751
2	214014282	215573794	441	40	0.0001087142	0.000000023900
2	215573795	217715660	790	40	0.0003414017	0.000000039725
2	217715661	218395479	275	36	0.0000603038	0.000000015586
2	218395480	220454550	587	40	0.0002505605	0.000000031150
2	220454551	222521175	849	40	0.0000925966	0.000000033918
2	222521176	224859418	774	40	0.0000214990	0.000000032454
2	224859419	225840003	343	35	0.0001551081	0.000000017310
2	225840004	228119841	720	40	0.0002593812	0.000000035183
2	228119842	229370786	443	40	0.0003261747	0.000000026827
2	229370787	231843388	931	40	0.0001046253	0.000000034248
2	231843389	233550002	466	40	0.0001731102	0.000000025850
2	233550003	235150986	792	40	0.0002831218	0.000000038145
2	235150987	236043549	414	40	0.0000206693	0.000000024576
2	236043550	237449031	461	40	0.0000161962	0.000000024088
2	237449032	238760980	529	40	0.0002077499	0.000000031220
2	238760981	239952642	404	40	0.0001056025	0.000000023157
2	239952643	241560083	644	40	0.0000623763	0.000000033626
2	241560084	242149920	216	29	0.0001756392	0.000000014444
2	242149921	243188919	126	14	0.0000217601	0.000000006590
3	60157	1441778	615	40	0.0000990846	0.000000033880
3	1441779	2992119	885	40	0.0000432544	0.000000032680
3	2992120	4431646	760	40	0.0001512254	0.000000035172
