chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	14	-0.0000702378	0.000000059179
1	1892607	3582735	409	14	0.0001157505	0.000000298867
1	3582736	4380810	262	14	0.0000344914	0.000000160459
1	4380811	5913892	863	14	0.0000464356	0.000000341674
1	5913893	7247334	409	14	-0.0000202045	0.000000208567
1	7247335	9365198	680	14	0.0001366839	0.000000349891
1	9365199	10806983	338	14	0.0003718012	0.000000184338
1	10806984	11777840	246	14	0.0000918989	0.000000150911
1	11777841	12779465	278	14	0.0001415968	0.000000190894
1	12779466	14891510	607	14	0.0000088146	0.000000345788
1	14891511	16897729	656	14	0.0000093175	0.000000344738
1	16897730	18662898	634	14	0.0000218123	0.000000347630
1	18662899	20469148	684	14	0.0000999410	0.000000354824
1	20469149	21736587	450	14	0.0001715771	0.000000236971
1	21736588	23086882	506	14	0.0000043552	0.000000291375
1	23086883	23920589	214	14	0.0000858946	0.000000101442
1	23920590	25516844	500	14	0.0002717136	0.000000299621
1	25516845	27401866	386	14	0.0002033036	0.000000176038
1	27401867	30161880	524	14	0.0001260950	0.000000252586
1	30161881	32438684	904	14	0.0002124838	0.000000338302
1	32438685	34799757	644	14	0.0000870208	0.000000325966
1	34799758	37549182	526	14	0.0000321312	0.000000261835
1	37549183	38731846	358	14	0.0000725696	0.000000170788
1	38731847	40200566	424	14	0.0001133272	0.000000221188
1	40200567	41975326	539	14	0.0002089046	0.000000257004
1	41975327	43758456	532	14	0.0000236882	0.000000213865
1	43758457	44969182	351	14	0.0002619687	0.000000156365
1	44969183	46899500	440	14	0.0006176055	0.000000173858
1	46899501	48002575	280	14	0.0001026818	0.000000118213
1	48002576	48978187	339	14	0.0001776096	0.000000170424
1	48978188	49894176	237	14	0.0002509562	0.000000122072
1	49894177	51713725	252	14	0.0001859962	0.000000090057
1	51713726	54226261	546	14	0.0006462231	0.000000305506
1	54226262	56413116	812	14	0.0000473792	0.000000340837
1	56413117	57021727	265	14	0.0001838846	0.000000114325
1	57021728	58865398	824	14	-0.0000241203	0.000000325798
1	58865399	59890408	371	14	0.0001903532	0.000000167631
1	59890409	61922364	660	14	0.0000372718	0.000000344109
1	61922365	63455088	522	14	0.0000513105	0.000000277165
1	63455089	65041703	642	14	0.0000456951	0.000000270614
1	65041704	66939403	636	14	0.0000553908	0.000000274263
1	66939404	68477894	663	14	0.0001900886	0.000000271588
1	68477895	69687615	383	14	-0.0001127413	0.000000182312
1	69687616	71372469	507	14	-0.0000224914	0.000000228725
1	71372470	71684404	81	10	0.0000220386	0.000000027164
1	71684405	74326906	558	14	-0.0000922322	0.000000193545
1	74326907	76728134	711	14	0.0000509222	0.000000265615
1	76728135	79661197	922	14	0.0000587122	0.000000341682
1	79661198	81354190	470	14	0.0002070330	0.000000225010
1	81354191	83991747	965	14	0.0000587184	0.000000352291
1	83991748	84844494	304	14	-0.0001613541	0.000000105141
1	84844495	86454750	634	14	0.0000699758	0.000000309738
1	86454751	88128630	551	14	-0.0000214432	0.000000262544
1	88128631	90066302	515	14	0.0000543922	0.000000231778
1	90066303	91886316	551	14	0.0003807937	0.000000283222
1	91886317	93536458	500	14	0.0000970981	0.000000202322
1	93536459	94506190	245	14	0.0000543625	0.000000092508
1	94506191	96150892	640	14	0.0000946134	0.000000318954
1	96150893	97885248	598	14	0.0002334601	0.000000239332
1	97885249	99800603	632	14	-0.0000558827	0.000000265349
1	99800604	100826404	329	14	0.0000187479	0.000000123787
1	100826405	102041015	439	14	0.0000489591	0.000000185929
1	102041016	102898744	271	14	0.0001567794	0.000000136364
1	102898745	103914210	196	14	0.0003497587	0.000000089580
1	103914211	106087841	451	14	0.0000308369	0.000000205592
1	106087842	108409664	721	14	-0.0000400381	0.000000339366
1	108409665	110303930	552	14	0.0001054858	0.000000278921
1	110303931	111741736	560	14	0.0000292224	0.000000332449
1	111741737	113273305	691	14	0.0001154614	0.000000340644
1	113273306	114873844	497	14	-0.0000970070	0.000000239583
1	114873845	115880592	338	14	0.0000964787	0.000000134514
1	115880593	118839066	808	14	0.0000390107	0.000000335678
