chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	101	19	0.0000500057	0.0000000060
1	1892607	3582735	443	40	-0.0001709936	0.0000000149
1	3582736	4380810	277	40	-0.0000516495	0.0000000099
1	4380811	5913892	880	40	-0.0000627207	0.0000000152
1	5913893	7247334	440	40	-0.0000933340	0.0000000126
1	7247335	9365198	706	40	0.0002404726	0.0000000215
1	9365199	10806983	355	40	-0.0001640655	0.0000000087
1	10806984	11777840	261	40	-0.0000251968	0.0000000078
1	11777841	12779465	297	40	-0.0001080735	0.0000000121
1	12779466	14891510	620	40	-0.0001323990	0.0000000172
1	14891511	16897729	698	40	0.0000444965	0.0000000160
1	16897730	18662898	673	40	0.0000312037	0.0000000151
1	18662899	20469148	726	40	0.0000045109	0.0000000171
1	20469149	21736587	462	40	-0.0000114453	0.0000000125
1	21736588	23086882	527	40	-0.0000731973	0.0000000137
1	23086883	23920589	224	28	0.0000666958	0.0000000097
1	23920590	25516844	527	40	0.0000282043	0.0000000142
1	25516845	27401866	425	40	-0.0000014847	0.0000000101
1	27401867	30161880	558	40	-0.0000187899	0.0000000152
1	30161881	32438684	938	40	0.0000571596	0.0000000175
1	32438685	34799757	678	40	0.0001148477	0.0000000169
1	34799758	37549182	561	40	0.0000665759	0.0000000144
1	37549183	38731846	375	40	-0.0000089987	0.0000000099
1	38731847	40200566	448	40	-0.0000223715	0.0000000116
1	40200567	41975326	556	40	-0.0000898223	0.0000000143
1	41975327	43758456	554	40	-0.0000481943	0.0000000137
1	43758457	44969182	372	35	0.0000533789	0.0000000088
1	44969183	46899500	461	38	0.0001440044	0.0000000111
1	46899501	48002575	300	33	-0.0000213572	0.0000000076
1	48002576	48978187	346	40	-0.0000418280	0.0000000094
1	48978188	49894176	248	28	-0.0000306589	0.0000000083
1	49894177	51713725	261	25	0.0000096648	0.0000000077
1	51713726	54226261	565	40	-0.0001072968	0.0000000130
1	54226262	56413116	845	40	-0.0001114610	0.0000000150
1	56413117	57021727	275	31	-0.0000236779	0.0000000069
1	57021728	58865398	858	40	-0.0001077417	0.0000000173
1	58865399	59890408	385	40	-0.0000376881	0.0000000114
1	59890409	61922364	674	40	0.0000572875	0.0000000178
1	61922365	63455088	549	40	0.0000283313	0.0000000125
1	63455089	65041703	659	40	-0.0000532892	0.0000000132
1	65041704	66939403	655	40	0.0002617330	0.0000000194
1	66939404	68477894	693	40	0.0000667760	0.0000000138
1	68477895	69687615	390	40	-0.0001298231	0.0000000094
1	69687616	71372469	525	40	0.0000573664	0.0000000137
1	71372470	71684404	84	10	0.0000024273	0.0000000023
1	71684405	74326906	565	40	-0.0000165905	0.0000000147
1	74326907	76728134	737	40	0.0000025906	0.0000000159
1	76728135	79661197	958	40	0.0001915502	0.0000000184
1	79661198	81354190	479	40	0.0001111054	0.0000000117
1	81354191	83991747	979	40	0.0000496258	0.0000000163
1	83991748	84844494	320	36	0.0000390500	0.0000000077
1	84844495	86454750	657	40	-0.0001014401	0.0000000160
1	86454751	88128630	577	40	-0.0000045585	0.0000000145
1	88128631	90066302	529	40	-0.0000173156	0.0000000130
1	90066303	91886316	568	40	0.0000435336	0.0000000123
1	91886317	93536458	519	40	-0.0001396077	0.0000000124
1	93536459	94506190	258	27	-0.0000517225	0.0000000069
1	94506191	96150892	655	40	-0.0000452417	0.0000000159
1	96150893	97885248	610	40	0.0002030742	0.0000000160
1	97885249	99800603	645	40	-0.0001012347	0.0000000155
1	99800604	100826404	341	37	-0.0000017897	0.0000000067
1	100826405	102041015	453	40	-0.0000193317	0.0000000111
1	102041016	102898744	281	37	0.0000453492	0.0000000079
1	102898745	103914210	204	21	0.0000733508	0.0000000070
1	103914211	106087841	462	40	-0.0000576411	0.0000000127
1	106087842	108409664	732	40	0.0001206308	0.0000000176
1	108409665	110303930	577	40	-0.0000804707	0.0000000162
1	110303931	111741736	576	40	0.0001516504	0.0000000162
1	111741737	113273305	723	40	-0.0000635490	0.0000000191
1	113273306	114873844	514	40	0.0001163548	0.0000000126
1	114873845	115880592	349	37	-0.0000687971	0.0000000067
1	115880593	118839066	844	40	0.0000687815	0.0000000169
1	118839067	144977493	580	40	0.0000075568	0.0000000113
1	144977494	148361252	435	40	0.0000930038	0.0000000119
1	148361253	151538880	353	34	-0.0000178775	0.0000000103
1	151538881	153180828	479	40	0.0001986533	0.0000000101
1	153180829	154770402	464	40	0.0001688451	0.0000000114
1	154770403	156336132	307	38	0.0001321077	0.0000000108
1	156336133	158027411	600	40	-0.0000360430	0.0000000156
1	158027412	159913047	693	40	0.0000257684	0.0000000159
1	159913048	162346720	900	40	0.0000676458	0.0000000143
1	162346721	165191701	1202	40	-0.0000581675	0.0000000171
1	165191702	166460516	534	40	0.0000080747	0.0000000129
1	166460517	169086323	1120	40	0.0000824282	0.0000000164
1	169086324	170557775	573	40	0.0000736383	0.0000000110
1	170557776	173097906	920	40	0.0000027373	0.0000000177
1	173097907	175089767	416	32	-0.0000399012	0.0000000075
1	175089768	177433380	790	40	0.0000946696	0.0000000167
1	177433381	178944308	508	40	-0.0000162191	0.0000000152
1	178944309	178954469	2	1	0.0000021140	0.0000000000
1	178954470	181144120	756	40	-0.0000182701	0.0000000163
1	181144121	182755355	604	40	0.0000696618	0.0000000156
1	182755356	184595512	634	40	-0.0000570859	0.0000000174
1	184595513	186810022	525	40	-0.0000613965	0.0000000115
1	186810023	188759944	626	40	0.0000717773	0.0000000155
1	188759945	189904129	224	18	0.0000399414	0.0000000046
1	189904130	191868929	547	40	0.0001070989	0.0000000105
1	191868930	194107441	593	40	-0.0001098866	0.0000000120
1	194107442	196176200	591	40	0.0000452846	0.0000000116
1	196176201	197311513	200	16	-0.0000205916	0.0000000032
1	197311514	199239883	518	40	0.0000117706	0.0000000142
1	199239884	200137648	308	36	0.0000242350	0.0000000095
1	200137649	201589974	715	40	-0.0000298435	0.0000000155
1	201589975	203334733	616	40	-0.0001456659	0.0000000194
1	203334734	204681067	490	40	-0.0000330314	0.0000000155
1	204681068	206073264	578	40	0.0000226701	0.0000000199
1	206073265	208410363	643	40	-0.0000895953	0.0000000169
1	208410364	210787749	947	40	0.0000457407	0.0000000183
1	210787750	212842329	705	40	0.0001081186	0.0000000171
1	212842330	214578265	622	40	-0.0000084308	0.0000000151
1	214578266	216243633	601	40	-0.0000211571	0.0000000157
1	216243634	218705512	1093	40	-0.0000561311	0.0000000156
1	218705513	219590570	289	35	0.0000116069	0.0000000071
1	219590571	221858230	700	40	-0.0000322876	0.0000000144
1	221858231	222230219	178	21	0.0000682390	0.0000000058
1	222230220	224938519	504	40	0.0000321391	0.0000000131
1	224938520	226810859	524	40	0.0000665984	0.0000000141
1	226810860	229156247	708	40	-0.0000569502	0.0000000147
1	229156248	230685254	544	40	-0.0000230340	0.0000000146
1	230685255	232090251	597	40	-0.0001547368	0.0000000162
1	232090252	233429283	611	40	0.0000429147	0.0000000156
1	233429284	234599433	543	40	0.0001002539	0.0000000135
1	234599434	235819435	390	40	-0.0000619918	0.0000000118
1	235819436	237555627	735	40	-0.0000561553	0.0000000158
1	237555628	238567806	438	40	-0.0000815772	0.0000000111
1	238567807	239925313	501	40	-0.0000495760	0.0000000132
1	239925314	240564090	346	40	-0.0000307701	0.0000000108
