chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	77	14	0.0002412996	0.000000054583
1	1892607	3582735	368	14	0.0000929262	0.000000222270
1	3582736	4380810	237	14	0.0000958578	0.000000138561
1	4380811	5913892	849	14	0.0000829906	0.000000348979
1	5913893	7247334	357	14	-0.0000295866	0.000000186108
1	7247335	9365198	640	14	0.0001012703	0.000000350244
1	9365199	10806983	297	14	-0.0000083066	0.000000141485
1	10806984	11777840	220	14	-0.0000927865	0.000000113089
1	11777841	12779465	188	14	-0.0000234277	0.000000105406
1	12779466	14891510	570	14	0.0004504871	0.000000363299
1	14891511	16897729	592	14	0.0000462104	0.000000316503
1	16897730	18662898	569	14	0.0002211527	0.000000334844
1	18662899	20469148	626	14	0.0002275320	0.000000358985
1	20469149	21736587	394	14	0.0001336669	0.000000211461
1	21736588	23086882	445	14	0.0000154762	0.000000254262
1	23086883	23920589	182	14	0.0001094646	0.000000100283
1	23920590	25516844	444	14	0.0000531421	0.000000258343
1	25516845	27401866	307	14	-0.0000118683	0.000000144611
1	27401867	30161880	485	14	-0.0000718726	0.000000228352
1	30161881	32438684	870	14	0.0001807390	0.000000355746
1	32438685	34799757	608	14	0.0000848175	0.000000331694
1	34799758	37549182	510	14	0.0000527489	0.000000265780
1	37549183	38731846	323	14	0.0001745891	0.000000177840
1	38731847	40200566	391	14	0.0002800325	0.000000223651
1	40200567	41975326	499	14	0.0003330678	0.000000259142
1	41975327	43758456	477	14	0.0003109032	0.000000240139
1	43758457	44969182	303	14	0.0000631562	0.000000141672
1	44969183	46899500	370	14	0.0003722633	0.000000161471
1	46899501	48002575	256	14	-0.0000058456	0.000000113124
1	48002576	48978187	330	14	0.0000080414	0.000000170569
1	48978188	49894176	230	14	-0.0001380388	0.000000104751
1	49894177	51713725	245	14	0.0000849780	0.000000089693
1	51713726	54226261	493	14	0.0002083934	0.000000272766
1	54226262	56413116	738	14	0.0000747370	0.000000348407
1	56413117	57021727	246	14	0.0003336344	0.000000131078
1	57021728	58865398	821	14	0.0001044446	0.000000350464
1	58865399	59890408	354	14	0.0000005643	0.000000166606
1	59890409	61922364	632	14	-0.0000247278	0.000000339136
1	61922365	63455088	429	14	0.0000933746	0.000000240452
1	63455089	65041703	620	14	-0.0000409760	0.000000270597
1	65041704	66939403	602	14	0.0001825291	0.000000292830
1	66939404	68477894	630	14	0.0001330696	0.000000279580
1	68477895	69687615	370	14	0.0000631543	0.000000185464
1	69687616	71372469	489	14	-0.0000565196	0.000000225032
1	71372470	71684404	77	10	0.0000843186	0.000000033156
1	71684405	74326906	506	14	0.0002731869	0.000000220329
1	74326907	76728134	647	14	-0.0000281637	0.000000261702
1	76728135	79661197	878	14	-0.0001921798	0.000000329930
1	79661198	81354190	466	14	0.0002294178	0.000000235984
1	81354191	83991747	937	14	0.0001570878	0.000000354108
1	83991748	84844494	305	14	0.0001098635	0.000000128908
1	84844495	86454750	592	14	0.0000214074	0.000000300842
1	86454751	88128630	516	14	0.0002808583	0.000000279254
1	88128631	90066302	484	14	0.0001553421	0.000000243984
1	90066303	91886316	538	14	0.0001006374	0.000000261615
1	91886317	93536458	453	14	0.0002768637	0.000000212069
1	93536459	94506190	224	14	0.0001600185	0.000000096712
1	94506191	96150892	609	14	0.0000238906	0.000000305646
1	96150893	97885248	578	14	-0.0000120456	0.000000228819
1	97885249	99800603	623	14	0.0001862814	0.000000284758
1	99800604	100826404	300	14	0.0003405869	0.000000149304
1	100826405	102041015	421	14	0.0000305955	0.000000193757
1	102041016	102898744	272	14	0.0000523888	0.000000119720
1	102898745	103914210	179	14	-0.0000185033	0.000000068180
1	103914211	106087841	447	14	-0.0000536864	0.000000202158
1	106087842	108409664	703	14	0.0000291367	0.000000345251
1	108409665	110303930	400	14	0.0005551499	0.000000222710
1	110303931	111741736	512	14	0.0001716180	0.000000297407
1	111741737	113273305	627	14	0.0000458675	0.000000330574
1	113273306	114873844	472	14	0.0001165672	0.000000238395
1	114873845	115880592	306	14	0.0000747975	0.000000135789
1	115880593	118839066	746	14	0.0002355959	0.000000359543
1	118839067	144977493	467	14	0.0000097389	0.000000230318
1	144977494	148361252	373	14	-0.0000206230	0.000000179021
1	148361253	151538880	251	14	0.0002143484	0.000000123587
1	151538881	153180828	405	14	0.0002299261	0.000000183011
1	153180829	154770402	371	14	0.0002938244	0.000000199886
1	154770403	156336132	218	14	0.0001559456	0.000000124171
1	156336133	158027411	489	14	0.0000580008	0.000000249781
1	158027412	159913047	562	14	-0.0000539890	0.000000297177
1	159913048	162346720	641	14	0.0002922715	0.000000363467
1	162346721	165191701	1134	14	0.0002711769	0.000000362006
1	165191702	166460516	501	14	-0.0001577487	0.000000258777
1	166460517	169086323	1015	14	0.0000647524	0.000000347716
1	169086324	170557775	432	14	0.0000010194	0.000000189614
1	170557776	173097906	754	14	0.0000400337	0.000000346005
1	173097907	175089767	378	14	0.0000234258	0.000000116431
1	175089768	177433380	722	14	0.0002096713	0.000000348220
1	177433381	178944308	409	14	0.0000785267	0.000000188616
1	178944309	178954469	2	1	-0.0000167409	0.000000000014
1	178954470	181144120	652	14	0.0000649153	0.000000313129
1	181144121	182755355	560	14	0.0001804317	0.000000314139
1	182755356	184595512	559	14	0.0000348603	0.000000254854
1	184595513	186810022	461	14	0.0000358969	0.000000203324
1	186810023	188759944	602	14	0.0000563014	0.000000270525
1	188759945	189904129	218	14	-0.0000196651	0.000000071225
1	189904130	191868929	521	14	0.0001791962	0.000000205366
1	191868930	194107441	560	14	0.0000793815	0.000000251992
1	194107442	196176200	569	14	0.0000979017	0.000000233469
1	196176201	197311513	163	14	-0.0000804235	0.000000051580
1	197311514	199239883	485	14	0.0001053621	0.000000232529
1	199239884	200137648	290	14	0.0001515013	0.000000143032
1	200137649	201589974	595	14	-0.0000657806	0.000000316572
1	201589975	203334733	529	14	0.0004993021	0.000000324611
1	203334734	204681067	406	14	0.0000698012	0.000000218522
1	204681068	206073264	476	14	0.0002400709	0.000000266018
1	206073265	208410363	521	14	0.0003750629	0.000000315270
1	208410364	210787749	869	14	0.0004503280	0.000000374408
1	210787750	212842329	649	14	0.0000141350	0.000000344212
1	212842330	214578265	545	14	0.0005286172	0.000000333554
1	214578266	216243633	554	14	0.0002336180	0.000000291045
1	216243634	218705512	1042	14	0.0001139049	0.000000351119
1	218705513	219590570	269	14	-0.0000816677	0.000000114506
1	219590571	221858230	618	14	0.0001487677	0.000000313498
1	221858231	222230219	166	14	-0.0000266213	0.000000082088
1	222230220	224938519	427	14	0.0001148461	0.000000220180
1	224938520	226810859	446	14	0.0000257652	0.000000219096
1	226810860	229156247	590	14	-0.0000295748	0.000000278958
1	229156248	230685254	443	14	0.0002892883	0.000000269407
1	230685255	232090251	517	14	0.0000357630	0.000000276645
1	232090252	233429283	568	14	0.0002209405	0.000000337181
1	233429284	234599433	500	14	0.0000345558	0.000000277317
1	234599434	235819435	347	14	0.0000717208	0.000000192356
1	235819436	237555627	644	14	-0.0000154339	0.000000342165
1	237555628	238567806	388	14	-0.0000630518	0.000000202229
1	238567807	239925313	475	14	0.0000013587	0.000000257010
1	239925314	240564090	323	14	0.0000297377	0.000000169294
1	240564091	241582219	497	14	0.0002921645	0.000000323403
1	241582220	242071601	193	14	0.0000604704	0.000000111782
1	242071602	244109498	609	14	-0.0000782003	0.000000322780
1	244109499	245506745	485	14	0.0002300398	0.000000297629
1	245506746	247344517	662	14	0.0000564007	0.000000347138
1	247344518	249239465	336	14	0.0000668795	0.000000182233
2	10133	1781021	565	14	0.0002108453	0.000000319334
2	1781022	3973778	905	14	0.0000954082	0.000000349838
2	3973779	5708336	616	14	0.0001135640	0.000000351095
2	5708337	6836253	552	14	0.0002220737	0.000000294039
2	6836254	8422146	639	14	0.0001093683	0.000000347622
2	8422147	10298468	601	14	-0.0000262077	0.000000340623
2	10298469	12419149	887	14	0.0000289812	0.000000345240
2	12419150	14335307	573	14	-0.0000556261	0.000000286309
2	14335308	16329734	710	14	-0.0000610536	0.000000339007
2	16329735	18647422	816	14	0.0001235612	0.000000351787
2	18647423	19692403	374	14	0.0000890150	0.000000196356
2	19692404	21050489	582	14	-0.0000331764	0.000000303251
2	21050490	23341382	550	14	-0.0001172757	0.000000300541
2	23341383	24686917	395	14	0.0001826441	0.000000211979
2	24686918	26894984	457	14	0.0001838199	0.000000242291
2	26894985	28598776	242	14	0.0012340395	0.000000196472
2	28598777	29217558	202	14	0.0001474992	0.000000109303
