chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	104	20	-0.0000122431	0.0000000215
1	1892607	3582735	442	40	-0.0001380542	0.0000000677
1	3582736	4380810	277	40	0.0000890778	0.0000000405
1	4380811	5913892	894	40	0.0000915760	0.0000000749
1	5913893	7247334	406	40	0.0002206002	0.0000000502
1	7247335	9365198	710	40	0.0001651080	0.0000000789
1	9365199	10806983	345	40	0.0002492460	0.0000000412
1	10806984	11777840	266	40	-0.0003150864	0.0000000384
1	11777841	12779465	244	40	-0.0001369832	0.0000000389
1	12779466	14891510	623	40	-0.0002433570	0.0000000735
1	14891511	16897729	711	40	0.0000206329	0.0000000811
1	16897730	18662898	662	40	-0.0001397743	0.0000000795
1	18662899	20469148	734	40	0.0003233499	0.0000000787
1	20469149	21736587	444	40	0.0000500118	0.0000000522
1	21736588	23086882	511	40	0.0002475983	0.0000000700
1	23086883	23920589	213	27	-0.0000313635	0.0000000280
1	23920590	25516844	520	40	0.0000913410	0.0000000668
1	25516845	27401866	392	40	0.0000047364	0.0000000422
1	27401867	30161880	552	40	0.0002443181	0.0000000594
1	30161881	32438684	953	40	-0.0000655972	0.0000000752
1	32438685	34799757	684	40	0.0000650232	0.0000000742
1	34799758	37549182	575	40	0.0001285539	0.0000000697
1	37549183	38731846	369	40	0.0000894321	0.0000000467
1	38731847	40200566	441	40	0.0001920898	0.0000000551
1	40200567	41975326	546	40	0.0000121504	0.0000000597
1	41975327	43758456	567	40	-0.0000863926	0.0000000599
1	43758457	44969182	366	35	-0.0000612589	0.0000000369
1	44969183	46899500	447	39	-0.0000362568	0.0000000419
1	46899501	48002575	296	33	-0.0003145992	0.0000000283
1	48002576	48978187	349	40	0.0002492685	0.0000000397
1	48978188	49894176	245	28	0.0001639574	0.0000000312
1	49894177	51713725	256	26	0.0000182936	0.0000000223
1	51713726	54226261	547	40	0.0000864809	0.0000000653
1	54226262	56413116	842	40	0.0000907152	0.0000000749
1	56413117	57021727	263	31	-0.0000668520	0.0000000292
1	57021728	58865398	884	40	0.0001608797	0.0000000728
1	58865399	59890408	396	40	0.0001077258	0.0000000429
1	59890409	61922364	675	40	0.0000979612	0.0000000734
1	61922365	63455088	516	40	0.0000617388	0.0000000607
1	63455089	65041703	672	40	0.0000725879	0.0000000630
1	65041704	66939403	646	40	-0.0000597216	0.0000000648
1	66939404	68477894	689	40	0.0003672657	0.0000000624
1	68477895	69687615	388	40	-0.0002142724	0.0000000422
1	69687616	71372469	536	40	0.0000555053	0.0000000545
1	71372470	71684404	83	10	-0.0001085248	0.0000000085
1	71684405	74326906	546	40	-0.0000866524	0.0000000471
1	74326907	76728134	720	40	-0.0001512649	0.0000000603
1	76728135	79661197	959	40	-0.0000122097	0.0000000725
1	79661198	81354190	492	40	0.0000903906	0.0000000557
1	81354191	83991747	1000	40	0.0000590684	0.0000000767
1	83991748	84844494	320	36	-0.0000744322	0.0000000315
1	84844495	86454750	654	40	-0.0003691261	0.0000000686
1	86454751	88128630	586	40	0.0000316082	0.0000000597
1	88128631	90066302	535	40	-0.0001410767	0.0000000573
1	90066303	91886316	573	40	-0.0001519972	0.0000000646
1	91886317	93536458	499	40	0.0000804864	0.0000000466
1	93536459	94506190	248	27	-0.0000152149	0.0000000245
1	94506191	96150892	673	40	0.0000401717	0.0000000729
1	96150893	97885248	616	40	0.0001217340	0.0000000571
1	97885249	99800603	653	40	0.0000376871	0.0000000700
1	99800604	100826404	330	37	-0.0002603822	0.0000000329
1	100826405	102041015	448	40	-0.0003017106	0.0000000499
1	102041016	102898744	286	37	-0.0001076566	0.0000000381
1	102898745	103914210	198	21	0.0000195926	0.0000000250
1	103914211	106087841	477	40	-0.0000470998	0.0000000462
1	106087842	108409664	749	40	-0.0000789515	0.0000000714
1	108409665	110303930	494	40	-0.0001196413	0.0000000611
1	110303931	111741736	580	40	-0.0001849412	0.0000000740
1	111741737	113273305	708	40	-0.0000389072	0.0000000779
1	113273306	114873844	521	40	-0.0001961701	0.0000000550
1	114873845	115880592	335	37	-0.0000033192	0.0000000343
1	115880593	118839066	870	40	-0.0000375755	0.0000000747
1	118839067	144977493	531	40	-0.0001908881	0.0000000636
1	144977494	148361252	440	40	-0.0001520537	0.0000000437
1	148361253	151538880	310	30	-0.0000582755	0.0000000317
1	151538881	153180828	487	40	-0.0002487588	0.0000000445
1	153180829	154770402	451	40	0.0002171599	0.0000000500
1	154770403	156336132	290	37	0.0002084294	0.0000000413
1	156336133	158027411	604	40	0.0002928842	0.0000000728
1	158027412	159913047	697	40	0.0000064994	0.0000000819
1	159913048	162346720	799	40	-0.0000847523	0.0000000814
1	162346721	165191701	1231	40	0.0000171713	0.0000000744
1	165191702	166460516	566	40	-0.0000485755	0.0000000638
1	166460517	169086323	1157	40	-0.0000285626	0.0000000756
1	169086324	170557775	509	40	0.0000448038	0.0000000468
1	170557776	173097906	888	40	0.0003322727	0.0000000836
1	173097907	175089767	427	32	0.0000656494	0.0000000304
1	175089768	177433380	833	40	-0.0000773140	0.0000000777
1	177433381	178944308	487	40	0.0000083658	0.0000000470
1	178944309	178954469	2	1	-0.0000112031	0.0000000002
