chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	18	0.0001168461	0.000000002072
1	1892607	3582735	439	40	0.0008023050	0.000000011119
1	3582736	4380810	272	40	0.0002370354	0.000000004294
1	4380811	5913892	869	40	0.0000628367	0.000000005001
1	5913893	7247334	428	40	0.0001528481	0.000000004396
1	7247335	9365198	699	40	0.0003767562	0.000000007657
1	9365199	10806983	351	40	0.0003685034	0.000000005464
1	10806984	11777840	258	40	0.0002779966	0.000000004459
1	11777841	12779465	282	40	0.0000758139	0.000000003056
1	12779466	14891510	618	40	0.0001965374	0.000000006229
1	14891511	16897729	690	40	0.0001245098	0.000000005595
1	16897730	18662898	664	40	0.0005856836	0.000000009603
1	18662899	20469148	711	40	0.0004013145	0.000000007970
1	20469149	21736587	461	40	0.0004932461	0.000000007322
1	21736588	23086882	523	40	0.0003815891	0.000000007231
1	23086883	23920589	222	28	0.0005037187	0.000000005754
1	23920590	25516844	521	40	0.0003885537	0.000000007254
1	25516845	27401866	413	40	0.0006974260	0.000000008470
1	27401867	30161880	552	40	0.0003364108	0.000000006381
1	30161881	32438684	936	40	0.0004082737	0.000000007892
1	32438685	34799757	675	40	0.0001987378	0.000000006172
1	34799758	37549182	553	40	0.0002469051	0.000000005971
1	37549183	38731846	371	40	0.0004106580	0.000000005941
1	38731847	40200566	447	40	0.0001717942	0.000000004581
1	40200567	41975326	555	40	0.0007233552	0.000000009542
1	41975327	43758456	542	40	0.0004466982	0.000000006913
1	43758457	44969182	371	35	0.0001381137	0.000000003362
1	44969183	46899500	458	38	0.0004410257	0.000000005859
1	46899501	48002575	297	33	0.0004581764	0.000000005625
1	48002576	48978187	344	40	0.0003074984	0.000000004929
1	48978188	49894176	247	28	0.0000299937	0.000000001958
1	49894177	51713725	260	25	0.0002839825	0.000000003661
1	51713726	54226261	563	40	0.0004230212	0.000000007304
1	54226262	56413116	837	40	0.0003133179	0.000000007130
1	56413117	57021727	272	31	0.0002334176	0.000000003560
1	57021728	58865398	850	40	0.0001675656	0.000000005858
1	58865399	59890408	383	40	0.0001967423	0.000000004029
1	59890409	61922364	671	40	0.0002161656	0.000000006256
1	61922365	63455088	534	40	0.0001991555	0.000000005393
1	63455089	65041703	656	40	0.0001698609	0.000000005167
1	65041704	66939403	649	40	0.0003841983	0.000000007102
1	66939404	68477894	687	40	0.0003462610	0.000000006646
1	68477895	69687615	389	40	0.0001086801	0.000000003514
1	69687616	71372469	520	40	0.0001758468	0.000000004720
1	71372470	71684404	82	10	0.0000459295	0.000000000809
1	71684405	74326906	559	40	0.0001536218	0.000000004143
1	74326907	76728134	726	40	0.0003433072	0.000000006594
1	76728135	79661197	947	40	0.0003406984	0.000000007323
1	79661198	81354190	475	40	0.0001358730	0.000000004120
1	81354191	83991747	972	40	0.0001571825	0.000000005735
1	83991748	84844494	314	35	0.0001905113	0.000000003379
1	84844495	86454750	652	40	0.0003377925	0.000000006992
1	86454751	88128630	572	40	0.0003482218	0.000000006677
1	88128631	90066302	523	40	0.0004751614	0.000000007249
1	90066303	91886316	562	40	0.0001656329	0.000000004973
1	91886317	93536458	508	40	0.0004959020	0.000000006963
1	93536459	94506190	255	26	0.0002011504	0.000000003111
1	94506191	96150892	651	40	0.0002823631	0.000000006552
1	96150893	97885248	605	40	0.0001852962	0.000000004708
1	97885249	99800603	640	40	0.0001251825	0.000000004730
1	99800604	100826404	339	37	0.0001171455	0.000000002843
1	100826405	102041015	447	40	0.0002050258	0.000000004410
1	102041016	102898744	278	36	0.0001564423	0.000000003064
1	102898745	103914210	200	21	0.0003871707	0.000000004283
1	103914211	106087841	455	40	0.0001629189	0.000000004221
1	106087842	108409664	726	40	0.0000690241	0.000000005020
