chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	20	0.0001008491	0.000000032145
1	1892607	3582735	444	22	0.0001740717	0.000000117586
1	3582736	4380810	273	22	0.0001788349	0.000000068655
1	4380811	5913892	855	22	0.0000866080	0.000000124609
1	5913893	7247334	426	22	0.0002346389	0.000000091437
1	7247335	9365198	698	22	0.0002307510	0.000000132138
1	9365199	10806983	349	22	0.0002029715	0.000000069271
1	10806984	11777840	253	22	0.0001544454	0.000000059068
1	11777841	12779465	281	22	0.0002412288	0.000000062725
1	12779466	14891510	614	22	0.0001299957	0.000000127234
1	14891511	16897729	687	22	0.0001422754	0.000000130069
1	16897730	18662898	669	22	0.0000323295	0.000000125371
1	18662899	20469148	715	22	0.0000069225	0.000000125186
1	20469149	21736587	458	22	0.0000477082	0.000000086471
1	21736588	23086882	520	22	-0.0000397329	0.000000107810
1	23086883	23920589	220	22	0.0001783790	0.000000045399
1	23920590	25516844	520	22	0.0002322840	0.000000116791
1	25516845	27401866	412	22	0.0000307526	0.000000065823
1	27401867	30161880	549	22	-0.0000044901	0.000000094611
1	30161881	32438684	926	22	0.0001684767	0.000000127674
1	32438685	34799757	669	22	0.0001609881	0.000000130242
1	34799758	37549182	559	22	0.0003070511	0.000000118159
1	37549183	38731846	361	22	0.0001687892	0.000000071401
1	38731847	40200566	445	22	0.0000181901	0.000000080700
1	40200567	41975326	551	22	0.0000811116	0.000000095390
1	41975327	43758456	540	22	0.0004229487	0.000000103445
1	43758457	44969182	366	22	0.0002367719	0.000000067570
1	44969183	46899500	455	22	0.0000674136	0.000000059034
1	46899501	48002575	291	22	0.0001063964	0.000000050432
1	48002576	48978187	342	22	0.0000822134	0.000000065665
1	48978188	49894176	246	22	0.0002965593	0.000000056346
1	49894177	51713725	255	22	0.0002191449	0.000000041328
1	51713726	54226261	560	22	0.0000108066	0.000000100740
1	54226262	56413116	832	22	0.0000361950	0.000000119275
1	56413117	57021727	272	22	0.0002941226	0.000000049947
1	57021728	58865398	846	22	0.0002660554	0.000000131539
1	58865399	59890408	383	22	0.0001204810	0.000000067275
1	59890409	61922364	667	22	0.0000924213	0.000000122904
1	61922365	63455088	533	22	0.0002092557	0.000000096640
1	63455089	65041703	657	22	0.0000944452	0.000000106607
1	65041704	66939403	639	22	0.0003775957	0.000000119791
1	66939404	68477894	678	22	0.0001045867	0.000000104689
1	68477895	69687615	372	22	0.0002020849	0.000000074839
1	69687616	71372469	513	22	0.0000921619	0.000000089722
1	71372470	71684404	82	10	0.0000178389	0.000000011759
1	71684405	74326906	556	22	0.0005234323	0.000000089260
1	74326907	76728134	711	22	0.0001233529	0.000000100795
1	76728135	79661197	944	22	0.0003887805	0.000000135285
1	79661198	81354190	468	22	0.0001026910	0.000000082722
1	81354191	83991747	962	22	0.0001171415	0.000000122579
1	83991748	84844494	312	22	0.0002554022	0.000000056419
1	84844495	86454750	645	22	0.0000837226	0.000000113976
1	86454751	88128630	568	22	0.0001710537	0.000000107782
1	88128631	90066302	516	22	0.0000898455	0.000000087894
1	90066303	91886316	561	22	0.0001519418	0.000000100803
1	91886317	93536458	509	22	0.0001929075	0.000000080213
1	93536459	94506190	254	22	0.0001591820	0.000000042444
1	94506191	96150892	640	22	-0.0000422524	0.000000107744
1	96150893	97885248	601	22	0.0002987735	0.000000096132
1	97885249	99800603	639	22	0.0000813053	0.000000102067
1	99800604	100826404	311	22	0.0002099233	0.000000056092
1	100826405	102041015	444	22	0.0001730968	0.000000078063
1	102041016	102898744	273	22	0.0000928227	0.000000049055
1	102898745	103914210	200	21	0.0000192234	0.000000029468
1	103914211	106087841	448	22	0.0000693634	0.000000078172
1	106087842	108409664	725	22	0.0001451506	0.000000125567
1	108409665	110303930	561	22	0.0003389616	0.000000093867
1	110303931	111741736	567	22	0.0000946049	0.000000115494
1	111741737	113273305	718	22	0.0003411858	0.000000133446
1	113273306	114873844	507	22	0.0000510798	0.000000092478
1	114873845	115880592	344	22	0.0001391821	0.000000057015
1	115880593	118839066	816	22	0.0000702286	0.000000122648
1	118839067	144977493	562	22	0.0001450612	0.000000084357
1	144977494	148361252	431	22	0.0001554505	0.000000077493
1	148361253	151538880	350	22	0.0000978984	0.000000056987
1	151538881	153180828	463	22	-0.0000695973	0.000000063279
1	153180829	154770402	460	22	0.0000233674	0.000000077337
1	154770403	156336132	305	22	0.0003459062	0.000000068954
1	156336133	158027411	599	22	0.0001238581	0.000000114905
1	158027412	159913047	678	22	0.0000337384	0.000000121972
1	159913048	162346720	872	22	0.0000591973	0.000000110025
1	162346721	165191701	1195	22	-0.0000337474	0.000000118069
1	165191702	166460516	528	22	-0.0000396394	0.000000099770
1	166460517	169086323	1091	22	-0.0000254827	0.000000121795
1	169086324	170557775	556	22	0.0003424048	0.000000088578
1	170557776	173097906	899	22	0.0000720780	0.000000117181
1	173097907	175089767	410	22	0.0001240114	0.000000049401
1	175089768	177433380	784	22	0.0002513774	0.000000130844
1	177433381	178944308	491	22	0.0002739545	0.000000079592
1	178944309	178954469	2	1	0.0000387598	0.000000002570
1	178954470	181144120	747	22	0.0002058048	0.000000127271
1	181144121	182755355	598	22	0.0000908558	0.000000113758
1	182755356	184595512	627	22	-0.0000159172	0.000000095519
1	184595513	186810022	522	22	-0.0000734259	0.000000075276
1	186810023	188759944	617	22	0.0001238280	0.000000100288
1	188759945	189904129	218	17	0.0002643907	0.000000038095
1	189904130	191868929	537	22	0.0001093451	0.000000072544
1	191868930	194107441	570	22	0.0001605667	0.000000096497
1	194107442	196176200	569	22	0.0000082511	0.000000080679
1	196176201	197311513	195	16	0.0001346634	0.000000029910
1	197311514	199239883	502	22	0.0003147841	0.000000094671
1	199239884	200137648	295	22	0.0000581500	0.000000050879
1	200137649	201589974	702	22	0.0000429558	0.000000123840
1	201589975	203334733	616	22	0.0002168238	0.000000130203
1	203334734	204681067	485	22	0.0002066926	0.000000098275
1	204681068	206073264	571	22	0.0002422701	0.000000116491
1	206073265	208410363	631	22	-0.0000147409	0.000000117427
1	208410364	210787749	925	22	0.0001874353	0.000000128152
1	210787750	212842329	683	22	0.0001323632	0.000000123198
1	212842330	214578265	607	22	0.0000589034	0.000000115382
1	214578266	216243633	576	22	0.0000945232	0.000000105966
1	216243634	218705512	1073	22	0.0000815877	0.000000121821
1	218705513	219590570	281	22	0.0001017676	0.000000047136
1	219590571	221858230	676	22	0.0003262529	0.000000121024
1	221858231	222230219	173	21	0.0001253069	0.000000037251
1	222230220	224938519	452	22	0.0000339398	0.000000080089
1	224938520	226810859	514	22	0.0000293060	0.000000087298
1	226810860	229156247	688	22	0.0003571590	0.000000126447
1	229156248	230685254	530	22	0.0001272992	0.000000097118
1	230685255	232090251	589	22	0.0001681259	0.000000111870
1	232090252	233429283	595	22	0.0000607949	0.000000123626
1	233429284	234599433	531	22	0.0001419792	0.000000109963
1	234599434	235819435	386	22	0.0001195435	0.000000082861
1	235819436	237555627	725	22	-0.0000549113	0.000000122289
1	237555628	238567806	424	22	0.0000425646	0.000000082786
1	238567807	239925313	490	22	0.0000094683	0.000000094737
1	239925314	240564090	343	22	0.0000150688	0.000000065469
1	240564091	241582219	519	22	0.0001708128	0.000000127623
1	241582220	242071601	218	22	0.0001818533	0.000000053331
1	242071602	244109498	619	22	0.0001774098	0.000000124483
1	244109499	245506745	517	22	0.0002196271	0.000000122480
1	245506746	247344517	709	22	0.0000914618	0.000000129676
1	247344518	249239465	396	22	-0.0000526082	0.000000074574
2	10133	1781021	654	22	0.0004941214	0.000000128064
2	1781022	3973778	957	22	0.0000448491	0.000000124101
2	3973779	5708336	630	22	0.0000744914	0.000000124032
2	5708337	6836253	554	22	0.0001273594	0.000000103911
2	6836254	8422146	649	22	0.0001351791	0.000000126580
2	8422147	10298468	671	22	-0.0000385634	0.000000122579
2	10298469	12419149	970	22	-0.0000075080	0.000000122603
2	12419150	14335307	594	22	0.0000936774	0.000000108784
2	14335308	16329734	739	22	-0.0000130689	0.000000118277
2	16329735	18647422	848	22	0.0001753933	0.000000127269
2	18647423	19692403	385	22	0.0003474244	0.000000083596
2	19692404	21050489	639	22	0.0001072941	0.000000117667
2	21050490	23341382	614	22	0.0001379497	0.000000111067
2	23341383	24686917	428	22	-0.0000059510	0.000000071213
2	24686918	26894984	551	22	0.0006361610	0.000000120907
2	26894985	28598776	414	22	0.0002680264	0.000000054963
2	28598777	29217558	247	22	0.0000065582	0.000000041761
2	29217559	30463710	634	22	0.0002310100	0.000000130788
2	30463711	31550449	532	22	0.0000440661	0.000000109902
2	31550450	33363776	494	22	0.0001519128	0.000000109397
2	33363777	35345027	803	22	0.0000814134	0.000000124667
2	35345028	36122005	290	22	0.0001693402	0.000000057322
2	36122006	38132711	925	22	0.0001352906	0.000000124683
2	38132712	39031336	322	22	-0.0000549030	0.000000064689
2	39031337	40281482	298	22	0.0000539413	0.000000060205
2	40281483	43309589	1299	22	0.0003399594	0.000000125979
2	43309590	44313802	402	22	0.0001843186	0.000000071860
2	44313803	46482633	1063	22	0.0001662928	0.000000124344
2	46482634	47318771	415	22	0.0001903844	0.000000101816
2	47318772	48213000	299	22	0.0003350374	0.000000085270
2	48213001	50022256	710	22	0.0001335097	0.000000124173
2	50022257	50818927	344	22	-0.0000379335	0.000000062415
2	50818928	52491132	640	22	0.0001269607	0.000000120655
2	52491133	53508451	465	22	0.0000402757	0.000000088144
2	53508452	54685225	430	22	0.0002174667	0.000000091311
2	54685226	56203344	605	22	-0.0000258610	0.000000110676
2	56203345	57429099	427	22	-0.0000729449	0.000000079284
2	57429100	58297314	272	22	0.0001496466	0.000000056226
2	58297315	60291999	736	22	0.0003626206	0.000000130582
2	60292000	62429043	582	22	0.0002742130	0.000000121599
2	62429044	64625912	581	22	0.0001086644	0.000000111586
2	64625913	65933443	461	22	0.0002216392	0.000000098714
2	65933444	67226165	542	22	-0.0000058247	0.000000094307
2	67226166	68010175	417	22	0.0003101479	0.000000085618
2	68010176	69139563	469	22	-0.0000002710	0.000000079782
2	69139564	70755197	527	22	0.0003374594	0.000000101361
2	70755198	73174847	796	22	0.0001465354	0.000000129232
2	73174848	75630085	721	22	0.0000792525	0.000000124948
2	75630086	76913660	510	22	0.0001532701	0.000000099643
2	76913661	78079263	385	22	-0.0000826876	0.000000079221
2	78079264	80050402	822	22	0.0000281342	0.000000117892
2	80050403	81620840	579	22	0.0001440827	0.000000121149
2	81620841	85140679	882	22	-0.0000636907	0.000000098316
2	85140680	88038506	629	22	0.0003984102	0.000000114363
2	88038507	89154525	242	22	0.0000213415	0.000000039765
2	89154526	95326451	4	2	0.0001411527	0.000000009921
2	95326452	98995200	426	22	0.0000933951	0.000000071750
2	98995201	101822328	907	22	0.0001690414	0.000000125039
2	101822329	102688764	261	22	0.0000501595	0.000000041375
2	102688765	103588214	402	22	-0.0000684380	0.000000047928
2	103588215	105125033	301	22	0.0003383944	0.000000067090
2	105125034	106210057	406	22	0.0000103556	0.000000077146
2	106210058	107408266	442	22	0.0002437690	0.000000085893
2	107408267	108429176	342	22	0.0002329034	0.000000058974
2	108429177	110572431	521	22	0.0000583383	0.000000090365
2	110572432	113921855	801	22	0.0002216570	0.000000127664
2	113921856	116772469	748	22	-0.0000389868	0.000000117519
2	116772470	118367465	393	22	0.0001172659	0.000000060026
2	118367466	121303782	988	22	-0.0000275472	0.000000118811
2	121303783	123302905	581	22	0.0000849637	0.000000111798
2	123302906	124732249	430	22	0.0000436696	0.000000061615
2	124732250	125840920	378	22	0.0001204334	0.000000067865
2	125840921	127373763	408	22	0.0002609712	0.000000065862
2	127373764	128034346	286	22	0.0002158116	0.000000059610
2	128034347	129474440	427	22	0.0000284418	0.000000070978
2	129474441	130067169	220	22	-0.0000307139	0.000000031029
2	130067170	130658084	203	22	0.0000853304	0.000000037119
2	130658085	133042783	210	22	0.0000780630	0.000000046438
2	133042784	135158577	912	22	0.0002090142	0.000000127951
2	135158578	137042793	447	22	0.0003763023	0.000000076669
2	137042794	138698116	587	22	0.0002452566	0.000000107652
2	138698117	140100270	432	22	0.0001148882	0.000000063598
2	140100271	141805350	563	22	0.0000952773	0.000000102639
2	141805351	142518601	293	22	0.0001767966	0.000000061677
2	142518602	144519483	645	22	0.0000435976	0.000000109401
2	144519484	146445569	436	22	0.0001045090	0.000000079212
2	146445570	147277161	146	15	0.0000817740	0.000000026952
2	147277162	150210291	660	22	0.0003630124	0.000000114082
2	150210292	151731461	462	22	0.0001027581	0.000000084039
2	151731462	152486781	286	22	0.0002691053	0.000000053271
2	152486782	154005055	478	22	0.0001307876	0.000000086836
2	154005056	155391134	482	22	0.0004101006	0.000000101295
2	155391135	157560634	554	22	0.0001205354	0.000000097635
2	157560635	158533217	170	22	-0.0000258358	0.000000035564
2	158533218	159577081	326	22	0.0000553247	0.000000058401
2	159577082	161769732	718	22	0.0001770076	0.000000118144
2	161769733	163503550	383	22	0.0003269457	0.000000069023
2	163503551	164466637	189	22	0.0001883956	0.000000040033
2	164466638	165178839	176	21	0.0000922643	0.000000031937
2	165178840	167160269	629	22	0.0004079167	0.000000113040
2	167160270	167355969	72	10	0.0000337955	0.000000013082
2	167355970	169968235	817	22	0.0002751193	0.000000122005
2	169968236	171226244	485	22	0.0000951696	0.000000088163
2	171226245	173138904	571	22	0.0001367134	0.000000111802
2	173138905	175588928	826	22	0.0000972303	0.000000122148
2	175588929	177363635	529	22	0.0001173219	0.000000094445
2	177363636	178553182	463	22	0.0001912609	0.000000082574
2	178553183	181312738	987	22	0.0000597674	0.000000119649
