chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	18	0.0001519746	0.000000009443
1	1892607	3582735	440	40	0.0000981537	0.000000026506
1	3582736	4380810	273	40	0.0000930927	0.000000015999
1	4380811	5913892	878	40	0.0000467238	0.000000029828
1	5913893	7247334	432	40	0.0001660148	0.000000023004
1	7247335	9365198	706	40	0.0004063637	0.000000037093
1	9365199	10806983	355	40	-0.0000165131	0.000000013911
1	10806984	11777840	260	40	-0.0000102387	0.000000012836
1	11777841	12779465	292	40	0.0002355183	0.000000016094
1	12779466	14891510	620	40	0.0001460142	0.000000031947
1	14891511	16897729	695	40	0.0000715239	0.000000030445
1	16897730	18662898	667	40	-0.0000066026	0.000000028655
1	18662899	20469148	720	40	0.0001210857	0.000000032080
1	20469149	21736587	462	40	0.0001194157	0.000000022550
1	21736588	23086882	526	40	0.0000532822	0.000000026954
1	23086883	23920589	223	28	0.0002819966	0.000000014940
1	23920590	25516844	526	40	0.0000932986	0.000000027318
1	25516845	27401866	416	40	0.0000698615	0.000000016716
1	27401867	30161880	555	40	0.0001853608	0.000000026461
1	30161881	32438684	937	40	0.0001964443	0.000000032619
1	32438685	34799757	678	40	0.0001475642	0.000000032337
1	34799758	37549182	556	40	0.0001684121	0.000000027897
1	37549183	38731846	375	40	0.0000545704	0.000000016793
1	38731847	40200566	447	40	0.0000872091	0.000000020716
1	40200567	41975326	554	40	0.0000704916	0.000000023480
1	41975327	43758456	553	40	0.0002504056	0.000000026009
1	43758457	44969182	372	35	0.0000175299	0.000000014396
1	44969183	46899500	461	38	-0.0000340547	0.000000012984
1	46899501	48002575	299	33	0.0001237255	0.000000014034
1	48002576	48978187	346	40	0.0001072393	0.000000017536
1	48978188	49894176	248	28	0.0002213023	0.000000015399
1	49894177	51713725	261	25	0.0002359374	0.000000012742
1	51713726	54226261	564	40	-0.0000424931	0.000000022276
1	54226262	56413116	843	40	0.0000159753	0.000000027696
1	56413117	57021727	274	31	0.0001218381	0.000000011503
1	57021728	58865398	852	40	0.0001933475	0.000000032992
1	58865399	59890408	385	40	0.0001079028	0.000000017386
1	59890409	61922364	674	40	0.0001751316	0.000000031764
1	61922365	63455088	544	40	0.0000669647	0.000000021561
1	63455089	65041703	659	40	-0.0000252626	0.000000023896
1	65041704	66939403	654	40	0.0003737049	0.000000033044
1	66939404	68477894	693	40	0.0000379354	0.000000025223
1	68477895	69687615	390	40	0.0000459644	0.000000017732
1	69687616	71372469	524	40	0.0001189705	0.000000023911
1	71372470	71684404	84	10	0.0000335156	0.000000003420
1	71684405	74326906	564	40	0.0005076380	0.000000026064
1	74326907	76728134	733	40	0.0002393779	0.000000028358
1	76728135	79661197	952	40	0.0002144398	0.000000032819
1	79661198	81354190	478	40	0.0001668499	0.000000023133
1	81354191	83991747	979	40	0.0001446217	0.000000031329
1	83991748	84844494	317	35	0.0000429216	0.000000012568
1	84844495	86454750	657	40	0.0000899466	0.000000028671
1	86454751	88128630	576	40	0.0001429393	0.000000027022
1	88128631	90066302	528	40	0.0000136295	0.000000021094
1	90066303	91886316	562	40	-0.0000491663	0.000000021799
1	91886317	93536458	519	40	0.0000957715	0.000000019844
1	93536459	94506190	258	27	0.0001136711	0.000000011564
1	94506191	96150892	655	40	0.0002324425	0.000000031875
1	96150893	97885248	609	40	0.0004332307	0.000000028864
1	97885249	99800603	644	40	0.0002579291	0.000000029373
1	99800604	100826404	341	37	0.0000400880	0.000000012873
1	100826405	102041015	453	40	0.0000731732	0.000000019423
1	102041016	102898744	280	36	0.0001049054	0.000000013690
1	102898745	103914210	204	21	0.0001353234	0.000000010041
1	103914211	106087841	460	40	0.0002456510	0.000000023897
1	106087842	108409664	731	40	0.0001308933	0.000000031375
1	108409665	110303930	573	40	0.0004971463	0.000000027674
1	110303931	111741736	575	40	0.0000887592	0.000000028466
1	111741737	113273305	722	40	0.0002959980	0.000000034098
1	113273306	114873844	513	40	0.0001193774	0.000000024116
1	114873845	115880592	349	37	0.0000016553	0.000000012308
1	115880593	118839066	840	40	0.0000735228	0.000000030301
1	118839067	144977493	574	40	0.0000826014	0.000000019446
1	144977494	148361252	435	40	0.0001493409	0.000000020332
1	148361253	151538880	353	34	0.0001407047	0.000000015387
1	151538881	153180828	478	40	0.0000863929	0.000000018482
1	153180829	154770402	461	40	0.0001146006	0.000000020751
1	154770403	156336132	307	38	0.0001364845	0.000000015846
1	156336133	158027411	598	40	0.0000752262	0.000000027283
1	158027412	159913047	688	40	0.0000550805	0.000000029700
1	159913048	162346720	896	40	0.0000305311	0.000000025089
1	162346721	165191701	1200	40	0.0000828838	0.000000029592
1	165191702	166460516	534	40	0.0000104798	0.000000024886
1	166460517	169086323	1118	40	0.0001912481	0.000000033229
1	169086324	170557775	567	40	0.0000264487	0.000000018427
1	170557776	173097906	916	40	0.0001125118	0.000000028871
1	173097907	175089767	416	32	0.0000802220	0.000000012791
1	175089768	177433380	790	40	0.0001373370	0.000000031365
1	177433381	178944308	505	40	0.0005455128	0.000000027031
1	178944309	178954469	2	1	-0.0000006466	0.000000000135
1	178954470	181144120	754	40	0.0000445620	0.000000028861
1	181144121	182755355	604	40	0.0001336298	0.000000029509
1	182755356	184595512	633	40	0.0004150879	0.000000032191
1	184595513	186810022	524	40	0.0000454679	0.000000020212
1	186810023	188759944	626	40	0.0001936394	0.000000027454
1	188759945	189904129	223	17	0.0000205965	0.000000007284
1	189904130	191868929	547	40	0.0001082753	0.000000019305
1	191868930	194107441	590	40	-0.0000301025	0.000000021291
1	194107442	196176200	590	40	0.0000668408	0.000000021285
1	196176201	197311513	199	16	0.0000187682	0.000000006371
1	197311514	199239883	517	40	0.0002115717	0.000000024552
1	199239884	200137648	308	36	0.0001108109	0.000000014810
1	200137649	201589974	711	40	0.0000626625	0.000000030148
1	201589975	203334733	616	40	0.0004217709	0.000000037558
1	203334734	204681067	489	40	0.0001786499	0.000000025425
1	204681068	206073264	577	40	0.0001780406	0.000000028796
1	206073265	208410363	643	40	0.0000706497	0.000000029596
1	208410364	210787749	943	40	0.0002909792	0.000000034798
1	210787750	212842329	705	40	0.0001797009	0.000000031931
1	212842330	214578265	618	40	0.0000413187	0.000000027889
1	214578266	216243633	597	40	0.0001386437	0.000000027875
1	216243634	218705512	1092	40	-0.0000188549	0.000000027436
1	218705513	219590570	289	35	0.0000508703	0.000000011884
1	219590571	221858230	700	40	0.0000004559	0.000000025416
1	221858231	222230219	178	21	0.0000036632	0.000000008325
1	222230220	224938519	477	40	0.0000466460	0.000000021144
1	224938520	226810859	523	40	0.0001205985	0.000000023800
1	226810860	229156247	707	40	-0.0000107072	0.000000027487
1	229156248	230685254	542	40	0.0001307379	0.000000024545
1	230685255	232090251	596	40	0.0001512285	0.000000028681
1	232090252	233429283	611	40	0.0000853900	0.000000030869
1	233429284	234599433	543	40	0.0000352179	0.000000026164
1	234599434	235819435	388	40	0.0002314327	0.000000023628
1	235819436	237555627	730	40	0.0000329194	0.000000030276
1	237555628	238567806	438	40	-0.0000316587	0.000000020120
1	238567807	239925313	498	40	0.0000635830	0.000000024328
1	239925314	240564090	344	40	0.0001593397	0.000000019087
1	240564091	241582219	522	40	0.0000968094	0.000000030600
1	241582220	242071601	220	38	0.0000929731	0.000000013070
1	242071602	244109498	627	40	0.0002260864	0.000000033175
1	244109499	245506745	521	40	0.0002258702	0.000000031270
1	245506746	247344517	717	40	0.0000432744	0.000000030230
