chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	14	0.0000964693	0.000000079922
1	1892607	3582735	443	14	0.0003552523	0.000000326640
1	3582736	4380810	276	14	-0.0000563251	0.000000147795
1	4380811	5913892	877	14	0.0000476632	0.000000302293
1	5913893	7247334	435	14	0.0000109161	0.000000203230
1	7247335	9365198	704	14	0.0000555721	0.000000302783
1	9365199	10806983	354	14	0.0002332080	0.000000165974
1	10806984	11777840	259	14	0.0001531600	0.000000145609
1	11777841	12779465	289	14	0.0002904671	0.000000189254
1	12779466	14891510	619	14	0.0002457225	0.000000320015
1	14891511	16897729	694	14	0.0001542633	0.000000317686
1	16897730	18662898	671	14	0.0001712672	0.000000325896
1	18662899	20469148	726	14	0.0002609257	0.000000338679
1	20469149	21736587	462	14	0.0001853096	0.000000219834
1	21736588	23086882	525	14	0.0000180995	0.000000269842
1	23086883	23920589	223	14	0.0000951270	0.000000096038
1	23920590	25516844	525	14	0.0001122394	0.000000270766
1	25516845	27401866	414	14	0.0005302730	0.000000184094
1	27401867	30161880	555	14	0.0000126711	0.000000230688
1	30161881	32438684	939	14	0.0002207402	0.000000305981
1	32438685	34799757	678	14	0.0000532796	0.000000298102
1	34799758	37549182	556	14	-0.0000196031	0.000000248091
1	37549183	38731846	375	14	0.0001872549	0.000000167165
1	38731847	40200566	448	14	0.0001417329	0.000000209037
1	40200567	41975326	558	14	0.0002384654	0.000000234311
1	41975327	43758456	551	14	0.0000417526	0.000000205974
1	43758457	44969182	372	14	0.0003246415	0.000000152724
1	44969183	46899500	462	14	0.0004922658	0.000000156219
1	46899501	48002575	297	14	0.0004868421	0.000000132304
1	48002576	48978187	346	14	0.0002523953	0.000000155211
1	48978188	49894176	248	14	0.0001682999	0.000000106076
1	49894177	51713725	261	14	-0.0000079689	0.000000070843
1	51713726	54226261	565	14	0.0003312238	0.000000259682
1	54226262	56413116	842	14	0.0001794608	0.000000311887
1	56413117	57021727	273	14	0.0003444176	0.000000114321
1	57021728	58865398	852	14	-0.0000125530	0.000000292702
1	58865399	59890408	385	14	0.0001968200	0.000000157291
1	59890409	61922364	676	14	-0.0000647794	0.000000296376
1	61922365	63455088	536	14	0.0002262443	0.000000261378
1	63455089	65041703	660	14	0.0000714994	0.000000248070
1	65041704	66939403	654	14	-0.0000502830	0.000000242988
1	66939404	68477894	692	14	0.0002305374	0.000000247229
1	68477895	69687615	389	14	0.0000495945	0.000000165964
1	69687616	71372469	523	14	-0.0000398578	0.000000206505
1	71372470	71684404	83	10	0.0001249428	0.000000029827
1	71684405	74326906	564	14	0.0001571753	0.000000186265
1	74326907	76728134	732	14	0.0000380528	0.000000240834
1	76728135	79661197	957	14	0.0000898131	0.000000303384
1	79661198	81354190	479	14	0.0000843240	0.000000194367
1	81354191	83991747	978	14	0.0000472692	0.000000303927
1	83991748	84844494	319	14	-0.0000789012	0.000000103188
1	84844495	86454750	657	14	0.0000616563	0.000000274506
1	86454751	88128630	578	14	-0.0000468669	0.000000242820
1	88128631	90066302	528	14	0.0003659606	0.000000235475
1	90066303	91886316	566	14	0.0003120745	0.000000251557
1	91886317	93536458	515	14	0.0000939686	0.000000181329
1	93536459	94506190	257	14	0.0001354243	0.000000093235
1	94506191	96150892	654	14	0.0000987712	0.000000280233
1	96150893	97885248	613	14	0.0000512258	0.000000206210
1	97885249	99800603	645	14	-0.0000512327	0.000000237186
