chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	17	0.0000660778	0.000000010567
1	1892607	3582735	408	29	0.0002864716	0.000000043967
1	3582736	4380810	262	29	0.0002995213	0.000000030044
1	4380811	5913892	863	29	0.0001677436	0.000000052678
1	5913893	7247334	410	29	0.0000158665	0.000000030263
1	7247335	9365198	677	29	0.0001851740	0.000000051259
1	9365199	10806983	335	29	0.0000581490	0.000000022612
1	10806984	11777840	246	29	0.0001943861	0.000000025259
1	11777841	12779465	273	29	0.0002028617	0.000000018287
1	12779466	14891510	606	29	0.0001043322	0.000000050387
1	14891511	16897729	656	29	0.0000760061	0.000000048913
1	16897730	18662898	634	29	0.0001031566	0.000000049294
1	18662899	20469148	684	29	0.0002175628	0.000000053691
1	20469149	21736587	450	29	0.0002657093	0.000000039073
1	21736588	23086882	506	29	0.0002533046	0.000000047070
1	23086883	23920589	214	27	0.0001941135	0.000000018690
1	23920590	25516844	498	29	0.0001294964	0.000000042355
1	25516845	27401866	384	29	0.0005814472	0.000000036069
1	27401867	30161880	525	29	0.0004470078	0.000000046816
1	30161881	32438684	904	29	0.0002072517	0.000000053135
1	32438685	34799757	644	29	0.0002055695	0.000000052916
1	34799758	37549182	522	29	0.0000556428	0.000000037955
1	37549183	38731846	357	29	0.0000953854	0.000000026775
1	38731847	40200566	424	29	0.0006444084	0.000000045092
1	40200567	41975326	540	29	0.0000601511	0.000000037829
1	41975327	43758456	529	29	0.0000519128	0.000000033683
1	43758457	44969182	350	29	0.0001951850	0.000000027379
1	44969183	46899500	439	29	0.0003451662	0.000000030272
1	46899501	48002575	278	29	0.0002587884	0.000000024682
1	48002576	48978187	339	29	0.0001059487	0.000000028096
1	48978188	49894176	237	28	0.0002705527	0.000000024322
1	49894177	51713725	252	25	0.0000630441	0.000000013670
1	51713726	54226261	547	29	0.0002208177	0.000000042535
1	54226262	56413116	810	29	0.0002116003	0.000000048731
1	56413117	57021727	264	29	0.0000613386	0.000000014639
1	57021728	58865398	826	29	-0.0000402364	0.000000047212
