chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	0.0000005309	0.000000001708
1	1892607	3582735	424	40	0.0000329131	0.000000007913
1	3582736	4380810	262	40	0.0000749881	0.000000005402
1	4380811	5913892	842	40	0.0000170494	0.000000010323
1	5913893	7247334	418	40	0.0000184570	0.000000007023
1	7247335	9365198	676	40	0.0000242930	0.000000010415
1	9365199	10806983	344	40	0.0000230600	0.000000005408
1	10806984	11777840	249	40	0.0000166645	0.000000004422
1	11777841	12779465	271	40	0.0000230594	0.000000005026
1	12779466	14891510	601	40	0.0000034661	0.000000010151
1	14891511	16897729	653	40	0.0000008485	0.000000010016
1	16897730	18662898	627	40	0.0000896317	0.000000011244
1	18662899	20469148	691	40	-0.0000126104	0.000000009947
1	20469149	21736587	444	40	0.0001314360	0.000000008678
1	21736588	23086882	500	40	0.0000381268	0.000000009011
1	23086883	23920589	219	28	0.0000384353	0.000000003974
1	23920590	25516844	509	40	-0.0000084992	0.000000008480
1	25516845	27401866	402	40	-0.0000027834	0.000000005464
1	27401867	30161880	535	40	0.0000586879	0.000000008341
1	30161881	32438684	888	40	-0.0000151747	0.000000009914
1	32438685	34799757	658	40	0.0000241226	0.000000010393
1	34799758	37549182	537	40	-0.0000127020	0.000000008063
1	37549183	38731846	364	40	0.0000320898	0.000000005986
1	38731847	40200566	436	40	0.0000185474	0.000000007024
1	40200567	41975326	538	40	0.0000629122	0.000000008516
1	41975327	43758456	520	40	0.0001386146	0.000000008910
1	43758457	44969182	359	35	0.0000693866	0.000000005774
1	44969183	46899500	446	38	0.0000051243	0.000000004980
1	46899501	48002575	289	33	0.0000455573	0.000000004627
1	48002576	48978187	331	40	0.0000071931	0.000000005429
1	48978188	49894176	243	28	-0.0000101512	0.000000003781
1	49894177	51713725	254	25	0.0000245058	0.000000003235
1	51713726	54226261	552	40	0.0000175491	0.000000008628
1	54226262	56413116	811	40	0.0000040987	0.000000010159
1	56413117	57021727	260	30	0.0000187143	0.000000003885
1	57021728	58865398	825	40	0.0001103811	0.000000011508
1	58865399	59890408	369	40	0.0000789293	0.000000006297
1	59890409	61922364	656	40	-0.0000525110	0.000000009441
1	61922365	63455088	515	40	0.0000477921	0.000000008688
1	63455089	65041703	636	40	0.0000109323	0.000000008605
1	65041704	66939403	635	40	-0.0000059940	0.000000008856
1	66939404	68477894	669	40	0.0000457935	0.000000009027
1	68477895	69687615	374	40	0.0000198469	0.000000005851
1	69687616	71372469	505	40	0.0000185337	0.000000007428
1	71372470	71684404	82	10	-0.0000036531	0.000000000954
1	71684405	74326906	543	40	0.0000157894	0.000000006747
1	74326907	76728134	714	40	0.0000361989	0.000000008946
1	76728135	79661197	922	40	0.0000226533	0.000000010394
1	79661198	81354190	453	40	0.0000403061	0.000000007139
1	81354191	83991747	944	40	0.0000069653	0.000000010195
1	83991748	84844494	305	34	0.0000315173	0.000000004368
1	84844495	86454750	631	40	-0.0000278513	0.000000008923
1	86454751	88128630	548	40	-0.0000011001	0.000000008008
1	88128631	90066302	509	40	0.0001232600	0.000000008998
1	90066303	91886316	545	40	0.0000061098	0.000000007856
1	91886317	93536458	492	40	-0.0000257721	0.000000006039
1	93536459	94506190	252	26	0.0000533070	0.000000003800
1	94506191	96150892	631	40	0.0000113344	0.000000009582
1	96150893	97885248	586	40	0.0000354894	0.000000007663
1	97885249	99800603	621	40	0.0000494882	0.000000008770
1	99800604	100826404	330	36	-0.0000133903	0.000000004021
1	100826405	102041015	436	40	0.0000168159	0.000000006337
1	102041016	102898744	271	36	0.0000346435	0.000000004207
1	102898745	103914210	198	21	0.0000316718	0.000000002884
1	103914211	106087841	443	40	0.0000426071	0.000000006906
1	106087842	108409664	716	40	0.0000641128	0.000000010920
1	108409665	110303930	556	40	0.0000642557	0.000000008472
1	110303931	111741736	551	40	0.0000949974	0.000000010420
1	111741737	113273305	703	40	-0.0000089253	0.000000009994
1	113273306	114873844	503	40	0.0000135558	0.000000007749
1	114873845	115880592	338	36	0.0000474786	0.000000005094
1	115880593	118839066	821	40	0.0000537530	0.000000010789
1	118839067	144977493	551	40	0.0000580752	0.000000008394
1	144977494	148361252	423	40	-0.0000101398	0.000000006076
1	148361253	151538880	347	34	0.0000238843	0.000000004915
1	151538881	153180828	463	40	0.0000445074	0.000000006385
1	153180829	154770402	440	40	0.0000068293	0.000000006392
1	154770403	156336132	301	38	0.0000081055	0.000000004736
1	156336133	158027411	593	40	-0.0000078760	0.000000008731
1	158027412	159913047	657	40	0.0000202422	0.000000010181
1	159913048	162346720	851	40	0.0000073084	0.000000010200
1	162346721	165191701	1168	40	0.0000368640	0.000000010575
1	165191702	166460516	519	40	0.0000758228	0.000000009388
1	166460517	169086323	1077	40	0.0000194127	0.000000010353
1	169086324	170557775	550	40	0.0000766890	0.000000007721
1	170557776	173097906	871	40	0.0000074358	0.000000010201
1	173097907	175089767	405	32	0.0000376590	0.000000004426
1	175089768	177433380	761	40	0.0000340080	0.000000010437
1	177433381	178944308	475	40	-0.0000213243	0.000000006438
1	178944309	178954469	2	1	-0.0000030555	0.000000000001
1	178954470	181144120	728	40	0.0000211654	0.000000010011
1	181144121	182755355	583	40	0.0001546174	0.000000011177
1	182755356	184595512	610	40	0.0000281160	0.000000008520
1	184595513	186810022	512	40	0.0000259391	0.000000007098
1	186810023	188759944	603	40	0.0000257645	0.000000008409
1	188759945	189904129	210	16	0.0000332222	0.000000002763
1	189904130	191868929	530	40	0.0000928304	0.000000007340
1	191868930	194107441	558	40	0.0001275916	0.000000009255
1	194107442	196176200	561	40	0.0000371243	0.000000007442
1	196176201	197311513	189	16	0.0000388648	0.000000002534
1	197311514	199239883	492	40	0.0000861451	0.000000008144
1	199239884	200137648	296	35	-0.0000261859	0.000000003939
1	200137649	201589974	686	40	0.0001163111	0.000000011583
1	201589975	203334733	592	40	0.0000187894	0.000000009778
1	203334734	204681067	475	40	0.0000347130	0.000000007855
1	204681068	206073264	565	40	0.0000618222	0.000000009635
1	206073265	208410363	607	40	0.0000498033	0.000000010435
1	208410364	210787749	893	40	0.0000344270	0.000000010544
1	210787750	212842329	679	40	0.0000622869	0.000000010897
1	212842330	214578265	600	40	0.0000322575	0.000000009989
1	214578266	216243633	578	40	0.0000978889	0.000000009829
1	216243634	218705512	1060	40	0.0000040629	0.000000010158
1	218705513	219590570	274	33	0.0000112236	0.000000004071
1	219590571	221858230	676	40	0.0000001670	0.000000009785
1	221858231	222230219	170	21	0.0000726332	0.000000003784
1	222230220	224938519	449	40	-0.0000013994	0.000000006772
1	224938520	226810859	501	40	0.0000184114	0.000000007588
1	226810860	229156247	681	40	-0.0000073017	0.000000009325
1	229156248	230685254	518	40	0.0000567844	0.000000009106
1	230685255	232090251	579	40	0.0001245285	0.000000010532
1	232090252	233429283	592	40	0.0000058876	0.000000010019
1	233429284	234599433	519	40	-0.0000110822	0.000000008488
1	234599434	235819435	375	40	-0.0000330928	0.000000005866
1	235819436	237555627	701	40	0.0000410867	0.000000010628
1	237555628	238567806	419	40	0.0000710000	0.000000007810
1	238567807	239925313	480	40	0.0000305260	0.000000008348
1	239925314	240564090	328	40	0.0000209000	0.000000005663
1	240564091	241582219	507	40	-0.0000107828	0.000000009099
1	241582220	242071601	215	38	0.0000146064	0.000000003953
1	242071602	244109498	604	40	0.0000090661	0.000000009796
1	244109499	245506745	499	40	0.0000493918	0.000000009093
1	245506746	247344517	684	40	0.0001258769	0.000000011704
1	247344518	249239465	377	40	0.0000752278	0.000000007117
2	10133	1781021	662	40	0.0000435288	0.000000010659
2	1781022	3973778	961	40	0.0001006111	0.000000011384
2	3973779	5708336	627	40	0.0000258616	0.000000010435
2	5708337	6836253	566	40	0.0001233556	0.000000010152
2	6836254	8422146	652	40	0.0001094148	0.000000011495
2	8422147	10298468	672	40	0.0000074353	0.000000010201
2	10298469	12419149	962	40	-0.0000084203	0.000000010000
2	12419150	14335307	590	40	-0.0000392698	0.000000008434
2	14335308	16329734	743	40	-0.0000156090	0.000000009909
2	16329735	18647422	859	40	-0.0000053275	0.000000010039
2	18647423	19692403	382	40	0.0000936997	0.000000007291
2	19692404	21050489	633	40	-0.0000044884	0.000000009685
2	21050490	23341382	623	40	0.0001602926	0.000000012141
2	23341383	24686917	441	40	0.0000923111	0.000000007737
2	24686918	26894984	559	40	0.0001102533	0.000000009784
2	26894985	28598776	415	33	0.0000238892	0.000000005882
2	28598777	29217558	246	31	0.0000534608	0.000000004546
2	29217559	30463710	636	40	0.0000496501	0.000000010737
2	30463711	31550449	530	40	-0.0000127215	0.000000009013
2	31550450	33363776	494	40	0.0000337869	0.000000009300
2	33363777	35345027	801	40	0.0000622296	0.000000010897
2	35345028	36122005	290	30	0.0000491060	0.000000005134
2	36122006	38132711	919	40	-0.0000135203	0.000000009935
2	38132712	39031336	326	38	0.0000298703	0.000000006381
2	39031337	40281482	303	32	-0.0000088701	0.000000005185
2	40281483	43309589	1306	40	0.0000302945	0.000000010491
2	43309590	44313802	400	40	0.0000353572	0.000000007399
2	44313803	46482633	1064	40	-0.0000043840	0.000000010051
2	46482634	47318771	415	40	0.0000572364	0.000000008848
2	47318772	48213000	300	40	0.0000735791	0.000000006693
2	48213001	50022256	712	40	0.0000136769	0.000000010280
2	50022257	50818927	345	34	0.0000276605	0.000000006051
2	50818928	52491132	647	40	0.0000151174	0.000000010299
2	52491133	53508451	464	40	0.0000204983	0.000000007877
2	53508452	54685225	433	40	0.0000010115	0.000000007347
2	54685226	56203344	612	40	0.0000524540	0.000000010772
2	56203345	57429099	428	40	0.0000640546	0.000000008147
2	57429100	58297314	272	29	0.0000041712	0.000000004585
2	58297315	60291999	736	40	0.0001034762	0.000000011420
2	60292000	62429043	586	40	0.0001135811	0.000000011467
2	62429044	64625912	583	40	0.0000465601	0.000000010090
2	64625913	65933443	463	40	0.0000683997	0.000000008565
2	65933444	67226165	553	40	-0.0000245744	0.000000008195
2	67226166	68010175	423	40	0.0000311650	0.000000006983
2	68010176	69139563	468	40	-0.0000345753	0.000000006614
2	69139564	70755197	534	40	0.0001358938	0.000000009502
2	70755198	73174847	797	40	-0.0000082947	0.000000010002
2	73174848	75630085	714	40	0.0000444533	0.000000010671
2	75630086	76913660	514	40	0.0000376278	0.000000008843
2	76913661	78079263	391	40	-0.0000092075	0.000000006915
2	78079264	80050402	823	40	0.0000465907	0.000000010698
2	80050403	81620840	578	40	0.0000030142	0.000000009983
2	81620841	85140679	890	40	0.0000667955	0.000000009658
2	85140680	88038506	630	40	0.0000688699	0.000000009360
2	88038507	89154525	243	30	0.0000673327	0.000000004400
2	89154526	95326451	4	2	0.0000044576	0.000000000136
2	95326452	98995200	422	40	0.0000304378	0.000000006388
2	98995201	101822328	903	40	0.0000845371	0.000000011180
2	101822329	102688764	259	30	0.0000663878	0.000000004408
2	102688765	103588214	406	36	0.0000711723	0.000000005454
2	103588215	105125033	303	40	0.0000347550	0.000000005013
2	105125034	106210057	406	40	0.0000550429	0.000000007083
2	106210058	107408266	442	40	0.0000424260	0.000000007125
2	107408267	108429176	352	40	0.0000460225	0.000000005095
2	108429177	110572431	524	40	0.0000162031	0.000000007601
2	110572432	113921855	792	40	0.0000014095	0.000000010125
2	113921856	116772469	757	40	0.0000168438	0.000000010321
2	116772470	118367465	394	37	0.0000130068	0.000000005120
2	118367466	121303782	989	40	0.0000412457	0.000000010630
2	121303783	123302905	577	40	0.0000505798	0.000000009533
2	123302906	124732249	427	40	0.0000101699	0.000000005487
2	124732250	125840920	381	40	0.0000252689	0.000000005920
2	125840921	127373763	409	37	0.0000312579	0.000000005271
2	127373764	128034346	259	40	0.0000126671	0.000000004230
2	128034347	129474440	432	40	0.0000003522	0.000000006128
2	129474441	130067169	218	26	0.0000759463	0.000000003926
2	130067170	130658084	203	26	0.0000103456	0.000000003196
2	130658085	133042783	210	35	0.0000070306	0.000000003476
2	133042784	135158577	911	40	-0.0000176909	0.000000009882
2	135158578	137042793	440	40	0.0000206512	0.000000005660
2	137042794	138698116	594	40	0.0000015704	0.000000008790
2	138698117	140100270	432	40	0.0000110023	0.000000005155
2	140100271	141805350	568	40	0.0000495852	0.000000009176
2	141805351	142518601	297	33	0.0000009763	0.000000004887
2	142518602	144519483	655	40	0.0000031379	0.000000009478
2	144519484	146445569	439	40	0.0000233031	0.000000006964
2	146445570	147277161	151	15	0.0000273506	0.000000002629
2	147277162	150210291	660	40	0.0000916729	0.000000009811
