chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	19	-0.0000112187	0.000000004054
1	1892607	3582735	439	40	-0.0000516735	0.000000018884
1	3582736	4380810	273	40	0.0000125271	0.000000012137
1	4380811	5913892	868	40	0.0001104169	0.000000028196
1	5913893	7247334	429	40	0.0001012942	0.000000020000
1	7247335	9365198	699	40	0.0000585946	0.000000027145
1	9365199	10806983	352	40	-0.0000187152	0.000000012849
1	10806984	11777840	257	40	0.0001379148	0.000000013897
1	11777841	12779465	284	40	0.0000575103	0.000000013821
1	12779466	14891510	616	40	0.0001699464	0.000000029403
1	14891511	16897729	687	40	0.0000754668	0.000000027487
1	16897730	18662898	667	40	0.0002054660	0.000000030124
1	18662899	20469148	718	40	0.0001188838	0.000000028368
1	20469149	21736587	461	40	0.0002118515	0.000000022759
1	21736588	23086882	523	40	-0.0000074261	0.000000022761
1	23086883	23920589	222	28	0.0000681569	0.000000010374
1	23920590	25516844	522	40	0.0000756889	0.000000024236
1	25516845	27401866	411	40	-0.0000205615	0.000000013898
1	27401867	30161880	553	40	0.0000469530	0.000000021142
1	30161881	32438684	932	40	0.0000427647	0.000000026824
1	32438685	34799757	675	40	0.0000472088	0.000000026914
1	34799758	37549182	552	40	0.0003208137	0.000000028155
1	37549183	38731846	374	40	0.0000627467	0.000000015946
1	38731847	40200566	447	40	0.0000472049	0.000000018801
1	40200567	41975326	557	40	0.0000436912	0.000000021390
1	41975327	43758456	538	40	0.0001247768	0.000000021518
1	43758457	44969182	371	35	0.0001642111	0.000000016185
1	44969183	46899500	457	38	-0.0000216222	0.000000012480
1	46899501	48002575	297	33	0.0001884496	0.000000014247
1	48002576	48978187	343	40	0.0001152977	0.000000016439
1	48978188	49894176	247	28	-0.0000362062	0.000000009347
1	49894177	51713725	259	25	0.0000488741	0.000000008648
1	51713726	54226261	565	40	0.0000570102	0.000000023176
1	54226262	56413116	836	40	0.0000817088	0.000000027614
1	56413117	57021727	269	31	0.0001044784	0.000000011726
1	57021728	58865398	850	40	0.0001996735	0.000000030006
1	58865399	59890408	382	40	0.0001217254	0.000000016517
1	59890409	61922364	670	40	-0.0000096246	0.000000025762
1	61922365	63455088	531	40	0.0001150979	0.000000023725
1	63455089	65041703	656	40	0.0001635922	0.000000025545
1	65041704	66939403	650	40	0.0001945837	0.000000027117
1	66939404	68477894	686	40	0.0001466058	0.000000025149
1	68477895	69687615	388	40	0.0001356786	0.000000017733
1	69687616	71372469	519	40	0.0001666639	0.000000022210
1	71372470	71684404	82	10	0.0000412829	0.000000003378
1	71684405	74326906	555	40	0.0002033501	0.000000021077
1	74326907	76728134	726	40	0.0002199777	0.000000026478
1	76728135	79661197	948	40	0.0001658357	0.000000029320
1	79661198	81354190	474	40	0.0000240037	0.000000018123
1	81354191	83991747	971	40	0.0000547926	0.000000027068
1	83991748	84844494	311	35	0.0000701936	0.000000011754
1	84844495	86454750	651	40	0.0001295635	0.000000027007
1	86454751	88128630	573	40	0.0001631733	0.000000024908
1	88128631	90066302	520	40	0.0000858872	0.000000020939
1	90066303	91886316	561	40	0.0001963419	0.000000024377
1	91886317	93536458	506	40	0.0000547905	0.000000017654
1	93536459	94506190	254	26	0.0000457148	0.000000008995
1	94506191	96150892	649	40	0.0000271584	0.000000025193
1	96150893	97885248	607	40	0.0000414382	0.000000019674
1	97885249	99800603	644	40	0.0000799968	0.000000023171
1	99800604	100826404	337	37	0.0000301845	0.000000011513
1	100826405	102041015	448	40	0.0000464793	0.000000016914
1	102041016	102898744	281	37	0.0000228202	0.000000010436
1	102898745	103914210	198	21	0.0000082734	0.000000006495
1	103914211	106087841	455	40	0.0000159830	0.000000017077
1	106087842	108409664	728	40	0.0001341318	0.000000028677
1	108409665	110303930	567	40	0.0000110173	0.000000020206
1	110303931	111741736	569	40	0.0000884856	0.000000026279
1	111741737	113273305	721	40	0.0002200428	0.000000030419
1	113273306	114873844	512	40	0.0000330272	0.000000020338
1	114873845	115880592	344	37	0.0001582486	0.000000014824
1	115880593	118839066	839	40	0.0001922092	0.000000029855
1	118839067	144977493	566	40	-0.0000062645	0.000000020012
1	144977494	148361252	432	40	0.0000764258	0.000000017676
1	148361253	151538880	350	34	0.0001461605	0.000000014786
1	151538881	153180828	468	40	0.0001243545	0.000000017452
1	153180829	154770402	460	40	0.0001719254	0.000000020337
1	154770403	156336132	307	38	0.0001627213	0.000000015328
1	156336133	158027411	598	40	0.0000136920	0.000000023189
1	158027412	159913047	683	40	-0.0000079011	0.000000025797
1	159913048	162346720	876	40	0.0001360356	0.000000028716
1	162346721	165191701	1202	40	-0.0000356247	0.000000025234
